timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,554.0,765.0,658.0,440.0
100.0,552.0,765.0,657.0,442.0
200.0,554.0,765.0,658.0,441.0
300.0,554.0,766.0,658.0,443.0
400.0,553.0,765.0,658.0,443.0
500.0,554.0,765.0,658.0,444.0
600.0,553.0,764.0,657.0,444.0
700.0,554.0,764.0,658.0,445.0
800.0,554.0,764.0,658.0,445.0
900.0,554.0,764.0,658.0,447.0
1000.0,554.0,764.0,657.0,448.0
1100.0,555.0,764.0,657.0,448.0
1200.0,554.0,764.0,657.0,449.0
1300.0,554.0,765.0,656.0,449.0
1400.0,554.0,765.0,657.0,451.0
1500.0,555.0,765.0,657.0,450.0
1600.0,555.0,764.0,656.0,453.0
1700.0,555.0,763.0,656.0,452.0
1800.0,555.0,763.0,657.0,453.0
1900.0,555.0,764.0,657.0,453.0
2000.0,555.0,763.0,657.0,455.0
2100.0,554.0,764.0,657.0,454.0
2200.0,555.0,764.0,656.0,456.0
2300.0,554.0,764.0,656.0,456.0
2400.0,555.0,764.0,656.0,456.0
2500.0,555.0,763.0,656.0,457.0
2600.0,555.0,764.0,657.0,457.0
2700.0,556.0,764.0,656.0,457.0
2800.0,555.0,764.0,656.0,458.0
2900.0,556.0,764.0,655.0,459.0
3000.0,555.0,764.0,656.0,459.0
3100.0,555.0,763.0,656.0,460.0
3200.0,556.0,764.0,656.0,460.0
3300.0,556.0,763.0,655.0,461.0
3400.0,555.0,763.0,656.0,461.0
3500.0,556.0,764.0,655.0,461.0
3600.0,556.0,764.0,655.0,462.0
3700.0,556.0,764.0,655.0,462.0
3800.0,557.0,764.0,655.0,463.0
3900.0,557.0,764.0,655.0,465.0
4000.0,557.0,764.0,655.0,464.0
4100.0,557.0,764.0,655.0,465.0
4200.0,557.0,763.0,655.0,465.0
4300.0,557.0,763.0,655.0,466.0
4400.0,557.0,763.0,655.0,466.0
4500.0,557.0,764.0,655.0,466.0
4600.0,558.0,764.0,655.0,466.0
4700.0,557.0,764.0,655.0,467.0
4800.0,557.0,763.0,654.0,467.0
4900.0,558.0,764.0,655.0,468.0
5000.0,558.0,764.0,654.0,469.0
5100.0,558.0,764.0,655.0,469.0
5200.0,558.0,764.0,655.0,469.0
5300.0,557.0,763.0,655.0,469.0
5400.0,558.0,764.0,655.0,470.0
5500.0,559.0,763.0,655.0,470.0
5600.0,558.0,764.0,655.0,470.0
5700.0,558.0,764.0,654.0,471.0
5800.0,559.0,763.0,655.0,472.0
5900.0,559.0,763.0,655.0,472.0
6000.0,559.0,764.0,654.0,473.0
6100.0,559.0,763.0,654.0,472.0
6200.0,559.0,764.0,654.0,473.0
6300.0,559.0,764.0,654.0,473.0
6400.0,559.0,763.0,655.0,474.0
6500.0,560.0,764.0,654.0,474.0
6600.0,559.0,764.0,655.0,474.0
6700.0,560.0,764.0,654.0,475.0
6800.0,560.0,764.0,654.0,476.0
6900.0,559.0,763.0,654.0,476.0
7000.0,560.0,763.0,654.0,476.0
7100.0,560.0,764.0,654.0,476.0
7200.0,560.0,764.0,654.0,477.0
7300.0,560.0,764.0,654.0,478.0
7400.0,560.0,763.0,654.0,477.0
7500.0,560.0,764.0,654.0,478.0
7600.0,561.0,764.0,654.0,477.0
