timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,325.0,362.0,226.0,315.0
100.0,326.0,362.0,225.0,316.0
200.0,327.0,363.0,227.0,316.0
300.0,327.0,362.0,227.0,317.0
400.0,326.0,363.0,227.0,317.0
500.0,327.0,364.0,227.0,319.0
600.0,327.0,364.0,227.0,320.0
700.0,328.0,364.0,228.0,321.0
800.0,328.0,364.0,227.0,321.0
900.0,328.0,365.0,228.0,321.0
1000.0,328.0,365.0,229.0,322.0
1100.0,328.0,365.0,228.0,323.0
1200.0,328.0,366.0,228.0,324.0
1300.0,328.0,366.0,229.0,325.0
1400.0,328.0,366.0,229.0,325.0
1500.0,328.0,367.0,229.0,326.0
1600.0,328.0,367.0,229.0,327.0
1700.0,329.0,368.0,229.0,327.0
1800.0,329.0,367.0,229.0,327.0
1900.0,329.0,368.0,231.0,327.0
2000.0,330.0,368.0,231.0,328.0
2100.0,330.0,368.0,231.0,329.0
2200.0,330.0,368.0,231.0,329.0
2300.0,330.0,369.0,230.0,330.0
2400.0,330.0,369.0,231.0,328.0
2500.0,330.0,370.0,231.0,329.0
2600.0,331.0,370.0,232.0,330.0
2700.0,330.0,370.0,232.0,330.0
2800.0,331.0,370.0,231.0,330.0
2900.0,331.0,369.0,232.0,331.0
3000.0,331.0,370.0,232.0,330.0
3100.0,331.0,371.0,233.0,329.0
3200.0,331.0,372.0,232.0,330.0
3300.0,331.0,370.0,233.0,331.0
3400.0,332.0,372.0,232.0,331.0
3500.0,331.0,372.0,234.0,330.0
3600.0,332.0,372.0,234.0,330.0
3700.0,331.0,373.0,234.0,331.0
3800.0,332.0,373.0,233.0,330.0
3900.0,332.0,372.0,234.0,330.0
4000.0,332.0,373.0,233.0,331.0
4100.0,332.0,373.0,235.0,331.0
4200.0,332.0,374.0,234.0,331.0
4300.0,332.0,375.0,235.0,332.0
4400.0,333.0,375.0,235.0,332.0
4500.0,333.0,375.0,235.0,332.0
4600.0,333.0,375.0,235.0,332.0
4700.0,333.0,375.0,236.0,332.0
4800.0,333.0,376.0,235.0,332.0
4900.0,333.0,376.0,236.0,333.0
5000.0,334.0,376.0,237.0,333.0
5100.0,334.0,376.0,237.0,334.0
5200.0,334.0,377.0,237.0,334.0
5300.0,335.0,376.0,237.0,335.0
5400.0,335.0,377.0,237.0,335.0
5500.0,334.0,378.0,237.0,334.0
5600.0,335.0,377.0,238.0,336.0
5700.0,335.0,378.0,238.0,336.0
5800.0,335.0,377.0,238.0,336.0
5900.0,335.0,379.0,238.0,337.0
6000.0,335.0,379.0,238.0,338.0
6100.0,336.0,379.0,239.0,338.0
6200.0,336.0,379.0,238.0,338.0
6300.0,336.0,380.0,238.0,339.0
6400.0,336.0,380.0,238.0,337.0
6500.0,336.0,381.0,239.0,338.0
6600.0,336.0,381.0,239.0,339.0
6700.0,336.0,382.0,240.0,339.0
6800.0,336.0,381.0,240.0,338.0
6900.0,336.0,381.0,240.0,339.0
7000.0,337.0,382.0,240.0,339.0
7100.0,337.0,382.0,240.0,340.0
7200.0,338.0,382.0,240.0,338.0
7300.0,338.0,383.0,240.0,340.0
7400.0,338.0,382.0,241.0,339.0
7500.0,337.0,383.0,240.0,341.0
7600.0,338.0,384.0,241.0,339.0
7700.0,339.0,383.0,241.0,340.0
7800.0,338.0,384.0,241.0,341.0
7900.0,338.0,385.0,242.0,340.0
8000.0,339.0,385.0,242.0,341.0
8100.0,339.0,385.0,242.0,341.0
8200.0,339.0,385.0,242.0,340.0
8300.0,340.0,385.0,242.0,341.0
8400.0,340.0,385.0,242.0,341.0
8500.0,339.0,387.0,243.0,342.0
8600.0,340.0,387.0,243.0,340.0
8700.0,339.0,387.0,242.0,341.0
8800.0,341.0,386.0,243.0,342.0
8900.0,340.0,387.0,244.0,342.0
9000.0,340.0,388.0,243.0,342.0
9100.0,341.0,387.0,244.0,342.0
9200.0,340.0,388.0,244.0,341.0
9300.0,341.0,388.0,244.0,342.0
9400.0,341.0,388.0,245.0,342.0
