timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,443.0,619.7,454.1,384.8
100.0,443.0,614.0,463.2,388.1
200.0,444.0,614.0,456.1,380.4
300.0,443.0,626.0,461.0,386.1
400.0,443.0,614.7,465.0,390.0
500.0,449.0,614.1,465.5,381.8
600.0,449.0,614.6,460.9,386.2
700.0,443.0,626.0,467.0,381.1
800.0,443.6,626.0,458.6,390.0
900.0,449.0,614.0,456.6,385.5
1000.0,449.0,614.0,455.5,383.0
1100.0,449.0,622.0,466.8,390.0
1200.0,443.0,624.0,460.1,390.0
1300.0,443.0,626.0,459.0,387.6
1400.0,445.9,619.8,455.1,390.0
1500.0,443.0,616.1,454.4,380.0
1600.0,444.1,626.0,458.3,390.0
1700.0,443.0,617.8,466.1,380.0
1800.0,448.6,618.7,467.0,381.0
1900.0,444.1,626.0,457.0,386.8
2000.0,443.0,614.0,466.7,386.3
2100.0,445.7,620.8,462.3,382.9
2200.0,446.9,615.8,467.0,383.4
2300.0,443.0,619.9,462.0,386.5
2400.0,443.0,626.0,467.0,388.4
2500.0,443.0,619.5,467.0,380.0
2600.0,449.0,624.3,461.9,380.0
2700.0,446.6,626.0,467.0,385.1
2800.0,443.0,614.0,461.4,382.1
2900.0,443.0,626.0,465.2,380.0
3000.0,449.0,614.0,454.0,381.0
3100.0,443.0,626.0,454.0,390.0
3200.0,446.0,614.0,467.0,385.5
3300.0,446.7,614.0,461.7,380.0
3400.0,449.0,614.8,454.0,382.5
3500.0,449.0,618.8,454.0,390.0
3600.0,448.7,614.0,467.0,390.0
3700.0,446.2,614.0,466.2,380.0
3800.0,443.0,614.0,460.9,387.4
3900.0,449.0,614.8,457.9,385.7
4000.0,448.5,624.2,455.3,390.0
4100.0,449.0,626.0,457.3,380.0
4200.0,447.9,626.0,467.0,390.0
4300.0,444.3,625.5,454.0,380.0
4400.0,449.0,614.0,465.1,385.0
4500.0,443.8,617.7,454.0,387.0
4600.0,443.0,615.3,457.0,387.4
