timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,362.0,357.0,214.0,382.0
100.0,361.0,357.0,214.0,380.0
200.0,362.0,357.0,214.0,378.0
300.0,361.0,357.0,214.0,377.0
400.0,361.0,358.0,215.0,374.0
500.0,362.0,357.0,215.0,371.0
600.0,362.0,358.0,215.0,369.0
700.0,362.0,359.0,215.0,366.0
800.0,361.0,359.0,216.0,364.0
900.0,362.0,358.0,217.0,361.0
1000.0,362.0,359.0,217.0,359.0
1100.0,362.0,360.0,217.0,356.0
1200.0,362.0,359.0,216.0,354.0
1300.0,362.0,360.0,217.0,351.0
1400.0,361.0,360.0,217.0,349.0
1500.0,361.0,360.0,216.0,346.0
1600.0,361.0,360.0,218.0,343.0
1700.0,361.0,360.0,217.0,341.0
1800.0,361.0,361.0,217.0,339.0
1900.0,361.0,361.0,218.0,337.0
2000.0,362.0,361.0,218.0,335.0
2100.0,361.0,361.0,218.0,332.0
2200.0,362.0,361.0,219.0,330.0
2300.0,361.0,361.0,218.0,329.0
2400.0,361.0,361.0,218.0,327.0
2500.0,360.0,362.0,218.0,326.0
2600.0,361.0,362.0,219.0,323.0
2700.0,360.0,361.0,219.0,322.0
2800.0,361.0,362.0,219.0,321.0
2900.0,361.0,362.0,219.0,320.0
3000.0,361.0,362.0,219.0,319.0
3100.0,361.0,363.0,219.0,317.0
3200.0,361.0,363.0,220.0,317.0
3300.0,361.0,363.0,218.0,315.0
3400.0,361.0,364.0,220.0,315.0
3500.0,361.0,363.0,220.0,314.0
3600.0,361.0,364.0,219.0,313.0
3700.0,360.0,364.0,220.0,313.0
3800.0,361.0,364.0,221.0,313.0
3900.0,361.0,365.0,220.0,311.0
4000.0,361.0,365.0,220.0,312.0
4100.0,360.0,364.0,222.0,313.0
4200.0,360.0,365.0,221.0,313.0
4300.0,361.0,365.0,221.0,312.0
4400.0,362.0,366.0,222.0,313.0
4500.0,361.0,365.0,221.0,313.0
4600.0,361.0,365.0,222.0,314.0
4700.0,361.0,366.0,222.0,315.0
4800.0,361.0,366.0,222.0,315.0
4900.0,361.0,366.0,222.0,317.0
5000.0,361.0,367.0,223.0,318.0
5100.0,361.0,367.0,223.0,319.0
5200.0,362.0,367.0,223.0,320.0
5300.0,361.0,368.0,223.0,321.0
5400.0,362.0,368.0,223.0,322.0
5500.0,361.0,368.0,223.0,323.0
5600.0,361.0,368.0,224.0,324.0
5700.0,362.0,369.0,224.0,326.0
5800.0,362.0,369.0,224.0,327.0
5900.0,362.0,369.0,224.0,329.0
6000.0,361.0,370.0,224.0,330.0
6100.0,362.0,370.0,225.0,332.0
6200.0,362.0,369.0,225.0,333.0
6300.0,363.0,370.0,226.0,333.0
6400.0,363.0,371.0,226.0,336.0
6500.0,362.0,371.0,226.0,336.0
6600.0,363.0,372.0,227.0,338.0
6700.0,363.0,372.0,226.0,340.0
6800.0,363.0,372.0,228.0,341.0
6900.0,364.0,373.0,228.0,342.0
7000.0,363.0,373.0,227.0,343.0
7100.0,363.0,373.0,228.0,345.0
7200.0,364.0,374.0,229.0,346.0
7300.0,365.0,374.0,228.0,347.0
7400.0,365.0,375.0,229.0,347.0
7500.0,365.0,375.0,230.0,349.0
7600.0,365.0,375.0,230.0,351.0
7700.0,365.0,376.0,229.0,353.0
7800.0,365.0,376.0,230.0,353.0
7900.0,365.0,376.0,230.0,354.0
8000.0,366.0,377.0,230.0,355.0
8100.0,366.0,378.0,231.0,357.0
8200.0,367.0,378.0,232.0,357.0
8300.0,366.0,379.0,232.0,358.0
8400.0,366.0,379.0,232.0,359.0
8500.0,366.0,380.0,233.0,360.0
8600.0,366.0,380.0,232.0,360.0
8700.0,367.0,380.0,233.0,361.0
8800.0,368.0,380.0,233.0,362.0
8900.0,368.0,381.0,234.0,362.0
9000.0,368.0,381.0,234.0,363.0
9100.0,368.0,381.0,234.0,364.0
9200.0,368.0,382.0,234.0,364.0
9300.0,369.0,383.0,234.0,364.0
9400.0,368.0,383.0,236.0,365.0
9500.0,369.0,384.0,235.0,364.0
9600.0,369.0,384.0,236.0,365.0
9700.0,370.0,385.0,236.0,365.0
9800.0,369.0,385.0,237.0,367.0
9900.0,369.0,386.0,236.0,367.0
10000.0,370.0,386.0,238.0,367.0
10100.0,370.0,386.0,238.0,366.0
10200.0,371.0,386.0,237.0,367.0
10300.0,370.0,386.0,238.0,366.0
10400.0,370.0,388.0,239.0,367.0
10500.0,370.0,387.0,239.0,367.0
10600.0,371.0,388.0,239.0,367.0
10700.0,371.0,389.0,240.0,368.0
10800.0,372.0,389.0,240.0,368.0
10900.0,371.0,390.0,240.0,368.0
11000.0,372.0,390.0,241.0,369.0
11100.0,372.0,391.0,241.0,368.0
11200.0,372.0,391.0,242.0,368.0
11300.0,372.0,391.0,241.0,368.0
11400.0,372.0,392.0,241.0,368.0
11500.0,373.0,392.0,242.0,369.0
11600.0,373.0,392.0,242.0,369.0
11700.0,373.0,392.0,243.0,369.0
11800.0,373.0,393.0,243.0,369.0
