timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,433.1,547.5,383.0,384.8
100.0,398.4,432.2,279.6,376.7
200.0,386.7,429.6,278.2,387.6
300.0,387.5,413.5,268.4,376.6
400.0,447.0,568.0,400.0,394.5
500.0,437.2,543.3,381.4,392.0
600.0,422.7,502.8,345.4,384.8
700.0,436.9,562.5,404.5,394.6
800.0,380.2,402.4,246.1,372.3
900.0,406.6,473.2,302.3,396.0
1000.0,361.8,365.7,221.4,313.5
1100.0,431.2,522.0,345.7,393.1
1200.0,442.6,566.2,390.2,384.1
1300.0,441.7,547.0,378.0,385.1
1400.0,362.9,374.0,229.9,359.8
1500.0,430.0,531.1,377.2,382.5
1600.0,444.8,555.7,393.4,378.8
1700.0,434.1,529.3,349.5,387.2
1800.0,414.9,480.1,315.7,382.2
1900.0,374.4,391.5,236.7,369.5
2000.0,393.6,452.1,292.6,382.6
2100.0,436.1,554.6,395.7,388.7
2200.0,377.9,396.6,241.1,366.2
2300.0,440.4,569.0,392.4,385.8
2400.0,442.6,550.1,385.2,396.0
2500.0,410.7,483.8,323.7,396.0
2600.0,435.1,542.8,378.9,395.3
2700.0,435.7,519.7,371.0,385.7
2800.0,428.2,514.8,364.3,396.0
2900.0,391.9,424.3,267.3,375.4
3000.0,395.6,427.9,278.2,375.9
3100.0,396.7,430.5,276.8,384.2
3200.0,373.3,402.7,252.6,378.8
3300.0,441.4,562.7,390.3,379.8
3400.0,436.9,550.8,385.5,380.4
3500.0,369.2,397.4,239.2,367.5
3600.0,442.9,550.1,383.7,388.8
3700.0,388.0,403.0,256.9,371.1
3800.0,410.8,470.9,311.7,392.5
3900.0,434.5,573.7,402.6,385.0
4000.0,427.2,511.6,349.0,389.2
4100.0,430.0,506.6,348.6,387.2
4200.0,414.0,461.5,298.3,390.2
4300.0,388.3,416.4,262.1,373.2
4400.0,437.0,576.1,409.2,395.2
4500.0,444.3,578.3,410.2,396.0
4600.0,433.6,525.0,359.5,396.0
4700.0,446.6,571.6,398.9,390.2
4800.0,410.1,485.8,319.8,388.2
4900.0,447.0,566.0,406.3,395.4
5000.0,407.5,464.3,311.5,390.7
5100.0,428.8,508.4,338.5,382.6
5200.0,440.6,580.9,409.9,387.8
5300.0,433.5,540.2,374.9,394.4
5400.0,447.0,568.0,413.1,388.3
5500.0,445.7,564.3,386.5,385.8
5600.0,361.4,363.9,224.9,318.2
5700.0,366.8,370.9,226.5,352.9
5800.0,388.7,445.5,281.5,383.9
5900.0,422.5,509.6,349.6,387.1
6000.0,426.8,497.9,334.8,381.5
6100.0,437.5,547.2,393.0,380.8
6200.0,437.8,568.7,394.1,387.2
6300.0,368.2,363.1,217.9,317.9
6400.0,360.0,378.2,231.4,347.7
6500.0,364.6,386.1,229.5,355.7
6600.0,419.3,481.3,310.5,392.5
6700.0,396.0,448.3,287.3,385.6
6800.0,434.1,550.3,403.8,388.2
6900.0,436.7,532.8,354.9,395.8
7000.0,395.7,422.5,274.5,376.6
7100.0,435.1,553.6,389.8,384.1
7200.0,430.9,531.4,365.2,392.9
7300.0,370.8,373.7,228.6,357.5
7400.0,430.3,553.3,375.6,390.1
7500.0,438.6,564.6,412.8,392.8
7600.0,391.0,425.7,273.1,384.1
7700.0,447.0,570.0,413.8,393.2
7800.0,369.1,380.0,232.4,357.3
7900.0,360.0,364.8,217.5,320.4
8000.0,447.0,571.4,401.5,390.5
8100.0,408.6,453.3,300.7,387.7
8200.0,437.7,527.4,369.5,384.1
8300.0,406.7,475.7,309.5,396.0
8400.0,408.3,449.6,293.8,392.8
8500.0,395.9,444.6,291.7,389.7
8600.0,410.3,489.8,326.8,385.8
8700.0,432.5,550.1,382.6,387.0
8800.0,435.5,560.7,397.0,378.7
8900.0,423.1,501.5,337.0,378.4
9000.0,438.1,542.1,380.1,387.3
9100.0,429.8,507.1,350.7,396.0
9200.0,447.0,576.4,416.0,390.8
9300.0,441.6,546.2,382.5,392.7
9400.0,440.7,564.4,398.1,396.0
9500.0,434.7,558.1,382.2,387.0
9600.0,445.5,553.4,375.5,389.8
9700.0,439.8,566.7,402.0,396.0
9800.0,443.1,568.9,398.0,385.9
9900.0,447.0,581.0,414.2,386.6
10000.0,390.0,438.4,280.9,387.6
10100.0,414.0,503.6,329.0,396.0
10200.0,437.3,556.8,394.6,385.1
10300.0,416.3,495.0,321.0,387.1
10400.0,410.7,452.2,291.5,382.2
10500.0,421.6,490.8,328.0,390.5
10600.0,444.0,547.1,391.8,396.0
10700.0,435.4,560.0,388.7,386.8
10800.0,427.4,510.8,345.4,382.3
10900.0,437.6,556.2,403.9,396.0
11000.0,363.7,364.6,223.8,327.3
11100.0,419.8,505.0,348.5,384.8
11200.0,360.0,363.4,219.7,317.3
11300.0,433.5,526.1,360.1,388.2
11400.0,437.0,555.5,393.9,383.1
11500.0,412.1,502.5,324.4,390.2
11600.0,427.1,531.1,361.5,387.3
11700.0,386.7,405.6,249.4,373.6
11800.0,372.0,401.5,243.7,379.9
11900.0,414.8,469.5,315.2,389.7
12000.0,404.2,444.6,294.3,395.0
12100.0,410.7,454.2,303.9,387.0
12200.0,420.8,484.7,330.1,396.0
12300.0,445.9,573.4,416.0,390.6
12400.0,426.5,491.8,330.8,396.0
12500.0,443.7,566.1,393.8,395.6
12600.0,362.8,380.0,240.7,359.8
12700.0,431.1,538.3,373.3,392.1
12800.0,388.7,401.7,255.9,379.5
12900.0,401.6,463.5,301.7,390.1
13000.0,447.0,550.0,393.9,388.2
13100.0,434.8,564.7,402.4,394.2
13200.0,431.7,512.8,345.6,395.3
13300.0,434.1,544.7,396.4,383.6
13400.0,386.6,414.2,256.1,381.6
13500.0,440.6,559.9,397.3,386.5
13600.0,428.5,513.9,360.4,390.6
13700.0,425.1,494.6,327.3,394.3
13800.0,411.9,475.9,317.3,391.4
13900.0,380.3,407.8,264.9,383.7
14000.0,364.4,382.4,233.2,352.4
14100.0,383.5,418.7,259.0,380.4
14200.0,430.6,507.2,337.4,384.4
14300.0,424.9,531.7,361.1,386.8
14400.0,436.8,565.8,408.7,389.5
14500.0,434.6,525.5,358.8,396.0
14600.0,371.3,369.5,231.3,347.4
14700.0,384.5,408.7,252.9,378.4
14800.0,365.5,371.5,221.3,332.8
14900.0,438.7,545.4,372.0,388.7
15000.0,418.8,497.4,331.3,384.4
15100.0,362.7,370.7,220.9,318.1
15200.0,433.2,528.2,363.0,394.4
15300.0,432.2,525.1,371.7,382.4
15400.0,384.5,408.3,257.2,372.1
15500.0,437.2,524.9,367.5,396.0
15600.0,398.1,437.9,278.3,383.0
15700.0,360.0,366.4,214.0,336.2
15800.0,427.9,531.1,367.7,384.7
15900.0,438.8,569.9,409.2,390.4
16000.0,414.9,481.3,314.7,390.5
16100.0,381.3,424.3,256.8,376.0
16200.0,425.8,518.1,366.8,396.0
16300.0,369.5,397.5,240.7,373.2
16400.0,438.7,532.4,364.7,392.9
16500.0,421.1,505.8,335.2,386.7
16600.0,420.0,496.7,326.1,396.0
16700.0,447.0,554.7,402.3,391.0
16800.0,436.2,542.5,367.3,387.7
16900.0,431.5,499.0,338.4,386.1
17000.0,419.8,500.0,340.8,384.5
17100.0,435.4,568.9,405.0,394.0
17200.0,421.6,488.6,329.6,389.3
17300.0,425.1,494.0,319.9,386.6
17400.0,440.3,538.3,367.6,390.8
17500.0,400.1,431.4,275.8,379.4
17600.0,385.4,437.1,278.0,383.3
17700.0,407.4,461.0,302.4,383.2
17800.0,435.2,520.1,357.6,387.6
17900.0,389.3,441.6,284.0,380.2
18000.0,444.1,557.7,388.8,392.6
18100.0,367.3,359.1,217.6,344.7
18200.0,412.4,482.7,327.9,394.7
18300.0,441.3,546.6,379.5,385.7
18400.0,427.0,484.0,326.2,390.3
18500.0,444.9,546.7,388.6,388.0
18600.0,405.4,484.8,313.8,396.0
18700.0,434.4,563.9,389.5,392.1
18800.0,393.8,428.0,271.1,384.5
18900.0,364.2,357.0,217.6,357.2
19000.0,446.1,578.3,412.3,387.5
19100.0,435.5,555.8,379.3,386.9
19200.0,391.9,442.4,281.8,389.3
19300.0,437.1,557.0,391.2,384.7
19400.0,361.9,365.2,220.1,314.6
19500.0,380.7,403.9,249.4,373.5
19600.0,440.7,556.4,397.8,393.9
19700.0,431.0,516.9,338.1,381.3
19800.0,426.6,505.0,343.0,387.4
19900.0,409.8,468.1,314.0,385.2
20000.0,436.5,550.7,388.1,396.0
20100.0,416.3,490.0,317.2,385.2
20200.0,427.7,518.7,354.8,392.6
20300.0,418.1,487.1,324.5,396.0
20400.0,442.3,526.7,370.5,383.8
20500.0,440.2,529.2,375.7,386.2
20600.0,415.8,486.5,321.9,389.6
20700.0,384.6,404.6,247.3,367.5
20800.0,440.8,562.1,403.1,396.0
20900.0,382.2,414.1,263.8,382.7
21000.0,447.0,576.5,416.0,395.3
21100.0,418.5,506.1,345.5,394.9
21200.0,435.4,558.3,399.1,385.6
21300.0,386.2,431.1,275.4,384.0
21400.0,365.3,363.0,219.8,321.5
21500.0,434.5,561.8,385.2,393.3
21600.0,371.0,376.4,236.0,362.3
21700.0,388.6,413.1,269.4,377.6
21800.0,366.5,378.6,225.5,341.3
21900.0,446.7,569.2,413.8,392.7
22000.0,396.3,445.8,275.6,378.4
22100.0,388.8,415.8,256.4,376.2
22200.0,412.7,457.4,298.8,389.9
22300.0,360.0,367.7,222.7,311.0
22400.0,360.0,379.7,233.1,352.8
22500.0,435.0,528.1,359.2,391.2
22600.0,443.6,553.3,390.0,395.1
22700.0,437.3,572.5,399.4,388.1
22800.0,381.4,394.4,250.4,373.6
22900.0,447.0,569.6,407.1,396.0
23000.0,409.7,455.3,293.5,388.1
23100.0,360.0,364.7,225.2,335.8
23200.0,361.6,375.3,227.6,359.4
23300.0,441.8,543.7,373.8,390.5
23400.0,440.4,524.1,374.3,384.0
23500.0,399.4,454.2,298.2,388.8
23600.0,429.9,518.4,367.0,396.0
23700.0,432.1,536.7,374.0,388.2
23800.0,433.7,530.4,365.2,389.3
23900.0,442.3,532.7,373.7,394.8
24000.0,446.3,564.0,404.0,388.5
24100.0,404.8,473.2,313.7,396.0
24200.0,409.0,466.9,305.4,388.4
24300.0,433.9,563.8,401.1,394.9
24400.0,416.4,474.3,308.4,396.0
24500.0,426.7,522.9,360.9,383.6
24600.0,443.0,552.5,388.3,388.9
24700.0,417.0,496.5,338.7,382.1
24800.0,366.9,362.0,214.0,322.1
24900.0,447.0,579.4,402.7,388.0
25000.0,445.0,571.9,415.3,395.5
25100.0,443.9,550.3,383.3,395.1
25200.0,441.4,574.6,412.8,396.0
25300.0,443.4,577.8,408.7,390.7
25400.0,445.4,560.5,406.8,396.0
25500.0,415.9,473.2,316.8,396.0
25600.0,390.0,418.7,264.1,379.2
25700.0,427.9,516.2,340.8,388.7
25800.0,418.0,486.6,319.1,385.5
25900.0,372.2,380.7,231.6,351.8
26000.0,370.3,395.0,245.1,367.0
26100.0,429.5,530.9,349.3,391.9
26200.0,447.0,558.8,395.4,396.0
26300.0,440.6,547.1,385.4,395.4
26400.0,362.5,365.4,220.0,327.5
26500.0,363.3,357.0,221.0,329.1
26600.0,441.0,534.4,369.7,393.8
26700.0,443.4,559.2,377.7,393.3
26800.0,370.8,394.0,244.6,365.9
26900.0,422.2,511.9,346.5,396.0
27000.0,447.0,578.0,407.1,387.1
27100.0,370.2,378.2,235.5,367.2
27200.0,387.9,421.8,269.9,379.1
27300.0,440.7,527.5,372.6,382.9
27400.0,433.9,536.8,359.9,385.9
27500.0,366.3,358.5,219.3,354.3
27600.0,379.2,404.3,251.2,370.1
27700.0,436.8,537.7,382.4,391.1
27800.0,436.4,560.1,391.3,382.1
27900.0,430.7,529.9,374.0,380.8
28000.0,414.8,490.3,318.7,389.5
28100.0,373.7,389.7,234.2,359.1
28200.0,360.0,370.3,218.1,312.8
28300.0,364.1,362.6,216.8,366.3
28400.0,409.8,454.8,292.3,391.2
28500.0,447.0,580.0,409.5,387.7
28600.0,447.0,570.6,410.7,391.2
28700.0,425.8,488.4,322.7,396.0
28800.0,380.0,402.9,250.2,379.0
28900.0,431.4,506.9,339.0,379.7
29000.0,397.9,438.1,279.5,381.7
29100.0,447.0,567.1,402.6,389.8
29200.0,363.0,382.2,237.6,362.7
29300.0,436.7,555.0,381.1,396.0
29400.0,440.0,531.4,380.0,394.5
29500.0,361.9,364.3,222.6,323.6
29600.0,389.4,450.5,283.0,383.4
29700.0,425.8,527.1,368.2,381.5
29800.0,440.7,559.3,412.4,396.0
29900.0,444.9,549.3,373.6,396.0
30000.0,434.9,539.9,379.6,395.9
30100.0,365.5,357.0,219.3,352.7
30200.0,438.3,577.9,412.0,396.0
30300.0,423.6,513.1,351.9,388.6
30400.0,447.0,576.7,404.2,389.8
30500.0,431.5,545.7,395.9,392.3
30600.0,447.0,575.0,403.1,396.0
30700.0,445.3,581.0,416.0,392.0
30800.0,361.3,362.9,215.1,369.4
30900.0,436.5,562.4,405.6,392.0
31000.0,432.0,534.1,372.1,395.7
31100.0,404.1,442.7,290.8,394.6
31200.0,422.5,501.2,327.0,390.8
31300.0,408.5,473.5,301.9,396.0
31400.0,379.0,390.1,239.0,371.3
31500.0,412.4,471.5,307.7,390.3
31600.0,424.6,518.5,364.0,396.0
31700.0,447.0,571.5,392.9,390.7
31800.0,433.0,547.7,378.6,385.8
31900.0,437.8,565.9,399.3,383.8
32000.0,419.1,502.2,341.2,388.7
32100.0,428.5,532.0,360.7,382.5
32200.0,436.8,570.2,401.0,396.0
32300.0,447.0,567.6,406.0,388.8
32400.0,426.3,530.1,357.8,392.9
32500.0,433.4,544.7,371.7,391.3
32600.0,421.4,499.7,335.2,384.5
32700.0,360.0,357.0,214.0,377.9
32800.0,416.9,504.6,345.8,382.5
32900.0,437.2,579.8,414.4,395.5
33000.0,392.1,416.9,260.4,380.0
33100.0,446.4,557.1,405.7,396.0
33200.0,414.5,471.8,308.2,389.0
33300.0,435.6,539.4,378.0,384.9
33400.0,439.0,577.8,411.8,395.4
33500.0,377.9,406.0,249.1,371.7
33600.0,406.2,452.1,282.5,384.2
33700.0,434.9,549.4,384.4,383.1
33800.0,442.6,565.8,402.5,396.0
33900.0,391.6,440.2,274.0,388.2
34000.0,411.0,459.4,304.4,396.0
34100.0,421.4,495.8,329.3,381.5
34200.0,406.1,450.7,289.9,384.8
34300.0,427.3,491.1,339.5,389.8
34400.0,360.0,365.1,221.9,332.4
34500.0,360.0,359.4,219.3,351.0
34600.0,376.4,390.9,245.4,373.7
34700.0,415.8,467.0,315.2,395.5
34800.0,400.5,452.4,283.0,384.9
34900.0,414.2,472.7,320.3,396.0
35000.0,437.5,537.6,367.8,393.0
35100.0,426.9,507.2,341.8,392.3
35200.0,435.8,566.6,402.3,382.5
35300.0,428.4,503.7,329.7,390.6
35400.0,433.1,546.2,394.9,379.7
35500.0,392.6,429.5,268.6,373.3
35600.0,447.0,555.0,401.5,391.9
35700.0,360.0,359.2,217.8,311.0
35800.0,434.1,548.9,372.1,388.2
35900.0,420.2,516.9,349.8,396.0
36000.0,364.0,362.3,224.4,313.6
36100.0,412.9,474.7,324.5,392.5
36200.0,360.0,357.0,218.2,349.8
36300.0,445.5,571.5,404.9,396.0
36400.0,443.3,544.8,387.5,385.4
36500.0,383.2,402.5,247.4,380.9
36600.0,417.9,469.6,309.6,396.0
36700.0,433.8,518.4,356.1,386.4
36800.0,441.5,548.2,372.0,391.5
36900.0,431.6,557.7,387.3,391.6
37000.0,447.0,580.0,404.7,392.5
37100.0,407.3,460.0,305.0,394.2
37200.0,367.7,389.1,244.2,373.7
37300.0,375.0,402.6,247.1,380.8
37400.0,434.1,562.8,388.7,390.8
37500.0,435.8,541.5,379.2,394.6
37600.0,363.9,364.8,224.3,316.4
37700.0,393.8,422.9,265.9,374.9
37800.0,426.6,527.3,363.9,388.6
37900.0,385.3,410.6,257.2,380.6
38000.0,437.0,556.3,375.2,390.8
38100.0,390.3,424.5,261.0,380.4
38200.0,366.2,358.4,219.9,356.3
38300.0,384.1,402.6,252.0,383.1
38400.0,422.4,502.6,330.9,384.6
38500.0,387.9,430.7,274.4,375.1
38600.0,445.7,564.8,393.7,388.9
38700.0,437.8,562.2,414.3,395.8
38800.0,427.6,508.7,352.2,396.0
38900.0,370.6,368.7,227.2,346.1
39000.0,360.0,373.3,218.5,311.0
39100.0,440.7,532.5,372.0,396.0
39200.0,360.0,357.0,216.4,380.3
39300.0,437.7,554.8,385.0,381.7
39400.0,424.7,517.9,354.7,387.8
39500.0,392.6,432.1,267.5,374.4
39600.0,429.7,534.0,360.7,394.4
39700.0,362.1,366.1,216.9,328.1
39800.0,437.4,537.0,375.9,383.8
39900.0,446.4,569.9,392.7,385.7
40000.0,415.2,466.3,311.5,393.0
40100.0,388.3,429.8,280.6,377.7
40200.0,442.6,579.7,408.3,385.1
40300.0,447.0,568.5,409.2,385.4
40400.0,430.0,528.8,362.2,387.7
40500.0,435.4,562.2,387.1,386.8
40600.0,360.0,366.8,219.5,321.6
