timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,656.0,704.0,554.0,375.0
100.0,655.0,705.0,555.0,374.0
200.0,657.0,705.0,556.0,375.0
300.0,657.0,705.0,555.0,374.0
400.0,657.0,706.0,556.0,376.0
500.0,658.0,707.0,557.0,377.0
600.0,659.0,707.0,556.0,378.0
700.0,659.0,706.0,557.0,377.0
800.0,659.0,708.0,558.0,377.0
900.0,660.0,709.0,557.0,377.0
1000.0,661.0,709.0,558.0,379.0
1100.0,661.0,709.0,557.0,379.0
1200.0,661.0,709.0,559.0,379.0
1300.0,662.0,709.0,559.0,380.0
1400.0,662.0,710.0,560.0,379.0
1500.0,663.0,711.0,560.0,379.0
1600.0,663.0,711.0,561.0,379.0
1700.0,664.0,712.0,561.0,381.0
1800.0,664.0,711.0,562.0,381.0
1900.0,666.0,712.0,560.0,381.0
2000.0,665.0,712.0,561.0,381.0
2100.0,666.0,713.0,562.0,380.0
2200.0,666.0,712.0,562.0,382.0
2300.0,666.0,713.0,562.0,382.0
2400.0,666.0,714.0,563.0,382.0
2500.0,668.0,715.0,563.0,381.0
2600.0,668.0,714.0,564.0,384.0
2700.0,668.0,715.0,565.0,382.0
2800.0,668.0,715.0,565.0,382.0
2900.0,669.0,715.0,565.0,382.0
3000.0,669.0,716.0,566.0,383.0
3100.0,669.0,715.0,566.0,384.0
3200.0,670.0,715.0,566.0,383.0
3300.0,670.0,717.0,566.0,384.0
3400.0,671.0,717.0,566.0,385.0
3500.0,671.0,718.0,567.0,383.0
3600.0,671.0,717.0,567.0,384.0
3700.0,672.0,717.0,568.0,384.0
3800.0,672.0,718.0,568.0,386.0
3900.0,672.0,718.0,568.0,385.0
4000.0,672.0,719.0,568.0,385.0
4100.0,674.0,718.0,568.0,385.0
4200.0,674.0,719.0,569.0,386.0
4300.0,674.0,719.0,569.0,385.0
4400.0,674.0,720.0,570.0,386.0
4500.0,674.0,720.0,570.0,387.0
4600.0,674.0,720.0,571.0,387.0
4700.0,675.0,721.0,571.0,386.0
4800.0,676.0,721.0,571.0,388.0
4900.0,676.0,721.0,571.0,388.0
5000.0,676.0,721.0,572.0,389.0
5100.0,677.0,722.0,572.0,389.0
5200.0,677.0,723.0,572.0,388.0
5300.0,677.0,723.0,573.0,388.0
5400.0,678.0,723.0,574.0,390.0
5500.0,678.0,723.0,573.0,389.0
5600.0,679.0,723.0,573.0,389.0
5700.0,679.0,723.0,574.0,388.0
5800.0,679.0,724.0,575.0,390.0
5900.0,680.0,725.0,576.0,391.0
6000.0,680.0,725.0,575.0,391.0
6100.0,679.0,724.0,576.0,391.0
6200.0,680.0,725.0,576.0,391.0
6300.0,680.0,725.0,576.0,391.0
6400.0,681.0,726.0,576.0,390.0
6500.0,682.0,726.0,577.0,391.0
6600.0,682.0,726.0,577.0,393.0
6700.0,682.0,727.0,578.0,392.0
6800.0,683.0,727.0,578.0,392.0
6900.0,683.0,728.0,578.0,393.0
7000.0,683.0,728.0,579.0,392.0
7100.0,684.0,728.0,579.0,392.0
7200.0,684.0,728.0,580.0,394.0
7300.0,684.0,729.0,580.0,394.0
7400.0,684.0,729.0,581.0,394.0
7500.0,684.0,730.0,580.0,395.0
7600.0,685.0,729.0,581.0,395.0
7700.0,686.0,730.0,581.0,396.0
7800.0,686.0,729.0,582.0,395.0
7900.0,686.0,730.0,582.0,395.0
8000.0,686.0,730.0,582.0,397.0
8100.0,687.0,731.0,583.0,397.0
8200.0,686.0,732.0,583.0,396.0
8300.0,687.0,732.0,583.0,397.0
8400.0,686.0,731.0,584.0,397.0
8500.0,688.0,732.0,584.0,399.0
8600.0,688.0,732.0,584.0,398.0
8700.0,688.0,732.0,584.0,397.0
8800.0,689.0,732.0,585.0,398.0
8900.0,689.0,733.0,585.0,398.0
9000.0,690.0,733.0,585.0,398.0
9100.0,690.0,734.0,586.0,399.0
9200.0,690.0,733.0,586.0,399.0
9300.0,690.0,734.0,586.0,399.0
9400.0,690.0,734.0,587.0,399.0
9500.0,690.0,734.0,587.0,400.0
9600.0,691.0,735.0,588.0,399.0
9700.0,691.0,735.0,588.0,400.0
9800.0,692.0,735.0,588.0,401.0
9900.0,692.0,735.0,589.0,401.0
10000.0,691.0,737.0,589.0,400.0
10100.0,692.0,736.0,590.0,400.0
10200.0,693.0,737.0,590.0,402.0
10300.0,693.0,737.0,590.0,400.0
10400.0,692.0,737.0,590.0,402.0
10500.0,693.0,737.0,591.0,402.0
10600.0,693.0,737.0,591.0,403.0
10700.0,694.0,738.0,592.0,402.0
10800.0,695.0,738.0,592.0,403.0
10900.0,695.0,738.0,592.0,402.0
11000.0,694.0,739.0,593.0,403.0
11100.0,695.0,738.0,593.0,404.0
11200.0,694.0,738.0,592.0,404.0
11300.0,696.0,740.0,593.0,404.0
11400.0,696.0,739.0,594.0,405.0
11500.0,696.0,739.0,594.0,404.0
11600.0,696.0,740.0,595.0,404.0
11700.0,697.0,740.0,595.0,404.0
11800.0,697.0,740.0,594.0,405.0
11900.0,696.0,740.0,595.0,405.0
12000.0,696.0,740.0,596.0,405.0
12100.0,697.0,741.0,596.0,407.0
12200.0,697.0,741.0,596.0,406.0
12300.0,697.0,742.0,597.0,407.0
12400.0,698.0,742.0,597.0,406.0
12500.0,697.0,741.0,598.0,406.0
12600.0,697.0,742.0,597.0,407.0
12700.0,699.0,742.0,598.0,406.0
12800.0,699.0,742.0,598.0,407.0
12900.0,698.0,743.0,598.0,407.0
13000.0,698.0,743.0,599.0,408.0
13100.0,699.0,743.0,599.0,408.0
13200.0,699.0,744.0,599.0,407.0
13300.0,699.0,744.0,599.0,407.0
13400.0,699.0,744.0,600.0,407.0
13500.0,699.0,745.0,600.0,408.0
13600.0,699.0,744.0,600.0,408.0
13700.0,700.0,745.0,600.0,409.0
13800.0,700.0,744.0,601.0,408.0
13900.0,699.0,746.0,602.0,409.0
14000.0,700.0,745.0,602.0,408.0
14100.0,701.0,745.0,602.0,408.0
14200.0,701.0,745.0,602.0,408.0
14300.0,701.0,745.0,602.0,409.0
14400.0,701.0,745.0,603.0,409.0
14500.0,701.0,746.0,602.0,410.0
14600.0,702.0,746.0,604.0,410.0
14700.0,702.0,746.0,604.0,410.0
14800.0,702.0,747.0,604.0,410.0
14900.0,702.0,747.0,604.0,410.0
15000.0,703.0,747.0,603.0,410.0
15100.0,702.0,747.0,605.0,411.0
15200.0,703.0,747.0,605.0,411.0
15300.0,703.0,748.0,605.0,410.0
15400.0,703.0,747.0,606.0,411.0
15500.0,703.0,747.0,605.0,411.0
15600.0,703.0,748.0,606.0,411.0
15700.0,704.0,747.0,606.0,411.0
15800.0,704.0,748.0,607.0,412.0
15900.0,704.0,748.0,607.0,412.0
16000.0,704.0,748.0,607.0,412.0
16100.0,704.0,748.0,607.0,412.0
16200.0,705.0,750.0,608.0,413.0
16300.0,705.0,749.0,608.0,413.0
