timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,488.0,617.0,447.0,388.0
100.0,488.0,617.0,447.0,389.0
200.0,488.0,618.0,447.0,390.0
300.0,488.0,618.0,448.0,389.0
400.0,489.0,618.0,448.0,389.0
500.0,489.0,618.0,449.0,390.0
600.0,490.0,618.0,449.0,388.0
700.0,490.0,619.0,449.0,389.0
800.0,490.0,620.0,450.0,390.0
900.0,490.0,620.0,450.0,389.0
1000.0,490.0,620.0,451.0,389.0
1100.0,490.0,620.0,450.0,389.0
1200.0,491.0,621.0,451.0,390.0
1300.0,491.0,621.0,451.0,390.0
1400.0,492.0,621.0,452.0,390.0
1500.0,491.0,621.0,452.0,389.0
1600.0,492.0,621.0,452.0,390.0
1700.0,492.0,622.0,452.0,390.0
1800.0,492.0,622.0,452.0,390.0
1900.0,492.0,622.0,453.0,390.0
2000.0,493.0,623.0,453.0,389.0
2100.0,493.0,623.0,454.0,390.0
2200.0,493.0,624.0,453.0,389.0
2300.0,493.0,624.0,454.0,390.0
2400.0,493.0,623.0,454.0,390.0
2500.0,493.0,624.0,454.0,391.0
2600.0,494.0,624.0,455.0,391.0
2700.0,493.0,624.0,455.0,391.0
2800.0,494.0,625.0,455.0,392.0
2900.0,494.0,626.0,456.0,392.0
3000.0,495.0,625.0,457.0,391.0
3100.0,494.0,625.0,456.0,391.0
3200.0,494.0,626.0,457.0,390.0
3300.0,495.0,626.0,457.0,391.0
3400.0,494.0,626.0,458.0,391.0
3500.0,494.0,627.0,458.0,392.0
3600.0,494.0,626.0,457.0,392.0
3700.0,495.0,628.0,457.0,392.0
3800.0,495.0,627.0,458.0,392.0
3900.0,495.0,627.0,458.0,392.0
4000.0,496.0,627.0,459.0,392.0
4100.0,496.0,628.0,459.0,392.0
4200.0,496.0,628.0,459.0,392.0
4300.0,496.0,628.0,458.0,392.0
4400.0,497.0,628.0,459.0,391.0
4500.0,497.0,629.0,460.0,392.0
4600.0,496.0,629.0,459.0,393.0
4700.0,497.0,630.0,460.0,393.0
4800.0,497.0,630.0,460.0,393.0
4900.0,496.0,629.0,461.0,392.0
5000.0,497.0,629.0,461.0,393.0
5100.0,497.0,631.0,461.0,393.0
5200.0,497.0,630.0,461.0,393.0
5300.0,497.0,630.0,462.0,394.0
5400.0,498.0,631.0,462.0,393.0
5500.0,497.0,631.0,462.0,394.0
5600.0,497.0,631.0,463.0,394.0
5700.0,497.0,631.0,463.0,394.0
5800.0,498.0,632.0,463.0,393.0
5900.0,498.0,632.0,463.0,394.0
6000.0,498.0,632.0,464.0,393.0
6100.0,498.0,633.0,464.0,394.0
6200.0,498.0,633.0,464.0,395.0
6300.0,499.0,633.0,464.0,395.0
6400.0,498.0,633.0,464.0,395.0
6500.0,499.0,633.0,464.0,395.0
6600.0,499.0,633.0,465.0,394.0
6700.0,499.0,634.0,466.0,394.0
6800.0,499.0,635.0,465.0,395.0
6900.0,499.0,634.0,466.0,396.0
7000.0,500.0,634.0,466.0,395.0
7100.0,500.0,635.0,466.0,396.0
7200.0,500.0,636.0,466.0,396.0
