timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,517.2,629.6,430.7,251.3
100.0,531.2,693.4,470.6,274.7
200.0,495.7,577.1,343.2,215.3
300.0,491.2,576.8,339.4,222.3
400.0,539.8,658.3,453.1,267.3
500.0,480.5,538.0,298.1,204.8
600.0,538.5,720.0,498.7,282.0
700.0,541.4,674.6,438.5,259.9
800.0,519.7,643.3,427.5,251.3
900.0,521.8,624.5,418.9,249.2
1000.0,537.1,696.4,486.8,273.3
1100.0,514.5,601.0,376.4,228.6
1200.0,539.8,652.7,446.4,269.4
1300.0,523.7,672.1,448.4,263.4
1400.0,545.1,681.7,459.7,263.8
1500.0,530.2,667.9,464.4,265.2
1600.0,505.9,595.8,389.4,236.0
1700.0,550.0,743.0,511.0,286.4
1800.0,541.3,721.3,511.0,290.9
1900.0,521.9,653.3,439.2,258.6
2000.0,551.6,743.0,504.4,285.8
2100.0,553.2,735.6,511.0,283.9
2200.0,482.5,554.5,322.4,211.7
2300.0,534.5,703.0,469.8,271.1
2400.0,430.3,474.1,241.4,174.3
2500.0,460.9,515.0,282.9,199.3
2600.0,530.1,667.5,448.3,269.9
2700.0,492.3,555.9,326.0,210.7
2800.0,538.3,723.3,484.5,280.3
2900.0,457.5,491.7,259.3,193.5
3000.0,480.4,562.7,312.9,207.4
3100.0,500.7,582.0,363.6,225.5
3200.0,445.8,490.3,255.4,193.7
3300.0,529.5,658.7,448.0,260.1
3400.0,454.3,507.2,264.1,196.8
3500.0,425.3,467.2,239.3,174.9
3600.0,545.6,684.8,475.5,268.3
3700.0,449.0,494.8,257.1,193.4
3800.0,555.0,743.0,511.0,290.3
3900.0,534.9,704.4,483.2,281.4
4000.0,501.8,580.3,369.5,224.1
4100.0,538.7,706.0,495.3,281.5
4200.0,509.2,584.3,363.4,226.4
4300.0,470.1,521.1,288.8,201.4
4400.0,478.7,519.3,281.7,202.5
4500.0,509.9,587.0,344.6,217.5
4600.0,536.0,665.8,461.4,270.9
4700.0,455.3,515.2,264.1,195.5
4800.0,542.7,698.8,463.8,274.8
4900.0,551.9,716.1,475.7,279.1
5000.0,550.3,740.6,511.0,291.0
5100.0,440.6,493.3,253.0,193.6
5200.0,555.0,732.4,501.5,281.7
5300.0,531.2,672.0,443.5,266.2
5400.0,555.0,743.0,511.0,290.6
5500.0,526.7,649.6,423.1,258.8
5600.0,553.1,743.0,507.3,291.0
5700.0,482.7,525.0,288.2,204.3
5800.0,551.8,706.0,490.4,280.6
5900.0,546.4,743.0,509.5,288.4
6000.0,492.1,578.6,333.9,212.9
6100.0,507.8,607.0,377.4,232.5
6200.0,541.5,669.0,447.7,269.0
6300.0,524.8,646.9,446.1,261.5
6400.0,447.6,495.1,262.8,197.8
6500.0,549.0,726.1,497.4,276.8
6600.0,509.4,591.5,376.4,233.9
6700.0,547.3,724.0,487.4,276.1
6800.0,546.9,692.2,473.2,270.8
6900.0,517.9,631.8,408.6,253.8
7000.0,490.9,562.4,319.4,212.5
7100.0,524.8,632.0,433.8,259.9
7200.0,499.9,552.8,326.4,214.3
7300.0,498.8,567.3,342.8,222.3
7400.0,454.8,508.5,264.6,196.8
7500.0,527.2,645.3,432.5,259.0
7600.0,555.0,738.6,499.8,291.0
7700.0,555.0,733.2,508.2,287.7
7800.0,543.4,693.5,483.8,277.6
7900.0,485.4,547.0,316.9,209.1
8000.0,526.6,673.9,460.1,264.7
8100.0,509.1,590.4,368.6,225.7
8200.0,527.6,666.3,449.6,265.4
8300.0,542.8,715.1,497.4,286.0
8400.0,526.9,648.2,422.9,249.2
8500.0,543.5,704.8,484.2,281.0
8600.0,538.3,718.9,484.9,275.1
8700.0,488.9,554.9,306.3,206.9
8800.0,523.0,628.1,422.8,250.8
8900.0,542.0,689.9,460.1,269.2
9000.0,548.4,720.1,507.9,286.7
9100.0,494.5,559.3,317.8,207.8
9200.0,530.8,690.7,455.4,266.5
9300.0,525.1,640.4,423.6,251.1
9400.0,501.4,551.1,332.0,214.9
9500.0,522.0,645.6,441.6,258.4
9600.0,546.8,710.6,492.0,281.8
9700.0,555.0,726.1,507.0,285.4
9800.0,547.4,697.0,479.9,273.2
9900.0,499.1,597.4,353.9,221.5
10000.0,538.4,714.0,485.1,280.0
10100.0,547.7,733.9,510.7,282.9
10200.0,473.1,532.3,283.2,200.0
10300.0,551.8,695.6,484.1,280.4
10400.0,502.5,596.4,354.8,224.7
10500.0,551.8,708.8,474.4,279.5
10600.0,538.3,639.7,442.1,263.1
10700.0,550.4,685.8,472.3,273.4
10800.0,459.5,485.6,259.6,192.8
10900.0,540.4,660.6,449.1,266.8
11000.0,555.0,735.6,502.2,291.0
11100.0,543.2,679.2,464.4,273.3
11200.0,541.8,693.6,482.6,276.5
11300.0,486.2,528.5,295.4,207.8
11400.0,453.9,505.9,254.4,194.9
11500.0,490.4,560.1,321.2,215.0
11600.0,497.9,553.9,329.3,215.6
11700.0,462.2,505.1,271.9,199.9
11800.0,533.1,647.3,423.7,258.1
11900.0,516.0,617.5,405.7,247.2
12000.0,446.7,489.9,251.6,184.3
12100.0,542.8,672.2,463.0,266.0
12200.0,495.0,563.2,327.0,216.5
12300.0,506.7,597.4,370.4,231.4
12400.0,447.5,490.2,261.7,196.6
12500.0,515.7,591.2,378.2,229.5
12600.0,500.8,575.2,354.5,221.9
12700.0,540.8,676.9,475.0,269.7
12800.0,548.9,743.0,499.2,290.3
12900.0,547.6,737.9,505.4,291.0
13000.0,497.7,561.4,322.6,214.0
13100.0,511.7,620.0,400.2,244.1
13200.0,531.5,625.3,426.0,256.7
13300.0,526.7,680.6,468.7,269.5
13400.0,470.7,527.1,301.3,202.4
13500.0,524.9,627.9,428.9,251.3
13600.0,463.6,498.3,265.3,195.5
13700.0,528.2,670.1,447.5,265.9
13800.0,507.6,586.4,357.3,228.2
13900.0,515.0,629.1,395.8,241.3
14000.0,499.9,574.0,353.8,226.7
14100.0,547.4,731.0,497.5,283.3
14200.0,523.2,612.5,391.9,241.8
14300.0,531.6,661.3,435.4,260.6
14400.0,526.2,659.5,459.8,262.1
14500.0,507.7,602.6,373.6,237.3
14600.0,447.7,494.7,256.4,190.5
14700.0,541.2,723.8,506.3,288.9
14800.0,447.7,491.9,259.1,192.8
14900.0,537.5,703.7,489.5,281.9
15000.0,465.7,514.8,268.3,197.0
15100.0,510.7,581.9,348.7,221.6
15200.0,526.5,644.4,432.1,261.1
15300.0,548.0,691.0,488.9,281.6
15400.0,534.1,694.8,485.9,272.6
15500.0,532.9,673.0,457.0,268.4
15600.0,497.6,545.9,316.6,212.1
15700.0,555.0,726.1,487.7,277.7
15800.0,514.7,630.7,420.8,253.9
15900.0,509.8,591.2,365.4,223.7
16000.0,553.6,730.0,502.1,291.0
16100.0,503.7,605.7,378.3,238.8
16200.0,472.7,519.4,284.7,200.6
16300.0,515.1,596.0,382.6,236.7
16400.0,482.5,527.3,301.3,204.6
16500.0,527.1,642.7,426.1,263.8
16600.0,533.0,648.7,438.9,263.2
16700.0,554.5,734.4,499.1,289.7
