timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,573.0,811.9,557.2,330.0
100.0,585.0,791.5,548.3,320.7
200.0,585.1,799.0,567.3,329.3
300.0,578.3,813.3,575.0,327.6
400.0,583.5,789.0,557.0,314.0
500.0,573.0,819.0,559.7,335.2
600.0,582.5,816.3,564.7,332.5
700.0,573.4,797.9,560.2,329.8
800.0,573.0,800.5,546.0,317.9
900.0,585.0,801.2,557.1,325.1
1000.0,574.7,819.0,570.1,330.1
1100.0,586.0,808.4,568.8,334.4
1200.0,579.4,790.3,546.0,314.0
1300.0,573.5,804.9,558.8,327.6
1400.0,586.0,819.0,566.7,335.1
1500.0,577.6,816.7,557.0,324.7
1600.0,579.7,795.7,554.6,330.7
1700.0,586.0,801.4,548.5,318.5
1800.0,586.0,804.4,569.4,324.5
1900.0,584.8,798.6,568.0,322.3
2000.0,578.1,819.0,554.9,321.5
2100.0,586.0,794.6,561.7,325.9
2200.0,573.1,789.0,549.9,314.6
2300.0,586.0,809.2,575.0,331.0
2400.0,580.9,799.3,575.0,326.5
2500.0,579.2,800.2,554.3,323.0
2600.0,583.1,802.9,559.5,326.7
2700.0,586.0,815.3,563.4,326.0
2800.0,575.2,795.6,548.4,317.4
2900.0,586.0,816.6,553.3,322.0
3000.0,576.4,809.5,564.2,319.7
3100.0,577.4,819.0,574.4,331.1
3200.0,586.0,819.0,569.2,336.0
3300.0,575.3,789.0,553.1,321.5
3400.0,579.7,811.8,566.3,333.1
3500.0,586.0,809.5,575.0,331.6
3600.0,580.0,811.0,562.8,322.5
3700.0,573.0,816.9,558.9,326.7
3800.0,573.1,794.0,572.2,318.9
3900.0,586.0,813.9,569.6,336.0
4000.0,586.0,817.6,566.6,334.9
4100.0,583.3,801.5,546.0,314.0
4200.0,582.5,811.0,567.4,318.0
4300.0,586.0,807.4,568.3,324.3
4400.0,580.1,814.4,560.6,318.6
4500.0,580.6,819.0,559.7,334.9
4600.0,574.2,793.8,557.4,325.5
4700.0,586.0,805.4,547.9,320.2
4800.0,579.2,792.0,570.7,323.2
4900.0,573.7,796.1,553.0,325.4
5000.0,585.4,819.0,569.1,336.0
5100.0,584.1,804.7,564.7,332.6
5200.0,573.0,798.6,562.8,320.9
5300.0,573.0,801.7,558.9,315.9
5400.0,586.0,819.0,575.0,333.2
5500.0,580.2,806.5,574.0,326.5
5600.0,586.0,804.3,570.4,335.1
5700.0,573.0,809.2,566.4,319.6
5800.0,573.4,817.5,554.3,323.8
5900.0,584.1,817.0,559.0,330.2
6000.0,586.0,812.9,575.0,336.0
6100.0,573.0,798.1,549.7,314.0
6200.0,586.0,804.4,567.4,324.4
6300.0,576.1,806.5,575.0,326.9
6400.0,583.6,802.7,575.0,327.3
6500.0,586.0,819.0,569.1,336.0
6600.0,573.7,819.0,575.0,326.5
6700.0,586.0,818.5,554.1,327.5
6800.0,573.0,814.3,568.2,318.8
6900.0,584.3,819.0,571.7,331.3
7000.0,573.7,816.0,558.8,335.8
7100.0,586.0,789.0,564.3,315.9
7200.0,586.0,809.7,575.0,331.8
7300.0,581.0,806.4,568.6,331.8
7400.0,573.0,804.5,546.0,314.0
7500.0,582.7,794.9,556.7,314.0
7600.0,586.0,812.7,550.3,314.0
7700.0,573.0,793.5,553.7,319.6
7800.0,577.8,794.2,559.2,314.0
7900.0,578.8,812.3,564.3,328.3
8000.0,575.2,798.1,565.8,334.7
8100.0,583.1,789.0,561.4,315.8
8200.0,580.8,792.3,553.8,317.6
8300.0,586.0,812.5,559.8,325.3
8400.0,573.0,812.0,563.2,317.8
8500.0,574.6,819.0,569.7,327.4
8600.0,580.5,807.6,551.9,322.2
8700.0,575.3,797.5,558.8,320.4
8800.0,577.4,791.4,556.8,314.2
8900.0,586.0,802.6,554.3,323.4
9000.0,577.7,812.8,564.6,332.0
9100.0,586.0,814.9,570.6,336.0
9200.0,578.8,819.0,574.8,330.7
9300.0,584.7,797.3,553.6,320.7
9400.0,573.0,797.3,567.4,324.3
9500.0,583.5,802.6,570.4,329.3
9600.0,573.0,789.0,549.9,314.1
9700.0,586.0,797.6,555.4,332.1
9800.0,573.0,792.6,554.1,322.2
9900.0,573.0,804.9,547.7,316.7
10000.0,573.0,806.0,558.9,327.5
10100.0,575.5,796.6,561.1,322.1
10200.0,573.0,789.0,547.0,314.0
10300.0,573.0,794.4,558.2,317.5
10400.0,578.5,819.0,572.4,333.4
10500.0,586.0,812.1,575.0,327.6
10600.0,582.8,818.4,570.8,320.4
10700.0,586.0,802.5,570.7,326.8
10800.0,585.2,810.1,557.1,323.6
10900.0,584.9,809.5,571.4,329.1
11000.0,586.0,819.0,559.8,328.1
11100.0,575.4,805.9,549.3,317.0
11200.0,573.4,819.0,568.2,324.3
11300.0,586.0,819.0,567.2,333.6
11400.0,580.3,818.4,575.0,331.4
11500.0,579.0,802.9,555.5,321.1
11600.0,573.0,801.2,573.3,323.2
11700.0,577.3,801.1,546.9,316.9
11800.0,578.7,794.9,568.8,323.8
