timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,586.0,832.0,592.0,348.8
100.0,587.6,832.0,583.0,348.2
200.0,586.0,821.5,589.4,346.1
300.0,586.6,832.0,592.0,347.7
400.0,595.0,832.0,592.0,350.0
500.0,595.0,831.3,583.7,350.0
600.0,586.0,832.0,582.0,340.8
700.0,586.0,832.0,592.0,340.0
800.0,595.0,825.7,592.0,344.8
900.0,587.0,832.0,578.0,344.2
1000.0,595.0,824.3,592.0,346.9
1100.0,595.0,828.9,591.2,342.8
1200.0,586.0,821.0,578.5,347.7
1300.0,595.0,827.1,586.4,350.0
1400.0,587.4,821.0,592.0,350.0
1500.0,586.0,821.0,583.6,349.8
1600.0,593.7,821.0,587.6,346.3
1700.0,586.0,821.0,588.1,343.5
1800.0,595.0,827.0,587.5,338.6
1900.0,595.0,832.0,592.0,350.0
2000.0,595.0,829.2,580.0,343.8
2100.0,592.4,821.1,589.9,336.6
2200.0,588.9,832.0,588.9,350.0
2300.0,595.0,832.0,592.0,341.8
2400.0,586.0,831.2,589.7,339.1
2500.0,586.3,832.0,589.6,348.6
2600.0,586.0,832.0,578.0,347.4
2700.0,595.0,821.0,588.2,345.8
2800.0,586.0,821.2,578.0,345.0
2900.0,595.0,821.0,580.8,350.0
3000.0,595.0,832.0,582.8,342.8
3100.0,595.0,832.0,580.8,347.6
3200.0,595.0,827.0,588.6,350.0
3300.0,586.2,830.3,578.0,343.5
3400.0,589.1,832.0,590.7,344.0
3500.0,586.0,823.5,585.6,344.6
3600.0,592.0,832.0,592.0,339.5
3700.0,591.6,832.0,588.2,339.6
3800.0,586.0,821.0,581.4,336.8
3900.0,594.0,832.0,592.0,350.0
4000.0,593.0,823.1,578.0,345.6
4100.0,595.0,824.0,592.0,350.0
4200.0,589.0,823.0,587.9,340.6
4300.0,587.5,821.0,583.0,345.9
4400.0,595.0,832.0,591.1,338.7
4500.0,586.5,832.0,592.0,350.0
4600.0,586.0,832.0,582.3,344.3
4700.0,586.0,832.0,588.4,350.0
4800.0,586.0,831.7,578.0,336.0
4900.0,586.0,832.0,580.9,343.0
5000.0,586.0,822.4,583.9,338.4
5100.0,595.0,821.0,578.0,336.7
5200.0,594.0,832.0,589.7,344.8
5300.0,586.0,821.0,583.1,344.5
5400.0,595.0,821.0,578.0,336.0
5500.0,589.7,821.0,580.4,336.0
5600.0,595.0,823.9,578.6,342.0
5700.0,586.0,821.0,578.9,336.0
5800.0,591.1,832.0,592.0,350.0
5900.0,586.8,829.3,578.0,342.9
6000.0,587.8,824.6,580.8,345.3
6100.0,590.7,821.0,586.1,344.1
6200.0,593.3,830.9,589.1,341.6
6300.0,595.0,832.0,589.4,350.0
6400.0,595.0,832.0,591.3,347.4
6500.0,591.0,832.0,578.3,344.2
6600.0,595.0,832.0,592.0,350.0
6700.0,586.0,832.0,590.2,339.4
6800.0,589.8,830.2,583.0,337.6
6900.0,595.0,826.8,578.0,347.2
7000.0,586.0,821.0,578.0,342.5
7100.0,595.0,821.0,584.8,349.8
7200.0,590.9,832.0,578.0,336.0
7300.0,586.0,827.0,578.0,345.7
7400.0,587.3,832.0,589.4,336.0
7500.0,589.3,832.0,586.8,349.5
7600.0,595.0,832.0,590.2,346.3
7700.0,586.0,826.1,578.0,345.0
7800.0,595.0,821.0,581.2,349.1
7900.0,586.0,832.0,586.9,340.1
8000.0,591.9,832.0,578.0,347.4
8100.0,595.0,832.0,587.8,350.0
8200.0,595.0,821.0,588.5,339.1
8300.0,593.6,828.5,584.9,346.3
8400.0,595.0,821.0,592.0,338.0
8500.0,595.0,827.5,584.2,337.1
8600.0,595.0,826.7,586.4,347.4
8700.0,595.0,832.0,589.2,347.9
8800.0,595.0,832.0,592.0,349.6
8900.0,586.0,821.0,590.1,345.0
9000.0,595.0,821.0,580.2,346.9
9100.0,595.0,821.0,578.0,336.0
9200.0,586.0,830.7,578.0,345.0
9300.0,586.0,821.0,592.0,350.0
9400.0,595.0,823.6,581.7,343.9
9500.0,587.4,832.0,590.3,337.9
9600.0,586.6,832.0,592.0,341.8
9700.0,586.0,832.0,590.0,340.4
9800.0,595.0,832.0,585.6,350.0
9900.0,595.0,827.8,592.0,347.9
10000.0,595.0,832.0,579.3,350.0
10100.0,586.5,832.0,588.8,336.2
10200.0,595.0,821.0,582.6,337.6
10300.0,586.0,832.0,588.5,337.1
10400.0,594.6,832.0,587.8,345.1
10500.0,590.1,832.0,592.0,342.7
10600.0,595.0,829.0,592.0,350.0
10700.0,591.4,822.9,586.6,344.2
10800.0,586.0,826.5,587.3,343.0
10900.0,595.0,832.0,586.1,348.3
11000.0,595.0,828.2,587.5,343.6
11100.0,590.0,832.0,578.0,342.3
11200.0,592.3,832.0,592.0,342.8
11300.0,588.5,824.5,590.8,343.9
11400.0,586.0,832.0,592.0,340.1
11500.0,586.0,832.0,578.7,344.4
11600.0,595.0,821.0,578.0,339.8
11700.0,595.0,821.0,592.0,340.2
11800.0,587.9,821.0,591.7,338.1
11900.0,595.0,832.0,578.0,338.3
12000.0,595.0,821.0,592.0,338.2
12100.0,595.0,829.2,592.0,349.2
12200.0,595.0,832.0,589.1,350.0
12300.0,592.8,828.3,578.0,346.7
12400.0,595.0,821.0,587.5,350.0
12500.0,595.0,832.0,580.9,343.9
12600.0,595.0,822.5,592.0,350.0
12700.0,593.5,824.9,590.2,340.9
12800.0,595.0,828.4,591.2,343.1
12900.0,591.4,821.0,592.0,350.0
13000.0,595.0,821.0,585.6,350.0
13100.0,586.0,832.0,589.6,350.0
13200.0,586.0,825.4,578.0,344.0
13300.0,589.9,832.0,590.8,339.4
13400.0,595.0,832.0,592.0,348.6
13500.0,595.0,832.0,583.3,349.5
13600.0,590.4,826.4,592.0,344.5
13700.0,586.0,832.0,588.6,345.6
13800.0,586.0,832.0,578.0,344.0
13900.0,595.0,823.8,592.0,349.5
14000.0,595.0,821.0,581.0,350.0
14100.0,591.8,830.4,592.0,345.1
14200.0,595.0,832.0,586.5,350.0
14300.0,586.0,821.0,580.4,339.4
14400.0,591.4,832.0,589.1,342.7
14500.0,595.0,822.2,586.9,350.0
14600.0,594.4,832.0,578.0,347.8
14700.0,586.0,823.3,578.0,345.4
14800.0,595.0,823.4,588.9,344.4
14900.0,593.5,832.0,578.0,350.0
15000.0,591.1,832.0,583.6,336.0
15100.0,587.1,832.0,586.4,347.0
15200.0,586.0,832.0,592.0,348.0
15300.0,594.7,832.0,587.0,350.0
15400.0,590.4,822.8,578.3,350.0
15500.0,594.9,821.1,578.0,337.6
15600.0,586.0,830.4,578.0,337.7
15700.0,595.0,829.5,585.3,350.0
15800.0,586.0,821.0,581.1,344.3
15900.0,586.0,828.4,592.0,339.7
16000.0,595.0,826.9,586.8,343.0
16100.0,586.1,829.1,592.0,350.0
16200.0,588.0,821.0,578.0,336.0
16300.0,595.0,832.0,578.0,349.1
16400.0,586.0,821.0,582.0,336.0
16500.0,594.1,829.4,588.8,350.0
16600.0,586.0,821.0,582.2,343.6
16700.0,591.1,827.7,592.0,346.0
16800.0,592.9,821.0,592.0,346.0
16900.0,595.0,832.0,592.0,350.0
17000.0,586.0,821.0,582.4,336.0
17100.0,589.7,832.0,580.6,342.3
17200.0,586.0,826.6,580.5,338.0
17300.0,595.0,830.9,581.0,344.3
17400.0,587.1,828.8,592.0,345.2
17500.0,586.1,832.0,586.1,340.3
17600.0,586.7,832.0,592.0,341.6
