timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,754.0,849.0,752.0,386.0
100.0,759.0,849.0,766.0,384.6
200.0,759.0,854.1,761.7,383.2
300.0,754.0,849.0,766.0,385.1
400.0,754.0,849.0,752.0,367.6
500.0,754.0,857.0,759.7,386.0
600.0,757.7,857.0,766.0,381.3
700.0,759.0,849.0,765.5,369.4
800.0,759.0,849.0,758.8,376.2
900.0,754.0,857.0,757.8,368.7
1000.0,757.5,857.0,761.5,376.0
1100.0,754.0,857.0,766.0,380.2
1200.0,759.0,857.0,764.7,375.9
1300.0,754.0,857.0,766.0,373.6
1400.0,759.0,849.0,766.0,372.0
1500.0,754.0,849.0,766.0,386.0
1600.0,754.0,857.0,755.7,383.7
1700.0,754.0,849.0,752.0,386.0
1800.0,756.8,857.0,760.5,382.0
1900.0,754.0,849.0,760.8,369.2
2000.0,754.0,849.0,765.8,383.1
2100.0,759.0,849.0,766.0,378.7
2200.0,759.0,849.0,766.0,382.8
2300.0,758.6,857.0,766.0,386.0
2400.0,759.0,849.0,766.0,377.2
2500.0,759.0,857.0,766.0,380.2
2600.0,754.5,857.0,766.0,378.7
2700.0,759.0,855.6,753.8,376.6
2800.0,759.0,857.0,752.0,377.4
2900.0,754.0,857.0,752.2,385.1
3000.0,759.0,849.0,757.9,376.5
3100.0,759.0,856.0,764.9,378.6
3200.0,754.0,849.0,752.0,382.0
3300.0,759.0,857.0,756.3,382.6
3400.0,756.1,850.2,766.0,384.9
3500.0,759.0,849.0,766.0,386.0
3600.0,759.0,849.0,754.0,372.9
3700.0,757.1,857.0,753.9,376.7
3800.0,754.0,855.4,763.6,383.2
3900.0,754.0,857.0,766.0,383.0
4000.0,759.0,849.0,766.0,385.8
4100.0,754.0,857.0,763.4,385.9
4200.0,754.0,854.4,753.7,386.0
4300.0,754.0,849.0,759.7,374.6
4400.0,759.0,857.0,753.6,381.6
4500.0,754.0,849.0,752.0,386.0
4600.0,759.0,849.0,766.0,383.8
4700.0,758.7,849.0,752.0,370.0
4800.0,759.0,849.0,752.0,386.0
4900.0,759.0,855.3,752.0,374.7
5000.0,756.4,849.0,766.0,378.3
5100.0,759.0,857.0,752.0,381.5
5200.0,759.0,849.0,761.0,384.5
5300.0,759.0,857.0,765.0,368.4
