timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,664.3,806.9,577.0,392.2
100.0,655.4,783.7,509.7,406.1
200.0,669.9,820.5,541.6,442.7
300.0,678.0,814.8,540.2,462.0
400.0,658.9,806.0,565.8,380.3
500.0,651.1,804.7,566.5,378.7
600.0,678.0,823.2,574.0,440.1
700.0,667.3,806.1,579.0,380.4
800.0,666.1,815.1,576.6,395.8
900.0,641.6,769.2,482.5,392.7
1000.0,621.0,735.5,443.4,331.3
1100.0,660.5,801.4,532.9,434.3
1200.0,650.9,764.7,480.2,382.4
1300.0,653.9,810.8,567.4,391.8
1400.0,653.9,782.1,510.3,424.1
1500.0,678.0,807.3,558.4,450.2
1600.0,667.2,807.8,573.8,389.4
1700.0,619.3,683.5,384.7,331.0
1800.0,664.3,828.0,570.4,414.2
1900.0,668.3,826.8,579.0,392.8
2000.0,654.0,828.0,568.7,393.3
2100.0,659.2,805.6,574.3,390.3
2200.0,678.0,807.5,578.6,413.2
2300.0,678.0,828.0,579.0,385.5
2400.0,678.0,815.8,563.2,457.3
2500.0,678.0,822.5,564.8,423.8
2600.0,664.0,792.0,530.9,438.9
2700.0,650.2,808.9,572.7,390.2
2800.0,678.0,828.0,558.4,440.4
2900.0,669.8,774.3,524.1,405.9
3000.0,616.4,698.4,416.7,341.7
3100.0,673.5,815.7,564.7,425.7
3200.0,657.1,811.1,520.4,436.5
3300.0,661.7,828.0,567.3,383.4
3400.0,655.2,761.7,493.6,390.6
3500.0,662.8,825.4,579.0,389.3
3600.0,678.0,816.9,572.1,418.0
3700.0,668.3,807.9,578.6,388.9
3800.0,650.9,825.4,579.0,369.2
3900.0,629.3,718.1,458.3,338.6
4000.0,624.1,711.9,441.4,338.1
4100.0,659.6,816.6,569.8,391.1
4200.0,671.6,821.0,576.4,391.9
4300.0,654.9,797.1,579.0,363.8
4400.0,678.0,815.9,557.5,446.1
4500.0,658.9,825.7,579.0,400.5
4600.0,668.4,827.5,561.1,434.3
4700.0,673.7,794.1,533.4,435.2
4800.0,678.0,819.7,579.0,423.5
4900.0,632.5,719.2,428.9,349.1
5000.0,678.0,828.0,568.1,436.0
5100.0,669.8,802.3,575.9,386.0
5200.0,671.1,797.4,572.7,359.4
5300.0,678.0,794.6,531.6,437.5
5400.0,648.2,796.4,563.2,372.1
5500.0,678.0,828.0,576.8,427.0
5600.0,663.8,774.7,488.5,385.7
5700.0,663.9,816.4,579.0,427.5
5800.0,667.3,828.0,573.6,423.6
5900.0,656.8,803.4,569.6,382.2
6000.0,623.4,717.6,431.5,333.7
6100.0,664.8,828.0,564.4,442.9
6200.0,678.0,828.0,576.3,409.4
6300.0,659.6,801.8,579.0,387.5
6400.0,674.4,822.6,579.0,381.5
6500.0,662.5,827.3,579.0,397.0
6600.0,659.2,762.2,487.1,388.0
6700.0,668.9,821.3,579.0,360.0
6800.0,676.4,812.1,570.8,424.6
6900.0,678.0,813.8,568.4,403.7
7000.0,673.9,813.4,579.0,404.2
7100.0,657.2,792.7,522.7,430.7
7200.0,666.7,825.7,570.6,453.4
7300.0,664.3,818.1,572.5,396.6
7400.0,666.4,812.3,569.5,429.2
7500.0,619.8,725.1,418.5,335.6
7600.0,678.0,816.4,568.7,399.4
7700.0,658.2,784.1,512.3,424.5
7800.0,678.0,828.0,566.1,406.1
7900.0,652.7,822.3,563.3,361.4
8000.0,630.2,709.6,428.9,341.7
8100.0,663.0,828.0,568.8,381.2
8200.0,658.2,810.5,567.6,372.6
8300.0,678.0,814.2,559.3,422.9
8400.0,663.0,810.5,564.7,410.0
8500.0,678.0,807.5,562.3,434.9
8600.0,655.6,828.0,574.1,400.8
8700.0,678.0,802.4,541.1,462.0
8800.0,678.0,816.8,562.2,434.6
8900.0,662.2,811.1,550.7,445.8
9000.0,614.9,667.7,361.4,341.4
9100.0,667.8,817.7,576.6,432.6
9200.0,665.8,810.0,567.4,389.8
9300.0,676.0,812.6,558.2,450.0
9400.0,667.1,781.3,533.9,423.5
9500.0,678.0,813.6,575.3,439.9
9600.0,663.9,828.0,565.0,424.5
9700.0,667.4,825.3,565.5,377.1
9800.0,671.6,803.0,579.0,392.4
9900.0,659.5,806.1,571.9,382.5
10000.0,662.8,828.0,558.8,425.3
10100.0,661.3,810.0,578.3,401.3
10200.0,623.0,688.5,387.5,334.1
10300.0,678.0,820.5,579.0,416.5
10400.0,657.6,801.0,573.7,381.5
10500.0,635.0,714.5,437.0,339.8
10600.0,645.8,826.1,563.3,372.4
10700.0,665.3,823.1,579.0,385.0
10800.0,666.5,828.0,579.0,413.0
10900.0,675.1,828.0,579.0,386.7
11000.0,671.2,813.2,579.0,390.1
11100.0,666.9,812.1,568.4,378.6
11200.0,596.0,654.3,349.0,340.4
11300.0,670.4,828.0,566.8,394.7
11400.0,678.0,822.5,575.2,419.0
11500.0,668.7,804.7,565.6,378.1
11600.0,675.7,819.1,569.5,395.9
11700.0,678.0,807.0,561.0,447.7
11800.0,652.0,817.8,567.6,404.9
11900.0,671.0,821.4,579.0,387.4
12000.0,663.2,810.9,564.6,432.3
12100.0,678.0,814.3,542.4,436.7
12200.0,643.4,805.4,579.0,387.8
12300.0,670.4,800.1,565.2,372.4
12400.0,678.0,828.0,576.2,426.3
12500.0,649.8,820.9,568.4,375.6
12600.0,678.0,822.8,568.3,455.1
12700.0,645.7,804.1,579.0,388.1
12800.0,674.1,828.0,553.7,441.0
12900.0,655.1,811.1,579.0,397.6
13000.0,670.6,802.3,579.0,392.6
13100.0,666.8,807.7,579.0,401.5
13200.0,611.9,664.1,362.0,342.1
13300.0,626.3,726.1,434.9,337.3
13400.0,664.5,828.0,564.8,405.0
13500.0,677.5,797.9,531.8,419.0
13600.0,655.8,828.0,572.7,372.5
13700.0,658.5,809.1,579.0,391.5
13800.0,659.7,828.0,567.6,390.8
13900.0,645.5,761.7,488.4,396.8
14000.0,616.7,694.9,401.8,337.3
14100.0,657.3,806.9,574.0,370.2
14200.0,599.8,664.5,372.0,344.2
14300.0,665.7,820.4,579.0,406.4
14400.0,678.0,810.3,546.0,431.3
14500.0,676.2,807.6,537.0,435.9
14600.0,668.8,809.7,577.3,398.8
14700.0,672.2,828.0,568.7,432.0
14800.0,618.6,722.4,418.3,334.5
14900.0,628.0,714.7,412.9,334.7
