timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,648.5,816.5,570.5,429.8
100.0,644.4,805.4,567.6,383.9
200.0,648.7,820.0,565.0,391.8
300.0,652.0,816.8,575.3,402.3
400.0,649.2,804.1,572.1,370.1
500.0,644.5,820.0,565.0,397.8
600.0,650.7,817.7,576.7,377.4
700.0,641.0,820.0,570.2,393.8
800.0,651.7,805.4,566.6,399.6
900.0,641.0,813.5,565.0,362.4
1000.0,652.0,809.3,577.0,400.9
1100.0,641.0,820.0,570.9,376.9
1200.0,645.6,820.0,568.6,392.4
1300.0,648.8,818.7,574.4,393.1
1400.0,641.0,815.6,574.1,399.1
1500.0,641.0,803.0,569.1,389.9
1600.0,652.0,814.5,565.0,360.7
1700.0,647.8,816.3,575.0,373.3
1800.0,641.0,805.0,565.0,383.3
1900.0,652.0,808.0,565.0,356.0
2000.0,643.7,820.0,566.8,408.5
2100.0,642.9,803.0,573.5,373.8
2200.0,652.0,803.0,569.5,379.5
2300.0,652.0,820.0,565.0,384.0
2400.0,648.7,820.0,565.0,380.6
2500.0,641.0,814.5,570.3,386.5
2600.0,641.0,803.8,565.0,391.1
2700.0,645.8,804.3,567.2,373.5
2800.0,646.3,814.0,577.0,420.5
2900.0,652.0,803.0,569.1,370.9
3000.0,641.0,803.0,565.0,404.8
3100.0,652.0,820.0,565.0,382.7
3200.0,651.1,811.7,574.9,372.8
3300.0,641.0,803.0,573.6,374.2
3400.0,649.3,805.2,571.3,382.2
3500.0,652.0,810.9,565.3,369.8
3600.0,652.0,803.0,565.0,378.7
3700.0,646.7,820.0,572.2,377.8
3800.0,641.0,818.5,577.0,380.3
3900.0,641.0,815.2,565.0,400.8
4000.0,651.7,816.2,565.6,376.7
4100.0,652.0,803.0,565.0,375.1
4200.0,652.0,820.0,577.0,391.1
4300.0,649.3,820.0,577.0,388.7
4400.0,650.7,817.1,565.0,385.2
4500.0,641.0,820.0,569.3,392.0
4600.0,641.0,812.7,568.4,367.7
4700.0,644.0,820.0,573.7,391.4
4800.0,648.7,820.0,569.9,378.2
4900.0,641.5,803.0,577.0,398.2
5000.0,641.2,820.0,576.0,368.5
5100.0,641.0,805.9,577.0,385.5
5200.0,641.4,807.1,577.0,393.5
5300.0,643.7,808.4,577.0,392.9
5400.0,652.0,820.0,570.0,424.6
5500.0,641.0,820.0,570.8,388.7
5600.0,641.0,812.0,576.1,397.3
5700.0,641.0,803.0,565.0,363.7
5800.0,652.0,803.3,565.0,379.3
5900.0,642.6,810.3,565.7,382.4
6000.0,651.0,812.0,568.2,400.1
6100.0,642.8,820.0,566.7,372.5
6200.0,652.0,807.2,577.0,376.6
6300.0,648.2,807.6,567.6,400.2
6400.0,643.0,813.8,565.0,396.2
6500.0,642.8,820.0,565.0,376.0
6600.0,641.0,820.0,577.0,394.0
6700.0,650.6,803.0,565.0,369.4
6800.0,641.0,820.0,577.0,396.0
6900.0,650.0,820.0,565.0,394.3
7000.0,641.0,811.9,565.0,385.1
7100.0,641.0,814.5,572.0,385.7
7200.0,641.0,820.0,577.0,394.1
7300.0,652.0,803.4,571.7,396.3
7400.0,643.1,820.0,576.9,399.7
7500.0,641.0,813.2,565.0,387.0
7600.0,642.9,806.1,565.0,383.0
7700.0,641.0,812.3,565.0,414.0
7800.0,641.0,803.0,565.0,364.4
7900.0,644.4,814.5,575.0,369.0
8000.0,652.0,803.0,577.0,356.0
8100.0,648.1,803.0,571.8,400.2
8200.0,641.0,808.8,577.0,375.8
8300.0,642.6,820.0,575.1,394.4
8400.0,650.6,812.3,574.3,389.1
8500.0,649.3,820.0,565.0,366.2
8600.0,647.7,819.9,565.0,392.4
8700.0,652.0,803.0,565.0,382.1
8800.0,641.0,812.9,571.2,419.3
8900.0,652.0,820.0,565.0,371.2
9000.0,651.3,803.0,565.0,399.3
9100.0,652.0,820.0,570.6,377.1
9200.0,646.7,803.0,565.8,403.9
9300.0,641.4,807.0,577.0,399.7
9400.0,652.0,812.0,565.0,378.9
9500.0,652.0,810.7,573.4,385.2
9600.0,641.0,803.0,572.6,375.2
9700.0,652.0,820.0,565.0,381.3
9800.0,645.4,820.0,577.0,407.5
9900.0,645.8,812.3,577.0,397.8
10000.0,644.9,803.0,571.3,358.1
10100.0,641.0,803.0,577.0,396.4
10200.0,645.1,803.0,567.6,361.9
10300.0,652.0,819.8,565.0,369.9
10400.0,652.0,820.0,577.0,396.7
10500.0,645.4,803.9,567.0,357.3
10600.0,641.0,819.4,577.0,394.7
10700.0,652.0,813.9,577.0,371.3
10800.0,641.0,817.6,573.8,400.6
10900.0,641.0,820.0,577.0,394.3
11000.0,649.1,811.3,577.0,373.2
11100.0,652.0,806.7,565.0,365.8
11200.0,644.0,818.8,571.0,375.7
11300.0,652.0,808.5,565.0,365.2
11400.0,644.4,820.0,569.2,365.1
11500.0,641.0,814.8,565.6,401.3
11600.0,641.0,819.1,570.5,392.0
11700.0,641.0,816.0,577.0,396.6
11800.0,641.0,809.8,565.0,381.9
11900.0,644.7,818.6,577.0,435.0
12000.0,642.7,819.7,569.4,399.1
12100.0,641.0,804.6,570.7,380.3
