timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,644.6,807.0,568.8,404.4
100.0,640.0,824.8,566.0,390.2
200.0,651.4,813.6,579.1,364.0
300.0,649.9,812.1,587.0,436.5
400.0,642.5,809.2,570.5,398.5
500.0,643.4,823.4,582.6,387.1
600.0,649.1,806.0,576.2,401.5
700.0,640.0,811.3,577.7,367.6
800.0,640.0,814.4,578.8,384.9
900.0,644.9,806.0,579.2,427.9
1000.0,652.2,820.6,577.7,383.3
1100.0,653.0,824.0,587.0,416.8
1200.0,646.6,812.8,578.2,405.5
1300.0,649.2,823.9,581.0,378.3
1400.0,645.2,825.0,584.1,423.9
1500.0,646.6,806.0,576.5,393.7
1600.0,640.0,817.5,566.0,387.3
1700.0,643.6,806.0,566.0,385.4
1800.0,653.0,806.0,568.2,418.4
1900.0,653.0,823.6,587.0,412.5
2000.0,652.7,813.8,581.9,421.8
2100.0,643.6,816.2,566.0,392.3
2200.0,640.0,806.0,572.3,383.2
2300.0,653.0,818.3,585.8,425.5
2400.0,653.0,806.0,575.7,414.9
2500.0,643.8,818.6,577.4,407.1
2600.0,651.3,817.4,573.0,421.8
2700.0,653.0,808.5,587.0,416.6
2800.0,651.6,806.0,580.1,418.7
2900.0,652.9,806.0,566.0,391.3
3000.0,645.8,809.8,575.2,420.1
3100.0,650.7,825.0,575.5,394.5
3200.0,650.6,806.0,568.3,378.9
3300.0,649.2,825.0,572.4,425.1
3400.0,640.0,806.0,576.8,385.3
3500.0,640.0,814.8,570.9,383.4
3600.0,640.0,806.0,575.9,366.9
3700.0,640.0,810.2,575.9,373.9
3800.0,650.8,808.8,566.0,388.9
3900.0,647.4,807.1,573.6,387.3
4000.0,653.0,818.7,566.0,405.3
4100.0,640.0,825.0,585.4,424.4
4200.0,649.3,817.4,566.0,384.7
4300.0,640.0,818.7,574.0,411.9
4400.0,646.2,806.0,566.0,376.7
4500.0,650.3,811.7,580.1,398.8
4600.0,650.5,825.0,576.2,411.7
4700.0,649.8,806.0,575.9,397.0
4800.0,640.0,806.0,566.0,365.9
4900.0,651.6,806.0,566.4,379.5
5000.0,640.0,818.0,569.3,381.0
5100.0,643.2,822.5,582.2,390.4
5200.0,640.0,825.0,572.1,404.3
5300.0,648.8,806.0,569.1,411.9
5400.0,640.1,815.9,579.7,392.8
5500.0,648.6,806.0,582.1,406.5
5600.0,645.5,810.4,575.6,380.1
5700.0,643.6,823.6,566.0,371.9
5800.0,640.0,806.0,566.0,392.2
5900.0,653.0,807.3,587.0,404.7
6000.0,653.0,806.0,583.5,412.6
6100.0,652.6,806.0,566.0,381.0
6200.0,640.0,808.8,581.0,385.3
6300.0,653.0,806.0,566.0,391.9
6400.0,640.0,825.0,573.6,417.7
6500.0,645.8,825.0,587.0,418.4
6600.0,640.0,806.0,567.4,385.6
6700.0,640.3,806.0,568.2,386.3
6800.0,643.1,825.0,573.2,416.1
6900.0,653.0,825.0,566.0,393.2
7000.0,646.8,821.3,579.6,431.5
7100.0,643.4,814.5,574.9,422.0
7200.0,641.3,806.0,579.2,393.5
7300.0,653.0,813.9,587.0,412.5
7400.0,644.2,822.8,587.0,436.3
7500.0,647.8,806.0,569.0,414.1
7600.0,640.0,812.6,580.2,419.2
7700.0,643.8,813.1,566.5,383.6
7800.0,640.0,825.0,577.5,427.2
7900.0,640.0,806.0,568.6,380.4
8000.0,640.0,806.0,575.3,379.5
8100.0,646.7,815.1,569.1,387.2
8200.0,646.5,824.4,578.4,389.7
8300.0,640.0,825.0,566.0,417.3
8400.0,643.4,818.8,574.7,415.7
8500.0,652.0,807.1,575.8,407.7
8600.0,653.0,807.9,570.3,423.5
8700.0,641.8,819.3,571.7,416.7
8800.0,640.0,807.6,575.2,427.9
8900.0,640.0,811.9,572.3,403.3
9000.0,640.0,825.0,574.6,413.9
9100.0,642.4,814.2,575.6,390.2
9200.0,651.4,812.5,582.1,410.5
9300.0,651.7,819.1,577.0,364.0
9400.0,653.0,810.8,584.0,431.1
9500.0,640.0,806.0,572.8,388.1
9600.0,640.0,809.5,581.8,390.0
9700.0,651.2,806.0,566.0,392.1
9800.0,653.0,825.0,580.1,420.7
9900.0,645.8,819.7,577.8,373.7
10000.0,649.2,821.7,579.2,377.6
10100.0,640.0,806.0,571.4,382.7
10200.0,640.0,820.7,576.0,398.2
10300.0,640.0,825.0,583.0,438.0
10400.0,650.3,806.0,576.6,378.2
10500.0,644.0,821.9,573.6,399.7
10600.0,640.0,822.2,573.0,392.6
10700.0,640.0,810.0,566.0,364.0
10800.0,643.8,806.0,581.5,385.0
10900.0,653.0,813.1,582.2,396.5
11000.0,653.0,807.8,569.0,429.4
11100.0,643.5,814.9,570.2,401.2
11200.0,640.4,823.1,566.5,377.4
11300.0,653.0,825.0,587.0,422.7
11400.0,652.7,818.6,566.0,374.6
11500.0,640.0,822.2,579.7,414.7
11600.0,653.0,807.6,573.0,423.9
11700.0,640.0,825.0,575.4,379.3
11800.0,651.6,816.0,587.0,429.0
11900.0,652.4,806.0,566.1,416.4
12000.0,640.0,806.0,574.6,409.5
12100.0,645.3,816.2,566.0,384.4
12200.0,640.0,806.0,583.0,392.7
12300.0,640.0,819.4,578.3,370.3
12400.0,640.1,806.0,566.0,374.2
12500.0,640.0,820.1,587.0,436.2
12600.0,647.4,806.0,566.5,391.0
12700.0,647.2,819.8,577.3,427.7
12800.0,653.0,809.3,572.9,413.8
12900.0,640.0,806.0,569.2,388.3
13000.0,641.3,815.8,577.5,428.9
