timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,653.0,814.0,588.0,256.0
100.0,645.0,808.6,597.0,276.9
200.0,649.6,814.0,588.8,272.5
300.0,645.0,806.3,601.0,284.6
400.0,646.7,814.0,594.2,282.9
500.0,653.0,814.0,588.0,283.7
600.0,645.9,809.2,592.6,278.6
700.0,645.2,814.0,588.0,270.2
800.0,645.0,803.0,594.6,275.1
900.0,653.0,810.1,590.4,261.1
1000.0,645.4,810.7,594.7,260.8
1100.0,653.0,803.0,588.0,278.7
1200.0,650.1,814.0,597.1,274.8
1300.0,653.0,803.0,596.2,272.5
1400.0,645.0,808.9,590.3,272.8
1500.0,649.1,814.0,593.6,271.7
1600.0,653.0,813.3,594.3,283.0
1700.0,645.0,814.0,590.8,293.6
1800.0,648.8,814.0,588.0,274.6
1900.0,651.0,814.0,599.1,276.1
2000.0,653.0,810.0,601.0,282.3
2100.0,653.0,805.6,592.2,272.9
2200.0,645.0,814.0,597.9,275.7
2300.0,645.0,803.0,588.0,260.2
2400.0,653.0,814.0,599.4,286.3
2500.0,653.0,803.5,588.0,258.3
2600.0,653.0,814.0,588.0,281.6
2700.0,653.0,814.0,601.0,278.6
2800.0,653.0,803.5,591.0,271.7
2900.0,653.0,814.0,588.2,278.2
3000.0,645.0,814.0,600.5,278.8
3100.0,645.0,803.0,596.9,258.9
3200.0,653.0,814.0,599.3,256.0
3300.0,645.0,803.0,601.0,287.6
3400.0,653.0,814.0,601.0,282.5
3500.0,645.0,803.0,593.3,264.1
3600.0,653.0,811.4,601.0,282.4
3700.0,645.0,803.0,588.0,256.1
3800.0,646.0,805.6,601.0,278.6
3900.0,653.0,813.9,601.0,277.9
4000.0,653.0,807.2,601.0,274.6
4100.0,645.0,803.0,601.0,279.3
4200.0,645.0,803.0,600.6,269.7
4300.0,645.0,803.0,595.9,277.2
4400.0,645.0,814.0,601.0,268.7
4500.0,645.0,812.7,601.0,272.0
4600.0,645.0,814.0,592.1,274.1
4700.0,653.0,814.0,591.2,284.3
4800.0,652.8,814.0,591.7,260.9
4900.0,645.0,814.0,598.2,271.1
5000.0,653.0,814.0,598.1,267.8
5100.0,645.4,803.0,601.0,276.0
5200.0,646.3,808.6,588.5,271.1
5300.0,653.0,813.9,588.8,278.1
5400.0,646.1,814.0,601.0,286.2
5500.0,645.0,814.0,598.6,293.6
5600.0,653.0,813.4,601.0,278.0
5700.0,653.0,803.0,598.0,261.6
5800.0,651.2,811.2,600.4,284.8
5900.0,653.0,803.2,588.0,276.6
6000.0,651.2,803.0,588.0,256.0
6100.0,651.7,803.0,598.1,259.7
6200.0,648.8,810.1,599.4,279.7
6300.0,646.4,806.7,593.6,281.0
6400.0,653.0,803.0,588.0,257.7
6500.0,645.0,814.0,588.0,289.0
6600.0,653.0,814.0,601.0,275.7
6700.0,653.0,814.0,601.0,280.9
6800.0,647.2,814.0,601.0,277.0
6900.0,645.0,814.0,596.9,276.6
7000.0,653.0,809.0,588.0,260.8
7100.0,651.6,804.8,588.0,261.7
7200.0,653.0,813.7,598.3,261.6
7300.0,653.0,814.0,601.0,287.0
7400.0,645.0,814.0,591.9,277.4
7500.0,645.0,803.0,588.9,265.3
7600.0,653.0,803.0,601.0,279.1
7700.0,653.0,814.0,595.7,288.1
7800.0,646.5,803.0,599.9,257.8
7900.0,653.0,814.0,601.0,286.7
8000.0,645.1,811.7,600.7,258.1
8100.0,645.0,803.0,588.0,284.0
8200.0,648.2,803.0,588.3,259.8
8300.0,645.0,808.8,601.0,285.5
8400.0,648.1,812.0,590.1,258.8
8500.0,649.1,811.7,596.1,275.6
8600.0,645.0,813.0,592.2,281.6
8700.0,653.0,803.0,596.7,272.3
8800.0,653.0,814.0,601.0,268.0
8900.0,651.7,804.9,600.8,281.0
9000.0,653.0,803.0,595.6,262.8
9100.0,653.0,808.8,588.0,263.8
9200.0,653.0,805.1,597.3,279.7
9300.0,653.0,813.4,600.0,274.7
9400.0,645.0,813.2,595.9,259.2
9500.0,645.0,812.9,595.5,293.3
9600.0,651.2,814.0,596.8,293.9
9700.0,645.0,814.0,601.0,289.2
9800.0,645.0,803.0,601.0,291.6
9900.0,653.0,813.6,599.3,277.0
10000.0,645.0,803.0,601.0,282.5
10100.0,653.0,813.9,599.3,288.3
10200.0,648.6,803.7,588.0,265.4
10300.0,653.0,803.5,589.3,275.9
10400.0,653.0,807.2,601.0,272.0
10500.0,653.0,807.8,601.0,276.8
10600.0,645.8,803.0,590.8,279.6
10700.0,652.4,814.0,601.0,278.8
10800.0,645.0,803.5,597.1,286.6
10900.0,653.0,814.0,595.4,272.8
11000.0,646.1,807.5,595.0,281.7
11100.0,648.2,804.1,588.0,278.5
11200.0,645.0,814.0,601.0,269.8
