timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,640.0,812.0,597.0,280.6
100.0,647.8,809.2,589.0,272.0
200.0,651.0,800.0,597.0,274.5
300.0,651.0,801.7,589.3,270.8
400.0,640.0,812.0,589.0,291.0
500.0,651.0,800.0,589.0,270.4
600.0,640.0,812.0,589.0,271.7
700.0,651.0,810.1,589.0,264.1
800.0,651.0,805.0,589.0,271.5
900.0,651.0,800.0,593.5,272.3
1000.0,651.0,800.0,589.0,262.8
1100.0,648.2,802.4,589.0,278.3
1200.0,640.0,812.0,597.0,272.1
1300.0,640.8,812.0,597.0,276.1
1400.0,640.0,812.0,589.0,286.7
1500.0,651.0,808.8,597.0,267.2
1600.0,649.5,800.0,589.0,260.0
1700.0,640.0,803.7,589.0,271.4
1800.0,647.6,812.0,591.9,260.0
1900.0,651.0,808.6,597.0,275.8
2000.0,640.0,800.0,594.7,262.3
2100.0,644.1,812.0,597.0,276.8
2200.0,642.4,812.0,589.0,269.6
2300.0,651.0,802.6,590.3,274.2
2400.0,643.4,806.8,589.0,270.8
2500.0,640.0,808.7,589.0,279.5
2600.0,651.0,807.4,589.0,273.8
2700.0,651.0,802.9,597.0,279.0
2800.0,651.0,800.0,597.0,284.5
2900.0,651.0,800.0,589.8,276.7
3000.0,645.6,804.4,597.0,272.6
3100.0,640.0,800.0,597.0,273.9
3200.0,651.0,811.9,595.7,271.3
3300.0,651.0,801.9,597.0,272.3
3400.0,648.1,812.0,597.0,267.6
3500.0,640.0,812.0,597.0,275.0
3600.0,640.0,812.0,589.0,264.7
3700.0,640.0,812.0,589.0,286.4
3800.0,645.1,800.0,596.2,271.5
3900.0,648.8,811.3,589.0,282.6
4000.0,640.0,800.0,597.0,282.0
4100.0,651.0,800.0,597.0,274.5
4200.0,651.0,800.0,597.0,280.0
4300.0,651.0,809.7,597.0,273.4
4400.0,650.1,809.2,589.0,264.7
4500.0,640.0,812.0,589.0,276.8
4600.0,650.4,800.0,589.0,272.3
4700.0,640.0,805.8,589.0,279.5
4800.0,640.2,800.4,589.0,272.6
4900.0,644.9,812.0,589.0,270.1
5000.0,640.0,807.5,589.0,260.0
5100.0,640.0,812.0,597.0,276.5
5200.0,651.0,800.0,597.0,276.8
5300.0,646.2,812.0,589.0,291.0
5400.0,651.0,800.0,597.0,274.3
5500.0,651.0,807.2,593.3,273.6
5600.0,651.0,800.0,597.0,270.8
5700.0,646.2,804.8,597.0,291.0
5800.0,640.0,800.0,589.0,271.7
5900.0,640.0,809.7,589.5,261.3
6000.0,651.0,807.7,597.0,275.1
6100.0,640.0,800.0,589.0,279.5
6200.0,643.6,812.0,595.9,290.4
6300.0,651.0,802.4,597.0,277.7
6400.0,645.1,812.0,597.0,282.9
6500.0,640.0,812.0,591.1,277.3
6600.0,651.0,800.9,589.5,267.6
