timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,652.0,824.0,593.0,311.7
100.0,645.7,824.0,592.0,331.4
200.0,652.0,814.7,592.0,319.7
300.0,652.0,812.9,592.0,314.0
400.0,647.2,824.0,592.0,316.8
500.0,643.0,817.6,596.8,297.9
600.0,643.0,810.0,601.2,290.1
700.0,652.0,824.0,601.4,295.8
800.0,643.3,811.6,592.0,291.1
900.0,643.0,823.5,592.0,290.0
1000.0,643.6,823.7,596.7,300.0
1100.0,643.0,821.1,592.0,294.3
1200.0,645.8,810.0,600.3,298.6
1300.0,650.6,810.0,592.0,290.0
1400.0,652.0,824.0,602.0,327.3
1500.0,652.0,810.0,600.9,291.7
1600.0,643.0,817.0,592.0,335.0
1700.0,652.0,810.0,596.5,296.6
1800.0,652.0,816.6,602.0,322.2
1900.0,652.0,822.3,602.0,292.7
2000.0,652.0,824.0,602.0,315.6
2100.0,652.0,810.0,592.0,293.4
2200.0,644.9,810.0,594.3,290.0
2300.0,652.0,810.0,592.0,294.8
2400.0,652.0,810.0,592.0,326.6
2500.0,643.0,810.0,602.0,300.2
2600.0,643.0,818.1,597.9,297.1
2700.0,652.0,810.4,592.5,321.2
2800.0,652.0,824.0,600.1,315.9
2900.0,643.0,810.0,592.0,299.4
3000.0,643.0,810.0,600.0,297.0
3100.0,643.0,823.1,592.0,316.4
3200.0,643.0,824.0,601.6,322.0
3300.0,643.0,819.3,592.0,297.5
3400.0,643.0,810.0,592.0,306.6
3500.0,650.0,810.0,599.0,290.0
3600.0,643.0,810.0,601.1,296.5
3700.0,651.8,818.1,602.0,297.6
3800.0,643.0,814.8,600.6,301.3
3900.0,643.0,810.6,598.2,293.3
4000.0,649.0,813.0,599.1,298.5
4100.0,643.8,810.0,592.0,291.8
4200.0,643.0,810.0,592.0,307.5
4300.0,643.4,824.0,602.0,290.0
4400.0,644.7,810.0,592.0,290.0
4500.0,644.5,810.0,602.0,307.1
4600.0,643.0,810.0,592.4,300.8
4700.0,646.6,824.0,602.0,326.9
4800.0,647.6,810.0,592.0,290.0
4900.0,649.1,812.2,592.0,295.1
5000.0,652.0,810.0,592.0,319.7
5100.0,643.0,824.0,593.0,310.8
5200.0,652.0,824.0,600.0,334.6
5300.0,652.0,810.0,602.0,335.0
5400.0,643.0,820.7,602.0,296.3
5500.0,652.0,810.0,592.0,295.2
5600.0,643.0,812.1,599.3,296.0
5700.0,652.0,810.0,594.9,327.7
5800.0,649.4,814.3,594.1,335.0
5900.0,643.0,818.7,602.0,299.9
6000.0,645.6,824.0,597.8,305.5
6100.0,652.0,824.0,602.0,328.4
6200.0,650.4,824.0,592.0,291.5
6300.0,643.0,815.9,592.0,291.6
6400.0,643.0,824.0,602.0,299.8
6500.0,643.0,824.0,592.0,315.3
6600.0,648.4,824.0,600.8,334.7
6700.0,643.0,812.0,602.0,297.7
6800.0,643.0,817.0,592.0,297.7
6900.0,652.0,810.0,593.5,290.0
7000.0,646.3,810.0,597.0,297.9
7100.0,643.0,815.5,602.0,303.4
7200.0,643.0,813.4,592.0,291.6
7300.0,643.0,810.0,601.2,301.7
7400.0,652.0,810.0,602.0,333.2
7500.0,643.0,810.0,602.0,295.3
7600.0,646.4,810.0,592.0,296.7
7700.0,643.0,810.0,592.0,333.0
7800.0,652.0,824.0,602.0,299.3
7900.0,652.0,810.0,592.0,290.0
8000.0,643.0,822.3,592.0,296.1
8100.0,644.2,810.0,602.0,292.2
8200.0,649.1,824.0,601.8,325.4
8300.0,652.0,810.0,592.0,295.0
8400.0,643.0,817.9,595.5,296.1
8500.0,652.0,819.9,602.0,291.7
8600.0,652.0,817.3,597.4,300.5
8700.0,648.9,824.0,601.1,311.3
8800.0,649.7,810.0,597.8,305.2
8900.0,645.9,812.2,592.0,302.6
9000.0,643.0,810.7,592.0,290.3
9100.0,643.0,811.2,602.0,313.4
9200.0,643.0,810.0,592.0,301.6
9300.0,649.8,817.8,602.0,322.1
9400.0,643.0,812.6,601.7,299.0
9500.0,643.0,813.4,592.0,295.8
9600.0,643.0,810.0,599.8,300.4
9700.0,646.1,810.0,599.1,310.9
9800.0,643.0,810.2,600.4,297.3
9900.0,643.0,819.5,592.6,302.8
10000.0,652.0,818.4,602.0,335.0
10100.0,652.0,810.0,599.0,294.7
10200.0,643.0,810.0,592.0,290.0
10300.0,652.0,822.8,597.6,304.2
10400.0,643.0,810.0,592.0,310.9
10500.0,643.0,811.8,597.1,292.2
10600.0,644.6,824.0,602.0,335.0
10700.0,652.0,813.6,592.0,298.4
10800.0,643.0,810.0,601.4,290.4
10900.0,643.0,824.0,596.6,315.2
11000.0,643.0,824.0,592.0,296.2
11100.0,643.0,810.0,597.2,295.5
11200.0,644.7,810.0,592.0,294.2
11300.0,652.0,810.0,592.0,300.0
11400.0,643.0,810.0,598.5,305.4
11500.0,643.0,817.4,592.0,307.4
11600.0,652.0,811.3,592.0,312.0
11700.0,652.0,810.0,592.0,304.2
11800.0,643.0,823.3,600.4,291.7
11900.0,652.0,817.3,602.0,304.3
12000.0,643.0,817.8,592.0,301.6
12100.0,643.0,812.1,592.0,293.0
12200.0,643.0,810.7,596.3,293.7
12300.0,643.0,824.0,599.9,322.0
12400.0,652.0,810.0,602.0,331.0
12500.0,643.0,810.0,602.0,303.5
12600.0,643.0,823.1,592.0,317.4
12700.0,643.0,810.0,602.0,291.5
12800.0,643.0,810.9,597.7,294.3
12900.0,652.0,824.0,602.0,334.7
13000.0,652.0,824.0,592.0,295.7
13100.0,643.0,810.0,592.0,300.7
13200.0,647.3,810.8,602.0,316.4
13300.0,643.0,810.0,592.0,297.2
13400.0,652.0,810.0,592.0,290.0
13500.0,647.6,810.0,592.0,293.4
13600.0,652.0,814.7,602.0,297.3
13700.0,645.5,822.4,592.0,291.2
13800.0,643.0,821.2,595.7,296.6
13900.0,643.0,810.0,596.1,301.4
14000.0,652.0,810.0,599.2,296.6
14100.0,643.0,824.0,599.8,325.5
14200.0,652.0,824.0,602.0,326.0
14300.0,643.0,813.7,594.1,317.2
14400.0,644.9,821.4,597.0,290.0
