timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,650.6,826.0,590.0,451.3
100.0,642.0,821.9,583.0,457.1
200.0,653.0,819.9,582.8,480.4
300.0,642.0,816.0,580.0,454.0
400.0,653.0,816.0,590.0,452.7
500.0,653.0,826.0,584.4,446.0
600.0,653.0,821.9,590.0,469.9
700.0,642.0,816.0,590.0,431.6
800.0,653.0,822.3,590.0,462.8
900.0,642.0,816.0,590.0,476.2
1000.0,650.5,820.8,590.0,457.8
1100.0,653.0,816.0,580.0,435.6
1200.0,653.0,826.0,590.0,466.7
1300.0,642.0,816.7,590.0,449.3
1400.0,645.1,823.0,589.8,448.0
1500.0,649.9,824.0,580.0,444.5
1600.0,649.0,818.4,590.0,451.8
1700.0,642.0,826.0,585.0,455.1
1800.0,642.8,816.0,580.0,482.1
1900.0,642.0,816.0,586.4,459.5
2000.0,643.2,826.0,590.0,475.7
2100.0,646.4,826.0,580.0,468.6
2200.0,642.0,816.0,587.4,461.6
2300.0,651.2,821.1,590.0,426.3
2400.0,642.0,816.0,580.0,459.3
2500.0,653.0,825.8,587.4,453.5
2600.0,642.0,816.0,590.0,472.3
2700.0,648.0,826.0,584.4,467.3
2800.0,642.0,816.0,580.0,459.5
2900.0,647.3,821.7,589.2,424.0
3000.0,653.0,826.0,580.0,441.9
3100.0,642.0,820.8,580.0,467.4
3200.0,642.9,816.0,590.0,461.2
3300.0,642.0,816.0,580.0,436.3
3400.0,653.0,826.0,583.6,460.3
3500.0,652.8,823.6,580.0,448.6
3600.0,642.0,816.0,580.0,441.8
3700.0,642.0,816.0,585.8,446.1
3800.0,642.0,817.1,590.0,453.1
3900.0,642.0,821.2,590.0,481.7
4000.0,642.0,823.8,585.8,462.8
4100.0,647.0,816.0,580.0,473.3
4200.0,642.0,821.2,584.9,451.0
4300.0,653.0,816.0,586.0,451.5
4400.0,647.8,826.0,590.0,442.8
4500.0,642.0,816.0,580.0,443.4
4600.0,643.4,820.9,590.0,461.4
4700.0,648.2,826.0,585.9,427.5
4800.0,653.0,817.7,580.0,479.2
4900.0,646.7,826.0,580.0,455.2
5000.0,653.0,816.0,580.0,447.7
5100.0,642.0,826.0,580.0,441.3
5200.0,653.0,822.2,580.0,438.3
5300.0,642.1,825.3,580.0,451.8
5400.0,642.6,826.0,590.0,460.4
5500.0,653.0,816.0,582.6,438.2
5600.0,651.7,816.0,580.0,462.5
5700.0,652.1,816.0,587.1,441.5
5800.0,652.8,826.0,585.2,456.3
5900.0,642.0,816.0,590.0,442.6
6000.0,648.1,820.1,587.7,436.2
6100.0,642.0,826.0,584.1,462.3
6200.0,653.0,817.3,580.0,448.0
6300.0,651.4,826.0,590.0,461.9
6400.0,648.6,816.0,588.9,450.5
6500.0,642.0,816.0,580.0,461.8
6600.0,645.0,816.0,580.0,463.0
6700.0,643.3,820.8,580.6,445.2
6800.0,642.0,826.0,588.5,447.8
6900.0,642.0,822.7,580.7,459.5
7000.0,642.0,816.0,580.0,433.6
7100.0,644.2,826.0,581.3,442.0
7200.0,653.0,826.0,580.0,460.2
7300.0,642.0,820.2,586.3,456.3
7400.0,642.0,816.0,580.0,449.5
7500.0,652.9,826.0,580.0,446.3
7600.0,642.9,826.0,580.0,434.6
7700.0,642.0,826.0,580.0,476.1
7800.0,653.0,826.0,590.0,460.6
7900.0,653.0,816.0,580.0,446.2
8000.0,642.0,816.0,583.6,453.2
8100.0,642.0,826.0,590.0,469.9
8200.0,653.0,822.6,588.8,446.5
8300.0,653.0,816.0,589.7,440.1
8400.0,642.3,826.0,581.8,447.0
8500.0,642.5,823.4,580.0,465.7
8600.0,646.4,818.8,590.0,447.7
8700.0,647.9,826.0,590.0,476.1
8800.0,651.6,826.0,580.0,467.6
8900.0,642.0,816.0,590.0,447.4
9000.0,652.0,823.2,580.0,461.2
9100.0,653.0,818.7,588.2,472.4
9200.0,653.0,816.0,589.8,467.7
9300.0,644.3,826.0,590.0,469.5
