timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,649.0,813.8,572.9,424.2
100.0,649.0,816.2,571.0,434.5
200.0,649.0,818.4,577.6,439.8
300.0,640.0,825.0,583.8,437.7
400.0,640.0,820.0,581.2,404.3
500.0,640.6,811.0,584.9,405.8
600.0,646.8,818.5,571.0,415.8
700.0,646.8,825.0,575.3,419.5
800.0,649.0,815.2,582.2,438.5
900.0,649.0,825.0,571.5,436.2
1000.0,640.0,811.0,572.0,420.6
1100.0,649.0,811.0,576.4,410.4
1200.0,642.4,825.0,579.4,437.6
1300.0,649.0,825.0,582.4,430.8
1400.0,640.0,814.2,580.9,440.9
1500.0,640.0,811.0,576.2,399.8
1600.0,640.0,822.6,577.6,418.1
1700.0,640.0,811.0,579.5,422.0
1800.0,646.4,825.0,586.0,441.0
1900.0,640.0,825.0,578.0,423.3
2000.0,640.0,825.0,580.0,417.3
2100.0,649.0,811.0,577.6,409.4
2200.0,640.0,811.0,582.9,421.4
2300.0,649.0,811.5,576.5,423.6
2400.0,649.0,823.4,586.0,450.5
2500.0,640.0,811.0,571.0,416.8
2600.0,640.0,813.3,586.0,465.0
2700.0,640.0,819.2,586.0,438.4
2800.0,649.0,811.0,582.4,417.2
2900.0,649.0,820.1,575.4,418.9
3000.0,640.0,825.0,585.3,417.9
3100.0,649.0,813.5,575.1,444.9
3200.0,640.0,811.0,579.2,462.8
3300.0,649.0,825.0,580.5,465.4
3400.0,640.0,811.0,586.0,437.3
3500.0,644.4,812.6,585.5,437.8
3600.0,649.0,825.0,581.2,436.7
3700.0,649.0,825.0,578.4,445.7
3800.0,649.0,811.0,586.0,445.9
3900.0,649.0,814.8,583.1,461.9
4000.0,640.0,811.0,582.8,443.7
4100.0,640.0,825.0,571.6,432.8
4200.0,646.2,811.0,581.8,441.7
4300.0,640.0,825.0,571.0,430.5
4400.0,640.0,825.0,581.5,440.6
4500.0,649.0,825.0,571.0,407.4
4600.0,649.0,812.7,586.0,468.0
4700.0,641.9,825.0,577.9,435.7
4800.0,648.4,825.0,586.0,435.6
4900.0,649.0,825.0,580.2,437.8
5000.0,640.0,824.4,586.0,442.9
5100.0,640.0,812.9,580.4,445.8
5200.0,640.0,813.2,571.0,423.6
5300.0,640.0,822.0,571.0,420.7
5400.0,640.0,825.0,586.0,440.1
5500.0,649.0,825.0,586.0,438.6
5600.0,645.2,814.5,579.8,400.8
5700.0,648.8,811.0,571.0,403.1
5800.0,640.0,825.0,576.1,434.9
5900.0,640.0,819.7,571.0,420.8
6000.0,649.0,825.0,571.0,426.1
6100.0,640.7,825.0,584.7,420.8
6200.0,649.0,825.0,584.9,445.1
6300.0,649.0,825.0,586.0,452.5
6400.0,649.0,825.0,571.0,422.7
6500.0,648.1,825.0,581.3,445.9
6600.0,649.0,820.5,578.1,431.8
6700.0,640.0,825.0,571.0,434.4
6800.0,640.0,811.0,580.3,424.4
6900.0,640.0,818.5,584.6,454.9
7000.0,649.0,812.6,581.2,459.3
7100.0,649.0,825.0,571.0,423.1
7200.0,644.5,822.9,585.0,444.8
7300.0,640.0,816.8,582.3,423.0
7400.0,649.0,811.0,581.1,447.7
7500.0,649.0,822.7,579.0,450.0
7600.0,645.5,821.5,572.8,446.0
7700.0,649.0,825.0,582.1,452.6
7800.0,647.5,822.7,575.7,434.3
7900.0,649.0,825.0,586.0,433.6
8000.0,644.2,818.8,586.0,429.7
8100.0,642.4,820.1,584.2,412.4
8200.0,641.5,811.0,585.0,427.7
8300.0,649.0,814.8,572.3,416.0
8400.0,644.1,825.0,579.2,441.8
8500.0,640.8,812.3,584.6,435.8
8600.0,640.0,813.8,585.6,446.8
8700.0,649.0,817.7,571.0,396.0
8800.0,640.0,822.0,571.0,397.9
8900.0,647.1,812.1,586.0,449.9
9000.0,640.0,817.5,571.0,399.4
9100.0,640.0,825.0,586.0,448.6
9200.0,649.0,825.0,571.0,413.2
9300.0,640.0,825.0,574.7,431.4
9400.0,649.0,820.7,586.0,446.8
9500.0,649.0,823.1,573.2,433.2
9600.0,640.0,825.0,571.5,414.9
9700.0,640.0,811.0,576.5,433.6
9800.0,644.6,825.0,577.0,437.5
9900.0,649.0,811.0,577.0,460.1
10000.0,649.0,811.0,586.0,420.8
10100.0,640.0,825.0,574.4,435.2
10200.0,640.0,811.0,571.0,407.8
