timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,655.0,826.1,578.9,480.8
100.0,633.0,805.9,564.0,394.2
200.0,633.0,811.7,575.9,438.1
300.0,640.0,816.7,567.7,401.5
400.0,642.6,800.0,574.3,402.0
500.0,633.0,807.9,566.9,395.0
600.0,635.4,804.5,569.0,421.3
700.0,650.7,800.0,577.6,402.6
800.0,648.1,837.0,574.3,475.7
900.0,641.5,805.8,574.3,408.3
1000.0,652.9,837.0,580.1,476.7
1100.0,640.4,827.8,581.5,450.3
1200.0,633.0,809.9,566.6,407.8
1300.0,638.6,819.7,582.9,436.6
1400.0,642.3,837.0,591.0,485.3
1500.0,645.9,826.3,582.0,473.7
1600.0,633.5,800.0,574.5,411.1
1700.0,633.8,825.0,564.0,399.0
1800.0,653.2,820.2,571.7,472.4
1900.0,645.5,819.5,585.0,470.2
2000.0,636.2,824.5,574.5,445.9
2100.0,633.0,800.0,576.3,402.6
2200.0,644.8,804.5,569.2,409.3
2300.0,633.0,812.1,570.3,400.5
2400.0,645.3,800.2,564.0,402.7
2500.0,633.0,817.5,564.0,388.0
2600.0,639.4,811.5,572.6,440.0
2700.0,639.8,823.3,568.9,399.5
2800.0,633.0,808.9,573.9,447.5
2900.0,633.2,809.1,573.0,457.4
3000.0,641.6,800.0,564.0,392.5
3100.0,646.0,835.4,579.3,466.6
3200.0,633.0,814.8,568.2,441.6
3300.0,643.3,813.3,564.0,393.1
3400.0,633.0,814.6,575.9,423.5
3500.0,643.7,800.0,567.4,440.4
3600.0,633.0,812.7,571.3,399.7
3700.0,633.0,800.0,566.0,414.9
3800.0,645.6,805.5,572.7,397.9
3900.0,633.0,802.3,564.0,396.6
4000.0,642.6,837.0,580.7,467.0
4100.0,644.2,807.4,582.0,432.1
4200.0,637.4,811.7,585.7,469.4
4300.0,644.5,808.2,564.0,399.6
4400.0,635.2,819.2,569.9,427.0
4500.0,636.4,817.1,567.0,393.3
4600.0,637.1,813.2,566.9,460.8
4700.0,645.4,800.0,567.1,398.8
4800.0,651.8,822.6,591.0,476.1
4900.0,641.4,805.7,573.5,409.9
5000.0,647.1,824.4,581.2,409.3
5100.0,633.0,800.3,564.0,397.5
5200.0,633.0,804.9,576.0,399.2
5300.0,633.0,800.0,564.0,388.0
5400.0,642.7,837.0,584.7,477.7
5500.0,644.6,837.0,591.0,483.3
5600.0,642.4,808.9,564.0,398.9
5700.0,648.4,832.7,575.2,485.2
5800.0,636.3,836.6,578.9,479.2
5900.0,637.2,800.8,573.0,395.6
6000.0,633.0,803.5,564.0,435.1
6100.0,633.0,809.9,564.0,421.0
6200.0,633.0,806.6,569.7,453.1
6300.0,633.0,804.7,566.5,394.9
6400.0,643.1,819.4,588.6,474.3
6500.0,645.1,818.9,576.4,437.0
6600.0,642.6,800.0,564.4,392.5
6700.0,644.2,806.1,577.4,425.6
6800.0,635.8,802.3,576.8,432.9
6900.0,655.0,834.5,585.7,478.4
7000.0,644.4,817.4,573.1,421.6
7100.0,640.6,819.9,564.0,403.9
7200.0,633.0,800.0,564.0,395.5
7300.0,643.3,800.0,572.5,399.6
7400.0,637.9,800.0,564.0,388.0
7500.0,633.0,800.0,566.1,423.4
7600.0,644.8,808.8,575.2,407.8
7700.0,633.0,826.9,587.4,468.3
7800.0,633.0,819.1,568.1,394.1
7900.0,655.0,836.4,584.7,460.9
8000.0,655.0,825.4,575.7,466.8
8100.0,633.8,800.0,574.8,398.6
8200.0,648.5,830.4,588.9,471.0
8300.0,641.9,822.4,564.0,392.2
8400.0,644.9,800.0,566.9,388.0
8500.0,642.8,826.2,591.0,491.8
8600.0,633.0,814.3,576.9,400.1
8700.0,633.8,803.4,578.7,416.6
8800.0,640.6,800.0,569.4,425.7
8900.0,641.3,800.0,572.7,399.7
9000.0,633.0,821.8,573.4,435.2
9100.0,641.2,823.4,564.5,426.3
9200.0,643.3,837.0,578.6,485.0
9300.0,644.1,800.0,564.0,398.2
9400.0,637.0,800.0,575.7,388.6
9500.0,633.0,800.0,564.0,412.0
9600.0,650.6,837.0,591.0,494.8
9700.0,655.0,817.2,591.0,481.9
9800.0,649.0,837.0,591.0,470.5
9900.0,644.6,809.9,565.5,388.0
10000.0,646.6,816.5,581.5,450.2
10100.0,633.0,800.0,564.0,389.5
10200.0,633.0,809.5,577.4,412.7
10300.0,638.4,808.2,569.5,401.5
10400.0,638.6,813.4,580.5,438.3
10500.0,633.0,800.0,564.0,398.2
10600.0,645.6,833.9,587.3,473.9
10700.0,640.1,800.2,572.0,407.8
10800.0,642.9,815.3,565.0,395.7
10900.0,652.3,800.4,580.8,410.2
11000.0,647.2,817.8,575.2,412.7
11100.0,646.5,800.0,573.6,399.2
11200.0,633.0,819.7,570.6,415.8
11300.0,633.0,819.3,573.3,398.9
11400.0,641.9,826.6,570.0,459.1
11500.0,655.0,837.0,591.0,489.7
11600.0,646.7,827.4,574.9,467.4
11700.0,651.7,815.1,585.7,470.8
11800.0,633.0,813.3,569.3,393.4
11900.0,633.0,814.1,569.6,395.4
12000.0,647.1,825.5,572.6,473.0
12100.0,644.2,830.3,573.2,463.4
12200.0,633.0,803.6,564.0,401.7
12300.0,644.8,813.2,569.1,431.1
12400.0,655.0,818.7,591.0,472.1
12500.0,637.9,800.0,575.3,403.1
12600.0,640.9,816.0,565.9,391.9
12700.0,648.3,802.3,567.3,408.3
12800.0,644.3,815.2,591.0,461.5
12900.0,655.0,820.4,579.9,475.4
13000.0,633.0,825.3,579.4,452.0
13100.0,641.0,804.9,567.3,444.8
13200.0,633.0,802.7,564.0,401.7
13300.0,640.4,836.0,575.3,434.0
13400.0,633.0,824.1,584.0,452.2
13500.0,653.8,834.4,591.0,495.0
13600.0,655.0,829.4,582.1,467.1
13700.0,651.8,808.1,583.3,459.7
13800.0,650.1,821.5,572.7,442.7
13900.0,643.3,805.0,572.3,435.7
14000.0,655.0,832.1,572.8,478.9
14100.0,633.0,800.0,565.0,408.1
14200.0,640.0,819.7,567.4,455.5
14300.0,653.3,825.3,569.6,408.9
14400.0,633.0,800.0,576.5,399.7
14500.0,645.8,804.5,569.5,416.9
14600.0,633.0,806.7,566.3,416.2
14700.0,639.1,800.0,565.1,393.1
14800.0,633.0,800.0,578.1,422.8
14900.0,644.1,809.8,573.9,421.0
15000.0,633.0,805.6,573.8,388.0
15100.0,655.0,828.4,588.7,467.1
15200.0,643.9,803.2,579.1,434.3
15300.0,643.4,814.6,580.2,443.5
15400.0,645.9,800.0,579.8,423.7
15500.0,639.3,823.7,571.6,457.1
15600.0,634.6,810.7,577.0,457.9
15700.0,654.7,826.6,591.0,459.1
15800.0,635.0,814.1,579.2,441.6
15900.0,645.0,821.9,564.0,397.7
16000.0,648.9,827.5,567.3,445.5
16100.0,655.0,837.0,581.7,472.5
16200.0,653.7,818.8,568.0,428.8
16300.0,643.7,832.5,582.6,436.6
16400.0,638.3,806.1,564.0,400.1
16500.0,638.6,818.4,578.3,469.3
16600.0,633.0,800.0,564.0,421.4
16700.0,655.0,834.9,591.0,471.6
16800.0,639.0,800.0,576.0,414.3
16900.0,639.5,800.0,565.6,398.6
17000.0,640.0,817.9,572.9,394.4
17100.0,654.8,807.9,582.0,427.6
