timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,736.6,827.6,635.0,485.1
100.0,706.0,847.0,631.3,468.9
200.0,733.9,811.6,597.2,467.2
300.0,734.1,842.7,635.0,487.7
400.0,705.6,842.1,635.0,476.9
500.0,720.6,818.1,607.0,466.2
600.0,733.2,829.7,632.5,479.1
700.0,736.2,834.1,635.0,505.6
800.0,741.0,847.0,626.2,513.0
900.0,720.6,847.0,620.4,475.9
1000.0,719.8,837.7,624.4,461.8
1100.0,740.8,833.1,605.8,483.3
1200.0,717.4,773.6,550.9,441.2
1300.0,725.8,830.6,635.0,494.4
1400.0,731.6,843.2,621.8,490.7
1500.0,719.6,798.7,567.5,456.2
1600.0,714.6,840.2,629.4,500.5
1700.0,739.9,806.9,592.4,464.6
1800.0,724.3,784.4,533.3,422.7
1900.0,706.7,777.9,534.9,420.7
2000.0,739.4,837.8,627.8,470.9
2100.0,705.3,841.6,616.0,457.5
2200.0,728.3,847.0,635.0,499.9
2300.0,717.8,801.7,601.1,460.3
2400.0,704.0,834.2,634.0,465.9
2500.0,705.6,834.2,626.5,475.8
2600.0,732.5,839.8,635.0,515.1
2700.0,739.5,838.6,626.6,488.4
2800.0,710.7,769.9,517.4,414.9
2900.0,710.0,755.0,503.2,418.4
3000.0,737.5,837.7,613.9,477.0
3100.0,731.8,837.3,630.3,495.1
3200.0,724.1,832.4,635.0,516.8
3300.0,714.3,835.4,635.0,490.8
3400.0,740.3,830.7,628.4,516.9
3500.0,734.5,799.6,578.1,444.3
3600.0,710.4,832.6,635.0,483.0
3700.0,712.6,847.0,625.2,488.4
3800.0,715.6,825.6,614.9,453.9
3900.0,727.9,847.0,622.9,504.2
4000.0,741.0,847.0,628.3,501.2
4100.0,735.6,847.0,621.4,492.1
4200.0,719.6,839.3,622.9,468.4
4300.0,725.0,824.1,613.8,463.1
4400.0,716.1,847.0,618.9,485.6
4500.0,724.4,847.0,635.0,518.9
4600.0,715.6,834.1,595.7,470.7
4700.0,727.2,807.6,594.9,463.7
4800.0,721.5,832.8,632.6,520.6
4900.0,704.0,832.6,623.4,457.6
5000.0,733.1,807.7,586.4,470.1
5100.0,719.9,846.0,635.0,500.2
5200.0,704.0,834.5,619.2,466.8
5300.0,717.4,828.0,611.3,468.8
5400.0,706.7,845.3,629.2,509.0
5500.0,726.0,779.6,538.4,429.7
5600.0,729.8,790.2,568.1,450.3
5700.0,720.2,847.0,635.0,487.9
5800.0,720.0,847.0,635.0,489.6
5900.0,732.4,823.9,581.6,466.6
6000.0,738.7,831.0,600.6,469.0
6100.0,714.1,835.7,622.4,476.2
6200.0,719.5,847.0,627.8,514.8
6300.0,707.7,845.9,633.5,473.4
6400.0,713.5,847.0,623.2,500.0
6500.0,723.3,765.0,512.5,419.6
6600.0,732.7,813.5,603.4,474.3
6700.0,727.6,802.5,600.2,453.3
6800.0,734.9,841.7,616.9,482.0
6900.0,725.8,836.7,635.0,489.3
7000.0,714.6,756.1,529.7,436.1
7100.0,725.9,833.1,632.8,519.8
7200.0,741.0,832.2,627.1,510.6
7300.0,707.8,829.3,635.0,479.9
7400.0,720.0,832.0,619.1,484.9
7500.0,741.0,833.3,608.6,457.6
7600.0,719.2,835.6,635.0,491.9
7700.0,713.7,764.2,542.8,419.9
7800.0,727.9,829.7,635.0,500.4
