timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,670.0,818.1,604.0,470.3
100.0,668.0,829.6,596.0,433.6
200.0,659.0,818.5,591.0,468.6
300.0,669.0,834.0,592.6,475.4
400.0,659.0,820.1,597.3,459.7
500.0,670.0,834.0,598.1,455.0
600.0,670.0,821.9,603.8,465.1
700.0,669.5,817.0,594.6,442.6
800.0,659.0,823.8,604.0,464.6
900.0,670.0,822.3,604.0,442.0
1000.0,670.0,817.0,600.3,471.4
1100.0,659.0,817.0,591.0,462.0
1200.0,659.0,827.2,591.0,453.9
1300.0,670.0,824.1,594.0,458.8
1400.0,660.9,834.0,597.5,458.7
1500.0,659.0,817.0,597.7,444.7
1600.0,659.0,817.0,599.3,458.3
1700.0,661.3,830.5,591.0,455.2
1800.0,661.1,824.4,604.0,466.4
1900.0,659.0,817.0,604.0,449.4
2000.0,662.0,834.0,604.0,484.0
2100.0,659.0,823.4,594.7,459.1
2200.0,669.2,817.0,604.0,456.7
2300.0,659.4,834.0,591.0,469.8
2400.0,670.0,817.0,593.0,452.6
2500.0,670.0,834.0,604.0,449.8
2600.0,668.3,817.5,597.1,431.0
2700.0,659.0,834.0,591.0,459.5
2800.0,670.0,821.7,604.0,466.3
2900.0,662.5,833.7,591.0,433.4
3000.0,670.0,834.0,592.7,461.1
3100.0,670.0,821.8,591.0,451.0
3200.0,661.4,830.4,602.0,432.0
3300.0,668.1,818.4,591.5,431.0
3400.0,661.5,820.0,591.0,453.0
3500.0,659.6,825.0,603.6,467.2
3600.0,670.0,820.2,604.0,459.3
3700.0,669.5,823.6,603.5,484.0
3800.0,659.0,820.6,599.5,461.5
3900.0,670.0,817.0,596.9,450.3
4000.0,670.0,829.9,601.2,461.7
4100.0,660.1,828.0,603.9,463.8
4200.0,659.4,834.0,604.0,467.6
4300.0,670.0,831.2,603.0,460.5
4400.0,659.0,824.8,597.9,449.1
4500.0,664.2,824.4,591.3,466.8
4600.0,666.6,817.8,592.5,447.1
4700.0,659.0,827.5,602.6,466.6
4800.0,659.4,819.3,602.8,458.3
4900.0,659.0,817.0,602.0,458.1
5000.0,659.0,834.0,595.7,469.2
5100.0,659.0,827.5,591.9,452.9
5200.0,663.5,834.0,595.4,468.1
5300.0,659.0,817.0,592.9,467.0
5400.0,670.0,823.4,597.6,463.9
5500.0,669.0,817.0,591.0,434.2
5600.0,670.0,834.0,604.0,450.0
5700.0,666.7,834.0,595.9,457.6
5800.0,659.0,824.3,591.0,444.2
5900.0,661.2,822.1,604.0,456.1
6000.0,659.0,829.6,593.4,442.3
6100.0,659.0,822.8,604.0,442.2
6200.0,669.8,817.7,604.0,463.8
6300.0,659.0,822.9,596.7,440.5
6400.0,659.0,834.0,603.2,444.9
6500.0,659.0,820.4,604.0,444.9
6600.0,659.3,817.7,591.5,431.0
6700.0,662.8,834.0,591.0,452.8
6800.0,670.0,824.8,604.0,461.0
6900.0,670.0,829.6,604.0,454.3
7000.0,659.0,817.8,598.1,454.2
7100.0,670.0,823.2,591.0,431.0
7200.0,661.2,820.4,604.0,474.9
7300.0,670.0,827.5,591.5,440.9
7400.0,670.0,826.2,592.9,457.1
7500.0,668.6,824.8,604.0,466.6
7600.0,659.0,817.0,591.0,455.1
7700.0,662.0,829.4,604.0,451.4
7800.0,662.5,818.0,591.0,437.5
7900.0,663.8,820.8,604.0,455.5
8000.0,670.0,834.0,594.0,474.8
8100.0,659.0,826.9,604.0,459.9
8200.0,669.5,822.5,601.1,457.6
8300.0,666.3,830.9,595.5,434.2
8400.0,659.0,817.0,591.0,456.7
8500.0,661.0,825.2,591.0,449.1
8600.0,659.0,834.0,592.6,440.2
8700.0,659.0,818.1,604.0,469.8
8800.0,670.0,817.0,599.8,448.3
8900.0,670.0,834.0,596.1,468.7
9000.0,670.0,834.0,604.0,457.4
9100.0,662.2,822.8,604.0,448.8
9200.0,659.0,817.0,599.1,441.7
9300.0,666.7,834.0,600.9,458.8
9400.0,659.0,818.2,604.0,469.0
9500.0,659.0,817.0,591.0,431.0
9600.0,660.9,829.8,599.6,442.8
9700.0,669.9,817.0,604.0,469.4
9800.0,663.2,817.0,604.0,456.9
9900.0,670.0,817.0,604.0,450.9
10000.0,670.0,820.4,600.9,435.9
10100.0,663.4,825.7,604.0,475.4
10200.0,659.0,827.5,604.0,458.8
10300.0,661.4,834.0,591.0,470.7
10400.0,659.6,817.0,603.1,451.4
10500.0,665.7,820.4,595.1,464.5
10600.0,670.0,818.6,591.0,453.6
10700.0,659.0,834.0,604.0,457.1
10800.0,659.4,834.0,604.0,434.4
10900.0,665.7,817.0,591.0,436.6
11000.0,659.0,817.0,602.5,468.8
11100.0,659.0,817.0,599.5,440.6
11200.0,669.5,828.9,604.0,453.7
11300.0,659.0,826.5,604.0,449.0
11400.0,663.5,817.0,592.4,463.0
11500.0,660.3,822.1,600.6,434.0
11600.0,663.4,820.2,604.0,455.0
11700.0,661.7,817.0,591.0,447.8
11800.0,664.1,830.7,591.0,437.4
11900.0,670.0,834.0,604.0,478.4
12000.0,670.0,834.0,602.5,466.9
12100.0,670.0,817.0,602.5,462.9
12200.0,670.0,834.0,604.0,460.1
12300.0,670.0,828.0,597.0,474.5
12400.0,666.6,824.8,594.7,466.6
12500.0,659.0,817.0,591.0,431.0
12600.0,665.0,817.0,604.0,464.0
12700.0,666.0,832.1,604.0,464.3
12800.0,663.5,817.0,604.0,460.3
12900.0,670.0,817.0,601.2,461.5
13000.0,660.0,830.8,604.0,464.2
13100.0,670.0,819.9,592.0,449.7
13200.0,659.0,827.9,602.0,453.0
13300.0,666.5,821.2,596.3,432.2
13400.0,659.0,831.2,591.0,435.7
13500.0,670.0,834.0,591.0,456.1
13600.0,670.0,817.0,596.3,456.1
13700.0,670.0,821.1,604.0,439.8
13800.0,670.0,817.0,601.5,453.8
13900.0,670.0,822.8,591.0,468.7
14000.0,670.0,834.0,604.0,459.0
14100.0,661.7,817.0,604.0,452.8
14200.0,659.0,833.9,595.7,443.4
14300.0,670.0,829.9,597.6,483.1
14400.0,660.5,817.0,593.8,461.8
14500.0,670.0,830.2,604.0,458.7
14600.0,670.0,821.7,604.0,464.5
14700.0,670.0,817.0,602.7,467.9
14800.0,670.0,821.3,597.2,459.0
14900.0,667.9,817.0,591.0,432.8
15000.0,664.6,817.0,599.0,467.5
15100.0,661.1,834.0,603.0,484.0
15200.0,660.1,829.1,603.9,471.1
15300.0,662.3,831.8,591.0,462.8
15400.0,659.5,819.6,597.3,462.4
15500.0,670.0,823.8,593.3,441.7
15600.0,659.0,817.0,591.0,458.8
15700.0,659.0,830.5,595.4,467.5
15800.0,667.0,817.0,591.0,460.4
15900.0,659.0,817.0,591.0,432.1
16000.0,659.8,817.0,604.0,450.9
16100.0,659.0,825.5,595.9,447.1
16200.0,660.1,828.4,604.0,466.6
16300.0,659.0,817.0,594.6,447.8
16400.0,670.0,834.0,591.0,467.7
16500.0,669.8,834.0,591.0,447.3
16600.0,661.0,832.3,598.5,446.2
16700.0,662.1,817.0,595.9,461.3
16800.0,670.0,822.1,597.1,453.4
16900.0,659.0,832.2,600.5,451.9
17000.0,659.0,834.0,594.9,457.1
17100.0,670.0,834.0,604.0,443.5
17200.0,669.7,831.1,604.0,468.5
17300.0,662.9,817.0,593.3,461.7
17400.0,659.0,828.2,593.3,460.2
17500.0,670.0,819.6,604.0,479.2
17600.0,666.8,825.2,600.5,436.4
17700.0,670.0,834.0,604.0,456.7
17800.0,663.2,821.4,593.8,436.7
17900.0,670.0,822.5,604.0,478.3
18000.0,659.9,817.0,604.0,459.7
18100.0,661.2,817.0,604.0,458.1
18200.0,662.3,819.2,591.0,441.6
18300.0,659.0,817.0,600.5,457.6
18400.0,670.0,823.5,603.0,465.9
18500.0,670.0,817.0,595.9,458.8
18600.0,659.0,817.0,591.0,448.6
18700.0,659.0,834.0,602.7,470.2
18800.0,669.7,834.0,592.2,454.3
18900.0,670.0,817.0,602.8,463.0
19000.0,660.8,824.5,598.7,452.6
19100.0,668.0,817.0,604.0,453.5
19200.0,659.9,826.4,594.9,476.4
19300.0,670.0,823.1,604.0,472.0
19400.0,659.0,819.7,600.7,440.6
19500.0,659.0,827.2,599.8,458.5
19600.0,662.1,821.7,598.8,464.3
19700.0,659.0,817.0,599.5,458.4
19800.0,664.2,830.1,604.0,455.7
19900.0,670.0,818.3,594.4,472.3
20000.0,659.0,830.0,604.0,457.8
20100.0,659.0,831.2,591.0,461.5
20200.0,666.3,817.0,604.0,456.3
20300.0,659.0,817.0,597.1,431.0
20400.0,659.0,834.0,600.0,453.0
20500.0,660.1,817.2,604.0,462.3
20600.0,666.0,825.0,592.0,466.7
20700.0,659.0,824.4,599.8,455.4
20800.0,659.0,818.6,604.0,464.3
20900.0,670.0,834.0,595.3,479.2
21000.0,659.0,834.0,600.2,456.3
21100.0,670.0,824.7,599.4,462.0
21200.0,666.5,829.9,591.8,473.8
21300.0,659.0,833.8,591.0,445.8
21400.0,670.0,817.0,591.0,460.5
21500.0,667.5,820.7,596.4,456.8
21600.0,667.4,834.0,604.0,449.2
21700.0,659.2,817.0,600.7,454.1
21800.0,670.0,817.0,604.0,444.9
21900.0,659.0,833.0,595.1,452.2
22000.0,670.0,830.3,591.0,468.0
22100.0,670.0,834.0,592.6,462.9
22200.0,659.0,834.0,595.8,463.7
22300.0,670.0,834.0,591.0,463.2
22400.0,659.0,829.8,604.0,448.9
22500.0,659.0,817.0,591.0,454.5
22600.0,663.3,819.5,591.0,471.9
22700.0,659.0,817.0,601.7,453.2
22800.0,659.0,831.5,591.0,431.0
22900.0,662.3,834.0,591.0,458.3
23000.0,659.0,834.0,600.6,475.7
23100.0,667.5,833.2,595.3,441.8
23200.0,670.0,828.6,602.5,458.9
23300.0,670.0,834.0,604.0,468.4
23400.0,670.0,834.0,593.8,452.7
23500.0,660.9,831.3,595.0,464.6
23600.0,670.0,817.0,604.0,452.1
23700.0,667.8,834.0,604.0,448.5
23800.0,666.1,828.5,602.4,438.8
23900.0,670.0,817.0,603.6,461.3
24000.0,664.3,817.0,591.0,446.0
24100.0,670.0,829.1,600.9,443.4
24200.0,659.0,817.0,604.0,468.0
24300.0,670.0,825.1,604.0,464.6
24400.0,670.0,817.5,591.0,462.2
24500.0,663.1,831.1,601.3,469.0
24600.0,670.0,823.9,600.0,476.8
24700.0,667.7,821.3,604.0,437.9
24800.0,670.0,817.0,604.0,460.7
24900.0,670.0,824.7,599.0,469.2
25000.0,659.0,834.0,603.6,470.4
25100.0,659.0,817.0,604.0,476.8
25200.0,670.0,833.2,596.5,460.4
25300.0,659.7,817.0,596.4,453.5
25400.0,668.4,818.9,604.0,449.9
25500.0,659.0,824.4,594.0,445.5
25600.0,659.0,822.7,591.6,450.8
25700.0,670.0,817.0,603.5,452.7
25800.0,670.0,820.2,597.1,461.1
25900.0,660.7,833.2,601.0,458.1
26000.0,664.0,817.0,591.4,451.9
26100.0,659.0,817.0,604.0,462.1
26200.0,663.9,830.8,601.4,439.7
26300.0,659.0,831.1,604.0,466.7
26400.0,670.0,817.0,592.8,465.0
26500.0,659.0,823.3,601.2,431.0
26600.0,659.0,819.2,602.9,445.2
26700.0,667.1,829.6,591.0,441.9
26800.0,659.0,817.0,592.1,439.8
26900.0,669.7,824.1,595.4,473.1
27000.0,666.0,834.0,604.0,449.9
27100.0,660.3,820.6,603.1,448.5
27200.0,667.8,833.8,591.0,452.0
27300.0,663.6,832.4,599.3,444.7
27400.0,670.0,834.0,604.0,451.9
27500.0,659.0,817.0,594.2,441.3
27600.0,662.6,831.9,604.0,450.4
27700.0,667.7,820.3,604.0,465.1
27800.0,670.0,834.0,592.7,457.4
27900.0,662.6,829.5,604.0,446.0
28000.0,663.1,817.0,594.8,442.3
28100.0,669.7,830.0,591.0,445.7
28200.0,659.0,822.0,604.0,459.2
28300.0,660.3,817.0,596.6,461.2
28400.0,659.0,817.0,591.0,456.3
28500.0,670.0,834.0,599.5,470.6
28600.0,666.5,817.0,600.3,458.6
28700.0,659.0,817.0,604.0,451.1
28800.0,670.0,827.4,596.5,468.4
28900.0,661.4,834.0,604.0,462.3
29000.0,664.2,817.0,591.0,449.0
29100.0,665.3,834.0,591.2,461.7
29200.0,667.8,817.0,601.1,456.0
29300.0,664.1,817.0,594.2,446.5
29400.0,664.3,817.4,594.0,460.0
29500.0,664.2,817.0,604.0,459.4
29600.0,665.5,834.0,603.6,461.7
29700.0,659.0,819.2,591.0,447.0
29800.0,660.5,817.1,596.7,464.1
29900.0,670.0,834.0,598.2,458.9
30000.0,659.0,817.0,598.8,459.7
30100.0,666.6,834.0,604.0,458.9
30200.0,659.0,820.5,591.6,469.6
30300.0,663.2,817.0,603.7,456.6
30400.0,661.2,834.0,591.0,431.5
30500.0,666.6,834.0,595.2,461.9
30600.0,659.0,824.3,591.0,452.2
30700.0,664.9,817.0,593.4,442.2
30800.0,666.2,821.1,604.0,458.1
30900.0,659.0,817.1,604.0,447.4
31000.0,662.7,820.0,591.1,465.3
31100.0,659.0,824.9,597.9,455.6
31200.0,659.0,834.0,603.2,458.3
31300.0,659.0,817.5,604.0,452.4
31400.0,667.7,818.4,604.0,466.8
31500.0,670.0,817.0,604.0,469.0
31600.0,659.0,827.0,601.8,450.7
31700.0,666.3,817.0,604.0,464.2
31800.0,663.4,817.0,604.0,469.3
31900.0,670.0,819.7,604.0,449.7
32000.0,670.0,834.0,601.3,453.5
32100.0,659.0,825.9,604.0,471.3
32200.0,670.0,817.0,600.2,459.9
32300.0,669.1,834.0,591.0,449.8
32400.0,659.0,827.6,604.0,454.4
32500.0,670.0,817.0,604.0,461.3
