timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,578.2,937.0,651.3,744.9
100.0,578.2,937.0,652.0,746.4
200.0,585.1,931.0,650.4,755.0
300.0,581.9,937.0,639.7,696.0
400.0,587.0,926.0,637.0,744.6
500.0,578.7,928.1,650.4,739.3
600.0,578.0,929.7,652.0,755.0
700.0,580.6,937.0,637.0,733.1
800.0,587.0,937.0,642.4,730.6
900.0,578.0,937.0,648.6,755.0
1000.0,587.0,926.0,652.0,739.1
1100.0,587.0,937.0,652.0,732.4
1200.0,587.0,937.0,650.6,726.3
1300.0,586.4,937.0,649.1,752.0
1400.0,578.5,926.0,646.4,755.0
1500.0,587.0,928.7,651.9,741.7
1600.0,587.0,937.0,652.0,735.2
1700.0,584.8,926.0,637.0,727.6
1800.0,581.0,926.0,639.5,750.3
1900.0,578.0,926.0,637.0,736.5
2000.0,585.3,936.2,651.3,740.8
2100.0,580.5,926.0,646.7,724.2
2200.0,587.0,937.0,637.0,728.5
2300.0,587.0,930.8,652.0,741.1
2400.0,578.0,936.0,639.3,745.3
2500.0,587.0,926.0,638.6,755.0
2600.0,585.6,931.2,644.0,739.6
2700.0,586.7,926.1,650.6,751.0
2800.0,587.0,928.4,643.1,755.0
2900.0,578.0,937.0,649.2,741.2
3000.0,580.8,936.4,643.9,732.3
3100.0,578.0,926.0,648.5,707.0
3200.0,587.0,935.1,652.0,740.0
3300.0,587.0,926.0,652.0,740.6
3400.0,578.0,932.6,652.0,754.3
3500.0,578.0,937.0,652.0,753.6
3600.0,578.0,926.0,640.1,696.0
3700.0,582.0,937.0,649.9,755.0
3800.0,578.0,926.0,650.8,737.1
3900.0,587.0,926.0,652.0,749.8
4000.0,587.0,926.0,652.0,751.5
4100.0,578.0,926.0,652.0,741.6
4200.0,578.9,926.0,637.0,746.3
4300.0,587.0,937.0,640.9,709.8
4400.0,578.0,927.4,652.0,736.7
4500.0,578.0,934.4,652.0,734.0
4600.0,578.0,927.5,652.0,743.1
4700.0,578.0,926.0,637.0,733.7
4800.0,587.0,937.0,652.0,729.4
4900.0,578.0,937.0,652.0,742.6
5000.0,587.0,933.9,652.0,755.0
5100.0,582.6,926.0,652.0,752.2
5200.0,587.0,937.0,649.9,755.0
5300.0,578.0,926.6,652.0,738.2
5400.0,581.8,926.0,652.0,745.9
5500.0,578.0,926.0,652.0,737.2
5600.0,587.0,937.0,638.6,740.8
5700.0,579.8,937.0,639.0,735.3
5800.0,587.0,930.7,639.6,700.1
5900.0,578.0,930.0,652.0,743.0
6000.0,578.0,937.0,637.0,715.6
6100.0,578.0,937.0,652.0,752.2
6200.0,587.0,937.0,652.0,754.4
6300.0,578.0,927.0,644.6,734.9
6400.0,581.0,937.0,652.0,738.1
6500.0,578.0,930.2,646.3,755.0
6600.0,587.0,926.0,642.9,747.3
6700.0,587.0,927.5,640.3,755.0
6800.0,585.4,937.0,637.0,723.9
6900.0,578.0,937.0,637.0,703.2
7000.0,587.0,930.7,646.5,734.8
7100.0,587.0,926.0,637.0,730.9
7200.0,578.0,937.0,652.0,746.7
7300.0,587.0,933.2,640.5,729.5
7400.0,578.8,931.9,648.1,739.5
7500.0,580.6,926.6,640.8,697.0
7600.0,578.0,926.0,641.8,735.8
7700.0,578.0,931.2,652.0,755.0
7800.0,587.0,926.0,649.9,740.1
7900.0,587.0,926.3,639.2,745.3
8000.0,578.0,927.5,637.0,722.4
8100.0,578.0,926.0,648.1,724.8
8200.0,579.3,926.0,650.1,730.3
8300.0,580.0,926.0,652.0,743.1
8400.0,587.0,937.0,648.5,754.2
8500.0,587.0,937.0,652.0,755.0
8600.0,578.0,926.0,642.7,732.4
8700.0,587.0,937.0,646.5,755.0
8800.0,580.8,937.0,646.3,751.6
8900.0,584.6,932.4,644.5,754.2
9000.0,583.9,931.0,652.0,755.0
9100.0,578.0,926.0,646.0,696.3
9200.0,582.7,934.0,637.0,726.3
9300.0,587.0,926.0,642.3,696.0
9400.0,587.0,933.9,639.6,734.9
9500.0,582.2,926.0,652.0,740.6
9600.0,578.0,926.0,641.0,707.8
9700.0,587.0,926.0,650.2,741.7
9800.0,578.0,926.0,648.9,744.0
9900.0,583.8,930.2,645.3,752.6
10000.0,578.9,937.0,652.0,755.0
10100.0,579.1,927.9,646.3,736.4
10200.0,581.3,926.0,638.8,730.0
10300.0,580.8,931.0,652.0,755.0
10400.0,587.0,935.4,652.0,755.0
10500.0,578.0,937.0,637.3,737.3
10600.0,583.6,926.0,651.1,744.9
10700.0,578.0,937.0,652.0,753.9
