timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,604.0,942.0,655.0,783.3
100.0,604.0,939.4,666.0,787.0
200.0,596.5,938.0,661.4,783.5
300.0,594.0,938.0,656.8,761.0
400.0,595.9,938.0,662.7,776.8
500.0,604.0,942.0,655.0,782.8
600.0,602.3,942.0,661.2,773.5
700.0,590.0,942.0,655.1,761.0
800.0,590.0,942.0,666.0,782.7
900.0,590.0,938.0,666.0,787.0
1000.0,595.7,938.0,666.0,779.3
1100.0,590.0,942.0,663.5,778.0
1200.0,590.0,938.0,655.0,769.3
1300.0,590.0,942.0,666.0,787.0
1400.0,602.6,938.0,666.0,767.8
1500.0,592.4,938.0,655.0,766.5
1600.0,596.5,942.0,655.0,761.0
1700.0,596.4,938.0,655.0,769.9
1800.0,604.0,942.0,656.3,769.3
1900.0,604.0,938.0,666.0,761.0
2000.0,590.0,938.0,655.0,761.0
2100.0,602.8,942.0,658.6,768.4
2200.0,599.5,938.0,655.0,763.2
2300.0,591.7,939.7,655.3,767.7
2400.0,597.6,938.0,658.3,761.0
2500.0,604.0,939.6,660.0,786.3
2600.0,590.0,942.0,666.0,783.2
2700.0,604.0,942.0,655.0,787.0
2800.0,594.1,942.0,666.0,766.8
2900.0,596.9,938.0,666.0,761.0
3000.0,595.2,938.0,655.0,774.0
3100.0,590.0,938.0,655.0,775.2
3200.0,602.5,938.0,655.0,761.9
3300.0,590.0,942.0,655.0,762.0
3400.0,604.0,939.4,659.8,782.6
3500.0,590.0,938.0,655.0,777.0
3600.0,590.0,938.0,655.0,761.0
3700.0,601.7,938.0,663.7,764.4
3800.0,599.4,942.0,665.5,761.0
3900.0,604.0,942.0,666.0,783.3
4000.0,603.9,938.0,663.6,778.7
4100.0,604.0,938.5,657.2,778.4
4200.0,597.1,938.0,666.0,765.7
4300.0,590.0,938.0,655.0,774.2
4400.0,604.0,938.0,666.0,774.2
4500.0,596.9,938.0,664.7,763.7
4600.0,590.0,942.0,655.0,761.0
4700.0,595.7,942.0,655.0,762.6
4800.0,590.0,942.0,663.3,773.8
4900.0,590.0,942.0,655.0,774.4
5000.0,590.0,942.0,656.3,764.0
5100.0,591.7,938.0,656.6,772.0
5200.0,595.5,938.0,655.0,761.0
5300.0,592.3,938.0,666.0,778.4
5400.0,594.5,942.0,655.0,771.5
5500.0,598.8,938.0,660.5,779.7
5600.0,590.0,942.0,663.8,768.6
5700.0,593.1,942.0,655.0,761.0
5800.0,590.0,938.0,663.4,783.3
5900.0,590.0,938.0,666.0,780.2
6000.0,598.6,938.0,655.0,773.8
6100.0,598.0,938.0,663.2,782.6
6200.0,597.0,938.0,655.0,767.5
