timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,704.0,770.0,630.0,270.0
100.0,703.0,770.0,631.0,273.0
200.0,704.0,770.0,630.0,276.0
300.0,704.0,770.0,630.0,279.0
400.0,704.0,771.0,631.0,282.0
500.0,705.0,772.0,632.0,284.0
600.0,706.0,772.0,632.0,288.0
700.0,707.0,773.0,633.0,290.0
800.0,708.0,774.0,634.0,293.0
900.0,709.0,775.0,634.0,296.0
1000.0,711.0,776.0,634.0,298.0
1100.0,711.0,777.0,635.0,301.0
1200.0,713.0,779.0,636.0,303.0
1300.0,714.0,780.0,637.0,305.0
1400.0,715.0,781.0,638.0,306.0
1500.0,717.0,783.0,640.0,308.0
1600.0,718.0,784.0,641.0,309.0
1700.0,721.0,785.0,642.0,311.0
1800.0,721.0,786.0,643.0,312.0
1900.0,724.0,788.0,644.0,314.0
2000.0,725.0,789.0,645.0,315.0
2100.0,727.0,791.0,647.0,315.0
2200.0,728.0,792.0,647.0,317.0
2300.0,730.0,792.0,648.0,317.0
2400.0,731.0,794.0,650.0,319.0
2500.0,733.0,795.0,651.0,319.0
2600.0,734.0,797.0,652.0,321.0
2700.0,736.0,798.0,654.0,320.0
2800.0,737.0,799.0,654.0,322.0
2900.0,739.0,800.0,655.0,323.0
3000.0,740.0,802.0,657.0,324.0
3100.0,741.0,802.0,657.0,325.0
3200.0,742.0,803.0,658.0,326.0
3300.0,743.0,805.0,659.0,325.0
3400.0,744.0,806.0,659.0,327.0
3500.0,745.0,806.0,662.0,328.0
3600.0,746.0,807.0,662.0,328.0
3700.0,746.0,807.0,662.0,328.0
3800.0,747.0,809.0,664.0,330.0
3900.0,748.0,810.0,664.0,331.0
4000.0,749.0,811.0,665.0,331.0
4100.0,749.0,812.0,666.0,331.0
4200.0,749.0,812.0,666.0,332.0
4300.0,751.0,813.0,668.0,332.0
4400.0,750.0,813.0,668.0,332.0
4500.0,751.0,814.0,668.0,332.0
4600.0,752.0,815.0,669.0,332.0
4700.0,753.0,815.0,670.0,333.0
4800.0,752.0,815.0,670.0,332.0
4900.0,754.0,816.0,671.0,333.0
5000.0,754.0,817.0,672.0,333.0
5100.0,753.0,817.0,672.0,333.0
5200.0,753.0,817.0,673.0,332.0
5300.0,754.0,818.0,673.0,332.0
5400.0,755.0,819.0,674.0,332.0
5500.0,756.0,819.0,675.0,333.0
5600.0,756.0,819.0,675.0,334.0
5700.0,756.0,820.0,676.0,333.0
5800.0,756.0,820.0,676.0,333.0
5900.0,757.0,820.0,677.0,332.0
6000.0,756.0,820.0,676.0,332.0
6100.0,757.0,821.0,677.0,331.0
6200.0,757.0,821.0,678.0,332.0
6300.0,757.0,822.0,678.0,332.0
6400.0,758.0,822.0,678.0,330.0
6500.0,758.0,821.0,679.0,331.0
6600.0,758.0,821.0,680.0,331.0
6700.0,758.0,822.0,679.0,330.0
6800.0,759.0,822.0,680.0,330.0
6900.0,758.0,822.0,680.0,330.0
7000.0,758.0,822.0,681.0,329.0
7100.0,759.0,822.0,680.0,330.0
7200.0,759.0,822.0,681.0,330.0
7300.0,759.0,822.0,682.0,330.0
7400.0,759.0,823.0,681.0,330.0
7500.0,759.0,821.0,682.0,330.0
7600.0,759.0,822.0,682.0,329.0
7700.0,759.0,822.0,683.0,330.0
7800.0,759.0,822.0,682.0,330.0
7900.0,759.0,823.0,683.0,329.0
8000.0,759.0,823.0,683.0,329.0
8100.0,759.0,823.0,684.0,330.0
8200.0,759.0,822.0,683.0,330.0
8300.0,759.0,823.0,683.0,329.0
8400.0,760.0,823.0,683.0,329.0
8500.0,759.0,822.0,684.0,330.0
8600.0,759.0,822.0,684.0,329.0
8700.0,759.0,822.0,684.0,331.0
8800.0,759.0,822.0,685.0,330.0
8900.0,759.0,822.0,684.0,330.0
9000.0,759.0,822.0,685.0,330.0
9100.0,759.0,822.0,685.0,331.0
9200.0,758.0,823.0,686.0,331.0
9300.0,759.0,822.0,685.0,332.0
9400.0,759.0,823.0,686.0,332.0
9500.0,758.0,822.0,686.0,332.0
9600.0,758.0,823.0,685.0,332.0
9700.0,759.0,823.0,686.0,333.0
9800.0,758.0,822.0,686.0,333.0
9900.0,758.0,822.0,686.0,333.0
10000.0,757.0,823.0,685.0,333.0
10100.0,758.0,823.0,687.0,334.0
10200.0,757.0,823.0,687.0,334.0
10300.0,758.0,824.0,687.0,334.0
10400.0,757.0,823.0,687.0,334.0
10500.0,758.0,824.0,688.0,333.0
