timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,773.0,832.0,749.0,642.0
100.0,774.0,832.0,750.0,642.0
200.0,774.0,832.0,750.0,643.0
300.0,775.0,832.0,749.0,644.0
400.0,774.0,832.0,750.0,645.0
500.0,775.0,832.0,751.0,645.0
600.0,774.0,831.0,751.0,647.0
700.0,774.0,833.0,751.0,646.0
800.0,775.0,833.0,751.0,647.0
900.0,775.0,832.0,751.0,647.0
1000.0,775.0,833.0,752.0,648.0
1100.0,776.0,833.0,752.0,648.0
1200.0,775.0,833.0,752.0,649.0
1300.0,775.0,834.0,752.0,649.0
1400.0,776.0,834.0,752.0,650.0
1500.0,776.0,834.0,753.0,651.0
1600.0,777.0,833.0,753.0,651.0
1700.0,777.0,834.0,754.0,650.0
1800.0,777.0,835.0,754.0,652.0
1900.0,776.0,834.0,754.0,651.0
2000.0,777.0,834.0,754.0,653.0
2100.0,777.0,834.0,754.0,652.0
2200.0,777.0,835.0,755.0,654.0
2300.0,777.0,834.0,755.0,655.0
2400.0,778.0,835.0,754.0,655.0
2500.0,778.0,835.0,756.0,656.0
2600.0,778.0,835.0,755.0,655.0
2700.0,779.0,835.0,755.0,656.0
2800.0,778.0,836.0,755.0,657.0
2900.0,779.0,836.0,755.0,656.0
3000.0,778.0,836.0,756.0,658.0
3100.0,779.0,837.0,756.0,657.0
3200.0,779.0,836.0,757.0,658.0
3300.0,779.0,838.0,757.0,658.0
3400.0,780.0,838.0,757.0,660.0
3500.0,779.0,837.0,757.0,660.0
3600.0,779.0,837.0,758.0,661.0
3700.0,779.0,837.0,758.0,661.0
3800.0,780.0,837.0,758.0,661.0
3900.0,780.0,837.0,758.0,662.0
4000.0,780.0,838.0,759.0,662.0
4100.0,780.0,838.0,759.0,663.0
4200.0,781.0,837.0,759.0,664.0
4300.0,781.0,838.0,759.0,663.0
4400.0,780.0,839.0,760.0,664.0
4500.0,781.0,839.0,759.0,664.0
4600.0,782.0,838.0,760.0,665.0
4700.0,781.0,838.0,760.0,665.0
4800.0,782.0,838.0,761.0,665.0
4900.0,782.0,840.0,761.0,665.0
5000.0,782.0,839.0,760.0,665.0
5100.0,782.0,839.0,762.0,667.0
5200.0,781.0,840.0,761.0,668.0
5300.0,782.0,840.0,761.0,669.0
5400.0,782.0,840.0,761.0,669.0
5500.0,782.0,840.0,762.0,668.0
5600.0,782.0,840.0,762.0,669.0
5700.0,782.0,840.0,762.0,670.0
5800.0,782.0,840.0,763.0,670.0
5900.0,782.0,841.0,763.0,671.0
6000.0,783.0,841.0,763.0,671.0
6100.0,782.0,841.0,762.0,671.0
6200.0,783.0,841.0,763.0,672.0
6300.0,782.0,842.0,764.0,673.0
6400.0,783.0,841.0,763.0,673.0
6500.0,783.0,841.0,764.0,673.0
6600.0,783.0,842.0,764.0,673.0
6700.0,783.0,842.0,764.0,674.0
6800.0,783.0,842.0,765.0,675.0
6900.0,784.0,842.0,765.0,675.0
7000.0,782.0,843.0,766.0,674.0
7100.0,783.0,842.0,765.0,674.0
7200.0,784.0,843.0,765.0,676.0
7300.0,783.0,843.0,765.0,675.0
7400.0,784.0,844.0,766.0,677.0
7500.0,784.0,842.0,766.0,676.0
7600.0,783.0,843.0,766.0,676.0
7700.0,784.0,843.0,766.0,676.0
7800.0,784.0,844.0,766.0,678.0
7900.0,784.0,843.0,767.0,678.0
8000.0,784.0,844.0,766.0,678.0
8100.0,784.0,844.0,766.0,678.0
8200.0,785.0,843.0,766.0,678.0
8300.0,785.0,844.0,767.0,679.0
8400.0,785.0,845.0,767.0,679.0
8500.0,786.0,844.0,768.0,679.0
8600.0,785.0,845.0,768.0,680.0
8700.0,785.0,845.0,768.0,681.0
8800.0,786.0,845.0,768.0,681.0
8900.0,785.0,845.0,769.0,681.0
9000.0,786.0,846.0,769.0,683.0
9100.0,786.0,845.0,768.0,682.0
9200.0,786.0,845.0,769.0,684.0
9300.0,786.0,845.0,768.0,683.0
9400.0,786.0,846.0,770.0,683.0
9500.0,785.0,847.0,768.0,683.0
9600.0,786.0,846.0,770.0,685.0
9700.0,786.0,846.0,769.0,685.0
9800.0,786.0,846.0,770.0,685.0
9900.0,787.0,846.0,769.0,685.0
10000.0,787.0,846.0,770.0,686.0
10100.0,786.0,846.0,769.0,686.0
10200.0,786.0,847.0,770.0,686.0
10300.0,787.0,847.0,770.0,687.0
10400.0,786.0,847.0,771.0,686.0
10500.0,787.0,847.0,771.0,687.0
10600.0,786.0,847.0,771.0,687.0
10700.0,787.0,847.0,770.0,688.0
10800.0,787.0,848.0,771.0,688.0
10900.0,788.0,848.0,770.0,688.0
11000.0,786.0,847.0,771.0,689.0
11100.0,787.0,848.0,772.0,688.0
11200.0,788.0,848.0,772.0,688.0
11300.0,788.0,848.0,772.0,689.0
11400.0,788.0,848.0,772.0,690.0
11500.0,788.0,849.0,772.0,690.0
11600.0,788.0,848.0,773.0,690.0
11700.0,788.0,848.0,772.0,691.0
11800.0,788.0,848.0,773.0,690.0
