timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,791.0,851.0,746.0,514.0
100.0,792.0,850.0,746.0,514.0
200.0,793.0,850.0,746.0,514.0
300.0,792.0,851.0,746.0,513.0
400.0,793.0,850.0,745.0,513.0
500.0,792.0,850.0,744.0,513.0
600.0,792.0,850.0,745.0,512.0
700.0,792.0,850.0,745.0,512.0
800.0,792.0,849.0,744.0,511.0
900.0,791.0,850.0,745.0,511.0
1000.0,791.0,850.0,745.0,511.0
1100.0,791.0,850.0,744.0,510.0
1200.0,791.0,848.0,745.0,511.0
1300.0,791.0,849.0,743.0,510.0
1400.0,790.0,849.0,743.0,511.0
1500.0,791.0,849.0,744.0,510.0
1600.0,791.0,849.0,743.0,511.0
1700.0,791.0,848.0,743.0,511.0
1800.0,790.0,848.0,743.0,510.0
1900.0,791.0,849.0,743.0,510.0
2000.0,790.0,848.0,742.0,510.0
2100.0,791.0,848.0,742.0,510.0
2200.0,790.0,848.0,743.0,510.0
2300.0,789.0,849.0,742.0,511.0
2400.0,791.0,848.0,742.0,511.0
2500.0,791.0,848.0,743.0,511.0
2600.0,789.0,848.0,742.0,510.0
2700.0,791.0,848.0,742.0,512.0
2800.0,791.0,848.0,741.0,511.0
2900.0,789.0,848.0,742.0,511.0
3000.0,790.0,848.0,742.0,510.0
3100.0,790.0,848.0,742.0,511.0
3200.0,790.0,848.0,742.0,512.0
3300.0,791.0,849.0,741.0,511.0
3400.0,790.0,847.0,742.0,513.0
3500.0,791.0,847.0,741.0,512.0
3600.0,791.0,848.0,742.0,514.0
3700.0,791.0,848.0,742.0,514.0
3800.0,791.0,848.0,741.0,514.0
3900.0,790.0,847.0,741.0,514.0
4000.0,791.0,848.0,741.0,514.0
4100.0,791.0,848.0,741.0,514.0
4200.0,792.0,847.0,741.0,515.0
4300.0,790.0,848.0,741.0,516.0
4400.0,791.0,849.0,742.0,516.0
4500.0,791.0,848.0,742.0,516.0
4600.0,791.0,848.0,742.0,516.0
4700.0,791.0,848.0,741.0,517.0
4800.0,791.0,848.0,742.0,516.0
4900.0,792.0,848.0,742.0,518.0
5000.0,791.0,848.0,741.0,517.0
5100.0,791.0,849.0,742.0,518.0
5200.0,791.0,848.0,741.0,519.0
5300.0,791.0,848.0,742.0,518.0
5400.0,791.0,848.0,742.0,519.0
5500.0,791.0,848.0,742.0,520.0
5600.0,792.0,848.0,742.0,518.0
5700.0,792.0,849.0,743.0,519.0
5800.0,792.0,848.0,743.0,519.0
5900.0,792.0,848.0,742.0,519.0
6000.0,792.0,848.0,743.0,521.0
6100.0,792.0,849.0,742.0,520.0
6200.0,792.0,849.0,743.0,521.0
6300.0,791.0,848.0,743.0,520.0
6400.0,792.0,848.0,743.0,520.0
6500.0,792.0,848.0,743.0,520.0
6600.0,793.0,848.0,744.0,521.0
6700.0,792.0,849.0,742.0,520.0
6800.0,792.0,847.0,743.0,520.0
6900.0,792.0,848.0,744.0,521.0
7000.0,792.0,848.0,743.0,521.0
7100.0,792.0,848.0,744.0,521.0
7200.0,792.0,848.0,744.0,521.0
7300.0,792.0,848.0,744.0,520.0
7400.0,792.0,847.0,744.0,520.0
7500.0,792.0,847.0,744.0,520.0
7600.0,792.0,847.0,743.0,520.0
7700.0,792.0,847.0,743.0,519.0
7800.0,792.0,847.0,744.0,519.0
7900.0,791.0,847.0,743.0,520.0
8000.0,791.0,847.0,743.0,520.0
8100.0,791.0,847.0,744.0,520.0
8200.0,792.0,847.0,744.0,520.0
8300.0,792.0,847.0,743.0,519.0
8400.0,791.0,848.0,743.0,520.0
8500.0,792.0,847.0,743.0,520.0
8600.0,791.0,847.0,743.0,519.0
8700.0,791.0,847.0,743.0,519.0
8800.0,791.0,846.0,743.0,520.0
8900.0,792.0,846.0,744.0,520.0
9000.0,791.0,846.0,744.0,520.0
9100.0,791.0,847.0,743.0,520.0
9200.0,791.0,847.0,744.0,520.0
9300.0,791.0,847.0,744.0,520.0
9400.0,791.0,846.0,744.0,521.0
9500.0,792.0,846.0,743.0,521.0
9600.0,791.0,846.0,744.0,521.0
9700.0,792.0,846.0,743.0,520.0
9800.0,792.0,847.0,743.0,522.0
9900.0,792.0,846.0,744.0,521.0
10000.0,792.0,846.0,744.0,522.0
10100.0,792.0,847.0,744.0,522.0
10200.0,792.0,846.0,743.0,524.0
10300.0,792.0,846.0,744.0,522.0
