timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,748.0,967.0,836.0,864.2
100.0,748.0,969.3,820.0,883.7
200.0,748.0,973.0,824.5,888.2
300.0,748.0,973.0,821.5,878.9
400.0,754.7,967.0,824.8,869.4
500.0,765.0,967.0,832.5,881.3
600.0,753.3,967.0,820.0,863.0
700.0,751.6,967.0,826.7,903.0
800.0,748.0,967.0,831.0,878.9
900.0,750.6,973.0,820.0,863.0
1000.0,760.4,973.0,820.0,876.9
1100.0,752.9,973.0,835.1,872.5
1200.0,762.4,967.0,836.0,887.7
1300.0,764.1,967.0,827.4,890.9
1400.0,748.0,967.0,827.0,872.3
1500.0,759.3,971.4,826.7,899.6
1600.0,749.4,967.0,831.9,868.9
1700.0,764.8,967.0,832.4,888.8
1800.0,755.4,973.0,820.0,877.9
1900.0,758.2,973.0,822.5,863.0
2000.0,765.0,973.0,827.2,886.5
2100.0,754.1,967.0,825.9,863.0
2200.0,748.0,967.0,835.7,893.3
2300.0,765.0,973.0,833.2,887.7
2400.0,749.1,967.2,827.2,876.8
2500.0,762.2,967.0,831.4,863.0
2600.0,765.0,973.0,836.0,903.0
2700.0,748.0,967.0,832.9,863.0
2800.0,758.2,973.0,836.0,891.6
2900.0,748.0,973.0,835.5,863.0
3000.0,760.1,973.0,820.0,877.2
3100.0,755.7,967.0,831.5,882.5
3200.0,765.0,973.0,836.0,863.0
3300.0,765.0,973.0,835.5,878.9
3400.0,758.8,973.0,836.0,895.6
3500.0,758.8,967.0,823.8,875.1
3600.0,765.0,968.4,836.0,890.9
3700.0,750.5,967.0,836.0,880.9
3800.0,761.0,973.0,836.0,889.6
3900.0,755.9,969.7,821.3,891.5
4000.0,756.0,967.0,832.8,863.0
4100.0,765.0,967.0,836.0,903.0
4200.0,761.0,973.0,820.2,869.7
4300.0,748.0,971.6,820.0,882.7
4400.0,748.0,969.5,820.0,890.7
4500.0,748.0,967.1,820.0,897.7
4600.0,765.0,973.0,836.0,863.0
4700.0,752.0,967.0,836.0,903.0
4800.0,756.9,972.8,836.0,895.6
4900.0,765.0,967.0,826.9,890.0
5000.0,749.6,973.0,830.0,882.7
5100.0,765.0,967.0,836.0,903.0
5200.0,748.0,967.0,820.0,863.0
5300.0,748.0,973.0,820.0,866.6
5400.0,755.1,967.0,836.0,889.9
5500.0,763.8,967.0,834.1,883.4
5600.0,756.6,973.0,820.0,877.7
5700.0,754.4,967.0,820.0,879.7
5800.0,765.0,967.0,836.0,899.3
5900.0,764.9,967.0,836.0,895.5
6000.0,765.0,970.3,830.4,882.9
6100.0,748.0,967.0,829.6,896.6
6200.0,765.0,967.0,820.0,875.4
6300.0,764.5,967.0,820.4,899.0
6400.0,764.6,967.0,824.2,877.1
6500.0,765.0,973.0,820.0,888.4
6600.0,764.4,967.0,836.0,891.8
6700.0,765.0,973.0,823.6,880.5
6800.0,765.0,973.0,822.2,876.5
6900.0,748.0,967.0,836.0,888.3
7000.0,748.0,973.0,826.3,897.6
7100.0,764.2,967.2,820.0,876.5
7200.0,752.1,971.4,820.0,878.7
7300.0,748.0,973.0,825.5,895.6
7400.0,765.0,967.0,820.0,896.5
7500.0,748.0,973.0,836.0,885.5
7600.0,756.4,967.0,824.4,893.9
7700.0,765.0,973.0,836.0,886.0
7800.0,748.0,973.0,820.0,870.1
7900.0,765.0,967.0,826.3,902.9
8000.0,749.8,973.0,829.3,871.8
8100.0,753.4,967.0,834.4,879.9
8200.0,758.7,973.0,820.0,870.8
8300.0,755.0,973.0,831.6,881.5
8400.0,751.4,973.0,824.0,874.3
8500.0,748.0,973.0,833.3,888.8
8600.0,751.9,973.0,836.0,903.0
8700.0,763.3,973.0,836.0,892.8
8800.0,750.0,967.0,836.0,863.0
8900.0,753.0,973.0,836.0,882.6
9000.0,748.0,973.0,836.0,894.5
9100.0,748.0,967.0,820.0,879.5
9200.0,748.0,973.0,834.3,864.4
9300.0,756.5,973.0,820.0,871.5
9400.0,759.3,967.0,826.3,901.2
9500.0,765.0,973.0,820.0,903.0
9600.0,748.0,973.0,834.5,903.0
9700.0,748.0,967.0,820.0,883.5
9800.0,765.0,967.0,828.4,903.0
9900.0,765.0,973.0,820.0,875.8
10000.0,748.0,973.0,835.3,865.4
10100.0,765.0,967.0,826.0,867.8
10200.0,765.0,973.0,836.0,868.3
10300.0,759.8,967.0,821.6,868.5
10400.0,765.0,967.0,836.0,883.3
10500.0,757.9,973.0,836.0,885.9
10600.0,765.0,973.0,820.0,863.0
10700.0,758.1,967.0,821.0,891.9
10800.0,757.2,967.0,835.7,897.9
10900.0,748.0,973.0,820.0,880.2
11000.0,760.8,967.5,820.0,878.0
11100.0,756.0,973.0,836.0,903.0
11200.0,750.2,972.2,836.0,903.0
11300.0,765.0,973.0,820.0,864.3
11400.0,751.6,973.0,820.0,883.8
11500.0,764.0,973.0,831.2,883.2
11600.0,755.6,968.4,821.4,903.0
11700.0,749.1,967.0,820.6,892.6
11800.0,759.1,967.0,820.0,863.0
11900.0,750.6,973.0,820.0,876.4
12000.0,752.5,973.0,830.3,879.2
12100.0,748.0,967.1,822.0,863.0
12200.0,764.7,967.0,821.7,884.8
12300.0,748.0,967.0,833.1,886.4
12400.0,760.5,967.0,820.0,897.0
12500.0,761.3,967.0,820.0,878.7
12600.0,753.1,973.0,832.0,864.5
12700.0,761.2,973.0,826.9,863.0
12800.0,748.0,967.0,836.0,877.7
12900.0,748.0,971.0,820.0,874.4
13000.0,748.0,970.5,820.9,884.4
13100.0,758.4,973.0,826.0,865.7
13200.0,754.1,973.0,836.0,903.0
13300.0,758.3,973.0,822.5,870.8
13400.0,765.0,973.0,836.0,903.0
13500.0,763.6,968.9,827.4,891.5
13600.0,765.0,967.0,820.0,873.2
13700.0,748.0,967.0,820.0,881.8
13800.0,762.9,967.0,836.0,903.0
13900.0,748.0,973.0,831.6,875.6
14000.0,765.0,967.0,832.9,884.5
14100.0,765.0,973.0,820.0,901.6
14200.0,755.4,967.0,830.8,863.0
14300.0,765.0,968.3,836.0,879.1
14400.0,748.0,967.0,821.2,893.1
14500.0,748.8,973.0,836.0,864.9
14600.0,765.0,967.0,827.8,899.6
