timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,777.0,972.0,838.6,905.0
100.0,774.4,977.0,849.0,905.0
200.0,777.0,972.0,849.0,929.0
300.0,770.9,977.0,849.0,905.6
400.0,765.0,972.0,849.0,906.7
500.0,773.9,972.0,846.3,920.7
600.0,769.7,973.5,843.1,925.0
700.0,772.0,972.0,838.0,917.5
800.0,777.0,977.0,849.0,913.8
900.0,777.0,977.0,849.0,929.0
1000.0,765.0,977.0,845.0,922.9
1100.0,777.0,977.0,849.0,914.2
1200.0,777.0,972.0,838.0,917.0
1300.0,765.0,974.7,843.6,920.2
1400.0,777.0,972.0,849.0,929.0
1500.0,774.9,977.0,843.9,908.8
1600.0,765.0,975.9,838.0,926.6
1700.0,777.0,972.0,849.0,916.2
1800.0,769.6,972.0,838.0,922.5
1900.0,777.0,977.0,846.4,912.5
2000.0,765.0,975.3,838.0,907.5
2100.0,766.3,972.0,838.0,905.0
2200.0,777.0,977.0,838.0,921.9
2300.0,777.0,972.0,849.0,923.3
2400.0,765.0,977.0,849.0,920.5
2500.0,775.0,972.0,847.8,914.4
2600.0,765.0,972.2,849.0,909.0
2700.0,777.0,977.0,849.0,922.7
2800.0,766.6,976.9,838.0,914.2
2900.0,775.1,976.4,844.8,929.0
3000.0,766.5,977.0,838.0,922.1
3100.0,777.0,972.0,849.0,911.7
3200.0,770.6,977.0,847.4,921.6
3300.0,772.1,976.7,847.1,911.5
3400.0,776.8,972.0,849.0,905.0
3500.0,777.0,977.0,838.0,929.0
3600.0,777.0,972.0,838.0,929.0
3700.0,765.0,977.0,838.0,905.0
3800.0,765.0,972.5,849.0,913.1
3900.0,777.0,976.3,838.0,917.0
4000.0,765.0,977.0,849.0,908.3
4100.0,775.5,977.0,838.0,913.1
4200.0,777.0,972.0,849.0,921.8
4300.0,774.2,977.0,838.0,924.1
4400.0,771.5,977.0,849.0,919.4
4500.0,777.0,977.0,849.0,921.0
4600.0,777.0,977.0,838.0,929.0
4700.0,773.2,976.6,848.9,922.8
4800.0,775.3,977.0,849.0,929.0
4900.0,777.0,972.0,849.0,905.0
5000.0,777.0,977.0,849.0,929.0
5100.0,777.0,977.0,849.0,929.0
5200.0,776.8,972.0,838.0,908.2
5300.0,777.0,972.0,849.0,929.0
5400.0,765.0,975.3,841.6,917.0
5500.0,777.0,972.0,838.0,905.0
5600.0,771.5,972.0,842.6,929.0
5700.0,773.8,972.0,838.0,905.0
5800.0,777.0,977.0,849.0,929.0
5900.0,765.0,976.7,849.0,917.6
6000.0,765.0,972.0,847.5,922.6
6100.0,777.0,972.5,844.8,918.9
6200.0,776.8,973.8,838.0,914.9
6300.0,773.3,972.0,849.0,905.0
6400.0,777.0,972.0,838.0,905.0
6500.0,776.5,972.0,849.0,929.0
6600.0,765.0,972.0,838.0,905.2
6700.0,777.0,977.0,847.4,928.6
6800.0,767.6,972.0,838.0,905.0
6900.0,777.0,972.0,849.0,924.4
7000.0,766.1,972.0,847.9,909.8
7100.0,777.0,972.0,849.0,913.4
7200.0,776.3,977.0,849.0,920.2
7300.0,777.0,977.0,849.0,929.0
7400.0,777.0,977.0,843.2,929.0
7500.0,772.3,972.0,849.0,905.0
7600.0,777.0,977.0,839.9,905.0
7700.0,770.7,972.0,843.6,929.0
7800.0,768.7,977.0,839.4,920.6
7900.0,774.2,972.0,849.0,929.0
8000.0,772.5,977.0,849.0,911.7
8100.0,770.5,974.7,849.0,921.4
8200.0,777.0,977.0,838.0,907.0
8300.0,777.0,977.0,849.0,929.0
8400.0,777.0,972.0,843.4,911.9
8500.0,765.0,977.0,845.0,907.6
8600.0,765.0,977.0,849.0,919.9
8700.0,777.0,972.0,846.1,924.5
8800.0,765.0,977.0,849.0,910.7
8900.0,777.0,975.6,849.0,908.8
9000.0,766.1,972.0,849.0,924.9
9100.0,777.0,972.0,849.0,929.0
9200.0,769.4,977.0,849.0,929.0
9300.0,777.0,972.0,847.7,928.8
9400.0,768.2,972.0,838.0,918.7
9500.0,770.1,972.0,849.0,927.8
9600.0,774.5,977.0,842.5,908.4
9700.0,777.0,972.0,848.6,919.1
9800.0,777.0,977.0,849.0,906.0
9900.0,765.0,972.0,849.0,916.0
10000.0,765.7,972.0,838.0,905.0
10100.0,765.0,977.0,848.2,926.8
10200.0,765.0,977.0,849.0,910.4
10300.0,765.0,977.0,849.0,905.0
10400.0,770.9,972.0,838.0,905.0
10500.0,777.0,972.0,838.0,905.6
10600.0,770.8,977.0,849.0,917.0
10700.0,773.4,972.0,838.0,909.7
10800.0,765.0,972.0,849.0,905.0
10900.0,765.0,977.0,838.0,912.7
11000.0,777.0,972.0,849.0,924.3
11100.0,768.3,973.3,849.0,918.0
11200.0,772.8,977.0,849.0,919.3
11300.0,777.0,972.0,838.0,923.1
11400.0,765.0,972.0,844.5,909.6
11500.0,765.0,972.0,846.1,918.3
11600.0,766.4,977.0,838.0,929.0
11700.0,777.0,972.0,838.0,905.0
11800.0,765.2,972.0,840.2,909.7
11900.0,769.7,977.0,838.0,925.6
12000.0,765.0,972.0,838.0,923.5
12100.0,765.0,977.0,849.0,917.7
12200.0,766.8,972.0,849.0,925.7
12300.0,765.0,972.0,849.0,924.8
12400.0,777.0,977.0,842.4,929.0
12500.0,777.0,977.0,849.0,928.7
12600.0,777.0,977.0,840.4,929.0
12700.0,777.0,977.0,849.0,928.7
12800.0,765.0,976.9,838.0,927.3
12900.0,765.0,977.0,849.0,911.6
13000.0,769.1,977.0,839.6,929.0
13100.0,767.8,977.0,838.0,909.6
13200.0,774.4,977.0,838.0,926.6
13300.0,777.0,975.1,838.0,907.6
13400.0,765.0,977.0,848.2,907.4
13500.0,765.0,972.0,844.6,905.0
13600.0,775.8,972.0,841.6,925.5
13700.0,768.0,972.0,849.0,929.0
13800.0,765.0,977.0,849.0,918.1
13900.0,765.0,972.0,838.0,915.5
14000.0,765.0,977.0,838.0,916.4
14100.0,765.0,977.0,840.9,929.0
14200.0,765.0,972.0,838.0,905.0
14300.0,774.2,977.0,838.0,923.2
14400.0,777.0,972.0,840.8,917.0
14500.0,777.0,977.0,848.0,922.8
14600.0,774.3,972.0,849.0,917.9
14700.0,777.0,977.0,849.0,929.0
14800.0,765.0,977.0,844.6,905.1
14900.0,777.0,975.8,842.5,920.1
15000.0,777.0,972.0,840.1,929.0
15100.0,777.0,977.0,838.0,929.0
15200.0,767.4,972.0,838.0,905.0
15300.0,777.0,977.0,838.0,929.0
15400.0,775.9,972.0,838.0,927.7
15500.0,766.3,972.0,849.0,912.3
15600.0,765.0,977.0,838.0,929.0
15700.0,765.0,972.0,842.6,919.6
15800.0,765.0,977.0,838.0,910.9
15900.0,765.0,977.0,849.0,917.1
16000.0,777.0,977.0,838.0,928.6
16100.0,777.0,975.4,838.0,918.4
16200.0,765.0,972.0,849.0,905.0
16300.0,768.6,977.0,845.8,928.5
16400.0,767.3,972.0,848.0,905.0
16500.0,765.3,977.0,849.0,928.2
16600.0,767.9,972.0,849.0,905.0
16700.0,765.0,977.0,838.0,929.0
16800.0,777.0,977.0,838.0,905.0
16900.0,774.4,977.0,842.6,921.3
17000.0,769.3,977.0,849.0,906.2
17100.0,770.0,972.0,849.0,918.2
17200.0,772.7,972.0,845.7,914.8
17300.0,768.7,972.0,838.7,909.3
17400.0,772.0,972.0,838.0,905.0
17500.0,777.0,977.0,844.3,909.5
17600.0,765.0,972.0,849.0,906.3
17700.0,777.0,977.0,849.0,906.8
17800.0,769.9,972.0,838.0,929.0
17900.0,777.0,972.0,840.6,914.7
18000.0,769.0,972.0,849.0,925.8
18100.0,771.7,972.0,838.0,905.0
18200.0,777.0,977.0,840.7,916.9
18300.0,765.0,972.0,845.8,905.0
18400.0,767.3,977.0,849.0,909.6
18500.0,767.2,977.0,838.1,926.1
18600.0,777.0,976.5,849.0,913.3
18700.0,765.0,972.0,846.6,905.0
18800.0,771.8,972.0,849.0,909.9
18900.0,765.0,972.0,838.0,929.0
19000.0,776.4,977.0,848.1,921.5
19100.0,765.0,977.0,838.0,905.0
19200.0,765.0,977.0,849.0,925.3
19300.0,765.0,977.0,838.0,905.0
19400.0,774.9,977.0,846.8,905.3
19500.0,765.4,977.0,845.0,912.2
19600.0,773.4,977.0,844.8,929.0
19700.0,771.9,977.0,849.0,917.7
19800.0,777.0,977.0,838.0,929.0
19900.0,773.6,977.0,844.0,927.6
20000.0,777.0,977.0,849.0,929.0
20100.0,777.0,972.0,838.0,906.4
20200.0,777.0,977.0,849.0,905.0
20300.0,768.0,977.0,838.0,917.8
20400.0,772.3,972.0,838.0,905.0
20500.0,775.3,973.1,847.6,909.6
20600.0,768.2,977.0,849.0,906.6
20700.0,765.0,977.0,849.0,921.6
20800.0,777.0,977.0,844.5,911.1
20900.0,777.0,972.0,838.0,906.7
21000.0,777.0,977.0,843.5,920.3
21100.0,775.6,975.5,838.0,905.0
21200.0,765.4,977.0,843.5,929.0
21300.0,770.1,972.0,849.0,929.0
21400.0,777.0,977.0,840.9,921.0
21500.0,777.0,977.0,838.0,929.0
21600.0,765.0,977.0,842.0,905.0
21700.0,777.0,972.0,849.0,905.0
21800.0,777.0,977.0,849.0,929.0
21900.0,770.6,972.0,849.0,929.0
22000.0,777.0,977.0,849.0,921.1
22100.0,765.0,972.0,849.0,915.5
22200.0,774.9,972.0,849.0,929.0
22300.0,776.4,972.0,845.1,905.0
22400.0,765.0,977.0,838.0,925.7
22500.0,766.2,972.0,849.0,921.5
22600.0,765.0,972.0,849.0,929.0
22700.0,765.0,972.0,844.3,918.2
22800.0,777.0,977.0,849.0,924.3
22900.0,774.0,977.0,845.4,923.6
23000.0,768.2,977.0,849.0,929.0
23100.0,772.5,977.0,838.0,917.8
23200.0,777.0,972.0,849.0,929.0
23300.0,765.0,972.0,838.0,905.0
23400.0,777.0,972.0,845.0,924.8
23500.0,773.4,977.0,847.1,915.1
23600.0,777.0,977.0,838.1,929.0
23700.0,767.3,972.2,845.8,911.5
23800.0,765.0,972.0,847.7,926.0
23900.0,776.7,976.3,838.0,929.0
24000.0,773.9,972.0,849.0,918.1
24100.0,777.0,972.0,849.0,905.0
24200.0,777.0,972.0,849.0,929.0
24300.0,765.0,977.0,843.6,905.0
24400.0,765.0,972.0,842.9,905.0
24500.0,777.0,972.0,845.7,905.5
24600.0,774.8,972.0,849.0,915.7
24700.0,777.0,977.0,838.0,909.9
24800.0,777.0,977.0,847.7,919.5
24900.0,765.0,973.6,840.4,929.0
25000.0,765.0,972.0,847.8,925.4
25100.0,777.0,977.0,849.0,913.0
25200.0,777.0,977.0,838.0,907.9
25300.0,774.1,977.0,846.4,924.4
25400.0,776.3,977.0,849.0,924.0
25500.0,777.0,975.4,849.0,926.6
25600.0,777.0,972.0,838.0,929.0
25700.0,777.0,972.0,840.4,912.6
25800.0,777.0,972.0,849.0,906.0
25900.0,777.0,972.0,846.6,924.6
26000.0,777.0,977.0,838.0,905.0
26100.0,768.9,972.0,838.0,913.4
26200.0,765.0,975.5,849.0,917.7
26300.0,769.9,972.2,849.0,905.0
26400.0,774.1,972.0,838.0,914.5
26500.0,773.6,977.0,840.9,929.0
26600.0,765.0,972.0,847.5,905.0
26700.0,765.2,972.0,843.7,929.0
26800.0,765.0,977.0,849.0,910.9
26900.0,777.0,972.0,849.0,910.0
27000.0,777.0,972.0,849.0,929.0
27100.0,777.0,972.0,838.4,909.0
27200.0,765.0,976.3,838.0,926.9
27300.0,776.7,972.0,849.0,924.2
27400.0,772.0,974.4,849.0,906.4
27500.0,771.6,972.0,846.3,909.0
27600.0,777.0,977.0,838.0,923.2
27700.0,765.0,977.0,847.4,905.0
27800.0,777.0,977.0,849.0,919.9
27900.0,765.5,972.9,848.0,925.2
28000.0,770.3,972.0,839.9,929.0
28100.0,777.0,972.0,849.0,905.0
28200.0,777.0,972.0,838.0,905.7
28300.0,772.8,977.0,849.0,924.0
28400.0,777.0,977.0,845.4,923.6
28500.0,765.0,972.0,840.8,920.9
28600.0,765.0,977.0,849.0,927.0
28700.0,771.6,972.0,838.0,910.3
28800.0,777.0,972.0,838.0,907.8
28900.0,765.0,977.0,846.5,918.8
29000.0,765.0,977.0,843.2,909.6
29100.0,765.0,972.0,840.9,922.0
29200.0,765.0,977.0,849.0,929.0
29300.0,767.2,977.0,838.0,905.0
29400.0,765.0,974.7,849.0,927.9
29500.0,773.0,972.0,849.0,920.1
29600.0,777.0,972.0,847.2,921.8
