timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,741.0,949.0,772.0,658.0
100.0,740.0,950.0,773.0,658.0
200.0,738.0,948.0,773.0,656.0
300.0,738.0,949.0,773.0,652.0
400.0,736.0,948.0,773.0,646.0
500.0,735.0,947.0,773.0,643.0
600.0,734.0,946.0,772.0,635.0
700.0,732.0,946.0,771.0,628.0
800.0,731.0,945.0,771.0,620.0
900.0,730.0,945.0,771.0,613.0
1000.0,728.0,944.0,770.0,603.0
1100.0,727.0,943.0,770.0,593.0
1200.0,725.0,943.0,769.0,585.0
1300.0,723.0,942.0,768.0,575.0
1400.0,723.0,941.0,766.0,566.0
1500.0,722.0,940.0,766.0,557.0
1600.0,720.0,940.0,764.0,549.0
1700.0,718.0,939.0,763.0,539.0
1800.0,717.0,938.0,761.0,530.0
1900.0,715.0,938.0,761.0,522.0
2000.0,715.0,938.0,760.0,515.0
2100.0,713.0,937.0,759.0,505.0
2200.0,711.0,936.0,758.0,500.0
2300.0,711.0,936.0,757.0,495.0
2400.0,710.0,936.0,758.0,488.0
2500.0,708.0,934.0,757.0,486.0
2600.0,707.0,934.0,756.0,481.0
2700.0,707.0,933.0,755.0,478.0
2800.0,706.0,932.0,755.0,474.0
2900.0,705.0,933.0,754.0,470.0
3000.0,703.0,932.0,753.0,466.0
3100.0,702.0,931.0,753.0,463.0
3200.0,702.0,931.0,753.0,460.0
3300.0,700.0,931.0,752.0,458.0
3400.0,698.0,931.0,751.0,454.0
3500.0,697.0,930.0,750.0,452.0
3600.0,697.0,929.0,751.0,450.0
3700.0,696.0,928.0,750.0,447.0
3800.0,695.0,928.0,749.0,445.0
3900.0,693.0,926.0,748.0,442.0
4000.0,694.0,927.0,748.0,440.0
4100.0,692.0,926.0,747.0,437.0
4200.0,690.0,926.0,747.0,434.0
4300.0,690.0,925.0,746.0,431.0
4400.0,690.0,925.0,746.0,428.0
4500.0,690.0,925.0,744.0,425.0
4600.0,688.0,925.0,745.0,424.0
4700.0,688.0,925.0,744.0,423.0
4800.0,688.0,924.0,743.0,423.0
4900.0,688.0,923.0,743.0,421.0
5000.0,688.0,924.0,743.0,421.0
5100.0,688.0,924.0,742.0,421.0
5200.0,688.0,924.0,742.0,421.0
5300.0,688.0,923.0,741.0,422.0
5400.0,689.0,924.0,741.0,422.0
5500.0,688.0,923.0,741.0,422.0
5600.0,688.0,924.0,741.0,422.0
5700.0,688.0,924.0,739.0,423.0
5800.0,688.0,923.0,739.0,423.0
5900.0,688.0,923.0,740.0,423.0
6000.0,688.0,923.0,740.0,421.0
6100.0,688.0,922.0,740.0,421.0
