timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,756.6,930.8,771.8,726.7
100.0,669.2,910.0,724.8,362.8
200.0,661.0,919.9,722.4,351.1
300.0,674.8,911.5,727.1,356.4
400.0,674.2,905.2,708.2,363.6
500.0,661.0,893.0,725.5,350.9
600.0,672.6,893.0,708.0,356.0
700.0,678.4,893.0,708.0,425.9
800.0,713.9,945.0,754.7,538.9
900.0,674.9,893.0,723.3,352.0
1000.0,754.3,950.0,760.8,697.4
1100.0,674.2,932.0,740.0,359.7
1200.0,708.3,904.6,737.5,658.8
1300.0,730.9,947.5,763.8,687.2
1400.0,664.0,909.5,719.5,352.4
1500.0,691.2,921.5,726.5,432.6
1600.0,753.1,933.5,787.0,763.7
1700.0,729.7,927.6,767.3,628.3
1800.0,729.2,934.2,765.3,651.0
1900.0,692.7,921.8,738.3,464.0
2000.0,676.7,897.2,721.2,406.5
2100.0,661.0,893.0,718.4,349.1
2200.0,688.7,906.7,708.0,395.6
2300.0,752.8,927.9,760.3,693.6
2400.0,732.9,933.1,764.6,611.4
2500.0,713.6,950.0,765.2,600.1
2600.0,675.5,906.6,725.2,362.5
2700.0,676.7,896.6,708.0,402.9
2800.0,710.0,934.3,747.9,476.3
2900.0,666.9,893.0,708.0,359.3
3000.0,682.1,917.4,722.7,400.9
3100.0,694.7,922.3,748.6,434.6
3200.0,661.0,893.0,724.1,348.9
3300.0,720.0,928.1,746.5,602.1
3400.0,688.2,908.6,715.8,520.2
3500.0,696.5,924.7,733.6,464.0
3600.0,682.9,924.6,718.7,463.4
3700.0,692.9,902.6,755.5,517.2
3800.0,678.9,930.0,720.6,346.2
3900.0,675.6,904.8,734.1,428.3
4000.0,674.8,916.5,735.0,345.5
4100.0,686.3,927.2,744.3,471.4
4200.0,706.9,911.1,757.2,635.0
4300.0,679.1,897.1,739.5,406.8
4400.0,666.2,903.8,726.7,375.6
4500.0,681.3,901.6,713.9,441.4
4600.0,711.3,910.9,767.8,541.1
4700.0,668.5,893.6,709.6,384.8
4800.0,661.0,893.0,715.4,348.7
4900.0,682.8,933.2,750.3,444.5
5000.0,662.6,928.8,743.9,348.3
5100.0,694.8,923.0,747.3,522.8
5200.0,683.9,919.5,748.2,504.5
5300.0,682.9,893.0,711.9,372.3
5400.0,689.9,945.2,743.4,467.7
5500.0,675.1,906.4,716.4,342.1
5600.0,672.4,897.6,727.7,433.3
5700.0,746.4,925.8,771.8,761.0
5800.0,666.7,918.0,716.6,401.0
5900.0,661.0,894.6,708.0,355.3
6000.0,707.6,925.0,764.0,481.0
6100.0,681.8,893.0,718.8,433.9
6200.0,693.1,916.3,715.3,431.2
6300.0,688.0,912.9,719.1,435.8
6400.0,679.8,904.2,754.6,539.4
6500.0,703.4,911.3,733.6,488.0
6600.0,689.6,900.6,718.4,394.7
6700.0,741.8,928.7,758.1,659.5
6800.0,661.0,900.2,721.4,368.5
6900.0,666.3,902.9,721.7,378.9
7000.0,679.4,907.8,719.0,384.6
7100.0,758.7,936.9,787.0,690.5
7200.0,711.2,931.8,753.1,480.0
7300.0,679.9,894.1,714.1,393.4
7400.0,719.8,940.6,752.5,620.8
7500.0,673.0,893.0,714.8,355.6
7600.0,679.9,900.6,718.0,381.0
7700.0,696.3,903.7,741.9,494.2
7800.0,668.9,893.0,708.0,341.6
7900.0,739.6,950.0,786.5,673.0
8000.0,691.5,911.3,753.3,450.4
8100.0,661.0,905.5,720.8,372.2
8200.0,661.0,910.8,719.5,340.3
8300.0,664.7,914.0,718.7,386.4
8400.0,672.5,893.0,726.2,398.3
8500.0,710.0,906.8,749.0,550.6
8600.0,719.5,944.5,776.3,624.9
8700.0,674.3,918.7,734.2,385.6
8800.0,687.1,901.7,718.6,459.9
8900.0,686.9,923.6,748.8,615.5
9000.0,685.5,897.9,735.9,377.4
9100.0,692.0,916.4,747.8,636.8
9200.0,670.5,893.0,740.4,346.9
9300.0,689.2,893.0,718.0,429.3
9400.0,705.2,907.2,757.6,605.0
9500.0,680.2,897.8,736.3,495.3
9600.0,675.1,903.1,744.3,418.8
9700.0,682.8,929.0,731.9,486.0
9800.0,738.1,933.4,777.3,654.2
9900.0,671.1,901.3,721.3,387.4
10000.0,669.0,901.5,723.9,464.6
10100.0,670.9,896.5,712.9,350.7
10200.0,753.7,950.0,779.9,699.8
10300.0,732.1,936.7,781.9,696.6
10400.0,739.8,943.7,782.6,679.7
10500.0,661.0,907.3,734.4,354.0
10600.0,702.1,914.0,756.4,623.2
10700.0,684.2,915.8,730.3,498.2
10800.0,710.1,921.3,764.1,663.2
10900.0,673.2,916.7,721.0,372.0
11000.0,738.8,950.0,763.7,656.4
11100.0,696.4,922.7,723.8,484.6
11200.0,678.4,923.2,708.0,400.9
11300.0,711.6,900.9,737.7,533.4
11400.0,666.5,896.7,709.0,420.9
11500.0,709.8,908.9,741.3,641.4
11600.0,691.7,899.5,734.4,451.7
11700.0,676.1,895.1,725.2,431.8
11800.0,710.4,921.7,717.0,540.0
11900.0,676.5,900.0,723.4,423.9
12000.0,672.7,916.9,719.0,363.6
12100.0,681.4,911.0,739.0,434.2
12200.0,671.7,911.6,712.7,345.5
12300.0,687.8,935.8,749.8,482.9
12400.0,698.9,902.9,734.2,451.8
12500.0,720.4,925.1,755.2,541.8
12600.0,671.7,902.6,708.0,375.7
12700.0,688.7,920.2,733.2,416.4
12800.0,695.1,932.1,730.7,547.5
12900.0,699.8,908.0,739.2,529.9
13000.0,674.4,898.4,722.9,424.0
13100.0,675.2,907.9,733.0,416.1
13200.0,686.9,903.0,716.3,396.3
13300.0,712.7,915.1,745.3,624.6
13400.0,667.6,907.5,708.0,394.2
13500.0,690.0,926.7,737.4,431.2
13600.0,738.4,950.0,780.0,679.8
13700.0,707.0,925.6,741.6,513.3
13800.0,680.4,906.1,724.9,398.5
13900.0,752.5,944.5,785.5,729.7
14000.0,679.4,900.6,717.8,408.5
14100.0,697.3,914.8,745.3,573.3
14200.0,706.3,909.9,760.2,669.6
14300.0,739.7,943.5,774.9,691.9
14400.0,665.3,895.6,719.5,348.2
14500.0,726.5,931.9,740.5,646.2
14600.0,673.4,909.7,708.0,399.9
14700.0,675.5,916.9,720.7,412.6
14800.0,661.0,924.0,724.7,342.8
14900.0,661.0,902.2,708.0,358.1
15000.0,678.1,934.1,759.4,452.4
15100.0,704.0,907.6,748.6,435.7
15200.0,690.1,920.3,755.0,429.3
15300.0,764.0,943.7,777.8,768.5
15400.0,676.0,899.3,711.2,345.8
15500.0,698.0,913.1,750.5,490.1
15600.0,661.0,893.0,708.0,357.2
15700.0,680.5,894.1,737.8,494.7
15800.0,678.0,922.6,737.4,476.5
15900.0,693.6,902.7,734.1,483.0
16000.0,727.6,950.0,771.9,666.7
16100.0,735.0,932.6,764.9,646.0
16200.0,703.1,940.7,770.2,675.8
16300.0,699.9,936.0,724.6,496.3
16400.0,678.7,902.8,722.2,391.5
16500.0,690.3,931.6,740.1,489.1
16600.0,673.4,916.0,727.6,431.6
16700.0,755.6,935.1,776.3,705.0
16800.0,675.8,914.9,708.0,360.9
16900.0,685.3,908.8,715.9,373.5
17000.0,700.5,917.2,721.0,503.2
17100.0,694.1,917.8,724.4,540.9
17200.0,688.7,913.1,729.3,408.3
17300.0,695.3,908.6,727.9,477.7
17400.0,692.2,900.3,736.6,460.3
17500.0,675.3,917.2,728.7,423.1
17600.0,730.8,950.0,761.6,621.6
17700.0,678.8,899.7,716.6,348.2
17800.0,680.9,903.2,718.8,401.1
17900.0,661.1,901.4,735.3,351.2
18000.0,677.1,893.0,708.0,380.7
18100.0,666.2,894.9,719.6,361.0
18200.0,703.1,920.2,724.3,515.6
18300.0,702.9,935.4,720.8,531.1
18400.0,696.0,931.2,754.8,627.0
18500.0,683.3,916.0,719.2,401.6
18600.0,666.5,904.4,709.8,334.7
18700.0,677.7,901.1,720.5,357.3
18800.0,718.1,916.1,754.7,654.3
18900.0,745.6,950.0,773.8,670.0
19000.0,689.0,937.5,762.0,499.6
19100.0,661.0,897.7,708.0,364.5
19200.0,680.2,913.2,722.4,366.5
19300.0,692.2,907.1,744.5,623.5
19400.0,672.5,898.8,732.1,371.4
19500.0,672.9,916.3,727.8,403.0
19600.0,707.6,924.4,749.2,499.2
19700.0,675.6,893.0,708.0,422.7
19800.0,748.1,937.6,763.0,654.4
19900.0,674.3,901.7,737.0,434.0
20000.0,706.6,921.5,734.0,500.1
20100.0,663.6,896.8,729.0,351.6
20200.0,708.7,931.3,742.6,684.3
20300.0,678.6,893.3,733.0,352.3
20400.0,670.5,924.1,715.1,346.5
20500.0,676.6,908.2,717.0,407.1
20600.0,690.8,898.4,731.7,370.3
20700.0,697.8,933.4,741.0,444.3
20800.0,684.4,914.6,751.2,457.1
20900.0,701.7,905.4,733.6,677.1
21000.0,712.8,909.7,733.6,527.9
21100.0,667.7,893.2,709.8,353.7
21200.0,682.4,932.4,732.5,450.5
21300.0,661.0,893.0,712.6,365.9
21400.0,673.1,894.2,731.1,403.4
21500.0,667.4,908.9,712.9,345.4
21600.0,731.1,950.0,770.3,658.6
21700.0,704.8,903.8,720.6,497.1
21800.0,665.9,924.9,725.2,347.9
21900.0,684.8,923.8,733.0,407.9
22000.0,672.8,893.0,708.0,351.7
22100.0,691.7,920.4,739.2,421.4
22200.0,717.5,930.8,775.8,673.5
22300.0,661.0,919.1,720.4,350.2
22400.0,667.5,913.4,716.4,388.5
22500.0,700.5,893.2,722.4,497.2
22600.0,661.0,902.1,711.1,350.5
22700.0,716.5,928.3,746.5,544.1
22800.0,679.0,893.0,725.5,386.8
22900.0,687.0,896.4,725.4,425.7
23000.0,670.3,918.5,710.7,381.9
23100.0,663.5,902.4,718.9,423.6
23200.0,683.2,917.2,767.9,462.9
23300.0,661.0,903.0,713.3,349.6
23400.0,698.8,938.0,735.0,423.4
23500.0,673.5,899.3,715.2,398.4
23600.0,743.8,950.0,780.8,704.2
23700.0,672.3,920.4,739.4,379.1
23800.0,745.1,950.0,781.6,729.1
23900.0,687.2,908.3,713.2,431.5
24000.0,695.8,906.1,734.4,490.1
24100.0,677.2,908.4,712.5,350.9
24200.0,672.4,912.5,726.1,361.3
24300.0,715.2,908.4,719.9,534.5
24400.0,705.5,901.4,746.9,551.0
24500.0,737.3,950.0,778.6,649.8
24600.0,679.3,927.2,738.4,422.1
24700.0,673.1,916.4,719.5,354.9
24800.0,693.0,924.2,765.5,476.1
24900.0,671.9,898.8,747.5,471.0
25000.0,682.0,894.3,708.0,391.1
25100.0,757.7,941.7,787.0,749.7
25200.0,683.0,912.2,708.4,411.6
25300.0,692.5,925.4,728.9,453.9
25400.0,689.0,908.2,718.2,406.8
25500.0,671.3,920.8,708.0,413.1
25600.0,728.7,942.3,773.6,635.6
25700.0,674.7,926.9,735.6,445.6
25800.0,689.3,909.4,726.2,511.3
25900.0,685.5,897.9,730.2,428.2
26000.0,688.4,902.1,733.1,496.6
26100.0,674.5,903.5,708.0,406.2
26200.0,668.7,894.4,715.2,414.1
26300.0,686.1,919.0,708.1,361.6
26400.0,673.5,893.0,708.0,337.5
26500.0,668.8,922.7,721.2,343.8
26600.0,733.8,944.4,779.6,608.9
26700.0,743.5,931.7,751.2,645.4
26800.0,666.7,895.5,721.0,356.6
26900.0,689.3,913.4,752.5,523.8
27000.0,669.8,893.0,708.0,346.1
27100.0,684.2,906.4,751.8,380.7
27200.0,686.0,897.4,711.9,390.8
27300.0,746.2,925.8,774.9,773.2
27400.0,672.8,930.3,741.3,434.9
27500.0,705.1,929.4,733.8,635.4
27600.0,714.1,905.6,732.4,534.3
27700.0,701.7,907.3,719.3,459.3
27800.0,737.4,931.0,761.5,694.3
27900.0,676.3,904.1,717.0,361.3
28000.0,672.4,893.0,712.9,363.1
28100.0,667.6,893.0,732.7,428.3
28200.0,679.7,915.6,727.1,498.6
28300.0,705.1,945.1,773.3,527.0
28400.0,668.6,906.4,736.5,364.4
28500.0,661.0,893.0,720.7,354.8
28600.0,680.7,912.2,712.6,389.7
28700.0,716.9,909.1,754.6,628.5
28800.0,661.0,903.3,708.0,359.8
28900.0,667.9,893.0,708.0,366.9
29000.0,696.6,946.2,756.1,467.5
29100.0,681.9,916.3,708.0,399.3
29200.0,688.5,895.2,708.0,398.5
29300.0,664.6,909.1,725.9,453.1
29400.0,757.7,932.1,786.0,696.6
29500.0,689.2,893.9,712.8,358.8
29600.0,684.0,899.9,709.3,347.3
29700.0,677.7,915.0,711.5,412.4
29800.0,667.8,893.0,743.9,446.1
29900.0,692.1,916.7,740.6,443.1
30000.0,693.9,912.4,741.0,405.9
30100.0,675.0,921.0,713.1,390.7
30200.0,675.0,907.6,747.7,453.8
30300.0,690.4,904.5,747.7,437.5
30400.0,665.0,899.6,721.8,446.1
30500.0,695.4,911.2,737.2,546.3
30600.0,703.3,904.7,716.8,532.5
30700.0,684.1,921.6,743.2,608.0
30800.0,749.3,933.4,759.0,655.6
30900.0,680.7,901.2,728.0,366.5
31000.0,741.3,950.0,766.7,685.0
31100.0,672.9,897.9,716.7,360.0
31200.0,675.3,911.9,748.8,443.2
31300.0,687.6,893.0,721.4,340.4
31400.0,687.9,897.8,731.7,505.8
31500.0,686.2,909.6,747.8,485.9
31600.0,685.4,906.9,723.0,490.3
31700.0,674.8,902.0,711.5,355.5
31800.0,692.9,907.9,740.4,417.6
31900.0,676.9,913.9,723.5,426.8
32000.0,673.4,919.9,730.7,449.7
32100.0,676.3,908.1,727.5,417.8
32200.0,663.6,905.1,718.0,345.6
32300.0,711.0,910.0,735.9,476.0
32400.0,688.1,908.6,742.1,434.3
32500.0,703.7,911.7,757.9,463.3
32600.0,680.1,904.3,736.4,421.6
32700.0,717.7,925.7,757.3,610.9
32800.0,699.5,925.1,732.9,486.2
32900.0,693.9,896.1,745.5,452.1
33000.0,661.0,893.0,709.8,341.2
33100.0,723.6,938.5,766.6,708.2
33200.0,690.7,909.7,753.8,395.9
33300.0,687.7,893.0,716.8,431.3
