timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,702.7,916.7,716.4,495.0
100.0,696.5,926.0,744.9,516.2
200.0,681.5,920.9,752.0,452.8
300.0,710.2,926.0,728.3,549.3
400.0,695.9,924.7,741.9,448.1
500.0,695.7,917.7,730.2,412.4
600.0,691.5,912.6,737.6,412.3
700.0,677.7,923.9,724.7,408.3
800.0,693.2,916.6,728.8,417.5
900.0,685.4,899.0,726.5,400.7
1000.0,701.9,909.7,738.0,449.5
1100.0,688.0,906.6,725.5,449.0
1200.0,669.3,892.0,711.7,419.6
1300.0,655.1,908.5,722.2,332.0
1400.0,714.0,924.0,752.0,564.0
1500.0,700.2,922.0,746.8,521.8
1600.0,694.0,904.7,748.7,445.4
1700.0,681.9,899.5,738.3,449.3
1800.0,703.0,908.5,744.3,536.5
1900.0,693.6,925.7,732.1,410.0
2000.0,689.4,902.0,727.5,532.2
2100.0,665.0,895.2,704.0,412.7
2200.0,691.6,892.0,730.3,429.9
2300.0,689.5,926.0,738.0,416.1
2400.0,684.9,916.0,710.0,375.8
2500.0,662.7,900.3,713.7,376.3
2600.0,709.6,924.5,752.0,523.6
2700.0,673.5,914.0,721.9,420.4
2800.0,684.0,898.8,737.7,407.9
2900.0,679.6,914.9,723.0,467.9
3000.0,672.4,905.0,720.4,423.1
3100.0,700.3,908.1,736.0,463.8
3200.0,674.0,909.6,732.8,365.9
3300.0,690.7,906.4,721.4,440.9
3400.0,713.9,926.0,736.9,625.2
3500.0,678.3,925.2,752.0,449.5
3600.0,675.4,922.8,733.0,476.1
3700.0,668.6,893.1,709.9,345.5
3800.0,690.3,907.5,729.7,436.8
3900.0,688.0,903.9,728.5,412.0
4000.0,687.2,926.0,743.3,499.0
4100.0,672.9,917.4,718.6,380.0
4200.0,707.6,926.0,736.8,581.5
4300.0,681.2,919.7,747.8,521.2
4400.0,692.8,926.0,725.9,404.0
4500.0,657.5,892.0,705.5,378.9
4600.0,667.8,892.0,705.2,370.0
4700.0,714.0,907.9,751.9,526.7
4800.0,677.5,904.6,721.8,463.4
4900.0,705.1,922.1,752.0,586.2
5000.0,700.3,922.7,752.0,507.5
5100.0,707.9,907.5,750.0,592.8
5200.0,687.3,907.1,730.8,426.0
5300.0,713.6,926.0,743.3,541.0
5400.0,682.9,925.5,739.7,424.7
5500.0,705.7,902.3,745.7,466.9
5600.0,679.8,907.3,723.4,462.2
5700.0,664.7,899.3,723.6,415.1
5800.0,681.7,926.0,731.0,460.7
5900.0,687.9,905.4,743.6,540.1
6000.0,692.8,926.0,739.4,433.1
6100.0,714.0,903.7,751.0,497.9
6200.0,667.8,892.0,706.0,408.5
6300.0,701.7,926.0,752.0,456.2
6400.0,703.9,905.7,724.9,456.5
6500.0,675.2,899.3,739.6,442.1
6600.0,674.5,892.0,704.0,368.6
6700.0,695.8,911.2,749.0,602.0
6800.0,688.9,898.1,719.6,433.3
6900.0,706.6,917.0,750.5,566.8
7000.0,675.1,910.4,736.0,473.1
7100.0,705.9,902.3,736.8,482.6
7200.0,697.8,926.0,736.1,614.3
7300.0,685.4,915.8,720.1,389.9
7400.0,665.3,893.2,716.4,339.8
7500.0,706.0,915.5,715.0,490.4
7600.0,668.0,897.9,716.9,363.3
7700.0,700.1,914.1,752.0,573.5
7800.0,714.0,904.2,740.7,512.6
7900.0,681.7,892.0,704.2,423.0
8000.0,654.0,892.0,711.7,331.4
8100.0,695.2,917.8,742.7,478.6
8200.0,689.7,902.5,728.7,469.8
8300.0,709.4,926.0,750.6,495.2
8400.0,700.8,914.2,751.7,544.4
8500.0,669.7,899.9,726.4,394.1
8600.0,694.2,900.2,752.0,483.8
8700.0,678.8,902.1,752.0,447.6
8800.0,714.0,918.7,746.5,614.7
