timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,310.0,511.0,256.0,181.0
100.0,309.0,511.0,255.0,183.0
200.0,311.0,512.0,257.0,185.0
300.0,312.0,512.0,258.0,186.0
400.0,312.0,513.0,259.0,188.0
500.0,313.0,513.0,259.0,190.0
600.0,314.0,514.0,259.0,192.0
700.0,314.0,514.0,260.0,193.0
800.0,314.0,515.0,260.0,195.0
900.0,315.0,515.0,260.0,197.0
1000.0,316.0,515.0,261.0,198.0
1100.0,316.0,515.0,262.0,199.0
1200.0,316.0,515.0,262.0,202.0
1300.0,318.0,516.0,262.0,202.0
1400.0,318.0,516.0,263.0,204.0
1500.0,318.0,516.0,263.0,205.0
1600.0,318.0,517.0,264.0,206.0
1700.0,318.0,517.0,264.0,207.0
1800.0,318.0,518.0,264.0,208.0
1900.0,319.0,518.0,264.0,209.0
2000.0,320.0,519.0,266.0,210.0
2100.0,319.0,518.0,265.0,210.0
2200.0,320.0,519.0,266.0,211.0
2300.0,320.0,519.0,266.0,211.0
2400.0,320.0,520.0,266.0,212.0
2500.0,320.0,520.0,267.0,212.0
2600.0,320.0,520.0,267.0,211.0
2700.0,320.0,520.0,267.0,212.0
2800.0,321.0,521.0,268.0,212.0
2900.0,321.0,521.0,268.0,211.0
3000.0,321.0,522.0,268.0,211.0
3100.0,321.0,522.0,268.0,212.0
3200.0,322.0,522.0,268.0,211.0
3300.0,322.0,523.0,268.0,211.0
3400.0,322.0,522.0,269.0,210.0
3500.0,322.0,523.0,269.0,209.0
3600.0,323.0,524.0,269.0,210.0
3700.0,323.0,524.0,270.0,210.0
3800.0,325.0,525.0,270.0,210.0
3900.0,324.0,525.0,270.0,210.0
4000.0,325.0,526.0,270.0,208.0
4100.0,326.0,527.0,270.0,208.0
4200.0,326.0,527.0,270.0,208.0
4300.0,327.0,528.0,271.0,208.0
4400.0,328.0,528.0,272.0,207.0
4500.0,329.0,529.0,272.0,207.0
4600.0,329.0,530.0,272.0,208.0
4700.0,330.0,530.0,273.0,207.0
4800.0,330.0,530.0,273.0,208.0
4900.0,331.0,531.0,273.0,208.0
5000.0,333.0,532.0,273.0,207.0
5100.0,333.0,533.0,274.0,207.0
5200.0,333.0,533.0,274.0,207.0
5300.0,334.0,534.0,275.0,207.0
5400.0,335.0,533.0,275.0,207.0
5500.0,336.0,534.0,276.0,207.0
5600.0,337.0,535.0,275.0,206.0
5700.0,337.0,536.0,277.0,207.0
5800.0,338.0,536.0,276.0,208.0
5900.0,339.0,537.0,277.0,207.0
6000.0,339.0,537.0,277.0,208.0
6100.0,339.0,537.0,278.0,207.0
6200.0,340.0,537.0,279.0,207.0
6300.0,341.0,539.0,279.0,207.0
6400.0,342.0,538.0,279.0,207.0
6500.0,342.0,540.0,280.0,208.0
6600.0,343.0,539.0,281.0,209.0
6700.0,343.0,540.0,281.0,209.0
6800.0,344.0,540.0,282.0,209.0
6900.0,344.0,541.0,282.0,210.0
7000.0,345.0,541.0,282.0,210.0
7100.0,344.0,542.0,282.0,211.0
7200.0,345.0,542.0,283.0,210.0
7300.0,347.0,542.0,284.0,211.0
7400.0,346.0,542.0,284.0,212.0
7500.0,347.0,544.0,285.0,211.0
7600.0,347.0,543.0,286.0,212.0
7700.0,347.0,543.0,285.0,212.0
7800.0,348.0,544.0,286.0,212.0
7900.0,348.0,544.0,286.0,213.0
8000.0,349.0,545.0,286.0,214.0
8100.0,349.0,545.0,286.0,214.0
8200.0,349.0,545.0,288.0,214.0
8300.0,349.0,547.0,288.0,213.0
8400.0,350.0,547.0,289.0,215.0
8500.0,350.0,547.0,289.0,215.0
8600.0,350.0,546.0,289.0,215.0
8700.0,350.0,547.0,290.0,215.0
8800.0,350.0,547.0,290.0,215.0
8900.0,351.0,548.0,290.0,214.0
9000.0,350.0,548.0,291.0,216.0
9100.0,351.0,548.0,291.0,215.0
9200.0,350.0,548.0,292.0,215.0
9300.0,351.0,550.0,291.0,217.0
9400.0,351.0,550.0,292.0,216.0
9500.0,351.0,551.0,292.0,216.0
9600.0,351.0,551.0,292.0,216.0
9700.0,352.0,551.0,292.0,216.0
9800.0,352.0,552.0,292.0,216.0
9900.0,352.0,552.0,293.0,215.0
10000.0,352.0,553.0,294.0,215.0
10100.0,353.0,553.0,294.0,216.0
10200.0,354.0,554.0,294.0,216.0
10300.0,354.0,553.0,294.0,216.0
10400.0,354.0,554.0,294.0,216.0
10500.0,354.0,555.0,294.0,217.0
10600.0,354.0,555.0,295.0,216.0
10700.0,355.0,555.0,296.0,216.0
10800.0,356.0,556.0,296.0,216.0
10900.0,355.0,556.0,296.0,216.0
11000.0,356.0,558.0,296.0,216.0
11100.0,356.0,557.0,297.0,217.0
11200.0,356.0,559.0,297.0,216.0
11300.0,357.0,558.0,297.0,216.0
11400.0,358.0,559.0,297.0,216.0
11500.0,359.0,559.0,298.0,216.0
11600.0,359.0,560.0,299.0,217.0
11700.0,359.0,560.0,299.0,216.0
11800.0,360.0,561.0,299.0,216.0
11900.0,360.0,561.0,299.0,216.0
12000.0,360.0,562.0,300.0,217.0
12100.0,361.0,562.0,300.0,217.0
12200.0,361.0,563.0,300.0,216.0
12300.0,362.0,564.0,301.0,217.0
12400.0,362.0,564.0,301.0,216.0
12500.0,363.0,565.0,301.0,216.0
12600.0,363.0,565.0,301.0,216.0
12700.0,363.0,565.0,303.0,217.0
12800.0,364.0,566.0,303.0,216.0
12900.0,365.0,566.0,303.0,216.0
13000.0,365.0,567.0,303.0,216.0
13100.0,366.0,567.0,303.0,216.0
13200.0,366.0,567.0,304.0,216.0
13300.0,366.0,568.0,304.0,217.0
13400.0,367.0,568.0,304.0,216.0
13500.0,366.0,568.0,305.0,216.0
13600.0,367.0,568.0,305.0,217.0
13700.0,367.0,569.0,305.0,217.0
13800.0,369.0,570.0,307.0,218.0
13900.0,368.0,571.0,306.0,217.0
14000.0,369.0,570.0,307.0,216.0
14100.0,369.0,571.0,307.0,216.0
14200.0,369.0,571.0,307.0,217.0
14300.0,370.0,572.0,308.0,218.0
14400.0,370.0,572.0,309.0,217.0
14500.0,371.0,573.0,308.0,217.0
14600.0,370.0,574.0,309.0,217.0
14700.0,371.0,573.0,310.0,217.0
14800.0,371.0,573.0,309.0,217.0
14900.0,372.0,574.0,310.0,218.0
15000.0,372.0,575.0,311.0,218.0
15100.0,373.0,576.0,311.0,218.0
15200.0,374.0,576.0,310.0,217.0
15300.0,373.0,576.0,312.0,218.0
15400.0,374.0,576.0,313.0,218.0
15500.0,375.0,577.0,312.0,219.0
15600.0,375.0,578.0,313.0,218.0
15700.0,375.0,578.0,313.0,219.0
15800.0,376.0,578.0,314.0,218.0
15900.0,376.0,579.0,314.0,219.0
16000.0,377.0,580.0,314.0,219.0
16100.0,378.0,580.0,314.0,218.0
16200.0,378.0,581.0,316.0,218.0
16300.0,378.0,580.0,315.0,220.0
16400.0,377.0,581.0,316.0,218.0
16500.0,379.0,582.0,316.0,219.0
16600.0,380.0,583.0,317.0,220.0
16700.0,379.0,583.0,317.0,220.0
16800.0,379.0,582.0,317.0,221.0
16900.0,381.0,583.0,318.0,221.0
17000.0,381.0,584.0,319.0,221.0
17100.0,380.0,584.0,319.0,221.0
17200.0,382.0,584.0,319.0,220.0
17300.0,382.0,586.0,320.0,221.0
17400.0,383.0,586.0,320.0,221.0
17500.0,383.0,586.0,320.0,222.0
17600.0,384.0,587.0,321.0,221.0
17700.0,384.0,587.0,321.0,222.0
17800.0,385.0,588.0,321.0,222.0
17900.0,385.0,588.0,322.0,222.0
18000.0,385.0,589.0,323.0,222.0
18100.0,386.0,590.0,323.0,223.0
18200.0,386.0,590.0,323.0,222.0
18300.0,387.0,591.0,324.0,223.0
18400.0,387.0,590.0,324.0,223.0
18500.0,386.0,591.0,324.0,224.0
18600.0,388.0,592.0,325.0,224.0
18700.0,389.0,592.0,326.0,224.0
18800.0,389.0,592.0,325.0,224.0
18900.0,389.0,593.0,326.0,224.0
19000.0,389.0,594.0,327.0,224.0
19100.0,390.0,593.0,327.0,225.0
19200.0,390.0,594.0,328.0,225.0
19300.0,391.0,595.0,328.0,226.0
19400.0,391.0,596.0,328.0,226.0
19500.0,392.0,596.0,329.0,226.0
19600.0,392.0,595.0,329.0,226.0
19700.0,393.0,596.0,329.0,226.0
19800.0,393.0,596.0,330.0,227.0
19900.0,394.0,598.0,329.0,227.0
20000.0,394.0,598.0,331.0,226.0
20100.0,395.0,599.0,330.0,227.0
20200.0,394.0,599.0,332.0,228.0
20300.0,395.0,600.0,332.0,228.0
20400.0,395.0,600.0,332.0,229.0
20500.0,396.0,601.0,333.0,229.0
20600.0,397.0,601.0,334.0,228.0
20700.0,396.0,602.0,334.0,230.0
20800.0,397.0,602.0,334.0,229.0
20900.0,398.0,603.0,335.0,229.0
21000.0,399.0,603.0,335.0,230.0
21100.0,398.0,604.0,336.0,230.0
21200.0,399.0,604.0,336.0,230.0
21300.0,400.0,605.0,337.0,230.0
21400.0,400.0,605.0,337.0,231.0
21500.0,400.0,606.0,337.0,231.0
21600.0,401.0,606.0,338.0,231.0
21700.0,401.0,607.0,338.0,232.0
21800.0,401.0,607.0,339.0,232.0
21900.0,402.0,608.0,339.0,232.0
22000.0,402.0,608.0,340.0,233.0
22100.0,403.0,609.0,340.0,233.0
22200.0,403.0,609.0,340.0,234.0
22300.0,404.0,609.0,341.0,233.0
22400.0,404.0,611.0,342.0,234.0
22500.0,404.0,611.0,343.0,234.0
22600.0,405.0,611.0,342.0,234.0
22700.0,406.0,612.0,343.0,234.0
22800.0,406.0,613.0,343.0,236.0
22900.0,406.0,612.0,343.0,236.0
23000.0,407.0,614.0,344.0,235.0
23100.0,406.0,613.0,345.0,235.0
23200.0,407.0,614.0,345.0,237.0
23300.0,408.0,615.0,345.0,237.0
23400.0,408.0,615.0,346.0,237.0
23500.0,409.0,616.0,346.0,237.0
23600.0,410.0,617.0,347.0,237.0
23700.0,409.0,616.0,347.0,237.0
23800.0,410.0,618.0,348.0,238.0
23900.0,410.0,618.0,348.0,237.0
24000.0,410.0,618.0,348.0,239.0
24100.0,411.0,619.0,349.0,239.0
24200.0,412.0,619.0,350.0,240.0
24300.0,412.0,620.0,350.0,240.0
24400.0,412.0,621.0,350.0,241.0
24500.0,412.0,621.0,351.0,240.0
24600.0,413.0,621.0,351.0,241.0
24700.0,413.0,622.0,351.0,241.0
24800.0,414.0,622.0,353.0,242.0
24900.0,414.0,622.0,353.0,242.0
25000.0,414.0,623.0,352.0,242.0
25100.0,415.0,624.0,354.0,243.0
25200.0,416.0,624.0,354.0,242.0
25300.0,416.0,625.0,354.0,243.0
25400.0,416.0,625.0,355.0,244.0
25500.0,416.0,626.0,355.0,243.0
25600.0,417.0,626.0,355.0,243.0
25700.0,417.0,627.0,356.0,244.0
25800.0,418.0,627.0,357.0,245.0
25900.0,418.0,628.0,357.0,244.0
26000.0,418.0,628.0,357.0,245.0
26100.0,418.0,628.0,358.0,245.0
26200.0,418.0,629.0,358.0,246.0
26300.0,419.0,630.0,359.0,246.0
26400.0,420.0,630.0,358.0,247.0
26500.0,419.0,631.0,359.0,247.0
26600.0,420.0,631.0,359.0,247.0
26700.0,420.0,631.0,360.0,248.0
26800.0,421.0,632.0,360.0,247.0
26900.0,421.0,632.0,361.0,248.0
27000.0,421.0,632.0,362.0,248.0
