timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,668.1,797.4,648.3,246.6
100.0,695.0,811.0,664.0,256.9
200.0,681.8,788.4,660.0,249.4
300.0,681.7,803.8,660.8,244.1
400.0,676.5,797.3,643.4,252.9
500.0,688.3,777.0,647.4,237.8
600.0,685.7,811.0,675.3,255.6
700.0,687.1,791.9,653.7,250.1
800.0,695.0,804.1,673.2,258.6
900.0,665.0,776.0,656.6,240.6
1000.0,685.5,800.5,661.2,266.0
1100.0,690.0,795.7,660.4,252.4
1200.0,695.0,811.0,676.1,264.6
1300.0,674.4,780.1,636.0,233.2
1400.0,671.8,779.4,641.6,243.6
1500.0,674.4,811.0,670.4,255.1
1600.0,677.2,809.2,663.2,259.0
1700.0,682.8,784.6,660.6,250.9
1800.0,694.2,788.5,679.0,257.7
1900.0,670.9,776.0,638.2,245.4
2000.0,674.8,788.1,646.3,245.2
2100.0,695.0,806.7,679.0,263.3
2200.0,695.0,806.6,672.0,262.3
2300.0,665.0,788.7,636.0,248.3
2400.0,677.4,776.0,637.7,237.9
2500.0,670.9,794.3,654.1,250.1
2600.0,671.6,807.2,650.4,259.5
2700.0,665.0,789.7,637.6,244.5
2800.0,674.8,776.0,636.0,238.4
2900.0,665.0,797.0,636.5,241.6
3000.0,695.0,796.3,676.4,260.0
3100.0,688.9,810.1,655.0,252.2
3200.0,679.7,779.5,661.6,232.8
3300.0,689.2,793.5,671.9,257.8
3400.0,678.8,799.4,649.8,244.5
3500.0,667.1,776.0,645.5,239.2
3600.0,674.3,795.6,677.0,258.0
3700.0,684.1,794.1,653.6,243.4
3800.0,677.7,790.4,653.5,254.7
3900.0,665.0,786.8,639.9,235.5
4000.0,688.0,795.2,657.0,255.1
4100.0,695.0,811.0,667.1,257.5
4200.0,689.9,810.5,659.5,260.8
4300.0,691.2,794.7,653.5,246.3
4400.0,676.7,799.6,641.4,243.6
4500.0,690.4,811.0,672.0,262.3
4600.0,665.0,776.0,636.0,233.4
4700.0,675.1,811.0,664.1,254.8
4800.0,672.4,776.0,646.5,236.2
4900.0,667.4,793.0,660.0,241.6
5000.0,672.7,784.0,665.3,252.7
5100.0,678.1,776.8,645.9,246.4
5200.0,671.2,795.5,670.1,256.0
5300.0,676.4,802.0,667.5,245.9
5400.0,679.9,784.3,640.0,246.4
5500.0,668.8,792.9,647.9,245.3
5600.0,679.6,802.4,679.0,257.7
5700.0,671.6,792.5,636.0,235.7
5800.0,695.0,811.0,669.9,261.0
5900.0,669.5,810.8,658.7,259.2
6000.0,689.1,811.0,678.8,264.1
6100.0,665.0,776.0,654.5,237.7
6200.0,680.2,793.9,636.0,237.8
6300.0,682.3,809.7,667.4,261.3
6400.0,681.9,811.0,679.0,261.2
6500.0,672.0,777.7,648.5,230.2
6600.0,669.9,787.8,648.1,254.8
6700.0,687.7,789.8,659.2,259.4
6800.0,682.6,811.0,656.0,257.2
6900.0,680.5,789.5,642.4,243.4
7000.0,695.0,791.4,669.8,260.3
7100.0,693.8,801.7,668.7,266.0
7200.0,688.7,811.0,673.6,254.2
7300.0,671.5,794.7,672.8,255.1
7400.0,695.0,800.7,662.4,251.8
7500.0,680.3,801.3,652.4,255.6
7600.0,679.5,803.9,679.0,256.3
7700.0,674.7,792.0,641.5,229.0
7800.0,692.8,811.0,679.0,256.1
7900.0,665.0,779.3,636.0,233.9
8000.0,690.3,784.6,653.3,254.0
8100.0,677.5,792.5,649.2,235.9
8200.0,694.6,811.0,671.3,258.8
8300.0,692.0,800.1,679.0,266.0
8400.0,681.7,802.2,658.7,262.2
8500.0,667.5,802.8,641.9,240.4
8600.0,666.4,776.0,636.0,241.9
8700.0,675.8,804.9,670.6,250.7
8800.0,677.4,794.6,670.5,266.0
8900.0,665.3,795.9,639.0,236.7
9000.0,690.5,806.9,666.7,252.1
9100.0,673.7,801.4,669.9,254.0
9200.0,691.5,811.0,677.1,250.8
9300.0,679.2,801.9,669.1,253.3
9400.0,688.9,811.0,679.0,265.3
9500.0,689.8,811.0,674.0,251.5
9600.0,695.0,806.7,679.0,260.5
9700.0,688.5,811.0,675.3,257.8
9800.0,692.5,811.0,679.0,252.9
9900.0,692.8,811.0,679.0,259.6
10000.0,674.1,776.0,661.3,242.6
10100.0,694.7,805.8,650.4,250.9
10200.0,675.5,798.1,647.8,243.4
10300.0,675.4,776.0,649.5,235.7
10400.0,671.7,776.3,643.2,239.3
10500.0,684.4,800.0,640.5,234.5
10600.0,676.1,811.0,660.6,257.7
10700.0,686.6,805.2,646.9,243.7
10800.0,687.1,811.0,679.0,258.7
10900.0,677.6,798.6,644.4,243.5
11000.0,674.4,795.6,676.9,256.0
11100.0,695.0,811.0,679.0,257.9
11200.0,673.0,810.3,653.1,258.8
11300.0,677.9,793.2,655.8,256.1
11400.0,667.1,791.6,636.0,235.0
11500.0,695.0,811.0,679.0,257.6
11600.0,691.6,811.0,664.5,264.1
11700.0,691.4,811.0,668.9,256.6
11800.0,668.7,804.0,656.8,235.7
11900.0,678.0,778.7,645.2,237.9
12000.0,665.0,795.3,645.1,243.9
