timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,436.1,627.7,380.4,405.7
100.0,409.3,602.5,356.8,395.4
200.0,428.2,658.1,383.9,348.4
300.0,418.5,654.9,369.0,350.8
400.0,412.1,599.2,352.1,329.2
500.0,418.4,629.3,369.3,460.4
600.0,452.4,672.4,392.9,634.0
700.0,437.3,665.6,383.9,587.9
800.0,438.8,662.6,389.5,334.8
900.0,389.2,545.4,279.5,411.2
1000.0,424.5,580.0,334.7,379.4
1100.0,424.5,588.5,334.2,368.1
1200.0,346.1,486.0,246.4,310.9
1300.0,447.2,669.6,393.0,386.0
1400.0,355.3,530.2,262.3,360.8
1500.0,437.9,609.1,362.0,381.5
1600.0,426.7,630.2,362.7,246.0
1700.0,440.8,606.4,332.4,491.8
1800.0,417.4,601.5,327.2,475.2
1900.0,446.2,650.1,390.2,320.8
2000.0,387.2,551.9,295.0,325.6
2100.0,424.2,635.3,364.2,273.1
2200.0,462.3,673.0,395.2,406.3
2300.0,420.4,660.5,379.2,395.9
2400.0,438.3,670.8,385.8,354.7
2500.0,343.0,485.0,246.0,283.6
2600.0,436.8,658.1,396.2,466.5
2700.0,425.1,604.3,342.8,396.8
2800.0,423.1,622.4,353.3,415.2
2900.0,451.8,667.0,397.8,351.7
3000.0,456.5,661.0,389.2,382.1
3100.0,435.4,614.3,362.7,438.1
3200.0,440.0,625.1,366.9,378.3
3300.0,445.4,655.2,398.4,446.7
3400.0,412.8,632.8,374.0,303.5
3500.0,440.9,601.3,342.4,507.4
3600.0,384.1,545.2,272.1,375.3
3700.0,417.8,601.8,333.7,372.8
3800.0,452.7,665.7,383.1,370.8
3900.0,419.6,657.6,370.8,386.9
4000.0,359.9,521.6,262.6,371.2
4100.0,463.0,664.9,403.0,401.2
4200.0,430.7,637.7,372.5,247.5
4300.0,435.7,660.6,383.0,382.9
4400.0,418.9,593.1,316.3,439.2
4500.0,393.1,544.7,294.5,322.9
4600.0,428.2,620.8,370.9,457.2
4700.0,386.1,555.6,286.3,300.0
4800.0,343.0,485.0,247.7,320.7
4900.0,404.5,596.5,318.7,449.8
5000.0,377.2,546.9,270.2,398.3
5100.0,449.2,673.0,403.0,477.5
5200.0,417.2,613.4,350.3,337.0
5300.0,343.0,500.8,247.0,342.5
5400.0,363.7,519.2,261.5,355.8
5500.0,419.5,631.6,373.0,257.3
5600.0,417.9,606.3,348.1,436.4
5700.0,454.9,666.9,394.3,388.2
5800.0,416.3,615.3,348.0,356.6
5900.0,438.7,631.6,368.0,425.1
6000.0,400.8,557.8,296.8,350.5
6100.0,412.2,645.3,367.3,355.0
6200.0,343.0,485.0,246.2,287.1
6300.0,364.3,536.9,260.8,377.1
6400.0,383.7,535.9,278.3,365.5
6500.0,422.7,606.9,349.4,339.8
6600.0,417.9,600.2,354.0,364.6
6700.0,443.4,627.0,369.0,368.7
6800.0,388.3,553.6,287.9,380.3
6900.0,368.7,539.2,267.9,375.6
7000.0,422.0,581.0,335.1,379.7
7100.0,433.0,611.8,351.4,414.1
7200.0,439.9,649.5,383.7,276.3
7300.0,437.3,643.1,361.5,397.5
7400.0,456.4,669.9,403.0,467.5
7500.0,451.4,672.9,394.3,381.9
7600.0,376.5,533.4,270.1,372.0
7700.0,460.8,673.0,397.8,434.3
7800.0,408.0,575.3,323.2,362.6
7900.0,426.6,640.4,360.6,385.2
8000.0,418.9,644.2,372.9,245.0
8100.0,411.8,588.0,325.0,364.1
8200.0,415.9,629.9,362.2,297.1
8300.0,430.7,661.4,391.2,416.1
8400.0,435.6,648.6,384.3,379.6
8500.0,352.7,487.9,246.0,294.4
8600.0,460.2,672.4,403.0,433.3
8700.0,452.9,661.1,387.1,382.0
8800.0,434.6,672.8,390.0,449.3
8900.0,452.7,662.4,396.7,358.3
9000.0,455.1,673.0,403.0,452.1
9100.0,405.7,586.4,322.5,364.9
9200.0,422.9,598.3,341.2,410.5
9300.0,369.2,533.5,262.0,383.4
9400.0,430.0,649.0,370.8,246.7
9500.0,353.8,496.7,247.4,289.0
9600.0,428.2,608.3,337.9,375.0
9700.0,425.6,612.4,346.3,406.4
9800.0,366.2,517.0,259.4,357.2
9900.0,428.7,595.1,341.2,424.1
10000.0,392.6,552.5,297.9,417.5
10100.0,425.0,614.4,360.2,369.9
10200.0,453.9,654.3,396.6,505.6
10300.0,435.1,594.8,340.6,390.8
10400.0,425.2,613.8,349.7,380.1
10500.0,430.3,656.2,388.3,387.7
10600.0,425.6,604.5,336.2,422.2
10700.0,401.9,568.9,295.5,400.4
10800.0,446.3,655.7,389.6,365.0
10900.0,378.8,532.6,278.3,406.2
11000.0,411.9,641.1,363.1,337.9
11100.0,348.7,493.9,250.8,284.6
11200.0,347.8,485.0,246.9,299.0
11300.0,422.8,610.2,360.9,470.5
11400.0,380.9,567.2,306.3,411.3
11500.0,439.2,668.4,387.1,345.1
11600.0,388.0,535.0,274.0,413.4
11700.0,431.0,599.6,333.2,520.1
11800.0,452.0,672.0,403.0,412.1
11900.0,433.2,601.9,333.2,501.0
12000.0,445.5,641.6,376.0,306.2
12100.0,387.5,535.3,269.9,366.7
12200.0,457.8,656.6,399.8,465.7
12300.0,435.5,630.5,358.7,448.9
12400.0,457.4,655.3,397.9,481.8
12500.0,419.2,613.3,358.1,385.6
12600.0,358.2,485.0,252.1,290.0
12700.0,416.4,601.2,337.7,377.5
12800.0,432.8,653.4,368.6,264.0
12900.0,415.5,644.2,377.9,354.2
13000.0,366.1,516.4,266.9,363.8
13100.0,442.4,632.5,375.0,411.9
13200.0,424.6,625.2,356.4,400.1
13300.0,380.4,537.6,272.3,368.3
13400.0,417.4,573.3,328.0,343.3
13500.0,432.9,638.8,374.4,362.6
13600.0,438.8,652.5,390.8,311.6
13700.0,384.1,552.0,275.4,403.2
13800.0,455.0,672.5,402.0,611.2
13900.0,406.8,651.0,377.1,343.2
14000.0,419.4,575.9,323.5,356.7
14100.0,344.2,486.9,246.0,326.1
14200.0,419.4,597.1,333.6,397.7
14300.0,410.4,578.6,323.6,446.7
14400.0,419.6,616.9,344.0,390.5
14500.0,387.2,538.6,293.6,308.3
14600.0,404.6,575.4,325.4,366.6
14700.0,453.4,673.0,403.0,482.0
14800.0,438.2,633.4,369.8,481.1
14900.0,419.0,605.9,356.7,354.9
15000.0,368.6,492.7,260.2,332.9
15100.0,443.3,631.7,370.3,364.6
15200.0,408.9,564.6,324.8,417.0
15300.0,400.2,564.8,291.6,416.4
15400.0,387.2,545.6,298.5,364.9
15500.0,376.6,541.8,278.7,395.3
15600.0,460.9,673.0,396.0,634.0
