timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,450.4,703.9,454.3,322.4
100.0,434.3,659.2,405.7,296.0
200.0,441.5,664.7,399.2,308.9
300.0,433.9,674.5,403.5,250.2
400.0,422.9,655.4,379.6,247.4
500.0,422.7,658.1,381.9,306.5
600.0,430.4,649.6,388.9,306.6
700.0,448.7,692.1,424.1,308.4
800.0,503.2,742.0,483.0,567.6
900.0,424.1,645.4,391.0,308.7
1000.0,441.1,679.1,416.4,250.5
1100.0,420.9,634.0,383.7,232.7
1200.0,499.9,746.0,483.0,517.4
1300.0,436.9,658.4,403.3,269.3
1400.0,431.3,658.0,390.8,304.0
1500.0,433.4,661.3,380.7,263.0
1600.0,506.0,746.0,483.0,515.5
1700.0,429.3,680.6,402.2,312.3
1800.0,451.0,671.4,426.9,302.7
1900.0,434.0,662.3,399.2,277.6
2000.0,428.4,659.9,410.5,301.8
2100.0,411.0,636.3,386.0,350.8
2200.0,477.8,705.2,457.3,289.0
2300.0,430.9,652.6,384.1,232.6
2400.0,415.4,638.7,375.5,231.0
2500.0,414.6,650.7,379.6,302.1
2600.0,443.0,679.6,413.8,294.9
2700.0,447.4,701.0,434.1,277.0
2800.0,492.2,715.0,451.9,557.0
2900.0,423.6,640.5,382.0,249.4
3000.0,433.3,663.7,395.7,300.7
3100.0,426.2,655.6,405.3,314.1
3200.0,426.8,647.2,390.4,265.0
3300.0,506.0,746.0,482.0,574.4
3400.0,485.8,732.9,440.6,526.5
3500.0,493.8,741.0,475.7,538.0
3600.0,475.8,711.4,456.8,296.4
3700.0,486.9,734.3,481.1,376.6
3800.0,473.4,720.1,443.6,281.0
3900.0,422.5,669.0,400.9,314.9
4000.0,430.9,669.7,393.2,281.2
4100.0,447.8,679.2,423.0,293.1
4200.0,435.3,684.1,420.3,307.5
4300.0,500.8,743.5,483.0,543.1
4400.0,436.2,694.2,418.4,301.8
4500.0,414.1,651.2,375.4,304.9
4600.0,448.6,680.7,433.1,356.1
4700.0,418.1,642.2,381.4,279.3
4800.0,411.5,643.4,388.4,295.8
4900.0,447.6,689.6,409.4,305.3
5000.0,455.9,710.2,442.4,299.7
5100.0,430.7,667.7,393.7,248.0
5200.0,487.3,722.5,478.2,346.7
5300.0,423.5,651.0,383.4,303.9
5400.0,411.0,633.0,371.9,258.2
5500.0,481.1,725.7,456.6,309.7
5600.0,506.0,738.1,483.0,527.4
5700.0,506.0,746.0,475.3,536.7
5800.0,445.7,679.0,409.9,308.4
5900.0,506.0,734.5,478.5,539.5
6000.0,433.0,665.6,393.0,297.3
6100.0,497.5,746.0,475.6,544.7
6200.0,501.8,740.9,467.0,619.1
6300.0,440.9,668.7,402.3,318.7
6400.0,420.7,643.0,386.4,291.0
6500.0,435.9,689.1,422.6,293.4
6600.0,437.4,680.7,417.8,294.1
6700.0,444.6,680.3,422.1,283.2
6800.0,493.1,722.6,455.4,548.0
6900.0,482.6,715.7,445.4,518.6
7000.0,495.5,740.9,478.4,509.3
7100.0,431.5,659.9,396.7,296.8
7200.0,418.4,633.0,371.0,266.2
7300.0,455.9,709.9,437.2,301.4
7400.0,424.4,669.1,403.5,258.1
7500.0,434.3,665.8,417.1,286.0
7600.0,485.4,731.6,464.1,368.9
7700.0,497.1,741.7,478.6,569.2
7800.0,425.0,643.9,373.8,324.3
7900.0,417.9,651.8,378.1,287.4
8000.0,478.9,719.7,454.5,281.3
8100.0,490.2,715.5,451.4,537.0
8200.0,422.1,656.8,384.2,246.5
8300.0,491.5,709.5,444.3,451.5
8400.0,450.7,706.4,453.3,316.5
8500.0,495.1,718.0,452.7,511.9
8600.0,439.8,678.6,400.1,291.8
8700.0,433.6,677.5,413.3,248.1
8800.0,433.8,659.1,412.3,287.9
8900.0,421.3,649.1,387.2,248.8
9000.0,427.4,654.8,384.2,292.4
