timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,374.0,494.0,261.0,369.0
100.0,374.0,494.0,261.0,366.0
200.0,373.0,494.0,262.0,361.0
300.0,372.0,493.0,261.0,356.0
400.0,372.0,493.0,261.0,354.0
500.0,372.0,494.0,262.0,350.0
600.0,372.0,493.0,261.0,346.0
700.0,372.0,493.0,262.0,342.0
800.0,371.0,494.0,262.0,340.0
900.0,372.0,493.0,260.0,336.0
1000.0,371.0,494.0,262.0,331.0
1100.0,370.0,493.0,262.0,329.0
1200.0,371.0,493.0,262.0,327.0
1300.0,370.0,493.0,261.0,324.0
1400.0,369.0,493.0,262.0,321.0
1500.0,370.0,493.0,261.0,318.0
1600.0,368.0,492.0,261.0,316.0
1700.0,369.0,492.0,261.0,314.0
1800.0,367.0,492.0,261.0,310.0
1900.0,367.0,492.0,260.0,309.0
2000.0,367.0,492.0,262.0,308.0
2100.0,366.0,493.0,260.0,307.0
2200.0,366.0,492.0,261.0,306.0
2300.0,365.0,492.0,261.0,306.0
2400.0,364.0,493.0,261.0,306.0
2500.0,365.0,493.0,261.0,307.0
2600.0,364.0,494.0,261.0,309.0
2700.0,365.0,494.0,263.0,310.0
2800.0,365.0,494.0,263.0,312.0
2900.0,365.0,495.0,262.0,312.0
3000.0,365.0,495.0,262.0,312.0
3100.0,365.0,495.0,264.0,312.0
3200.0,365.0,496.0,264.0,311.0
3300.0,365.0,496.0,263.0,311.0
3400.0,365.0,496.0,264.0,312.0
3500.0,365.0,496.0,264.0,313.0
3600.0,365.0,495.0,264.0,316.0
3700.0,365.0,496.0,265.0,319.0
3800.0,364.0,495.0,265.0,320.0
3900.0,365.0,496.0,265.0,323.0
4000.0,364.0,496.0,265.0,325.0
4100.0,365.0,497.0,265.0,328.0
4200.0,365.0,497.0,265.0,332.0
4300.0,365.0,498.0,267.0,336.0
4400.0,366.0,500.0,268.0,338.0
4500.0,368.0,501.0,268.0,345.0
4600.0,369.0,502.0,269.0,351.0
4700.0,370.0,503.0,270.0,356.0
4800.0,372.0,505.0,271.0,360.0
4900.0,374.0,506.0,272.0,363.0
5000.0,374.0,506.0,273.0,366.0
5100.0,376.0,507.0,273.0,366.0
5200.0,376.0,507.0,273.0,365.0
5300.0,377.0,508.0,273.0,364.0
5400.0,378.0,508.0,274.0,362.0
5500.0,378.0,509.0,274.0,360.0
5600.0,380.0,509.0,274.0,358.0
5700.0,380.0,509.0,275.0,354.0
5800.0,381.0,509.0,274.0,351.0
5900.0,381.0,509.0,274.0,349.0
6000.0,380.0,510.0,274.0,345.0
6100.0,381.0,509.0,275.0,341.0
6200.0,380.0,510.0,274.0,337.0
6300.0,381.0,510.0,274.0,334.0
6400.0,380.0,510.0,274.0,330.0
6500.0,380.0,510.0,273.0,327.0
6600.0,379.0,510.0,273.0,325.0
6700.0,379.0,510.0,273.0,323.0
6800.0,378.0,511.0,272.0,321.0
6900.0,378.0,511.0,272.0,320.0
7000.0,378.0,513.0,274.0,319.0
7100.0,376.0,514.0,274.0,319.0
7200.0,376.0,513.0,273.0,318.0
7300.0,376.0,514.0,273.0,319.0
7400.0,375.0,514.0,273.0,319.0
7500.0,374.0,515.0,273.0,317.0
7600.0,374.0,514.0,272.0,314.0
7700.0,373.0,514.0,272.0,311.0
7800.0,372.0,514.0,272.0,308.0
7900.0,371.0,512.0,271.0,305.0
8000.0,371.0,513.0,271.0,302.0
8100.0,370.0,513.0,271.0,299.0
8200.0,370.0,512.0,271.0,296.0
8300.0,369.0,512.0,271.0,293.0
8400.0,367.0,511.0,269.0,290.0
8500.0,367.0,511.0,268.0,287.0
8600.0,366.0,511.0,268.0,284.0
8700.0,366.0,511.0,268.0,281.0
8800.0,366.0,510.0,267.0,278.0
8900.0,364.0,509.0,267.0,276.0
9000.0,363.0,509.0,267.0,274.0
9100.0,363.0,509.0,267.0,271.0
9200.0,362.0,509.0,267.0,271.0
9300.0,362.0,509.0,266.0,269.0
9400.0,361.0,508.0,267.0,268.0
9500.0,360.0,509.0,266.0,266.0
9600.0,360.0,508.0,266.0,265.0
9700.0,360.0,509.0,267.0,266.0
9800.0,359.0,510.0,267.0,266.0
9900.0,358.0,511.0,266.0,267.0
10000.0,359.0,511.0,267.0,269.0
10100.0,359.0,512.0,269.0,272.0
10200.0,358.0,513.0,270.0,274.0
10300.0,359.0,513.0,270.0,277.0
10400.0,359.0,514.0,270.0,281.0
10500.0,359.0,514.0,270.0,284.0
10600.0,359.0,513.0,271.0,285.0
10700.0,360.0,515.0,271.0,287.0
10800.0,360.0,514.0,271.0,289.0
10900.0,359.0,515.0,271.0,289.0
11000.0,359.0,515.0,272.0,289.0
11100.0,359.0,514.0,272.0,289.0
11200.0,360.0,514.0,272.0,288.0
11300.0,359.0,514.0,272.0,287.0
11400.0,359.0,513.0,273.0,287.0
11500.0,359.0,514.0,272.0,286.0
11600.0,359.0,513.0,271.0,286.0
11700.0,358.0,513.0,271.0,286.0
11800.0,357.0,513.0,271.0,286.0
11900.0,357.0,513.0,272.0,286.0
12000.0,358.0,513.0,272.0,287.0
12100.0,356.0,513.0,271.0,288.0
12200.0,356.0,513.0,271.0,289.0
12300.0,355.0,513.0,272.0,289.0
12400.0,356.0,513.0,271.0,290.0
12500.0,355.0,513.0,272.0,290.0
12600.0,356.0,512.0,272.0,289.0
12700.0,355.0,513.0,271.0,287.0
12800.0,355.0,512.0,271.0,286.0
12900.0,355.0,512.0,272.0,284.0
13000.0,355.0,512.0,271.0,282.0
13100.0,354.0,512.0,272.0,280.0
13200.0,353.0,511.0,270.0,278.0
13300.0,353.0,511.0,270.0,276.0
13400.0,354.0,511.0,270.0,273.0
13500.0,353.0,510.0,269.0,270.0
13600.0,352.0,510.0,269.0,268.0
13700.0,352.0,509.0,269.0,265.0
13800.0,352.0,509.0,269.0,262.0
13900.0,350.0,509.0,269.0,260.0
14000.0,350.0,509.0,268.0,258.0
14100.0,349.0,508.0,267.0,255.0
14200.0,349.0,509.0,268.0,254.0
14300.0,349.0,507.0,268.0,252.0
14400.0,348.0,507.0,267.0,251.0
14500.0,347.0,508.0,268.0,249.0
14600.0,347.0,508.0,267.0,246.0
14700.0,347.0,507.0,267.0,245.0
14800.0,346.0,506.0,267.0,244.0
14900.0,346.0,507.0,266.0,243.0
15000.0,346.0,507.0,266.0,243.0
15100.0,345.0,507.0,267.0,244.0
15200.0,346.0,508.0,267.0,244.0
15300.0,346.0,508.0,266.0,247.0
15400.0,346.0,509.0,267.0,251.0
15500.0,347.0,509.0,268.0,254.0
15600.0,347.0,510.0,268.0,259.0
15700.0,348.0,510.0,269.0,263.0
15800.0,349.0,510.0,270.0,267.0
15900.0,349.0,511.0,270.0,270.0
16000.0,349.0,511.0,271.0,275.0
16100.0,350.0,510.0,272.0,278.0
16200.0,351.0,511.0,273.0,282.0
16300.0,351.0,512.0,273.0,286.0
16400.0,352.0,512.0,275.0,289.0
16500.0,351.0,512.0,275.0,290.0
16600.0,352.0,512.0,275.0,293.0
16700.0,353.0,512.0,276.0,294.0
16800.0,353.0,512.0,277.0,293.0
16900.0,354.0,513.0,277.0,293.0
17000.0,354.0,512.0,277.0,291.0
17100.0,355.0,511.0,277.0,290.0
17200.0,354.0,511.0,277.0,288.0
17300.0,355.0,512.0,277.0,286.0
17400.0,354.0,511.0,275.0,284.0
