timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,379.2,540.4,310.7,341.8
100.0,365.1,554.2,307.9,274.8
200.0,382.5,573.0,313.2,310.6
300.0,371.0,501.2,263.7,322.7
400.0,391.3,566.9,320.9,295.8
500.0,353.8,508.9,288.1,287.8
600.0,391.7,573.0,320.2,297.9
700.0,358.0,544.6,297.9,229.5
800.0,365.2,551.4,307.5,242.2
900.0,398.6,566.1,318.8,306.7
1000.0,369.6,549.6,306.7,241.4
1100.0,369.9,494.5,264.5,340.7
1200.0,415.4,573.0,329.2,362.8
1300.0,348.9,511.7,269.0,290.8
1400.0,376.6,492.0,265.2,344.5
1500.0,363.6,568.4,300.8,254.1
1600.0,363.3,506.4,263.7,264.5
1700.0,348.8,515.8,287.9,305.8
1800.0,348.1,552.7,295.2,229.9
1900.0,368.1,524.9,319.8,348.0
2000.0,349.6,513.8,295.7,357.9
2100.0,395.1,573.0,317.5,302.9
2200.0,352.0,518.3,290.4,299.3
2300.0,370.5,496.4,269.4,349.7
2400.0,368.3,554.5,306.1,258.5
2500.0,359.0,506.3,260.6,334.6
2600.0,372.1,524.3,266.8,310.4
2700.0,373.7,559.4,304.0,258.8
2800.0,373.4,506.9,266.7,305.1
2900.0,392.0,573.0,324.6,299.0
3000.0,360.9,548.2,301.2,241.4
3100.0,353.4,545.8,305.5,225.8
3200.0,381.4,552.9,311.0,271.6
3300.0,351.4,552.3,298.8,224.3
3400.0,378.4,571.0,312.1,259.7
3500.0,374.2,557.5,315.0,343.1
3600.0,373.0,556.6,307.6,292.8
3700.0,356.9,506.2,280.2,313.0
3800.0,351.2,514.2,271.8,275.4
3900.0,374.8,564.0,306.1,256.9
4000.0,379.4,543.6,320.7,356.5
4100.0,384.9,562.5,321.1,300.6
4200.0,374.1,503.7,266.4,355.9
4300.0,370.2,518.6,315.6,376.6
4400.0,358.9,537.9,302.6,224.5
4500.0,377.0,550.6,298.9,239.5
4600.0,413.9,570.4,333.0,359.8
4700.0,383.0,559.4,315.9,266.9
4800.0,384.7,507.9,275.7,333.2
4900.0,366.4,556.8,318.1,246.6
5000.0,351.2,515.3,285.8,298.8
5100.0,364.0,507.8,269.4,290.1
5200.0,376.7,566.8,305.5,290.9
5300.0,354.5,524.0,282.0,301.8
5400.0,355.0,538.3,306.1,234.5
5500.0,387.4,561.4,316.1,290.0
5600.0,351.2,510.9,279.3,293.0
5700.0,351.7,553.8,303.1,226.4
5800.0,383.5,564.1,314.2,301.3
5900.0,378.9,555.8,322.1,309.7
6000.0,381.6,551.1,314.4,351.7
6100.0,358.5,543.5,303.2,224.0
6200.0,368.9,492.0,262.4,356.1
6300.0,388.0,569.8,311.3,267.8
6400.0,382.1,566.0,310.7,261.6
6500.0,387.4,564.4,320.1,296.2
6600.0,385.1,550.4,309.0,250.2
6700.0,377.3,507.2,274.8,317.7
6800.0,366.2,502.7,273.7,288.5
6900.0,357.5,523.5,285.6,308.9
7000.0,352.9,509.3,264.0,245.6
7100.0,366.7,506.6,277.1,318.9
7200.0,376.3,569.4,315.3,313.9
7300.0,357.8,505.8,273.0,283.8
7400.0,366.7,492.0,265.7,315.1
7500.0,348.0,517.1,285.5,299.6
7600.0,371.8,505.0,274.5,322.1
7700.0,376.0,573.0,321.4,337.4
7800.0,360.9,539.0,306.5,224.0
7900.0,360.7,508.8,269.1,293.1
8000.0,360.6,516.6,270.6,290.2
8100.0,362.0,509.0,267.7,287.5
8200.0,369.3,516.2,271.4,289.3
8300.0,349.9,523.5,295.6,377.0
8400.0,372.8,521.2,266.9,325.6
8500.0,385.9,553.8,324.6,295.6
8600.0,385.3,554.8,306.9,268.9
8700.0,377.0,517.0,277.6,322.3
8800.0,366.6,563.7,308.9,236.5
8900.0,387.2,541.3,320.9,343.2
9000.0,367.6,499.1,261.9,352.5
9100.0,356.7,522.0,264.5,275.2
9200.0,348.0,525.2,286.2,300.9
9300.0,400.4,573.0,325.7,368.2
9400.0,353.2,556.2,297.8,230.4
9500.0,371.5,563.3,311.7,241.1
9600.0,378.5,556.3,309.4,267.0
9700.0,365.0,562.5,308.1,243.1
9800.0,378.4,558.8,325.2,318.8
9900.0,398.6,554.6,323.7,304.8
10000.0,347.8,509.9,265.1,271.1
10100.0,389.5,573.0,314.6,319.5
10200.0,359.8,518.8,283.9,297.1
10300.0,355.7,518.2,292.9,293.8
10400.0,386.8,505.0,273.2,330.0
10500.0,351.5,508.6,284.0,294.6
10600.0,346.0,514.6,281.3,296.6
10700.0,380.2,554.7,317.8,287.6
10800.0,345.0,503.6,271.2,244.0
10900.0,399.4,561.0,327.6,301.4
11000.0,360.9,524.4,313.3,364.5
11100.0,363.3,569.3,305.8,292.8
11200.0,350.8,543.3,300.6,228.3
11300.0,378.9,562.5,312.9,248.2
11400.0,350.8,520.2,276.5,291.7
11500.0,351.0,514.3,272.7,288.5
11600.0,369.3,497.7,260.3,315.2
11700.0,378.7,571.1,313.5,269.3
11800.0,359.3,501.9,262.9,272.2
11900.0,366.5,492.0,264.7,325.4
12000.0,412.2,551.5,327.5,332.5
12100.0,364.8,517.4,266.6,296.5
12200.0,364.0,568.9,312.3,292.4
12300.0,353.3,514.5,307.5,370.3
12400.0,350.5,525.2,309.7,409.7
12500.0,370.0,502.6,268.6,318.4
12600.0,353.7,515.6,283.4,288.1
12700.0,359.2,508.4,270.5,269.4
12800.0,345.0,497.7,265.1,243.8
12900.0,351.1,541.7,304.5,224.1
13000.0,377.4,515.0,270.2,298.0
13100.0,417.7,564.7,333.0,396.5
13200.0,363.1,493.1,263.2,332.8
13300.0,408.1,549.6,328.7,434.0
13400.0,356.0,517.9,271.5,274.1
13500.0,373.3,562.7,315.4,263.7
13600.0,352.9,556.6,300.2,247.2
13700.0,351.9,508.9,276.4,267.9
13800.0,354.3,510.7,278.3,303.8
13900.0,368.0,515.6,273.3,314.0
14000.0,380.7,560.9,314.5,299.3
14100.0,375.1,557.2,310.7,253.5
14200.0,353.5,500.9,270.7,276.7
14300.0,368.5,525.7,315.7,344.2
14400.0,378.8,560.1,308.9,241.8
