timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,375.0,564.0,335.0,253.0
100.0,374.0,564.0,334.0,253.0
200.0,374.0,565.0,334.0,253.0
300.0,375.0,565.0,334.0,254.0
400.0,375.0,566.0,335.0,257.0
500.0,375.0,567.0,335.0,262.0
600.0,377.0,568.0,336.0,270.0
700.0,379.0,570.0,336.0,279.0
800.0,380.0,571.0,338.0,287.0
900.0,382.0,571.0,339.0,292.0
1000.0,383.0,571.0,339.0,294.0
1100.0,386.0,571.0,340.0,295.0
1200.0,388.0,571.0,341.0,295.0
1300.0,390.0,571.0,342.0,294.0
1400.0,390.0,571.0,341.0,292.0
1500.0,392.0,572.0,341.0,289.0
1600.0,392.0,572.0,342.0,288.0
1700.0,393.0,572.0,342.0,285.0
1800.0,394.0,572.0,342.0,284.0
1900.0,394.0,571.0,342.0,282.0
2000.0,395.0,572.0,342.0,281.0
2100.0,395.0,572.0,342.0,281.0
2200.0,394.0,572.0,342.0,280.0
2300.0,395.0,573.0,341.0,279.0
2400.0,394.0,573.0,342.0,280.0
2500.0,394.0,573.0,342.0,281.0
2600.0,393.0,574.0,341.0,283.0
2700.0,394.0,574.0,340.0,284.0
2800.0,394.0,575.0,342.0,287.0
2900.0,393.0,576.0,342.0,289.0
3000.0,393.0,577.0,342.0,293.0
3100.0,393.0,577.0,342.0,296.0
3200.0,393.0,578.0,343.0,301.0
3300.0,394.0,578.0,342.0,306.0
3400.0,394.0,579.0,343.0,312.0
3500.0,394.0,580.0,343.0,318.0
3600.0,394.0,581.0,344.0,325.0
3700.0,395.0,581.0,344.0,333.0
3800.0,396.0,582.0,345.0,339.0
3900.0,396.0,583.0,345.0,344.0
4000.0,397.0,582.0,346.0,347.0
4100.0,396.0,582.0,346.0,351.0
4200.0,396.0,583.0,346.0,351.0
4300.0,398.0,582.0,346.0,353.0
4400.0,397.0,582.0,347.0,354.0
4500.0,398.0,581.0,348.0,356.0
4600.0,399.0,581.0,348.0,357.0
4700.0,399.0,581.0,349.0,357.0
4800.0,398.0,581.0,349.0,358.0
4900.0,399.0,581.0,350.0,358.0
5000.0,398.0,580.0,350.0,358.0
5100.0,398.0,579.0,350.0,357.0
5200.0,398.0,579.0,350.0,355.0
5300.0,396.0,579.0,351.0,354.0
5400.0,397.0,578.0,351.0,351.0
5500.0,396.0,579.0,351.0,347.0
5600.0,396.0,579.0,351.0,346.0
5700.0,395.0,578.0,352.0,343.0
5800.0,395.0,578.0,352.0,341.0
5900.0,395.0,578.0,352.0,338.0
6000.0,395.0,577.0,352.0,334.0
6100.0,394.0,577.0,351.0,330.0
6200.0,395.0,579.0,352.0,327.0
6300.0,394.0,579.0,351.0,325.0
6400.0,395.0,579.0,352.0,325.0
6500.0,393.0,579.0,351.0,323.0
6600.0,394.0,581.0,351.0,323.0
6700.0,395.0,581.0,351.0,326.0
