timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,362.9,570.1,337.1,282.3
100.0,359.3,573.0,338.1,282.5
200.0,373.1,580.5,352.8,272.7
300.0,370.4,588.4,340.3,320.9
400.0,383.1,597.3,350.0,283.6
500.0,369.5,578.8,345.0,237.8
600.0,413.2,603.0,352.3,265.3
700.0,356.8,575.0,342.2,262.5
800.0,356.6,575.8,329.9,292.1
900.0,351.0,566.6,339.9,232.2
1000.0,376.5,597.3,348.4,263.0
1100.0,383.5,584.6,349.8,279.1
1200.0,345.0,572.5,328.4,236.9
1300.0,390.7,582.8,344.6,284.0
1400.0,352.2,574.6,340.3,244.2
1500.0,355.3,571.7,332.3,262.2
1600.0,389.3,584.0,346.0,266.1
1700.0,418.3,597.2,362.0,299.6
1800.0,410.8,588.2,346.8,242.4
1900.0,403.4,593.4,347.7,281.7
2000.0,373.1,578.9,346.7,322.6
2100.0,390.6,605.0,347.1,278.8
2200.0,378.7,587.5,346.0,315.5
2300.0,386.9,589.2,350.8,282.0
2400.0,343.9,571.9,337.0,263.5
2500.0,385.9,605.1,344.7,238.0
2600.0,389.9,589.0,342.4,279.8
2700.0,342.2,574.0,331.3,228.4
2800.0,346.9,575.2,344.9,271.3
2900.0,347.1,576.0,335.1,225.8
3000.0,361.0,570.9,345.2,243.1
3100.0,354.0,564.0,341.6,223.2
3200.0,415.1,601.5,353.9,293.3
3300.0,397.1,593.4,346.7,274.6
3400.0,376.6,598.8,350.6,308.2
3500.0,358.8,564.0,332.2,267.2
3600.0,351.7,577.3,337.2,268.4
3700.0,349.0,565.0,343.5,230.5
3800.0,375.4,577.6,355.6,275.2
3900.0,359.3,576.0,328.4,248.7
4000.0,403.3,599.3,355.2,305.7
4100.0,400.7,588.7,346.2,283.5
4200.0,353.5,565.8,343.6,277.5
4300.0,383.7,591.1,345.5,271.4
4400.0,393.9,602.0,345.9,236.0
4500.0,354.0,577.9,344.7,245.8
4600.0,355.7,574.8,334.4,254.1
4700.0,387.1,587.7,357.0,270.0
4800.0,354.3,574.1,328.0,242.8
4900.0,379.5,586.3,346.6,310.2
5000.0,354.5,576.9,339.3,266.5
5100.0,357.4,571.6,342.1,218.0
5200.0,385.6,588.8,355.2,288.3
5300.0,375.2,585.5,362.0,305.8
5400.0,361.3,568.1,343.7,278.0
5500.0,359.0,566.3,348.8,224.5
5600.0,386.9,579.2,354.6,317.9
5700.0,374.2,577.4,358.1,288.3
5800.0,391.4,595.4,352.2,275.5
5900.0,358.3,566.3,336.1,258.9
6000.0,384.2,596.4,358.9,314.7
6100.0,352.4,573.5,341.9,271.2
6200.0,354.8,579.7,331.2,256.9
6300.0,362.6,564.0,333.9,280.3
6400.0,358.3,564.0,332.8,274.8
6500.0,358.6,577.7,339.4,249.4
6600.0,393.7,586.7,343.3,264.6
6700.0,391.8,588.9,342.8,269.7
6800.0,347.8,564.0,335.2,225.6
6900.0,356.5,564.6,342.4,286.5
7000.0,420.5,612.0,354.2,380.4
7100.0,359.2,569.3,338.0,255.7
7200.0,417.4,591.7,353.0,273.6
7300.0,414.5,603.2,357.0,412.0
7400.0,398.3,579.1,351.2,311.3
7500.0,415.5,609.3,349.2,293.9
7600.0,356.8,581.3,339.5,262.1
7700.0,400.3,590.3,355.1,313.9
7800.0,352.9,575.1,335.7,256.9
7900.0,383.9,597.7,344.0,279.9
8000.0,397.8,581.6,361.7,302.2
8100.0,361.5,591.2,355.8,300.9
8200.0,370.3,572.8,335.9,311.2
