timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,516.6,823.0,495.0,609.1
100.0,515.5,834.0,505.8,584.4
200.0,518.0,834.0,497.0,612.5
300.0,518.0,818.8,498.9,610.3
400.0,518.0,820.3,490.2,593.5
500.0,508.1,834.0,506.0,603.8
600.0,518.0,812.0,482.7,607.0
700.0,513.0,812.0,494.0,608.4
800.0,518.0,829.7,503.4,583.8
900.0,516.9,812.0,484.3,603.4
1000.0,508.0,812.0,478.0,584.7
1100.0,508.0,826.3,493.6,592.2
1200.0,508.0,828.0,493.3,584.3
1300.0,518.0,834.0,506.0,603.8
1400.0,510.0,827.5,482.5,593.9
1500.0,508.0,829.7,506.0,588.9
1600.0,508.0,812.8,483.0,603.6
1700.0,518.0,830.9,502.9,597.1
1800.0,512.8,818.2,488.4,607.0
1900.0,513.2,834.0,503.1,612.3
2000.0,518.0,823.2,489.7,607.7
2100.0,508.0,832.0,501.9,610.7
2200.0,509.8,834.0,504.2,605.9
2300.0,511.5,816.3,502.2,586.3
2400.0,518.0,829.2,506.0,595.1
2500.0,508.0,812.0,489.6,590.9
2600.0,508.0,828.6,490.9,612.5
2700.0,513.8,823.4,506.0,606.1
2800.0,518.0,831.6,502.3,592.0
2900.0,518.0,834.0,495.7,582.9
3000.0,516.9,829.1,506.0,594.5
3100.0,511.0,826.3,482.6,606.3
3200.0,518.0,812.0,494.4,612.4
3300.0,518.0,832.5,498.8,597.1
3400.0,517.6,829.0,491.5,613.0
3500.0,513.6,834.0,502.6,598.8
3600.0,518.0,825.7,490.9,579.0
3700.0,515.3,828.2,484.3,599.4
3800.0,518.0,822.1,506.0,603.5
3900.0,508.0,828.8,506.0,605.0
4000.0,518.0,831.0,497.0,599.2
4100.0,518.0,834.0,492.0,611.2
4200.0,509.4,825.4,500.1,613.0
4300.0,518.0,814.2,493.7,607.7
4400.0,518.0,821.3,502.9,607.5
4500.0,518.0,813.9,483.1,602.2
4600.0,508.8,817.8,489.5,597.9
4700.0,511.3,834.0,506.0,613.0
4800.0,518.0,827.0,502.6,599.4
4900.0,508.0,821.9,502.6,611.1
5000.0,518.0,822.1,494.6,602.2
5100.0,508.0,834.0,506.0,595.1
5200.0,508.0,826.1,484.1,598.3
5300.0,508.0,813.3,490.6,613.0
5400.0,508.8,834.0,496.0,592.7
5500.0,517.1,834.0,504.4,611.5
5600.0,513.5,812.0,485.1,579.0
5700.0,512.3,834.0,496.8,613.0
5800.0,508.0,822.7,498.6,596.8
5900.0,517.1,822.6,481.6,600.0
6000.0,518.0,812.0,494.0,602.1
6100.0,516.2,826.2,492.9,592.6
6200.0,518.0,815.6,486.7,609.0
6300.0,518.0,812.0,480.5,598.6
6400.0,512.9,828.7,503.4,588.3
6500.0,518.0,834.0,501.3,599.4
6600.0,513.6,812.0,498.7,612.2
