timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,507.0,827.0,517.8,599.3
100.0,500.0,819.0,514.0,574.2
200.0,500.0,826.7,514.0,552.5
300.0,507.0,827.0,519.0,553.2
400.0,500.0,827.0,514.0,562.8
500.0,505.6,827.0,515.7,562.5
600.0,506.6,820.0,514.0,600.4
700.0,504.0,827.0,516.2,546.4
800.0,500.0,819.0,514.0,557.5
900.0,500.0,827.0,520.0,577.1
1000.0,500.0,827.0,515.3,545.9
1100.0,507.0,827.0,520.0,569.7
1200.0,500.5,819.0,514.0,564.1
1300.0,507.0,819.0,515.6,591.5
1400.0,505.7,827.0,514.0,543.0
1500.0,502.0,822.8,514.0,550.0
1600.0,507.0,819.0,514.0,594.9
1700.0,507.0,827.0,514.0,601.0
1800.0,500.0,819.0,518.0,558.2
1900.0,507.0,819.0,514.0,558.5
2000.0,505.0,819.0,520.0,562.6
2100.0,500.0,819.0,520.0,581.2
2200.0,507.0,824.7,520.0,568.2
2300.0,504.7,827.0,514.8,570.4
2400.0,500.3,819.0,514.0,555.6
2500.0,507.0,827.0,514.0,566.8
2600.0,500.9,819.0,514.0,553.4
2700.0,507.0,819.0,520.0,588.3
2800.0,500.0,827.0,514.1,553.3
2900.0,507.0,827.0,519.9,559.7
3000.0,507.0,827.0,515.7,598.2
3100.0,500.0,819.0,514.5,555.9
3200.0,501.2,819.0,519.8,570.9
3300.0,507.0,819.0,514.7,551.1
3400.0,500.0,827.0,520.0,571.4
3500.0,507.0,827.0,514.0,552.1
3600.0,507.0,827.0,520.0,554.1
3700.0,507.0,827.0,514.0,549.5
3800.0,500.0,827.0,520.0,592.8
3900.0,500.0,819.0,520.0,560.1
4000.0,507.0,823.2,520.0,579.7
4100.0,507.0,827.0,517.0,555.7
4200.0,503.0,827.0,514.0,561.2
4300.0,507.0,827.0,520.0,552.3
4400.0,500.0,823.5,515.3,547.9
4500.0,507.0,827.0,519.2,591.3
4600.0,500.0,827.0,518.6,549.6
4700.0,507.0,827.0,514.0,557.6
4800.0,500.0,819.0,520.0,559.4
4900.0,503.4,819.0,520.0,574.1
5000.0,500.0,827.0,514.0,552.5
5100.0,505.1,827.0,520.0,584.4
5200.0,507.0,819.0,515.6,555.0
5300.0,500.0,827.0,514.0,543.0
5400.0,500.0,819.0,516.2,560.6
5500.0,500.0,827.0,514.0,552.0
5600.0,500.0,819.0,514.0,555.6
5700.0,500.0,827.0,517.2,572.2
5800.0,507.0,822.9,520.0,580.2
5900.0,504.1,827.0,514.0,546.0
6000.0,507.0,819.0,515.0,547.3
6100.0,507.0,827.0,517.7,590.4
6200.0,507.0,819.0,515.7,554.4
6300.0,507.0,827.0,520.0,601.0
6400.0,500.0,820.0,515.7,551.9
6500.0,506.2,822.5,520.0,563.6
6600.0,503.3,824.3,520.0,547.4
6700.0,507.0,824.8,520.0,578.7
6800.0,507.0,819.0,520.0,543.0
6900.0,502.5,819.0,515.0,599.7
7000.0,507.0,827.0,514.0,554.8
7100.0,505.5,819.0,514.0,554.6
7200.0,500.0,824.3,517.5,543.0
7300.0,507.0,819.0,514.0,560.0
7400.0,500.0,819.0,518.7,558.7
7500.0,500.0,827.0,516.0,595.8
7600.0,500.4,827.0,514.0,559.7
7700.0,507.0,819.0,520.0,579.1
7800.0,507.0,820.8,514.0,598.3
7900.0,507.0,825.2,520.0,573.9
8000.0,507.0,827.0,520.0,593.0
8100.0,507.0,827.0,514.6,601.0
8200.0,507.0,822.6,520.0,590.2
8300.0,500.6,827.0,520.0,543.0
8400.0,505.8,827.0,514.0,566.4
8500.0,500.2,823.7,516.9,551.4
8600.0,507.0,827.0,514.0,582.2
8700.0,507.0,819.0,517.0,544.6
8800.0,507.0,819.0,517.4,582.9
8900.0,507.0,827.0,518.6,571.4
9000.0,500.0,825.1,518.1,551.4
9100.0,500.0,827.0,515.0,550.1
9200.0,500.0,827.0,516.1,559.6
9300.0,500.0,819.0,520.0,547.7
9400.0,507.0,819.0,520.0,566.6
9500.0,503.5,827.0,520.0,591.6
9600.0,500.0,819.0,514.0,550.4
9700.0,507.0,819.0,520.0,561.0
9800.0,500.0,819.0,514.0,576.5
9900.0,507.0,827.0,515.1,556.8
10000.0,500.3,819.0,515.7,563.9
10100.0,503.0,827.0,514.0,554.5
10200.0,502.7,819.0,514.5,573.5
10300.0,503.4,819.0,514.0,553.3
10400.0,501.4,825.2,517.1,588.3
10500.0,507.0,827.0,520.0,601.0
10600.0,507.0,819.0,514.0,543.0
10700.0,500.0,824.2,516.8,565.4
10800.0,500.0,827.0,520.0,574.9
10900.0,500.0,821.2,515.1,551.4
11000.0,500.9,827.0,520.0,581.4
11100.0,500.0,827.0,514.0,585.5
11200.0,507.0,827.0,520.0,600.2
11300.0,502.1,819.0,514.0,583.7
11400.0,500.0,820.8,520.0,550.8
11500.0,507.0,827.0,514.0,552.5
11600.0,507.0,819.0,520.0,569.4
11700.0,502.5,819.0,519.3,550.5
11800.0,502.1,819.0,516.3,561.2
11900.0,507.0,819.0,520.0,596.9
12000.0,500.0,819.3,520.0,577.6
12100.0,500.3,820.6,514.0,547.4
12200.0,500.0,819.0,514.0,543.0
12300.0,505.7,819.0,516.7,555.6
12400.0,507.0,819.0,520.0,576.8
12500.0,503.2,827.0,514.0,558.7
12600.0,507.0,827.0,515.4,575.9
12700.0,507.0,823.4,514.0,543.0
12800.0,507.0,827.0,520.0,567.6
12900.0,500.2,821.2,514.0,561.3
13000.0,507.0,827.0,514.0,601.0
13100.0,503.0,825.3,516.8,584.5
13200.0,507.0,819.0,520.0,568.8
13300.0,500.2,819.0,520.0,558.4
13400.0,507.0,827.0,514.0,547.0
13500.0,507.0,819.0,514.0,550.9
13600.0,507.0,819.0,514.0,573.7
13700.0,501.2,821.1,517.6,552.1
13800.0,507.0,827.0,517.0,585.5
13900.0,505.3,824.7,514.0,571.5
14000.0,501.3,827.0,514.0,571.0
14100.0,505.7,819.0,514.0,545.4
14200.0,505.2,827.0,514.0,570.0
14300.0,500.0,820.9,516.2,550.7
14400.0,502.8,827.0,514.0,585.2
14500.0,501.8,827.0,514.0,586.7
14600.0,503.0,821.8,519.0,543.0
14700.0,500.8,827.0,520.0,589.3
14800.0,505.6,827.0,520.0,545.0
14900.0,503.5,826.9,514.0,543.0
15000.0,502.8,819.0,520.0,551.0
15100.0,502.0,819.0,520.0,543.0
15200.0,505.7,819.0,518.0,556.9
15300.0,505.3,827.0,514.0,546.6
15400.0,507.0,819.0,520.0,583.2
15500.0,504.3,825.5,514.0,544.0
15600.0,500.0,819.0,517.8,570.4
15700.0,500.0,819.0,514.0,565.2
15800.0,507.0,819.0,514.0,582.7
15900.0,504.8,821.4,520.0,555.2
16000.0,507.0,819.0,514.0,568.3
16100.0,502.5,827.0,514.0,545.9
16200.0,500.0,827.0,517.6,546.9
16300.0,501.9,827.0,514.0,550.2
16400.0,504.3,819.0,517.9,590.7
16500.0,503.0,819.0,514.0,565.6
16600.0,500.2,827.0,519.8,547.2
16700.0,504.8,820.3,514.0,576.9
16800.0,500.0,819.0,517.0,543.0
16900.0,507.0,827.0,516.3,545.2
17000.0,506.7,819.0,520.0,570.8
17100.0,506.1,819.0,518.4,571.8
17200.0,502.5,822.3,514.0,550.1
17300.0,506.2,826.0,514.0,583.8
17400.0,500.0,819.0,514.0,593.3
17500.0,507.0,819.0,520.0,553.0
17600.0,507.0,827.0,520.0,560.3
17700.0,507.0,819.0,515.3,577.8
17800.0,507.0,821.8,514.0,552.2
17900.0,500.0,824.4,514.0,555.5
18000.0,500.0,819.0,514.0,552.7
18100.0,500.0,820.4,517.0,567.5
18200.0,500.0,821.3,520.0,555.2
18300.0,507.0,824.6,516.6,568.6
18400.0,507.0,827.0,514.0,570.2
18500.0,500.0,827.0,514.0,551.3
18600.0,500.0,819.0,520.0,557.4
18700.0,500.0,819.0,514.0,564.8
18800.0,500.0,819.0,517.1,543.0
18900.0,500.0,827.0,520.0,554.8
19000.0,500.0,827.0,519.0,553.5
19100.0,503.4,825.5,514.0,549.9
19200.0,507.0,819.0,520.0,580.9
19300.0,500.0,819.0,518.2,554.9
19400.0,502.8,827.0,518.8,565.1
