timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,694.0,966.0,790.0,905.0
100.0,694.0,968.5,781.0,901.3
200.0,685.8,966.0,789.3,905.0
300.0,679.9,966.0,781.0,883.0
400.0,692.4,966.0,790.0,883.0
500.0,680.2,966.0,781.0,883.5
600.0,693.9,966.0,790.0,883.0
700.0,678.0,971.0,785.0,894.7
800.0,678.9,966.0,786.2,883.0
900.0,678.0,966.0,790.0,883.0
1000.0,678.0,972.0,781.0,905.0
1100.0,687.2,970.7,788.9,892.6
1200.0,678.0,966.0,786.1,883.0
1300.0,681.7,971.6,781.0,905.0
1400.0,678.0,966.0,790.0,890.6
1500.0,690.6,972.0,784.6,887.4
1600.0,681.6,966.0,781.0,905.0
1700.0,679.1,966.0,787.8,886.8
1800.0,678.0,972.0,783.1,902.8
1900.0,682.4,967.2,790.0,902.5
2000.0,678.0,972.0,781.0,883.0
2100.0,694.0,972.0,787.2,899.1
2200.0,694.0,966.0,782.0,883.0
2300.0,691.2,966.0,781.0,898.0
2400.0,678.5,972.0,784.0,891.7
2500.0,687.7,966.0,781.0,905.0
2600.0,678.0,966.0,786.7,886.3
2700.0,689.7,972.0,785.6,905.0
2800.0,681.1,966.0,790.0,889.6
2900.0,685.6,972.0,781.0,905.0
3000.0,678.0,966.0,781.0,896.1
3100.0,694.0,966.7,789.6,904.7
3200.0,685.5,966.5,781.0,904.2
3300.0,678.2,968.7,786.5,892.9
3400.0,678.0,972.0,781.0,904.4
3500.0,694.0,968.0,786.3,894.8
3600.0,685.9,966.0,784.8,884.9
3700.0,678.0,972.0,781.0,896.8
3800.0,678.0,966.0,785.6,898.3
3900.0,694.0,966.0,790.0,900.5
4000.0,679.0,966.0,781.0,890.3
4100.0,687.7,966.0,781.0,905.0
4200.0,685.0,966.0,781.0,905.0
4300.0,694.0,972.0,787.8,886.8
4400.0,693.9,972.0,784.6,888.1
4500.0,694.0,966.0,787.0,895.3
4600.0,687.0,972.0,781.0,891.9
4700.0,687.2,966.0,790.0,887.5
4800.0,693.4,966.0,781.0,896.1
4900.0,690.0,970.9,790.0,886.0
5000.0,678.0,972.0,790.0,905.0
5100.0,682.9,971.3,784.1,905.0
5200.0,688.8,966.0,790.0,890.8
5300.0,694.0,972.0,781.0,901.5
5400.0,692.3,966.0,790.0,883.0
5500.0,689.2,972.0,781.0,901.0
5600.0,686.7,972.0,781.0,897.8
5700.0,678.0,966.0,781.0,893.8
5800.0,680.1,972.0,787.8,883.0
5900.0,682.6,966.0,790.0,890.9
6000.0,694.0,972.0,790.0,899.6
6100.0,678.0,972.0,790.0,894.3
6200.0,694.0,972.0,790.0,885.0
6300.0,683.5,972.0,783.9,883.0
6400.0,689.8,967.4,781.0,900.8
6500.0,683.6,972.0,781.0,903.3
6600.0,682.9,968.4,781.0,905.0
6700.0,694.0,972.0,783.3,905.0
6800.0,678.0,972.0,781.0,883.0
6900.0,680.1,972.0,787.5,883.0
7000.0,689.0,966.6,790.0,890.4
7100.0,678.0,966.0,787.7,883.0
7200.0,692.1,966.0,783.9,903.9
7300.0,694.0,966.0,790.0,885.1
7400.0,678.0,966.0,790.0,898.2
7500.0,681.6,966.0,790.0,901.3
7600.0,694.0,972.0,790.0,889.4
7700.0,694.0,972.0,790.0,890.2
7800.0,678.3,969.7,790.0,890.3
7900.0,692.0,966.0,782.9,890.5
8000.0,678.0,972.0,790.0,901.5
8100.0,688.2,966.0,790.0,884.1
8200.0,678.0,966.0,781.0,905.0
8300.0,681.6,966.0,790.0,884.2
8400.0,678.1,972.0,790.0,905.0
8500.0,694.0,966.0,790.0,900.6
8600.0,693.6,966.0,790.0,883.0
8700.0,686.0,972.0,790.0,905.0
8800.0,678.0,966.0,781.8,905.0
8900.0,693.7,972.0,785.7,896.6
9000.0,686.0,972.0,781.0,883.8
9100.0,680.8,966.0,782.0,894.3
9200.0,678.0,966.0,781.0,883.0
9300.0,680.1,966.0,790.0,905.0
9400.0,681.2,966.0,785.5,900.0
9500.0,694.0,966.0,783.0,903.7
9600.0,682.3,970.5,790.0,886.9
