timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,668.0,963.6,788.1,872.0
100.0,670.2,962.0,777.0,906.3
200.0,682.3,962.0,784.1,901.2
300.0,677.3,962.0,777.0,862.7
400.0,685.5,962.0,790.8,876.0
500.0,691.0,971.0,791.0,886.6
600.0,689.7,962.0,779.6,908.0
700.0,668.0,962.0,778.1,867.1
800.0,677.5,968.5,777.3,867.0
900.0,668.0,969.2,777.0,861.0
1000.0,668.0,966.3,777.0,861.9
1100.0,674.6,971.0,791.0,901.4
1200.0,684.8,962.0,777.0,900.6
1300.0,691.0,962.0,780.7,908.0
1400.0,674.6,962.0,791.0,896.2
1500.0,690.3,964.0,791.0,902.3
1600.0,676.2,962.0,791.0,871.2
1700.0,672.4,971.0,791.0,872.3
1800.0,680.7,971.0,777.0,883.5
1900.0,668.0,971.0,791.0,868.4
2000.0,685.7,971.0,791.0,897.0
2100.0,670.4,971.0,782.9,889.2
2200.0,677.4,969.0,777.0,890.7
2300.0,678.5,962.6,791.0,890.3
2400.0,671.6,971.0,777.0,884.1
2500.0,683.4,971.0,791.0,899.7
2600.0,671.4,971.0,777.0,865.0
2700.0,683.0,968.1,784.0,893.9
2800.0,684.6,971.0,783.8,881.5
2900.0,670.0,966.1,786.9,889.8
3000.0,687.6,962.0,781.9,890.7
3100.0,691.0,962.0,787.0,908.0
3200.0,673.4,971.0,777.0,880.8
3300.0,685.4,962.5,790.1,861.0
3400.0,672.9,962.0,791.0,905.0
3500.0,681.3,962.0,791.0,904.2
3600.0,691.0,971.0,777.0,908.0
3700.0,674.6,962.0,780.2,899.5
3800.0,691.0,971.0,790.2,908.0
3900.0,668.9,971.0,791.0,861.0
4000.0,688.1,962.0,782.8,895.8
4100.0,680.9,971.0,791.0,888.1
4200.0,682.2,971.0,790.8,894.8
4300.0,675.2,962.0,791.0,873.7
4400.0,691.0,962.0,777.0,905.3
4500.0,673.3,971.0,777.0,885.1
4600.0,668.1,962.0,791.0,861.3
4700.0,671.9,962.0,791.0,905.8
4800.0,671.5,962.0,777.3,902.4
4900.0,674.3,962.0,777.0,861.0
5000.0,688.3,971.0,777.0,876.0
5100.0,680.6,971.0,791.0,904.7
5200.0,674.4,968.9,777.0,889.4
5300.0,670.3,971.0,779.5,861.0
5400.0,684.2,962.0,778.5,898.9
5500.0,685.4,971.0,791.0,891.8
5600.0,677.6,967.8,791.0,892.3
5700.0,690.0,971.0,777.0,907.3
5800.0,673.6,963.0,791.0,907.3
5900.0,668.0,971.0,791.0,891.8
6000.0,676.1,962.0,777.0,884.0
6100.0,676.6,971.0,791.0,897.8
6200.0,691.0,971.0,777.0,908.0
6300.0,681.8,971.0,791.0,908.0
6400.0,683.5,971.0,789.6,872.2
6500.0,672.3,962.0,785.3,880.7
6600.0,691.0,964.5,791.0,904.8
6700.0,676.1,971.0,791.0,887.4
6800.0,668.0,962.0,777.0,889.1
6900.0,683.0,969.9,791.0,882.5
7000.0,672.7,962.0,791.0,895.5
7100.0,682.0,971.0,791.0,889.3
7200.0,691.0,971.0,785.7,889.2
7300.0,678.4,971.0,791.0,908.0
7400.0,677.0,970.3,781.2,894.7
7500.0,684.8,971.0,788.6,907.3
7600.0,685.0,967.1,782.4,908.0
7700.0,683.3,971.0,785.8,884.4
7800.0,684.0,971.0,791.0,908.0
7900.0,680.3,962.7,788.6,876.8
8000.0,691.0,971.0,788.7,908.0
8100.0,679.4,971.0,783.9,861.1
8200.0,675.0,962.0,790.7,900.5
8300.0,691.0,971.0,791.0,891.9
8400.0,676.6,971.0,791.0,891.3
8500.0,668.0,971.0,777.0,876.0
8600.0,671.6,962.0,791.0,874.8
8700.0,682.5,970.5,791.0,896.1
8800.0,691.0,962.0,777.0,903.5
8900.0,682.8,962.0,783.6,908.0
