timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,826.6,891.0,837.0,697.3
100.0,809.0,893.4,859.0,819.1
200.0,824.1,899.0,843.8,785.3
300.0,823.8,891.0,859.0,739.8
400.0,825.7,899.2,851.5,740.2
500.0,831.7,903.8,855.2,722.3
600.0,814.6,909.3,837.0,716.1
700.0,827.6,891.0,844.9,670.3
800.0,809.0,900.7,839.4,696.1
900.0,819.9,905.8,837.0,742.2
1000.0,809.0,910.0,848.5,760.6
1100.0,817.2,910.0,848.6,802.4
1200.0,821.6,897.7,841.6,769.9
1300.0,828.0,901.3,837.0,672.6
1400.0,826.8,904.8,859.0,743.9
1500.0,818.9,894.4,837.0,734.3
1600.0,830.1,896.3,849.5,818.6
1700.0,817.1,903.8,844.3,866.0
1800.0,809.0,901.4,859.0,699.8
1900.0,836.0,910.0,859.0,853.8
2000.0,825.7,910.0,849.5,709.2
2100.0,814.3,891.0,856.1,838.7
2200.0,821.4,906.4,854.8,670.0
2300.0,832.5,893.1,837.0,579.0
2400.0,809.0,891.0,837.0,820.0
2500.0,813.8,892.3,859.0,862.0
2600.0,826.7,908.7,837.0,607.5
2700.0,822.2,899.9,859.0,825.2
2800.0,811.1,895.3,854.7,766.6
2900.0,809.0,892.6,837.0,751.0
3000.0,826.7,905.9,839.4,742.9
3100.0,810.7,908.0,852.0,820.9
3200.0,818.3,891.1,858.6,821.5
3300.0,826.6,900.7,859.0,856.3
3400.0,835.6,910.0,841.7,815.9
3500.0,836.0,900.1,859.0,847.6
3600.0,816.8,910.0,856.6,825.8
3700.0,809.0,891.0,859.0,684.7
3800.0,813.5,906.9,837.0,614.6
3900.0,812.1,907.1,837.0,619.6
4000.0,825.6,903.3,837.0,718.5
4100.0,813.1,891.0,837.0,619.9
4200.0,823.4,892.3,859.0,830.1
4300.0,809.0,891.0,850.1,749.0
4400.0,835.9,910.0,840.2,866.0
4500.0,820.4,898.1,840.9,773.9
4600.0,836.0,910.0,859.0,853.6
4700.0,821.4,891.0,837.0,647.8
4800.0,826.5,905.1,857.4,585.1
4900.0,821.4,904.2,842.3,614.4
5000.0,829.6,904.9,859.0,810.2
5100.0,809.0,905.1,839.5,764.7
5200.0,809.0,892.5,837.0,698.3
5300.0,836.0,891.0,845.0,783.5
5400.0,809.0,891.0,837.0,726.9
5500.0,811.9,898.2,859.0,827.9
5600.0,828.8,891.0,858.7,783.3
5700.0,812.0,903.8,859.0,729.3
5800.0,833.0,891.1,848.9,794.2
5900.0,824.6,909.7,859.0,774.4
6000.0,827.0,894.3,857.5,838.1
6100.0,814.6,891.0,853.0,579.0
6200.0,824.4,894.0,857.4,858.6
6300.0,812.6,905.3,843.9,828.0
6400.0,822.7,891.0,859.0,698.1
6500.0,828.0,891.1,840.9,704.7
6600.0,816.4,910.0,859.0,865.3
6700.0,824.8,904.2,839.6,846.0
6800.0,828.7,891.0,859.0,774.0
6900.0,812.6,910.0,837.0,763.4
7000.0,822.7,891.8,857.2,789.1
7100.0,824.9,902.5,859.0,823.9
7200.0,825.3,900.6,839.4,747.8
7300.0,828.1,910.0,858.4,848.3
7400.0,831.3,910.0,849.3,855.2
7500.0,809.0,900.4,859.0,819.9
7600.0,809.0,896.4,840.2,701.4
7700.0,819.1,900.3,838.7,844.5
7800.0,810.9,891.0,837.0,798.6
7900.0,809.0,897.1,846.4,698.2
8000.0,821.4,891.0,859.0,843.6
8100.0,825.9,907.5,839.6,827.6
8200.0,827.0,905.7,850.8,818.2
8300.0,809.0,891.0,859.0,750.5
8400.0,836.0,906.3,859.0,772.3
8500.0,809.0,910.0,859.0,673.6
8600.0,819.8,910.0,837.0,589.5
8700.0,809.0,891.0,856.8,696.1
8800.0,816.2,901.8,854.2,771.6
8900.0,822.4,910.0,854.0,837.8
9000.0,831.2,891.0,852.1,735.7
9100.0,831.1,908.5,839.4,819.0
9200.0,814.0,908.7,851.0,791.5
9300.0,820.7,910.0,859.0,827.6
9400.0,828.9,906.5,859.0,755.4
9500.0,809.0,897.2,851.7,790.8
9600.0,815.8,910.0,848.6,818.9
9700.0,828.3,891.0,845.4,728.0
9800.0,836.0,894.8,859.0,763.7
9900.0,822.0,896.8,841.7,752.2
10000.0,813.2,891.2,856.0,810.3
10100.0,819.9,891.5,858.1,856.5
10200.0,816.3,903.3,851.4,825.3
10300.0,809.3,907.3,837.0,735.0
10400.0,818.7,891.0,857.4,683.3
10500.0,825.6,892.1,850.7,793.8
10600.0,832.9,891.0,842.5,811.1
10700.0,815.2,898.8,848.7,799.5
10800.0,822.8,900.9,853.0,728.6
10900.0,820.5,891.0,849.2,719.7
11000.0,819.0,907.9,839.9,777.1
11100.0,817.9,905.1,859.0,738.4
11200.0,816.2,910.0,847.9,815.2
11300.0,820.7,896.5,845.8,775.7
11400.0,818.5,910.0,842.3,628.1
11500.0,814.4,891.4,837.0,758.2
11600.0,824.3,904.8,852.5,833.7
11700.0,836.0,892.9,859.0,866.0
11800.0,813.0,906.2,842.4,739.1
11900.0,828.6,910.0,848.5,785.2
12000.0,822.8,891.0,850.1,832.5
12100.0,821.9,900.8,859.0,769.0
12200.0,821.0,910.0,850.2,838.9
12300.0,812.7,910.0,843.0,762.8
12400.0,811.4,909.6,859.0,829.4
12500.0,834.0,891.0,859.0,839.6
12600.0,813.8,891.0,856.7,842.8
12700.0,818.8,891.0,857.5,749.7
12800.0,836.0,910.0,851.5,854.2
12900.0,814.7,897.5,837.0,657.2
13000.0,809.0,891.0,858.0,828.9
13100.0,817.3,910.0,844.3,828.1
13200.0,809.0,910.0,859.0,810.3
13300.0,809.0,910.0,859.0,672.4
13400.0,836.0,908.0,843.4,855.2
13500.0,836.0,896.7,837.0,620.2
13600.0,817.1,891.0,846.5,769.9
13700.0,836.0,904.3,859.0,857.9
13800.0,811.3,910.0,838.5,673.9
13900.0,821.3,891.0,852.0,663.3
14000.0,832.2,891.0,852.5,649.7
14100.0,827.5,910.0,837.0,797.4
14200.0,823.9,891.0,844.9,630.8
14300.0,836.0,894.7,859.0,849.8
14400.0,822.4,910.0,859.0,847.8
14500.0,815.3,908.5,851.5,828.0
14600.0,836.0,903.8,851.2,843.1
14700.0,834.2,910.0,851.9,845.2
14800.0,828.7,891.0,859.0,827.7
14900.0,809.0,891.4,848.8,763.5
15000.0,809.9,910.0,842.1,831.8
15100.0,828.9,908.7,843.2,852.5
15200.0,809.0,903.8,839.2,740.2
15300.0,824.9,900.2,849.3,583.2
15400.0,809.0,906.9,859.0,818.1
15500.0,814.9,907.0,859.0,830.1
15600.0,814.7,903.5,859.0,745.3
15700.0,812.6,896.5,849.8,763.8
15800.0,830.8,891.0,837.0,663.9
15900.0,824.4,891.0,840.7,769.8
16000.0,825.1,891.0,859.0,836.8
16100.0,830.9,910.0,839.2,747.1
16200.0,836.0,904.0,859.0,837.2
16300.0,823.8,891.0,837.0,606.2
16400.0,809.0,891.0,859.0,692.9
16500.0,829.4,891.0,859.0,805.2
16600.0,809.0,891.0,841.7,761.3
16700.0,836.0,893.1,849.0,774.4
16800.0,809.0,891.0,848.8,754.6
16900.0,821.4,891.0,846.6,793.4
17000.0,814.2,901.7,847.8,657.7
17100.0,809.0,903.7,859.0,699.5
17200.0,824.3,900.3,837.0,681.2
17300.0,809.8,892.1,859.0,839.3
17400.0,809.0,900.5,850.7,684.4
17500.0,824.8,894.3,850.6,837.2
17600.0,815.1,891.0,843.0,685.5
17700.0,822.0,901.9,848.5,731.8
17800.0,809.5,910.0,859.0,830.0
17900.0,834.9,910.0,858.9,866.0
18000.0,817.7,909.5,842.2,823.5
18100.0,809.0,909.1,848.4,759.9
18200.0,834.1,910.0,859.0,854.7
18300.0,823.9,891.0,841.1,770.5
18400.0,830.0,898.6,837.0,722.4
18500.0,817.3,891.0,859.0,819.5
18600.0,809.0,904.8,854.5,847.1
18700.0,816.8,891.0,856.8,770.2
18800.0,809.0,891.8,848.4,686.2
18900.0,809.0,891.0,846.4,765.6
19000.0,818.4,891.0,837.0,792.0
19100.0,809.0,891.0,855.9,743.2
19200.0,830.4,910.0,848.0,828.9
19300.0,833.6,904.6,837.0,592.3
19400.0,809.9,903.7,856.3,759.9
19500.0,809.0,903.1,851.9,694.5
19600.0,809.3,895.0,837.8,760.4
19700.0,825.6,910.0,858.1,684.9
19800.0,809.0,891.0,855.0,770.9
19900.0,832.1,910.0,846.4,757.5
20000.0,821.8,891.0,855.9,679.7
20100.0,831.4,895.0,846.2,699.9
20200.0,811.5,891.0,842.6,810.7
20300.0,826.1,910.0,850.4,807.7
20400.0,814.8,905.5,859.0,751.4
20500.0,809.0,891.0,844.9,759.8
20600.0,809.0,891.0,855.2,807.0
20700.0,816.4,891.0,837.0,579.0
20800.0,833.6,899.6,858.1,832.1
20900.0,812.8,902.2,841.7,736.4
21000.0,824.9,891.0,859.0,709.1
21100.0,825.2,910.0,854.0,794.4
21200.0,809.0,904.3,859.0,728.0
21300.0,824.2,910.0,850.9,802.3
21400.0,809.0,903.3,859.0,681.6
21500.0,823.7,906.2,851.1,707.7
21600.0,811.0,908.4,859.0,804.4
21700.0,832.1,891.0,854.3,823.7
21800.0,819.8,894.3,859.0,835.4
21900.0,809.0,904.7,859.0,831.3
22000.0,817.3,910.0,856.5,706.9
22100.0,818.5,899.4,840.6,849.7
22200.0,829.1,905.1,847.6,674.7
22300.0,827.2,894.7,837.0,597.4
22400.0,809.0,904.4,850.8,717.3
22500.0,810.4,898.8,849.0,695.6
22600.0,836.0,902.1,846.7,829.1
22700.0,828.2,891.0,852.1,741.0
22800.0,809.0,898.0,857.5,768.4
22900.0,830.1,891.0,846.6,783.1
23000.0,817.0,891.0,837.0,651.9
23100.0,809.0,910.0,844.6,840.6
23200.0,825.1,898.7,859.0,751.9
23300.0,809.0,901.3,837.0,732.5
23400.0,809.0,891.0,843.6,776.7
23500.0,809.0,891.0,841.9,696.7
23600.0,809.1,892.9,846.0,667.8
23700.0,809.3,897.6,842.0,744.6
