timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,625.0,937.0,640.0,694.0
100.0,626.0,938.0,641.0,696.0
200.0,626.0,938.0,642.0,699.0
300.0,627.0,938.0,642.0,702.0
400.0,628.0,938.0,642.0,706.0
500.0,628.0,939.0,644.0,708.0
600.0,628.0,938.0,645.0,710.0
700.0,628.0,938.0,645.0,709.0
800.0,629.0,938.0,645.0,708.0
900.0,628.0,937.0,645.0,707.0
1000.0,628.0,938.0,645.0,705.0
1100.0,627.0,938.0,645.0,701.0
1200.0,627.0,937.0,645.0,696.0
1300.0,626.0,936.0,645.0,690.0
1400.0,625.0,936.0,644.0,685.0
1500.0,625.0,935.0,643.0,678.0
1600.0,624.0,935.0,642.0,673.0
1700.0,622.0,934.0,642.0,667.0
1800.0,621.0,933.0,642.0,661.0
1900.0,619.0,932.0,641.0,657.0
2000.0,618.0,932.0,639.0,652.0
2100.0,616.0,931.0,639.0,649.0
2200.0,614.0,930.0,638.0,648.0
2300.0,612.0,929.0,637.0,646.0
2400.0,610.0,928.0,637.0,647.0
2500.0,608.0,928.0,636.0,648.0
2600.0,606.0,927.0,635.0,650.0
2700.0,604.0,926.0,634.0,652.0
2800.0,602.0,925.0,634.0,654.0
2900.0,602.0,925.0,635.0,656.0
3000.0,599.0,925.0,634.0,658.0
3100.0,598.0,924.0,634.0,660.0
3200.0,596.0,923.0,634.0,661.0
3300.0,596.0,922.0,634.0,662.0
3400.0,594.0,922.0,635.0,661.0
3500.0,593.0,922.0,636.0,660.0
3600.0,592.0,921.0,636.0,659.0
3700.0,591.0,920.0,636.0,656.0
3800.0,590.0,920.0,635.0,651.0
3900.0,590.0,919.0,636.0,647.0
4000.0,589.0,919.0,636.0,643.0
4100.0,590.0,919.0,635.0,637.0
4200.0,590.0,919.0,635.0,634.0
4300.0,591.0,918.0,634.0,630.0
4400.0,591.0,919.0,634.0,625.0
4500.0,592.0,918.0,634.0,622.0
4600.0,593.0,919.0,634.0,619.0
4700.0,594.0,919.0,633.0,618.0
4800.0,595.0,919.0,633.0,615.0
4900.0,596.0,919.0,633.0,615.0
5000.0,596.0,920.0,633.0,616.0
5100.0,596.0,920.0,633.0,615.0
5200.0,598.0,920.0,634.0,618.0
5300.0,599.0,920.0,634.0,620.0
5400.0,600.0,922.0,634.0,622.0
5500.0,602.0,920.0,635.0,625.0
5600.0,603.0,922.0,635.0,628.0
5700.0,604.0,922.0,635.0,633.0
5800.0,606.0,922.0,637.0,637.0
5900.0,607.0,923.0,638.0,641.0
6000.0,608.0,922.0,639.0,644.0
6100.0,609.0,921.0,640.0,647.0
6200.0,609.0,921.0,641.0,647.0
6300.0,610.0,921.0,641.0,647.0
6400.0,610.0,921.0,641.0,646.0
6500.0,610.0,920.0,641.0,644.0
6600.0,609.0,920.0,641.0,640.0
6700.0,608.0,920.0,641.0,638.0
6800.0,608.0,920.0,640.0,633.0
6900.0,606.0,919.0,640.0,628.0
7000.0,606.0,918.0,640.0,624.0
7100.0,604.0,917.0,638.0,617.0
7200.0,602.0,918.0,638.0,611.0
7300.0,602.0,916.0,637.0,607.0
7400.0,600.0,915.0,635.0,599.0
7500.0,598.0,914.0,635.0,592.0
7600.0,597.0,914.0,634.0,587.0
7700.0,596.0,913.0,633.0,580.0
7800.0,594.0,912.0,632.0,575.0
7900.0,592.0,912.0,630.0,569.0
8000.0,590.0,911.0,628.0,563.0
8100.0,588.0,910.0,627.0,557.0
8200.0,587.0,910.0,626.0,553.0
8300.0,585.0,910.0,625.0,547.0
8400.0,584.0,908.0,623.0,541.0
8500.0,582.0,908.0,622.0,537.0
8600.0,580.0,907.0,621.0,533.0
8700.0,579.0,906.0,620.0,531.0
8800.0,578.0,906.0,618.0,527.0
8900.0,575.0,905.0,618.0,525.0
9000.0,575.0,905.0,617.0,525.0
9100.0,573.0,904.0,616.0,527.0
9200.0,572.0,903.0,616.0,531.0
9300.0,571.0,904.0,617.0,536.0
9400.0,570.0,902.0,617.0,544.0
9500.0,568.0,902.0,619.0,556.0
9600.0,569.0,902.0,620.0,570.0
9700.0,569.0,901.0,622.0,585.0
9800.0,569.0,902.0,623.0,602.0
9900.0,571.0,902.0,626.0,620.0
10000.0,573.0,903.0,628.0,638.0
10100.0,575.0,904.0,630.0,654.0
10200.0,578.0,906.0,633.0,669.0
10300.0,582.0,907.0,635.0,683.0
10400.0,587.0,909.0,637.0,695.0
10500.0,590.0,911.0,639.0,705.0
10600.0,596.0,912.0,641.0,712.0
10700.0,599.0,914.0,642.0,718.0
10800.0,603.0,915.0,644.0,723.0
10900.0,607.0,918.0,646.0,727.0
11000.0,610.0,918.0,647.0,729.0
11100.0,613.0,920.0,648.0,730.0
11200.0,616.0,920.0,648.0,733.0
11300.0,618.0,923.0,649.0,731.0
11400.0,620.0,924.0,649.0,732.0
11500.0,622.0,925.0,650.0,730.0
11600.0,624.0,925.0,650.0,730.0
11700.0,626.0,926.0,651.0,729.0
11800.0,628.0,927.0,652.0,729.0
11900.0,629.0,929.0,651.0,728.0
12000.0,630.0,929.0,653.0,727.0
12100.0,632.0,929.0,653.0,727.0
12200.0,632.0,930.0,653.0,727.0
12300.0,634.0,931.0,653.0,728.0
12400.0,635.0,931.0,654.0,728.0
12500.0,637.0,932.0,655.0,730.0
12600.0,638.0,933.0,656.0,730.0
12700.0,639.0,933.0,656.0,732.0
12800.0,639.0,934.0,656.0,733.0
12900.0,642.0,934.0,658.0,735.0
13000.0,643.0,936.0,659.0,738.0
13100.0,644.0,936.0,660.0,740.0
13200.0,644.0,937.0,660.0,744.0
13300.0,647.0,937.0,661.0,748.0
13400.0,646.0,937.0,663.0,751.0
13500.0,648.0,938.0,665.0,759.0
13600.0,650.0,938.0,666.0,764.0
13700.0,651.0,938.0,668.0,770.0
13800.0,651.0,939.0,669.0,777.0
13900.0,653.0,939.0,672.0,782.0
14000.0,653.0,939.0,674.0,787.0
14100.0,654.0,938.0,674.0,790.0
14200.0,654.0,938.0,677.0,792.0
14300.0,653.0,938.0,677.0,791.0
14400.0,653.0,937.0,679.0,788.0
14500.0,652.0,936.0,679.0,784.0
14600.0,652.0,936.0,680.0,778.0
14700.0,650.0,935.0,679.0,773.0
14800.0,649.0,935.0,680.0,765.0
14900.0,647.0,934.0,678.0,759.0
15000.0,645.0,934.0,678.0,751.0
15100.0,643.0,932.0,678.0,743.0
15200.0,640.0,932.0,675.0,735.0
15300.0,639.0,931.0,674.0,727.0
15400.0,637.0,931.0,674.0,718.0
15500.0,635.0,930.0,672.0,711.0
15600.0,632.0,929.0,670.0,701.0
15700.0,630.0,928.0,670.0,694.0
15800.0,627.0,928.0,668.0,686.0
15900.0,625.0,927.0,666.0,677.0
16000.0,623.0,926.0,665.0,670.0
16100.0,621.0,926.0,663.0,661.0
16200.0,619.0,925.0,662.0,654.0
16300.0,618.0,925.0,660.0,649.0
16400.0,616.0,925.0,658.0,643.0
16500.0,615.0,925.0,657.0,637.0
16600.0,613.0,923.0,656.0,634.0
16700.0,611.0,923.0,655.0,630.0
16800.0,610.0,923.0,654.0,629.0
16900.0,610.0,923.0,653.0,627.0
17000.0,608.0,922.0,651.0,627.0
17100.0,608.0,922.0,651.0,630.0
17200.0,607.0,922.0,651.0,632.0
17300.0,607.0,922.0,652.0,634.0
17400.0,606.0,920.0,652.0,635.0
17500.0,605.0,920.0,652.0,636.0
17600.0,604.0,920.0,651.0,635.0
17700.0,604.0,920.0,652.0,634.0
17800.0,602.0,918.0,650.0,630.0
17900.0,602.0,918.0,651.0,629.0
18000.0,600.0,918.0,650.0,626.0
18100.0,600.0,917.0,649.0,624.0
18200.0,598.0,916.0,649.0,620.0
18300.0,597.0,916.0,649.0,617.0
18400.0,595.0,915.0,647.0,612.0
18500.0,594.0,914.0,647.0,608.0
18600.0,594.0,914.0,646.0,602.0
18700.0,592.0,913.0,644.0,597.0
18800.0,590.0,912.0,645.0,593.0
18900.0,590.0,911.0,644.0,588.0
19000.0,588.0,911.0,643.0,585.0
19100.0,587.0,910.0,642.0,581.0
19200.0,586.0,910.0,642.0,578.0
