timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,563.0,909.4,655.8,641.6
100.0,605.1,949.2,670.3,660.7
200.0,598.1,924.4,667.6,681.1
300.0,645.9,919.4,666.7,756.2
400.0,639.4,936.1,639.6,693.1
500.0,614.7,922.6,621.3,617.5
600.0,640.1,950.9,668.5,721.9
700.0,661.3,961.0,706.2,811.5
800.0,618.4,940.6,640.4,675.9
900.0,626.3,947.1,655.6,708.2
1000.0,571.6,937.7,647.8,713.3
1100.0,681.0,948.5,702.7,839.4
1200.0,594.4,915.3,655.9,751.0
1300.0,571.4,942.1,631.2,596.7
1400.0,650.1,936.0,680.8,795.3
1500.0,590.1,951.7,666.0,732.1
1600.0,615.0,944.6,669.1,746.7
1700.0,596.4,904.0,648.3,639.8
1800.0,654.4,954.0,690.3,846.8
1900.0,581.1,928.0,638.3,558.6
2000.0,600.2,896.0,629.7,545.5
2100.0,626.6,910.2,639.9,642.4
2200.0,593.8,904.6,640.4,565.8
2300.0,560.3,931.5,649.5,631.5
2400.0,600.9,921.8,634.3,589.9
2500.0,566.7,924.8,650.5,614.3
2600.0,563.8,937.9,636.3,598.6
2700.0,575.2,897.4,615.2,553.5
2800.0,665.7,961.0,712.2,865.7
2900.0,624.9,948.5,683.6,731.0
3000.0,609.5,929.7,656.9,723.2
3100.0,610.0,935.1,664.8,647.8
3200.0,667.1,927.2,673.7,831.1
3300.0,643.2,918.4,685.7,768.4
3400.0,606.4,920.7,634.6,613.8
3500.0,568.7,901.9,624.9,539.4
3600.0,653.3,931.6,687.1,837.4
3700.0,544.9,922.8,646.7,640.0
3800.0,597.4,938.0,643.4,613.0
3900.0,562.7,897.1,629.6,537.4
4000.0,579.8,916.0,633.9,554.6
4100.0,677.0,960.6,716.9,880.2
4200.0,620.9,961.0,677.3,772.6
4300.0,668.0,958.3,695.1,870.6
4400.0,634.0,946.3,665.5,716.5
4500.0,571.0,896.0,624.8,506.2
4600.0,562.1,934.7,641.9,619.4
4700.0,610.6,951.4,672.5,797.9
4800.0,598.7,945.1,643.3,640.2
4900.0,534.5,915.0,624.1,492.3
5000.0,661.0,960.8,709.0,853.2
5100.0,556.9,924.6,626.0,554.3
5200.0,644.3,930.7,680.0,777.1
5300.0,572.0,914.3,647.5,588.7
5400.0,585.7,919.4,642.0,541.2
5500.0,583.1,902.0,623.2,563.6
5600.0,613.0,943.6,661.0,741.4
5700.0,599.5,926.4,630.8,567.7
5800.0,587.0,901.8,609.6,529.8
5900.0,668.6,954.4,721.0,909.3
6000.0,548.5,914.9,646.9,645.6
6100.0,563.5,922.3,625.9,559.0
6200.0,569.2,904.8,625.1,483.8
6300.0,627.7,938.1,670.2,774.5
6400.0,670.0,941.9,703.4,910.7
6500.0,614.2,929.9,640.7,633.7
6600.0,572.1,909.9,612.0,499.9
6700.0,591.5,935.0,655.5,733.8
6800.0,601.6,953.8,670.0,768.4
6900.0,609.8,928.1,640.5,628.1
7000.0,539.2,908.4,628.7,490.9
7100.0,574.8,896.0,619.9,503.9
7200.0,610.1,922.1,630.3,606.6
7300.0,581.3,916.3,639.7,670.2
7400.0,584.6,936.8,656.3,685.0
7500.0,595.8,915.1,623.0,644.3
7600.0,639.6,922.4,653.0,759.8
7700.0,637.1,945.2,657.3,748.2
7800.0,606.9,908.3,642.4,630.9
7900.0,577.3,919.7,628.4,561.7
8000.0,632.7,916.8,661.6,730.3
8100.0,619.9,903.5,639.9,647.1
8200.0,578.2,921.2,623.3,578.2
8300.0,541.0,912.5,634.7,630.2
8400.0,604.9,914.0,650.2,601.5
8500.0,597.4,910.8,615.7,540.8
8600.0,631.3,932.1,638.6,649.2
8700.0,602.8,906.6,633.8,529.7
8800.0,655.8,943.8,698.8,805.6
8900.0,567.9,897.1,620.7,544.2
9000.0,623.6,936.6,656.3,731.6
9100.0,584.2,929.7,654.4,719.5
9200.0,620.6,914.7,657.2,723.8
9300.0,656.5,932.3,678.8,856.1
9400.0,573.8,902.9,612.2,504.8
9500.0,571.1,902.1,602.5,473.9
9600.0,562.6,911.8,642.0,641.8
9700.0,592.2,913.4,642.6,608.9
9800.0,581.5,926.3,658.4,718.3
9900.0,602.0,930.8,645.9,613.1
10000.0,572.6,896.0,628.0,501.7
10100.0,589.9,955.9,647.2,719.4
10200.0,585.2,908.7,644.3,712.3
10300.0,594.8,923.2,672.6,757.9
10400.0,555.9,914.6,615.3,499.8
10500.0,595.9,896.0,632.4,708.7
10600.0,604.1,904.2,635.4,621.8
10700.0,620.4,938.3,658.8,672.4
10800.0,623.0,928.1,648.8,717.2
10900.0,614.4,933.2,676.8,782.8
11000.0,565.8,919.8,640.5,571.1
11100.0,624.9,949.7,635.3,683.9
11200.0,624.7,936.3,638.1,633.6
11300.0,613.9,955.3,679.4,766.3
11400.0,575.6,918.2,652.2,604.8
11500.0,599.0,914.4,639.8,614.2
11600.0,574.7,907.0,621.0,511.4
11700.0,585.4,936.2,646.4,710.5
11800.0,564.9,908.1,634.9,534.1
11900.0,582.0,934.6,629.2,627.6
12000.0,674.4,961.0,721.0,916.0
12100.0,563.4,930.9,636.0,580.2
12200.0,660.7,961.0,717.4,895.6
12300.0,630.0,934.1,676.2,726.8
12400.0,571.2,896.0,620.1,501.8
12500.0,681.0,961.0,721.0,895.2
12600.0,548.7,897.3,621.6,560.8
12700.0,579.1,920.1,627.4,654.9
12800.0,648.8,953.1,696.1,863.4
12900.0,580.2,954.9,639.0,701.4
13000.0,596.6,905.3,625.6,536.7
13100.0,595.1,948.9,675.3,771.3
13200.0,619.3,909.4,636.6,721.6
13300.0,625.2,937.5,647.7,714.9
13400.0,591.9,931.9,623.0,661.8
13500.0,616.9,915.9,654.1,638.7
13600.0,590.8,908.8,618.6,514.7
13700.0,577.9,896.0,611.8,503.9
13800.0,566.0,896.0,620.9,544.4
13900.0,643.1,931.0,683.1,856.1
14000.0,596.3,896.4,621.3,565.8
14100.0,589.4,927.7,641.0,657.9
14200.0,581.2,953.4,666.8,702.3
14300.0,658.4,956.3,691.7,783.9
14400.0,610.9,930.8,671.7,746.4
14500.0,629.0,922.8,656.0,711.0
14600.0,616.5,946.7,653.4,673.9
14700.0,590.5,938.5,650.1,713.3
14800.0,674.7,955.3,676.8,873.6
14900.0,597.7,918.7,631.2,594.4
15000.0,609.7,936.3,684.8,791.9
15100.0,589.0,919.1,629.9,619.7
15200.0,546.5,896.0,603.6,461.0
15300.0,593.3,910.4,623.9,528.1
15400.0,635.7,951.5,632.4,687.3
15500.0,594.2,918.2,636.1,637.2
15600.0,594.2,934.2,657.5,747.6
15700.0,574.5,921.2,612.9,505.6
15800.0,579.0,915.6,624.5,598.5
15900.0,679.7,945.4,707.0,901.8
16000.0,570.7,908.1,619.1,533.3
16100.0,567.1,931.0,648.0,597.1
16200.0,681.0,942.1,688.0,859.1
16300.0,579.1,896.0,611.4,502.5
16400.0,569.1,896.0,628.3,627.9
16500.0,620.4,911.8,643.1,736.3
16600.0,575.7,905.4,611.0,580.5
16700.0,552.5,910.5,625.5,568.6
16800.0,594.0,936.8,664.7,656.8
16900.0,643.4,927.4,665.5,756.5
17000.0,640.2,935.0,687.7,835.3
17100.0,583.1,905.0,617.6,587.0
17200.0,577.0,896.0,631.0,549.5
17300.0,574.9,903.9,631.6,572.7
17400.0,570.4,936.9,643.1,601.4
17500.0,661.4,925.6,678.2,793.3
17600.0,585.7,896.0,625.3,526.4
17700.0,622.5,938.2,636.4,696.1
17800.0,602.1,925.5,655.0,639.0
17900.0,584.5,929.2,649.9,746.2
18000.0,560.3,896.0,623.6,508.3
18100.0,575.6,896.0,617.7,517.2
18200.0,564.7,929.7,624.0,563.7
18300.0,679.1,943.2,687.8,836.4
18400.0,592.8,929.9,629.2,600.6
18500.0,577.8,946.0,654.6,710.6
18600.0,556.7,928.2,621.5,546.7
18700.0,672.8,937.6,712.7,891.6
18800.0,559.6,911.8,631.0,547.4
18900.0,610.4,924.6,622.9,641.0
19000.0,605.5,910.3,630.6,644.2
19100.0,609.8,927.8,643.5,597.9
19200.0,605.9,897.1,639.0,582.3
19300.0,544.6,921.2,603.8,481.1
19400.0,581.8,912.7,627.6,665.6
19500.0,647.2,933.4,683.3,779.2
19600.0,623.2,932.2,643.1,653.6
19700.0,649.1,943.4,678.3,784.1
19800.0,649.0,958.1,698.1,861.5
19900.0,681.0,956.1,696.7,878.6
20000.0,551.9,930.0,631.0,639.0
20100.0,589.9,912.1,658.7,714.3
20200.0,583.2,896.0,622.8,541.7
20300.0,653.1,960.9,694.6,859.2
20400.0,617.6,914.7,644.9,725.1
20500.0,564.3,899.2,650.2,587.2
20600.0,556.9,931.7,635.6,602.1
20700.0,586.8,896.0,634.0,678.5
20800.0,641.3,928.6,663.7,718.8
20900.0,618.5,924.3,653.7,750.2
21000.0,553.5,915.3,646.8,616.3
21100.0,679.4,957.9,702.1,877.7
21200.0,618.4,934.8,626.5,629.3
21300.0,681.0,961.0,721.0,907.1
21400.0,620.9,923.3,656.1,695.8
21500.0,554.6,921.5,620.4,550.8
21600.0,626.2,942.1,664.2,713.3
21700.0,625.3,930.4,675.2,782.0
21800.0,671.4,961.0,689.7,857.7
21900.0,613.3,941.5,670.1,766.7
22000.0,558.6,896.0,628.9,512.2
22100.0,610.6,922.4,642.3,653.8
22200.0,615.4,920.6,666.4,709.5
22300.0,575.4,906.7,622.5,493.8
22400.0,606.9,948.2,649.2,682.3
22500.0,578.9,906.2,629.8,600.1
22600.0,617.8,954.6,662.6,695.2
22700.0,595.9,947.3,661.7,764.4
22800.0,554.1,906.8,618.4,504.5
22900.0,648.4,940.7,686.5,786.2
23000.0,559.5,911.7,650.2,631.5
23100.0,628.8,955.5,654.3,763.3
23200.0,584.8,903.3,633.3,577.7
