timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,683.0,960.0,715.0,856.0
100.0,623.3,935.2,657.1,817.7
200.0,552.4,930.1,612.1,524.9
300.0,607.2,928.8,675.7,665.7
400.0,605.1,928.4,660.0,701.0
500.0,575.9,930.1,646.9,625.9
600.0,607.7,906.4,634.6,567.0
700.0,553.8,904.6,640.0,556.0
800.0,570.8,923.6,659.3,642.7
900.0,567.7,931.6,656.0,605.0
1000.0,624.1,936.7,634.6,804.5
1100.0,540.1,904.8,611.8,503.1
1200.0,582.0,926.7,637.1,575.8
1300.0,567.2,921.4,633.2,566.1
1400.0,603.1,950.6,638.0,814.0
1500.0,604.2,927.1,687.2,735.7
1600.0,530.2,904.7,623.1,506.1
1700.0,583.8,919.8,671.7,613.5
1800.0,540.7,899.5,603.9,517.2
1900.0,635.6,930.5,684.3,841.1
2000.0,588.0,948.9,649.7,747.0
2100.0,621.0,926.3,682.8,811.6
2200.0,605.1,927.6,644.4,714.2
2300.0,590.8,910.7,629.9,603.7
2400.0,601.1,920.1,637.6,726.8
2500.0,550.3,902.7,625.9,549.7
2600.0,609.3,957.4,680.6,778.3
2700.0,556.7,907.6,632.4,611.2
2800.0,564.3,918.8,634.1,581.3
2900.0,603.5,932.6,675.0,759.0
3000.0,590.5,908.1,644.4,634.9
3100.0,619.0,929.1,692.0,791.4
3200.0,608.9,949.4,626.7,732.7
3300.0,545.2,897.0,611.8,492.8
3400.0,579.4,942.4,640.9,636.3
3500.0,683.0,960.0,715.0,865.8
3600.0,587.2,934.3,637.1,612.1
3700.0,620.5,935.9,634.2,696.5
3800.0,571.2,910.3,610.7,556.8
3900.0,578.5,902.1,636.4,543.7
4000.0,598.9,911.8,668.5,714.0
4100.0,569.4,940.0,631.6,587.6
4200.0,568.3,916.2,648.4,607.6
4300.0,638.2,936.5,674.1,764.8
4400.0,616.3,917.0,638.3,689.6
4500.0,519.0,897.0,585.7,457.8
4600.0,598.4,920.4,648.8,807.3
4700.0,641.4,933.0,683.8,772.4
4800.0,683.0,945.8,695.8,838.0
4900.0,574.3,923.0,632.2,562.3
5000.0,630.0,954.8,684.9,866.8
5100.0,640.1,958.1,678.2,823.6
5200.0,549.7,917.7,614.6,508.3
5300.0,574.4,931.5,640.7,636.6
5400.0,539.3,903.3,612.6,516.7
5500.0,626.6,923.5,688.8,859.2
5600.0,629.1,920.4,690.7,761.2
5700.0,625.4,944.5,686.9,820.3
5800.0,637.3,942.9,643.5,773.9
5900.0,669.8,944.4,710.0,875.0
