timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,687.0,942.9,761.4,872.8
100.0,674.9,952.4,772.2,901.3
200.0,746.0,973.8,794.5,920.6
300.0,754.2,981.0,815.0,947.9
400.0,657.5,957.9,762.4,944.2
500.0,765.2,981.0,799.7,948.6
600.0,731.5,981.0,786.3,927.6
700.0,757.4,981.0,815.0,946.4
800.0,648.9,929.3,759.6,749.2
900.0,650.6,928.0,711.0,640.9
1000.0,655.3,928.0,737.9,655.8
1100.0,687.2,967.0,791.6,856.1
1200.0,745.3,979.6,794.6,938.0
1300.0,691.9,945.1,744.3,793.7
1400.0,698.1,942.1,812.8,830.2
1500.0,641.3,943.4,740.3,720.5
1600.0,719.6,970.8,749.4,917.7
1700.0,673.8,928.0,764.2,772.0
1800.0,651.3,935.2,723.7,679.1
1900.0,646.0,949.8,751.1,904.6
2000.0,767.4,981.0,806.6,938.5
2100.0,676.7,938.9,789.7,881.2
2200.0,671.2,947.3,792.2,749.2
2300.0,646.6,949.4,719.7,650.5
2400.0,710.4,946.5,801.7,868.5
2500.0,687.5,944.3,793.6,825.5
2600.0,671.1,938.6,771.4,871.2
2700.0,688.4,964.3,773.3,920.4
2800.0,683.2,955.4,787.6,891.8
2900.0,764.7,981.0,804.8,929.1
3000.0,691.6,964.9,755.6,792.5
3100.0,687.8,934.8,777.5,812.0
3200.0,728.0,978.8,815.0,923.6
3300.0,763.1,956.8,814.8,897.0
3400.0,748.2,981.0,810.8,889.2
3500.0,660.5,968.1,768.5,917.3
3600.0,649.6,928.0,717.3,727.7
3700.0,668.4,937.5,771.0,740.7
3800.0,678.1,940.6,775.3,853.3
3900.0,752.6,967.4,805.1,914.6
4000.0,641.0,938.0,707.0,797.9
4100.0,726.6,967.3,793.1,953.2
4200.0,651.2,943.5,734.7,667.3
4300.0,660.9,941.2,766.8,694.2
4400.0,656.4,932.9,732.6,666.5
4500.0,656.8,950.0,747.9,738.7
4600.0,775.0,981.0,815.0,962.0
4700.0,743.0,981.0,814.2,898.8
4800.0,747.6,960.7,805.3,895.3
4900.0,636.0,949.3,707.0,788.3
5000.0,688.1,935.0,761.3,736.9
5100.0,684.3,955.0,782.0,779.4
5200.0,678.4,970.8,728.6,870.6
5300.0,688.3,941.5,746.6,796.8
5400.0,721.4,952.6,796.7,867.5
5500.0,775.0,981.0,807.0,936.0
5600.0,677.9,956.1,770.0,870.6
5700.0,775.0,971.7,807.1,926.8
5800.0,682.6,936.1,788.1,867.4
5900.0,645.8,928.0,730.6,634.2
6000.0,714.9,980.0,815.0,875.3
6100.0,660.8,928.0,739.3,634.4
6200.0,674.8,965.1,752.8,812.0
6300.0,735.7,971.0,806.4,915.9
6400.0,675.1,956.8,785.5,931.3
6500.0,721.3,967.2,810.8,853.2
6600.0,726.7,965.4,800.7,888.0
6700.0,689.3,953.1,785.3,878.5
6800.0,695.5,965.0,780.0,955.3
6900.0,641.6,951.5,736.4,641.8
7000.0,727.4,964.4,767.0,874.7
7100.0,679.0,971.4,769.9,855.7
7200.0,773.5,969.5,794.5,962.0
7300.0,711.4,956.8,756.6,901.3
7400.0,762.7,980.1,809.5,877.9
7500.0,669.9,965.6,712.6,639.9
7600.0,732.9,981.0,792.5,911.7
7700.0,698.8,954.4,743.2,796.2
7800.0,669.8,943.0,709.2,718.7
7900.0,648.2,954.7,741.7,719.2
8000.0,644.7,946.2,718.5,632.1
8100.0,739.5,973.7,768.7,962.0
8200.0,715.6,977.4,796.9,925.4
8300.0,747.5,976.9,791.6,960.4
8400.0,757.0,981.0,792.2,881.4
8500.0,657.6,950.8,715.1,863.5
8600.0,666.7,940.9,735.2,690.9
8700.0,772.6,969.3,798.0,946.5
8800.0,682.2,955.7,778.2,914.8
8900.0,664.0,956.0,712.3,726.2
9000.0,713.6,945.2,800.9,900.8
9100.0,649.0,944.9,719.6,646.2
9200.0,654.2,939.3,751.1,607.2
9300.0,657.4,950.9,768.0,931.0
9400.0,661.6,943.6,749.2,740.1
9500.0,681.3,937.2,781.5,867.9
9600.0,636.0,928.0,727.0,567.0
9700.0,684.4,967.6,791.7,852.0
9800.0,745.9,975.4,813.1,931.4
9900.0,688.3,972.6,744.6,792.8
10000.0,684.7,940.8,719.9,901.1
10100.0,651.5,962.2,760.4,922.0
10200.0,661.3,938.2,767.0,842.5
10300.0,719.3,951.6,812.4,902.3
10400.0,655.1,929.7,756.9,766.3
10500.0,690.1,972.5,771.2,892.2
10600.0,746.7,981.0,793.7,935.3
10700.0,650.8,945.9,712.9,622.4
10800.0,648.5,951.1,755.9,809.5
10900.0,645.7,928.0,727.2,654.7
11000.0,670.0,941.5,740.2,676.0
11100.0,648.3,940.9,736.1,567.0
11200.0,689.4,954.4,770.1,909.8
11300.0,680.7,946.1,781.8,865.2
11400.0,746.3,961.3,797.6,926.9
11500.0,720.3,962.4,768.9,934.4
11600.0,696.7,965.6,790.6,906.5
11700.0,671.0,943.4,784.5,908.7
11800.0,727.1,960.6,753.0,907.9
11900.0,665.2,948.5,742.4,647.6
12000.0,699.6,945.6,799.8,933.8
12100.0,675.0,957.7,710.0,693.3
12200.0,646.0,939.5,732.9,644.8
12300.0,735.7,981.0,815.0,962.0
12400.0,674.3,947.1,774.7,748.1
12500.0,671.6,959.3,774.3,955.9
12600.0,647.8,928.0,727.3,642.5
12700.0,637.8,928.0,707.0,596.2
12800.0,716.1,977.6,766.0,838.1
12900.0,682.4,949.6,799.1,950.9
13000.0,670.9,969.4,763.2,806.2
13100.0,668.9,947.6,719.0,878.1
13200.0,687.1,959.6,778.4,868.9
13300.0,763.3,977.7,800.8,920.6
13400.0,650.3,958.9,741.6,690.6
13500.0,720.0,962.0,804.8,847.1
13600.0,704.3,966.1,795.6,807.2
13700.0,758.4,974.6,808.0,938.5
13800.0,663.1,959.3,776.6,868.6
13900.0,641.7,947.5,743.0,638.1
14000.0,719.5,955.3,811.8,962.0
14100.0,653.1,941.8,750.4,773.2
14200.0,695.6,964.5,795.3,800.4
