timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,656.2,947.8,691.5,572.3
100.0,655.5,926.7,742.5,671.2
200.0,638.4,938.8,684.5,804.3
300.0,613.6,924.6,669.0,512.6
400.0,654.1,942.6,745.3,795.2
500.0,739.4,959.7,766.3,960.0
600.0,653.2,936.7,709.3,611.3
700.0,715.0,951.3,780.9,903.3
800.0,639.2,924.2,695.9,685.7
900.0,662.4,938.3,697.3,685.7
1000.0,638.6,950.9,731.4,596.3
1100.0,689.4,950.7,783.0,829.6
1200.0,627.9,896.0,692.7,621.2
1300.0,620.4,909.1,682.5,574.6
1400.0,633.7,945.2,727.6,683.3
1500.0,750.0,959.2,784.7,960.0
1600.0,615.4,911.4,670.3,640.9
1700.0,615.8,903.8,723.1,567.1
1800.0,621.4,899.7,705.2,542.1
1900.0,687.1,951.5,784.5,826.8
2000.0,629.5,914.3,683.5,623.2
2100.0,649.6,925.1,722.9,632.9
2200.0,623.7,897.4,674.0,528.2
2300.0,611.0,923.5,669.0,534.7
2400.0,692.3,968.6,753.1,788.0
2500.0,702.9,964.5,763.5,940.3
2600.0,697.1,970.7,779.0,851.1
2700.0,661.1,921.3,727.8,629.7
2800.0,667.2,937.1,714.5,575.1
2900.0,623.3,896.0,701.8,548.0
3000.0,651.6,932.7,679.3,440.4
3100.0,666.5,926.8,731.0,626.2
3200.0,727.0,963.6,784.7,889.4
3300.0,608.0,896.0,701.4,519.9
3400.0,667.6,949.1,741.4,753.9
3500.0,669.3,934.9,702.7,578.5
3600.0,696.5,952.3,747.3,843.1
3700.0,659.7,934.2,692.4,509.7
3800.0,671.5,937.7,762.5,799.9
3900.0,738.5,964.7,785.0,951.3
4000.0,664.5,920.9,698.0,600.8
4100.0,748.8,952.7,785.5,926.9
4200.0,727.6,970.8,808.6,958.0
4300.0,726.0,977.0,802.3,914.1
4400.0,750.0,968.1,809.0,960.0
4500.0,697.4,971.6,756.4,899.4
4600.0,608.0,896.0,684.4,528.2
4700.0,658.9,922.6,745.7,622.9
4800.0,730.0,963.2,769.2,895.9
4900.0,691.9,964.7,709.7,729.1
