timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,651.0,786.0,658.0,391.4
100.0,641.6,786.9,664.1,385.8
200.0,637.1,786.0,667.2,384.8
300.0,640.7,787.6,666.7,394.3
400.0,642.3,796.0,658.0,399.1
500.0,651.0,796.0,658.0,403.0
600.0,645.2,786.0,671.0,405.0
700.0,649.1,796.0,658.0,393.0
800.0,636.1,796.0,671.0,382.8
900.0,649.8,786.0,671.0,398.9
1000.0,640.8,786.0,662.7,389.9
1100.0,645.7,787.2,666.8,400.3
1200.0,636.0,796.0,667.5,391.2
1300.0,641.9,786.0,671.0,392.1
1400.0,641.1,793.8,671.0,387.8
1500.0,641.3,796.0,665.3,399.6
1600.0,636.0,796.0,658.0,397.7
1700.0,636.0,796.0,662.5,401.1
1800.0,636.0,786.0,658.0,398.8
1900.0,651.0,790.4,671.0,381.5
2000.0,643.8,786.0,664.0,393.9
2100.0,636.0,786.0,658.0,398.7
2200.0,651.0,794.0,658.0,387.2
2300.0,642.2,786.0,658.0,391.7
2400.0,636.0,788.1,668.9,396.8
2500.0,636.0,795.7,661.2,380.8
2600.0,651.0,796.0,671.0,405.0
2700.0,636.0,786.0,671.0,391.5
2800.0,648.3,786.0,658.0,386.6
2900.0,647.2,794.3,664.5,402.4
3000.0,646.8,786.0,668.4,390.3
3100.0,638.9,786.0,658.0,387.5
3200.0,636.0,788.6,658.0,392.7
3300.0,651.0,786.0,661.3,386.9
3400.0,636.0,786.0,671.0,391.1
3500.0,651.0,796.0,671.0,388.0
3600.0,637.5,786.0,670.4,393.0
3700.0,636.0,796.0,671.0,399.5
3800.0,640.8,786.0,671.0,397.9
3900.0,639.5,786.0,662.7,397.2
4000.0,643.0,786.0,658.0,393.6
4100.0,650.3,796.0,658.0,397.2
4200.0,638.3,796.0,665.8,388.2
4300.0,638.6,787.5,671.0,400.3
4400.0,636.0,786.0,667.8,400.9
4500.0,643.7,796.0,671.0,388.1
4600.0,637.4,786.0,658.9,395.8
4700.0,651.0,796.0,660.0,401.3
4800.0,639.3,786.0,668.6,380.0
4900.0,644.3,786.0,658.7,384.6
5000.0,651.0,786.0,663.9,392.3
5100.0,644.9,796.0,659.9,399.6
5200.0,636.0,786.0,669.2,386.1
5300.0,636.0,796.0,658.0,393.1
5400.0,636.0,789.1,658.0,386.8
5500.0,636.9,786.0,671.0,387.8
5600.0,636.0,786.0,671.0,387.4
5700.0,648.0,786.0,667.0,402.0
5800.0,636.0,796.0,670.9,405.0
5900.0,644.2,796.0,658.0,380.0
6000.0,651.0,792.9,671.0,397.4
6100.0,640.9,796.0,669.2,400.2
6200.0,651.0,796.0,664.0,394.9
6300.0,636.0,789.3,658.0,397.5
6400.0,636.0,796.0,658.0,384.0
6500.0,651.0,789.0,671.0,396.9
6600.0,638.3,786.0,658.0,384.4
6700.0,644.3,796.0,671.0,388.7
6800.0,636.0,795.2,671.0,391.4
6900.0,643.1,788.1,658.0,398.0
7000.0,646.3,796.0,660.0,399.7
7100.0,644.7,789.5,669.6,386.5
7200.0,649.0,786.0,658.0,392.2
7300.0,636.0,796.0,658.0,395.2
7400.0,636.0,786.0,661.3,392.3
7500.0,636.0,786.0,671.0,389.1
7600.0,651.0,794.3,664.8,401.8
7700.0,644.0,791.2,659.9,398.9
7800.0,643.6,786.0,669.2,385.0
7900.0,649.6,796.0,658.0,386.1
8000.0,651.0,796.0,665.4,380.9
8100.0,642.9,796.0,658.0,391.7
8200.0,651.0,796.0,658.0,402.4
8300.0,639.5,786.0,671.0,398.5
8400.0,639.2,796.0,667.2,394.5
8500.0,642.9,786.0,660.2,386.7
8600.0,651.0,786.0,671.0,404.9
8700.0,637.6,786.0,671.0,385.3
8800.0,651.0,786.0,660.7,392.6
8900.0,649.7,786.0,659.3,393.9
