timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,586.4,745.0,456.7,495.0
100.0,536.1,656.4,371.3,364.4
200.0,571.9,712.6,424.3,474.3
300.0,577.6,698.0,390.7,429.7
400.0,570.8,711.7,427.7,470.6
500.0,563.5,713.7,414.8,460.9
600.0,580.7,725.1,417.2,469.6
700.0,537.4,649.7,355.6,355.9
800.0,581.2,730.9,451.8,495.0
900.0,564.2,702.5,389.6,414.1
1000.0,558.7,697.9,393.7,430.9
1100.0,595.3,724.7,454.0,485.9
1200.0,532.4,647.4,357.0,362.0
1300.0,581.9,727.3,435.4,479.7
1400.0,587.5,712.2,414.7,466.2
1500.0,597.0,745.0,453.6,495.0
1600.0,564.3,676.5,392.0,436.0
1700.0,579.9,721.8,447.4,493.8
1800.0,589.4,723.0,458.7,493.7
1900.0,568.0,694.9,387.9,430.0
2000.0,593.7,739.5,458.0,495.0
2100.0,575.3,689.0,397.0,456.2
2200.0,542.6,655.6,354.8,356.7
2300.0,561.8,690.4,403.1,435.5
2400.0,597.0,745.0,453.6,481.5
2500.0,527.0,655.5,358.0,354.0
2600.0,579.3,687.3,408.9,461.0
2700.0,581.5,712.6,429.4,468.7
2800.0,597.0,731.0,443.9,482.7
2900.0,596.1,734.7,431.9,479.3
3000.0,591.2,723.7,436.6,494.5
3100.0,590.5,714.2,413.4,468.6
3200.0,571.9,698.1,400.9,455.7
3300.0,570.0,712.6,405.3,474.3
3400.0,527.0,643.0,358.7,360.6
3500.0,532.0,663.0,369.8,368.2
3600.0,536.9,671.5,377.9,394.1
3700.0,564.8,693.5,399.5,455.5
3800.0,572.9,691.6,388.7,424.7
3900.0,571.1,697.8,402.0,436.7
4000.0,597.0,733.0,449.0,495.0
4100.0,597.0,731.9,440.9,482.2
4200.0,540.2,649.7,352.3,359.9
4300.0,584.1,703.0,423.9,469.1
4400.0,544.1,666.3,368.2,371.1
4500.0,561.4,684.6,382.0,422.1
4600.0,590.1,722.2,446.8,493.5
4700.0,572.9,696.8,400.8,451.0
4800.0,596.7,738.9,446.5,495.0
4900.0,597.0,745.0,453.9,491.3
5000.0,530.7,647.9,355.0,354.0
5100.0,586.0,726.9,448.8,493.1
5200.0,595.3,714.6,446.6,495.0
5300.0,579.4,716.6,403.8,469.7
5400.0,578.0,697.2,383.3,413.7
5500.0,581.4,717.3,413.2,467.6
5600.0,572.4,688.8,394.2,436.5
5700.0,592.1,743.9,449.8,495.0
5800.0,537.8,643.0,351.9,360.5
5900.0,587.4,742.7,439.6,487.7
6000.0,583.5,735.2,446.8,486.0
6100.0,591.5,721.7,441.4,488.4
6200.0,536.4,645.0,359.9,357.1
6300.0,527.1,654.7,362.9,362.4
6400.0,586.9,725.9,408.3,472.7
6500.0,527.0,665.1,365.9,364.8
6600.0,586.7,697.1,418.2,471.9
6700.0,586.8,711.8,433.3,482.5
6800.0,597.0,743.4,440.5,483.8
6900.0,560.9,705.6,395.6,441.3
7000.0,538.1,652.1,359.8,354.0
7100.0,575.8,724.3,437.5,490.3
7200.0,530.9,664.9,367.9,371.7
7300.0,535.1,660.3,353.3,361.1
7400.0,597.0,745.0,450.5,487.0
7500.0,594.8,733.1,452.6,495.0
7600.0,542.2,668.2,363.0,361.6
7700.0,582.4,731.3,426.5,481.1
7800.0,569.6,696.9,391.7,424.6
7900.0,534.8,662.4,352.4,359.0
8000.0,565.6,702.7,380.9,421.8
8100.0,558.2,696.6,402.3,444.7
8200.0,528.8,643.0,355.4,354.0
8300.0,542.6,666.4,378.0,392.6
8400.0,534.7,655.9,367.5,373.1
8500.0,570.4,702.8,380.2,413.7
8600.0,573.4,722.2,421.9,475.8
8700.0,588.9,733.9,452.9,494.7
8800.0,563.9,701.2,405.5,439.9
8900.0,579.9,733.6,456.7,489.9
9000.0,584.1,724.6,439.9,491.4
9100.0,563.7,706.2,413.0,450.2
9200.0,543.9,667.7,372.2,368.0
9300.0,540.4,661.5,369.8,396.7
9400.0,540.9,643.0,353.3,356.8
9500.0,579.5,717.3,438.0,483.4
9600.0,563.5,691.8,396.5,426.1
9700.0,582.2,738.9,436.3,481.9
9800.0,596.4,732.7,456.9,494.8
9900.0,583.0,698.1,421.2,475.9
10000.0,588.8,722.8,431.6,484.3
10100.0,529.3,657.2,359.7,358.7
10200.0,565.9,691.3,385.6,417.0
10300.0,537.3,649.1,351.6,360.3
10400.0,587.9,717.9,427.3,485.1
10500.0,527.0,660.6,360.5,356.0
10600.0,527.0,663.9,364.6,356.3
10700.0,541.8,667.5,357.1,357.0
10800.0,573.7,728.7,423.6,489.2
10900.0,563.0,664.4,370.0,391.4
11000.0,574.0,694.7,408.1,470.4
11100.0,590.7,735.8,426.1,484.9
11200.0,530.3,643.0,350.6,355.8
11300.0,567.9,695.7,391.8,427.1
11400.0,597.0,745.0,459.5,484.3
11500.0,560.8,691.9,399.0,467.3
11600.0,544.8,667.0,373.3,391.8
11700.0,594.7,715.7,447.5,485.0
11800.0,531.4,649.8,357.8,358.7
11900.0,528.9,647.3,361.2,369.7
12000.0,569.5,693.8,375.7,399.3
12100.0,595.6,728.2,452.3,495.0
12200.0,573.7,722.9,422.5,482.8
12300.0,557.0,706.0,397.2,456.5
12400.0,597.0,745.0,458.8,495.0
12500.0,527.5,672.9,362.8,374.1
12600.0,571.6,697.4,380.6,398.1
12700.0,597.0,728.4,458.3,493.1
12800.0,575.0,728.9,432.1,488.0
12900.0,589.5,726.3,441.0,495.0
13000.0,559.4,705.5,402.9,461.4
13100.0,597.0,745.0,456.8,485.0
13200.0,590.8,701.8,413.4,476.9
13300.0,527.8,650.0,349.0,359.9
13400.0,558.3,678.2,379.8,405.9
13500.0,574.7,687.3,375.5,412.1
13600.0,559.2,678.7,378.6,398.9
13700.0,588.5,737.8,460.0,495.0
13800.0,576.4,729.7,437.6,478.6
13900.0,572.8,715.7,429.1,476.9
14000.0,582.8,745.0,448.9,481.8
14100.0,532.0,643.3,362.9,354.0
14200.0,542.4,654.8,356.6,359.5
14300.0,574.1,711.2,410.3,472.9
14400.0,576.7,687.7,388.6,425.4
14500.0,597.0,745.0,460.0,495.0
14600.0,575.3,700.8,412.5,482.1
14700.0,590.3,703.3,415.2,483.1
14800.0,527.0,652.1,361.4,354.0
14900.0,597.0,727.5,456.6,495.0
15000.0,535.6,659.2,360.5,359.7
15100.0,535.4,653.0,364.6,365.7
15200.0,597.0,742.7,452.7,483.0
15300.0,579.8,690.3,410.9,475.9
15400.0,593.1,733.1,432.0,486.4
15500.0,589.4,695.9,413.0,470.9
15600.0,578.4,733.1,422.9,486.2
15700.0,540.8,643.0,349.8,361.9
15800.0,578.6,723.1,433.9,495.0
15900.0,597.0,732.6,443.2,492.6
16000.0,537.4,643.8,361.4,356.6
16100.0,532.9,643.0,349.7,354.0
16200.0,530.2,660.0,360.9,364.3
16300.0,597.0,724.2,454.0,495.0
16400.0,532.0,643.0,357.5,364.0
16500.0,540.4,655.6,369.6,383.1
16600.0,590.8,718.7,429.3,485.6
16700.0,585.7,730.3,443.0,480.9
16800.0,596.7,742.4,443.6,481.2
16900.0,590.3,699.8,419.9,473.1
17000.0,584.6,699.9,417.3,464.3
17100.0,527.0,649.3,356.9,356.6
17200.0,561.5,700.6,411.8,461.5
17300.0,594.1,732.3,433.4,490.5
17400.0,579.4,703.5,402.6,468.4
17500.0,575.1,711.1,413.8,457.7
17600.0,574.5,696.1,403.6,470.6
17700.0,579.8,716.6,433.8,474.7
17800.0,597.0,720.1,439.2,493.6
17900.0,572.8,737.3,432.5,480.0
18000.0,527.1,650.3,354.9,360.7
18100.0,580.4,720.0,452.0,483.2
18200.0,597.0,744.0,454.7,495.0
18300.0,560.4,701.2,396.7,451.7
18400.0,548.6,671.0,381.0,386.8
18500.0,565.8,690.0,393.9,432.3
18600.0,582.4,719.2,419.4,476.0
18700.0,568.2,686.0,381.7,409.2
18800.0,558.8,684.9,372.9,388.3
18900.0,585.5,718.4,436.7,477.2
19000.0,597.0,738.3,434.6,490.3
19100.0,560.3,682.1,387.9,439.0
19200.0,597.0,737.7,460.0,495.0
19300.0,551.3,672.6,372.4,401.8
19400.0,597.0,729.9,447.6,490.1
19500.0,588.9,721.6,428.0,484.0
19600.0,597.0,740.4,439.3,495.0
19700.0,593.0,745.0,460.0,495.0
19800.0,529.9,646.2,352.4,362.5
19900.0,587.0,706.9,428.9,471.8
20000.0,577.5,722.0,432.4,489.7
20100.0,538.6,643.0,360.5,359.3
20200.0,582.6,745.0,446.0,491.2
20300.0,535.1,661.8,356.1,362.6
20400.0,569.1,700.8,384.6,410.3
20500.0,564.9,677.2,369.9,398.8
20600.0,533.4,671.6,373.4,378.5
20700.0,554.9,670.9,370.5,384.9
20800.0,594.9,745.0,451.4,494.1
20900.0,584.3,711.3,424.0,479.2
21000.0,528.3,665.6,363.1,358.2
21100.0,597.0,745.0,447.1,488.4
21200.0,576.8,727.3,431.4,480.4
21300.0,597.0,745.0,448.2,486.7
21400.0,536.4,670.3,364.1,368.1
21500.0,539.6,662.0,368.4,368.3
21600.0,578.2,713.4,413.6,485.4
21700.0,572.0,687.2,382.6,416.4
21800.0,591.5,745.0,459.9,494.7
21900.0,574.9,729.0,436.7,488.0
22000.0,578.5,708.8,414.6,465.3
22100.0,591.3,725.6,408.1,472.1
22200.0,577.8,724.2,414.5,474.6
22300.0,572.4,704.1,414.8,462.6
22400.0,564.5,698.3,394.8,448.6
22500.0,586.8,703.3,425.8,479.1
22600.0,587.3,722.2,434.5,485.1
22700.0,568.8,694.1,401.8,449.4
22800.0,585.4,720.8,420.7,490.9
22900.0,578.2,714.0,425.0,475.7
23000.0,596.9,732.5,451.3,491.7
23100.0,585.6,722.2,441.7,494.4
23200.0,597.0,735.0,444.8,485.2
23300.0,533.0,643.0,356.5,354.0
23400.0,557.5,680.3,405.1,440.1
23500.0,597.0,745.0,454.4,485.4
23600.0,597.0,739.8,439.8,485.3
23700.0,567.3,680.7,401.8,439.5
23800.0,597.0,742.0,445.3,495.0
23900.0,593.4,745.0,449.9,490.4
24000.0,586.5,720.6,451.4,495.0
24100.0,587.2,745.0,449.7,491.5
24200.0,537.2,644.8,364.7,355.3
24300.0,588.0,725.6,436.3,484.6
24400.0,539.5,662.4,363.1,368.6
24500.0,565.7,689.8,392.4,418.6
24600.0,597.0,735.5,459.2,495.0
24700.0,528.7,643.0,357.9,361.2
24800.0,569.7,693.3,392.2,439.5
24900.0,586.2,730.2,460.0,494.2
25000.0,581.7,727.0,439.7,480.7
25100.0,593.9,737.7,446.0,484.2
25200.0,578.3,726.4,429.4,487.6
25300.0,581.6,710.2,416.4,471.5
25400.0,597.0,745.0,460.0,495.0
25500.0,597.0,745.0,460.0,495.0
25600.0,560.1,683.5,399.1,441.7
25700.0,527.0,648.1,349.0,362.2
25800.0,583.8,738.2,429.4,482.6
25900.0,595.0,742.8,450.5,495.0
26000.0,578.8,695.3,417.5,470.3
26100.0,577.3,714.2,431.2,477.8
26200.0,575.0,701.6,409.1,458.4
26300.0,574.1,682.8,394.0,433.1
26400.0,533.1,670.0,376.8,376.0
26500.0,585.3,722.7,445.2,480.7
26600.0,580.8,687.1,407.6,451.4
26700.0,597.0,735.7,441.3,486.9
26800.0,532.6,662.9,375.5,372.1
26900.0,578.2,689.2,396.4,463.5
27000.0,580.2,717.7,436.5,492.2
27100.0,536.8,671.9,364.4,387.6
27200.0,575.6,715.5,421.9,479.5
27300.0,574.4,686.4,393.1,432.6
27400.0,590.2,708.3,421.9,476.1
27500.0,597.0,745.0,455.0,483.5
27600.0,580.7,702.5,420.8,477.4
27700.0,578.6,703.6,415.6,468.6
27800.0,584.7,717.7,434.7,485.7
27900.0,591.2,745.0,456.9,483.7
28000.0,562.6,699.0,391.7,431.3
28100.0,571.1,685.0,392.9,413.0
28200.0,595.9,724.3,455.6,491.7
28300.0,574.5,700.5,385.1,423.9
28400.0,594.2,726.6,438.8,482.5
28500.0,587.3,727.5,424.0,489.6
28600.0,577.8,724.8,430.8,485.8
28700.0,590.6,740.6,440.9,481.5
28800.0,596.5,730.3,452.1,485.2
28900.0,552.3,663.9,371.7,387.9
29000.0,529.2,662.4,368.1,363.4
29100.0,597.0,716.1,441.2,485.1
29200.0,541.3,653.9,365.1,368.0
29300.0,582.6,723.0,440.9,483.9
29400.0,590.0,745.0,460.0,495.0
29500.0,555.4,683.1,366.7,398.6
29600.0,569.2,705.0,395.9,449.1
29700.0,597.0,737.8,445.8,491.9
29800.0,577.4,708.6,417.0,465.0
29900.0,593.2,739.0,445.8,483.1
30000.0,532.6,646.5,356.5,362.0
30100.0,540.5,658.5,365.4,370.6
30200.0,593.5,728.5,450.7,494.6
30300.0,561.1,678.0,375.6,409.0
30400.0,597.0,742.5,448.8,487.7
30500.0,571.0,723.3,424.2,476.5
30600.0,589.0,736.7,440.5,478.4
30700.0,577.7,696.8,379.2,413.5
30800.0,527.7,645.6,349.5,361.6
30900.0,577.2,714.2,417.6,474.1
31000.0,545.2,677.0,375.8,383.8
31100.0,527.0,643.0,350.6,359.8
31200.0,583.5,736.1,432.8,486.1
31300.0,590.3,745.0,456.5,485.8
31400.0,546.6,664.8,368.1,385.7
31500.0,594.3,735.5,446.9,483.3
31600.0,535.7,658.9,357.2,356.4
31700.0,589.0,726.0,442.2,494.5
31800.0,588.8,735.6,433.7,495.0
31900.0,597.0,745.0,460.0,495.0
32000.0,594.8,733.2,444.5,490.2
32100.0,584.2,735.6,446.0,494.4
32200.0,592.7,739.4,435.4,491.7
32300.0,527.0,649.7,349.0,354.0
32400.0,597.0,731.9,449.6,493.5
32500.0,557.8,683.4,412.5,462.8
32600.0,546.2,668.9,371.2,386.4
32700.0,575.3,701.4,404.1,472.3
32800.0,579.7,720.4,440.1,484.6
32900.0,533.9,643.0,359.1,354.0
33000.0,534.8,667.0,369.4,368.2
33100.0,583.9,728.7,428.5,479.1
33200.0,527.0,664.8,355.4,361.9
33300.0,559.2,701.3,399.9,438.9
33400.0,585.4,711.5,419.6,490.6
33500.0,580.4,724.9,445.5,486.6
33600.0,547.4,670.6,376.4,395.2
33700.0,571.4,712.2,406.8,466.4
33800.0,588.2,736.5,436.7,495.0
33900.0,581.0,702.7,401.6,461.1
34000.0,581.6,737.1,439.4,481.1
34100.0,527.0,643.0,353.4,354.0
34200.0,543.5,663.7,361.7,360.9
34300.0,590.6,725.6,427.9,491.7
34400.0,580.7,739.7,446.7,490.3
34500.0,597.0,726.8,445.7,482.4
34600.0,565.8,674.9,381.9,404.4
34700.0,562.9,691.7,392.6,434.8
34800.0,590.7,729.5,439.4,486.9
34900.0,588.5,731.8,427.8,478.0
35000.0,593.8,710.2,435.9,484.5
35100.0,567.3,682.1,390.1,449.9
35200.0,584.8,699.5,419.4,484.1
35300.0,568.8,689.8,389.1,406.7
35400.0,567.5,676.6,371.7,390.6
35500.0,576.4,699.3,409.4,460.4
35600.0,581.5,724.5,441.8,495.0
35700.0,591.6,733.1,459.7,495.0
35800.0,575.7,679.1,378.1,424.2
35900.0,540.7,643.0,362.8,357.8
36000.0,536.4,656.6,354.4,354.0
36100.0,597.0,745.0,451.0,495.0
36200.0,591.0,733.6,456.7,483.4
36300.0,587.8,717.9,414.5,470.8
36400.0,579.9,724.6,454.4,487.7
36500.0,597.0,734.1,451.5,487.8
36600.0,578.9,732.7,432.2,477.5
36700.0,576.0,728.0,417.8,469.8
36800.0,580.2,739.5,431.9,488.3
36900.0,597.0,745.0,446.4,495.0
37000.0,580.7,701.1,418.8,458.9
37100.0,561.4,683.4,371.5,403.1
37200.0,527.0,644.1,363.8,358.7
37300.0,540.0,656.3,352.0,361.7
