timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,480.7,652.0,385.2,228.8
100.0,505.5,710.3,440.7,261.5
200.0,510.0,718.7,426.0,246.9
300.0,488.8,671.0,380.7,221.8
400.0,483.4,662.7,399.6,227.1
500.0,479.0,652.0,379.0,219.0
600.0,479.0,652.0,379.0,221.7
700.0,495.0,660.2,399.6,227.8
800.0,502.9,697.7,416.1,247.1
900.0,479.0,654.4,388.1,224.0
1000.0,480.8,688.5,407.1,233.6
1100.0,490.2,686.4,408.3,236.5
1200.0,515.1,686.9,412.7,261.2
1300.0,482.0,668.0,390.0,232.7
1400.0,497.9,660.2,388.7,233.2
1500.0,485.3,672.9,407.6,224.1
1600.0,512.0,713.0,432.9,262.8
1700.0,487.8,674.3,398.4,228.7
1800.0,486.3,676.1,402.6,230.7
1900.0,481.9,671.4,395.4,230.4
2000.0,486.9,665.0,398.1,222.6
2100.0,479.0,658.6,379.0,223.4
2200.0,490.7,686.6,402.4,221.9
2300.0,519.0,727.2,440.4,270.7
2400.0,483.0,666.6,379.0,222.0
2500.0,506.7,697.0,427.6,248.4
2600.0,488.0,669.8,405.4,241.7
2700.0,496.4,665.3,390.4,236.0
2800.0,504.3,701.9,426.9,261.9
2900.0,506.3,696.8,426.6,243.4
3000.0,480.9,652.0,379.7,225.4
3100.0,505.0,696.0,413.3,254.1
3200.0,510.4,700.7,437.6,261.5
3300.0,484.5,665.7,398.0,229.5
3400.0,513.3,725.1,430.1,255.0
3500.0,502.3,707.9,419.3,251.5
3600.0,494.0,695.5,405.4,245.8
3700.0,500.5,680.9,422.3,251.1
3800.0,486.5,654.5,396.6,231.6
3900.0,511.0,694.7,435.7,247.4
4000.0,503.5,732.0,443.3,263.8
4100.0,515.1,714.0,412.1,265.3
4200.0,497.5,673.9,395.6,232.0
4300.0,479.3,652.4,389.3,226.4
4400.0,516.9,713.9,444.7,256.0
4500.0,494.0,669.4,408.9,225.5
4600.0,490.4,680.6,392.8,235.2
4700.0,498.0,687.2,432.0,249.0
4800.0,506.3,706.3,437.8,256.1
4900.0,507.4,702.2,413.7,243.8
5000.0,500.1,705.7,418.1,258.4
5100.0,512.4,714.8,432.5,259.1
5200.0,487.1,666.7,390.7,224.8
5300.0,519.0,732.0,449.1,279.7
5400.0,507.9,721.2,440.4,272.2
5500.0,519.0,732.0,445.2,279.8
5600.0,488.6,675.4,407.7,233.0
5700.0,488.2,673.1,399.3,230.6
5800.0,506.4,700.2,410.2,257.6
5900.0,514.5,703.7,445.4,258.3
6000.0,484.9,665.5,393.6,238.7
6100.0,499.7,697.6,420.4,250.4
6200.0,498.8,723.8,446.3,263.8
6300.0,508.9,729.3,443.2,260.4
6400.0,486.5,679.0,387.0,235.5
6500.0,496.5,664.8,392.1,237.1
6600.0,500.7,676.9,393.7,244.7
6700.0,491.2,691.5,407.3,233.2
6800.0,496.7,707.6,415.2,249.8
6900.0,519.0,729.1,445.8,262.8
7000.0,493.8,686.6,397.9,229.6
7100.0,481.9,659.6,385.7,224.1
7200.0,479.0,669.2,400.5,231.6
7300.0,503.8,705.2,438.3,263.8
7400.0,479.0,652.0,384.2,226.7
7500.0,482.5,652.0,381.5,219.0
