timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,526.4,644.5,361.7,331.4
100.0,489.2,628.0,344.0,280.4
200.0,498.3,635.2,357.3,308.4
300.0,494.9,628.0,346.8,290.7
400.0,516.7,661.0,372.3,346.3
500.0,493.4,642.2,360.4,298.6
600.0,514.9,656.4,372.3,334.9
700.0,489.0,635.3,346.4,282.1
800.0,493.4,634.7,353.0,294.9
900.0,531.6,658.7,368.7,329.6
1000.0,517.0,658.1,369.3,311.7
1100.0,494.5,653.2,360.0,301.6
1200.0,534.6,650.2,377.0,338.0
1300.0,498.6,644.6,347.9,295.7
1400.0,503.3,638.7,351.3,293.6
1500.0,497.3,628.0,349.1,279.0
1600.0,506.9,639.6,347.8,293.0
1700.0,509.2,655.8,361.6,307.4
1800.0,522.7,662.2,364.3,343.9
1900.0,514.8,651.2,363.6,304.8
2000.0,510.5,659.1,374.2,329.9
2100.0,501.5,637.9,355.8,287.9
2200.0,534.9,666.1,372.7,328.4
2300.0,532.3,662.8,362.3,316.9
2400.0,535.5,651.8,369.0,331.5
2500.0,526.8,647.5,374.6,347.6
2600.0,521.9,664.5,366.0,339.4
2700.0,496.5,642.8,347.2,286.2
2800.0,521.2,667.7,372.1,331.3
2900.0,515.1,657.8,363.1,315.0
3000.0,527.7,653.3,373.9,330.1
3100.0,493.6,640.8,352.6,293.9
3200.0,492.6,628.0,345.3,292.2
3300.0,507.9,644.9,355.2,293.8
3400.0,499.6,658.5,359.3,312.5
3500.0,537.1,666.6,372.4,337.1
3600.0,534.5,654.1,366.4,337.3
3700.0,526.6,658.7,362.6,318.1
3800.0,534.8,670.2,374.5,369.5
3900.0,501.2,629.8,350.4,296.6
4000.0,528.2,674.1,373.3,330.6
4100.0,532.4,672.1,367.5,332.1
4200.0,534.6,644.7,373.4,341.2
4300.0,484.0,634.5,348.4,277.5
4400.0,499.3,628.0,344.5,279.7
4500.0,512.1,664.7,356.1,307.2
4600.0,490.8,630.8,356.4,292.0
4700.0,524.3,670.9,374.9,335.5
4800.0,520.3,650.5,364.0,309.6
4900.0,532.8,669.8,367.1,320.1
5000.0,498.4,639.1,359.3,284.9
5100.0,491.6,632.6,352.1,288.6
5200.0,493.6,628.0,345.8,279.9
5300.0,504.7,659.9,364.2,310.1
5400.0,553.2,664.4,375.2,371.5
5500.0,492.5,640.9,344.0,276.0
5600.0,505.9,628.0,344.0,293.4
5700.0,521.5,652.4,371.1,326.6
5800.0,523.7,660.0,362.8,330.8
5900.0,515.5,644.7,362.2,313.6
6000.0,489.4,638.5,350.1,289.1
6100.0,515.7,657.8,363.7,305.4
6200.0,496.3,628.0,350.7,277.7
6300.0,484.0,628.3,344.1,278.3
6400.0,542.8,677.0,377.0,371.8
6500.0,533.0,659.1,374.1,320.1
6600.0,516.8,645.5,367.0,324.2
6700.0,505.7,638.3,360.8,298.3
6800.0,499.0,644.9,354.1,293.3
6900.0,539.1,660.8,369.1,355.1
7000.0,541.4,665.8,373.1,332.7
7100.0,524.2,660.1,373.0,331.0
7200.0,521.6,642.9,359.9,313.5
7300.0,510.2,663.8,357.1,311.3
7400.0,491.3,643.3,354.1,284.2
7500.0,525.8,655.6,372.5,319.7
7600.0,533.6,650.7,368.6,318.5
7700.0,531.6,662.8,372.9,340.4
7800.0,522.3,645.0,355.8,318.2
7900.0,530.5,662.5,369.0,330.6
8000.0,537.8,665.5,369.7,331.1
8100.0,490.3,640.3,348.6,298.4
8200.0,555.0,677.0,368.9,375.0
8300.0,526.4,653.1,377.0,340.4
8400.0,493.8,628.0,349.7,278.4
8500.0,525.1,646.2,367.6,309.4
8600.0,520.9,659.4,367.6,309.2
8700.0,516.3,649.8,373.5,325.0
8800.0,499.6,628.0,346.4,296.7
8900.0,512.1,656.3,357.3,311.0
9000.0,530.9,658.5,377.0,344.4
9100.0,533.6,655.8,375.2,329.7
9200.0,538.4,644.9,374.8,347.2
9300.0,491.1,647.3,344.0,277.8
9400.0,547.4,677.0,368.8,375.0
9500.0,492.7,628.0,349.2,298.6
9600.0,504.2,642.2,356.2,288.3
9700.0,530.8,644.5,374.0,322.5
9800.0,529.0,650.6,363.5,314.7
9900.0,533.9,664.3,373.4,338.6
10000.0,547.1,677.0,369.1,375.0
10100.0,521.5,656.1,375.8,331.7
10200.0,497.7,645.6,348.6,291.8
10300.0,520.6,666.5,364.9,322.0
10400.0,499.5,646.9,349.4,279.2
10500.0,504.6,629.9,350.4,299.4
10600.0,541.3,656.6,377.0,337.1
10700.0,519.5,661.6,377.0,329.4
10800.0,536.4,652.2,372.7,335.2
10900.0,507.9,648.7,363.3,302.6
11000.0,496.0,631.1,349.1,296.9
11100.0,534.3,677.0,369.3,326.3
11200.0,531.4,664.1,366.5,331.4
11300.0,488.2,628.0,349.2,283.2
11400.0,524.5,660.1,365.3,333.3
11500.0,489.9,647.5,345.5,283.8
11600.0,516.8,642.0,359.0,308.1
11700.0,514.9,657.5,361.2,319.9
11800.0,493.7,651.6,359.1,292.7
11900.0,501.5,630.3,355.5,285.7
12000.0,514.4,665.1,377.0,332.1
12100.0,498.7,651.4,355.5,312.5
12200.0,542.7,651.1,377.0,341.2
12300.0,490.0,635.8,356.0,279.8
12400.0,542.8,663.3,375.1,339.5
12500.0,484.0,628.0,345.1,279.4
12600.0,515.1,650.8,364.2,301.7
12700.0,496.1,628.0,356.8,282.3
12800.0,519.0,653.3,368.6,339.3
12900.0,529.4,660.1,377.0,362.1
13000.0,523.2,647.2,359.9,310.6
13100.0,533.2,658.2,373.9,373.1
13200.0,484.0,639.7,344.0,279.3
13300.0,539.2,653.8,377.0,328.1
13400.0,521.4,661.4,372.7,340.4
13500.0,488.9,630.1,359.0,290.2
13600.0,488.9,634.8,353.0,286.7
13700.0,488.3,628.0,344.7,291.6
13800.0,530.4,671.8,371.9,333.0
13900.0,546.1,677.0,377.0,344.8
14000.0,518.9,667.4,370.0,339.6
14100.0,484.9,628.0,344.0,276.0
14200.0,494.5,640.4,352.9,285.0
14300.0,525.9,653.6,365.9,326.9
14400.0,526.2,644.8,369.9,327.0
14500.0,500.9,628.0,349.1,285.8
14600.0,493.3,647.6,353.9,304.9
