timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,518.8,645.4,375.3,300.5
100.0,535.5,667.4,390.0,350.8
200.0,525.2,656.1,366.3,323.4
300.0,499.9,646.5,361.0,285.6
400.0,527.8,661.9,390.0,340.6
500.0,495.0,649.1,372.7,289.4
600.0,550.0,662.1,378.7,362.9
700.0,548.3,649.1,381.8,361.9
800.0,550.0,661.8,382.6,369.9
900.0,550.0,660.6,375.8,352.8
1000.0,505.5,658.2,369.5,281.2
1100.0,529.4,653.8,375.5,320.1
1200.0,489.0,643.0,373.0,284.9
1300.0,512.7,643.0,362.7,319.4
1400.0,536.1,655.3,371.2,349.3
1500.0,489.2,643.0,373.7,290.3
1600.0,541.8,661.0,372.3,361.2
1700.0,539.5,661.3,376.9,341.8
1800.0,545.1,662.1,377.2,345.8
1900.0,534.3,667.0,375.4,353.9
2000.0,514.3,663.9,380.0,318.7
2100.0,498.8,647.9,361.0,293.5
2200.0,543.5,656.5,386.3,342.5
2300.0,540.4,666.7,370.5,349.7
2400.0,529.8,650.7,374.7,353.3
2500.0,494.0,643.0,364.8,289.5
2600.0,535.7,665.3,382.9,351.3
2700.0,489.3,657.3,377.5,283.3
2800.0,527.5,669.3,378.9,350.4
2900.0,489.0,649.6,368.7,282.2
3000.0,502.5,657.4,362.7,289.1
3100.0,496.0,654.4,374.3,287.7
3200.0,534.4,674.6,378.5,350.7
3300.0,534.2,667.7,380.6,346.2
3400.0,494.8,653.3,370.7,283.0
3500.0,490.4,645.0,376.6,293.3
3600.0,507.5,643.5,364.4,290.9
3700.0,501.2,643.0,368.9,286.3
3800.0,501.4,651.9,368.5,280.3
3900.0,522.3,656.2,382.2,326.1
4000.0,508.9,649.5,361.0,283.5
4100.0,489.0,643.0,365.8,284.6
4200.0,530.0,668.2,375.3,357.9
4300.0,515.2,648.7,367.5,336.6
4400.0,520.4,646.0,368.3,307.5
4500.0,541.6,666.3,377.0,332.8
4600.0,522.5,662.5,382.4,342.7
4700.0,550.0,668.0,386.2,350.9
4800.0,516.1,669.0,390.0,316.3
4900.0,522.6,673.2,384.4,332.2
5000.0,521.3,643.8,369.7,322.3
5100.0,550.0,676.0,390.0,380.0
5200.0,533.3,651.5,376.1,356.4
5300.0,527.0,674.1,388.0,326.3
5400.0,534.1,674.0,369.2,353.5
5500.0,520.2,660.3,365.8,323.8
5600.0,547.9,651.3,372.1,359.2
5700.0,511.2,649.1,386.8,321.5
5800.0,547.0,673.0,375.3,355.1
5900.0,529.4,652.4,390.0,327.5
6000.0,489.0,643.0,362.5,280.0
6100.0,498.6,643.0,364.1,289.9
6200.0,547.7,657.0,383.7,349.5
6300.0,518.5,656.2,367.4,328.8
6400.0,537.0,664.7,375.0,336.2
6500.0,528.0,664.2,365.4,326.6
