timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,617.7,695.7,432.3,396.8
100.0,587.1,693.1,440.4,404.8
200.0,638.0,712.1,440.6,439.7
300.0,600.2,690.3,434.8,367.2
400.0,596.6,687.9,431.1,374.4
500.0,600.6,698.0,435.6,392.9
600.0,597.8,688.4,441.0,373.5
700.0,608.9,702.1,432.1,388.4
800.0,605.9,682.8,436.7,368.9
900.0,620.9,691.2,439.8,379.7
1000.0,600.4,707.1,428.9,409.6
1100.0,625.1,703.6,452.3,420.8
1200.0,576.0,680.5,429.0,382.8
1300.0,597.5,683.0,438.8,389.2
1400.0,610.5,702.7,431.1,388.3
1500.0,582.0,706.7,431.7,362.1
1600.0,600.6,697.2,436.0,395.3
1700.0,613.7,705.3,445.2,385.6
1800.0,598.4,694.8,433.9,429.3
1900.0,616.7,692.3,422.7,404.0
2000.0,638.0,724.5,432.5,433.7
2100.0,597.6,687.5,436.7,411.1
2200.0,585.7,713.1,411.0,358.8
2300.0,596.6,680.6,429.8,367.5
2400.0,610.2,703.8,431.6,378.4
2500.0,576.5,678.0,431.7,362.2
2600.0,613.1,726.0,422.6,372.7
2700.0,584.6,719.2,416.5,369.1
2800.0,588.8,684.5,420.7,375.1
2900.0,576.0,698.2,411.0,349.0
3000.0,591.7,698.0,411.0,372.5
3100.0,614.5,693.7,441.5,382.5
3200.0,617.8,695.4,444.1,372.7
3300.0,607.5,678.0,433.5,366.7
3400.0,591.0,706.4,420.7,360.5
3500.0,579.6,678.0,435.0,367.6
3600.0,601.6,726.0,426.8,386.3
3700.0,582.4,705.0,420.7,352.7
3800.0,599.9,685.2,431.4,409.3
3900.0,621.6,726.0,420.8,388.1
4000.0,589.9,692.6,430.1,406.2
4100.0,623.0,720.6,435.6,404.2
4200.0,597.8,707.0,415.4,376.3
4300.0,596.4,699.2,428.5,366.0
4400.0,609.3,706.4,411.0,380.4
4500.0,613.8,698.1,439.7,409.8
4600.0,596.1,700.8,427.0,412.4
4700.0,613.1,690.7,436.6,424.2
4800.0,588.0,678.0,422.0,385.2
4900.0,583.6,684.7,420.8,379.3
5000.0,614.7,707.6,438.1,396.9
5100.0,589.4,681.4,422.4,384.7
5200.0,590.2,698.0,412.9,352.6
5300.0,603.0,711.9,423.0,373.5
5400.0,606.1,684.0,430.4,403.6
5500.0,609.4,681.5,450.2,380.7
5600.0,594.0,703.9,428.7,359.8
5700.0,636.1,724.2,423.9,423.4
5800.0,581.2,701.2,421.6,360.7
5900.0,620.2,726.0,433.7,387.9
6000.0,588.3,711.2,422.1,385.9
6100.0,612.8,710.4,427.9,420.2
6200.0,617.5,709.9,425.1,407.2
6300.0,589.3,694.4,436.3,413.6
6400.0,594.0,716.4,421.1,361.4
6500.0,627.9,714.7,438.9,438.8
6600.0,588.2,704.6,413.2,343.7
6700.0,602.5,726.0,421.4,381.0
6800.0,610.3,695.1,440.3,401.6
6900.0,600.3,701.5,412.9,355.9
7000.0,612.4,710.6,423.1,384.7
7100.0,587.1,696.2,416.7,346.8
7200.0,596.3,706.9,419.2,375.2
7300.0,625.0,703.5,429.9,398.2
7400.0,576.0,692.2,421.7,350.0
7500.0,591.9,693.3,424.8,365.3
7600.0,638.0,711.8,439.2,406.3
7700.0,605.4,705.6,427.7,426.6
7800.0,604.8,710.7,415.9,359.3
7900.0,616.6,698.5,441.6,415.0
8000.0,583.3,692.6,411.0,346.8
8100.0,592.2,697.5,427.6,355.9
8200.0,584.0,696.1,420.8,356.0
8300.0,589.7,694.8,417.6,361.4
8400.0,599.6,688.2,441.5,411.5
8500.0,579.0,715.3,418.0,368.6
8600.0,576.0,678.0,426.2,368.4
8700.0,610.3,685.2,439.5,391.8
8800.0,597.1,697.3,429.9,371.1
8900.0,587.9,678.0,426.2,364.3
9000.0,577.0,711.1,415.2,363.1
9100.0,614.3,699.4,436.1,390.7
9200.0,579.9,678.0,434.2,363.1
9300.0,614.9,704.4,427.3,412.9
9400.0,591.4,681.3,429.2,398.2
9500.0,577.8,689.4,413.1,349.5
9600.0,616.6,717.9,430.3,435.9
9700.0,605.0,695.0,442.7,404.4
9800.0,590.7,680.4,422.7,375.0
9900.0,596.5,690.1,416.2,366.2
10000.0,594.6,689.7,439.0,383.9
10100.0,577.0,679.9,419.8,379.5
10200.0,606.8,687.2,437.4,386.8
10300.0,613.0,689.5,432.7,430.6
10400.0,602.9,713.6,421.3,368.6
10500.0,608.2,696.0,423.7,366.6
10600.0,606.7,692.6,436.9,402.5
10700.0,602.8,685.9,428.4,391.9
10800.0,579.9,702.4,416.6,350.1
10900.0,608.6,686.7,424.9,383.9
11000.0,633.1,704.0,456.5,421.4
11100.0,576.0,706.7,416.2,355.9
11200.0,612.0,701.1,431.6,422.4
11300.0,600.8,704.3,426.7,420.4
11400.0,611.9,698.3,431.4,380.8
11500.0,599.0,701.0,411.0,355.7
11600.0,604.4,686.0,438.3,398.8
11700.0,599.4,709.7,429.2,373.5
11800.0,600.3,718.6,411.6,367.5
11900.0,593.4,703.1,418.0,363.8
12000.0,605.8,726.0,422.1,385.8
12100.0,604.3,719.9,417.5,344.8
12200.0,602.3,705.0,419.6,384.4
12300.0,615.0,717.9,438.8,416.3
12400.0,590.6,716.2,411.0,360.3
12500.0,607.1,703.1,419.5,373.4
12600.0,596.5,681.9,443.8,375.3
12700.0,613.9,721.9,417.5,369.3
12800.0,618.6,715.6,424.5,402.1
12900.0,599.4,680.6,436.1,380.1
13000.0,600.2,679.3,425.8,368.5
13100.0,601.8,682.3,438.1,404.2
13200.0,601.5,694.9,438.4,381.9
13300.0,596.0,680.3,416.4,357.9
