timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,554.7,691.5,398.7,359.0
100.0,545.3,672.1,393.4,303.6
200.0,522.0,686.0,390.6,290.8
300.0,587.1,705.3,435.6,377.8
400.0,546.4,698.0,432.2,313.8
500.0,536.6,671.0,399.0,293.0
600.0,556.6,682.4,415.9,316.3
700.0,538.8,671.5,406.2,333.5
800.0,591.4,705.2,444.0,401.3
900.0,581.0,700.9,442.3,401.8
1000.0,592.7,722.0,447.8,465.0
1100.0,558.1,690.0,425.3,334.7
1200.0,522.0,671.0,390.0,293.3
1300.0,536.4,671.9,407.0,331.2
1400.0,539.0,671.0,395.2,328.8
1500.0,536.2,685.5,392.3,324.1
1600.0,589.0,710.1,445.1,444.7
1700.0,544.3,671.0,398.5,328.9
1800.0,606.0,722.0,442.3,451.2
1900.0,552.7,687.1,411.7,363.3
2000.0,540.5,675.9,400.4,337.6
2100.0,524.4,684.6,391.1,317.6
2200.0,561.0,687.9,415.3,314.6
2300.0,570.1,683.7,409.1,316.2
2400.0,547.5,683.5,399.0,295.1
2500.0,526.5,678.2,390.0,322.6
2600.0,544.4,677.0,390.0,325.9
2700.0,537.4,671.0,395.3,300.4
2800.0,536.1,679.9,407.4,292.0
2900.0,543.5,696.7,402.1,364.6
3000.0,545.1,671.0,410.0,330.9
3100.0,560.0,680.5,421.8,314.6
3200.0,606.0,714.2,452.2,420.9
3300.0,558.2,687.2,412.5,329.6
3400.0,558.0,684.6,390.0,354.2
3500.0,533.6,678.4,400.2,303.8
3600.0,562.7,700.9,430.2,339.8
3700.0,544.0,671.7,396.4,314.9
3800.0,548.4,682.9,417.5,335.2
3900.0,552.6,691.4,405.2,360.6
4000.0,550.4,697.2,414.1,340.0
4100.0,567.9,693.3,437.4,342.1
4200.0,545.0,686.6,407.0,336.2
4300.0,548.5,680.5,405.2,323.1
4400.0,546.5,683.5,402.7,319.5
4500.0,535.8,687.8,390.4,331.9
4600.0,540.8,682.3,397.1,327.3
4700.0,598.3,721.8,437.8,457.7
4800.0,537.9,671.0,398.3,296.4
4900.0,537.4,678.0,404.7,331.9
5000.0,537.3,673.5,395.5,366.7
5100.0,541.4,677.1,390.0,319.5
5200.0,538.3,671.0,395.2,300.8
5300.0,532.5,675.7,390.0,307.5
5400.0,597.7,714.5,445.5,392.9
5500.0,598.9,711.0,455.0,454.4
5600.0,590.7,706.4,442.1,427.7
5700.0,525.0,678.8,407.1,292.9
5800.0,544.1,678.6,419.8,329.3
5900.0,530.0,689.7,404.9,320.0
6000.0,588.9,711.7,440.5,383.6
6100.0,606.0,722.0,455.0,463.5
6200.0,564.3,684.2,406.7,363.4
6300.0,522.7,683.0,397.5,294.1
6400.0,558.3,674.4,413.3,317.2
6500.0,606.0,710.3,454.7,456.8
6600.0,550.7,671.0,402.1,345.9
6700.0,545.7,692.5,409.3,327.9
6800.0,544.9,676.8,390.0,323.8
6900.0,538.9,685.7,415.0,305.6
7000.0,528.5,671.0,400.4,316.6
7100.0,568.2,680.5,410.2,401.2
7200.0,558.4,685.9,425.1,338.1
7300.0,542.4,671.0,397.3,318.5
7400.0,555.8,679.4,408.4,322.5
7500.0,604.4,722.0,452.8,462.1
7600.0,538.0,680.3,401.7,292.8
7700.0,550.3,681.7,391.0,349.9
7800.0,551.9,700.9,420.9,326.5
7900.0,575.8,705.9,423.8,345.0
8000.0,587.5,712.6,440.0,371.0
8100.0,561.9,682.5,430.5,329.7
8200.0,551.9,687.7,410.0,327.4
8300.0,546.7,671.0,392.7,334.7
8400.0,544.5,692.9,407.1,318.8
8500.0,590.4,698.2,432.8,386.3
8600.0,537.2,671.0,392.3,306.6
8700.0,531.9,675.9,395.1,301.5
8800.0,565.7,707.2,419.9,328.7
8900.0,565.1,700.7,419.7,317.9
9000.0,527.7,680.6,395.8,302.0
9100.0,528.8,671.0,400.9,310.8
9200.0,606.0,707.1,455.0,445.8
9300.0,605.0,709.4,442.2,408.1
9400.0,571.5,692.5,427.8,346.2
9500.0,534.6,671.0,403.5,309.0
