timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,445.1,765.9,456.7,265.9
100.0,428.8,752.9,416.4,255.0
200.0,453.6,774.0,476.2,278.7
300.0,445.4,787.5,469.8,276.5
400.0,389.4,646.0,329.5,239.0
500.0,404.6,693.9,372.7,237.5
600.0,442.0,744.6,423.1,261.5
700.0,410.2,676.7,366.0,235.2
800.0,412.4,688.9,376.4,235.3
900.0,461.2,784.1,479.2,281.1
1000.0,420.9,709.3,389.4,232.9
1100.0,416.0,701.4,397.7,242.5
1200.0,384.9,638.1,328.8,230.0
1300.0,456.7,776.4,456.4,269.9
1400.0,387.6,675.5,343.3,235.3
1500.0,406.0,679.6,370.7,235.2
1600.0,451.7,772.2,449.1,269.6
1700.0,449.3,766.8,471.2,275.4
1800.0,462.0,792.4,484.7,277.4
1900.0,457.1,781.8,488.0,283.0
2000.0,426.3,712.4,392.7,239.6
2100.0,458.0,770.2,458.1,268.3
2200.0,427.6,739.2,419.7,253.3
2300.0,453.9,785.1,481.3,278.0
2400.0,458.0,766.1,476.9,279.5
2500.0,454.5,787.2,482.9,278.6
2600.0,462.0,788.8,488.0,275.4
2700.0,439.7,763.9,454.4,274.3
2800.0,434.4,748.7,412.6,256.9
2900.0,455.9,765.0,457.3,273.2
3000.0,407.4,674.4,359.8,236.3
3100.0,377.7,638.1,325.0,231.6
3200.0,454.8,767.4,441.7,270.5
3300.0,462.0,774.7,479.3,279.7
3400.0,461.0,779.2,481.0,283.0
3500.0,449.2,759.3,436.0,263.5
3600.0,453.0,790.4,469.5,279.6
3700.0,416.9,682.6,381.1,238.2
3800.0,416.3,700.1,399.4,237.0
3900.0,460.6,768.3,458.8,275.9
4000.0,398.7,684.1,354.8,238.1
4100.0,461.9,797.0,481.5,282.3
4200.0,459.6,777.5,454.7,266.5
4300.0,462.0,783.2,486.8,282.8
4400.0,409.1,696.8,387.2,233.3
4500.0,435.5,757.3,422.4,256.6
4600.0,402.2,668.3,357.3,233.8
4700.0,454.9,781.0,488.0,274.8
4800.0,458.9,768.7,465.5,269.6
4900.0,456.2,797.0,478.2,278.8
5000.0,420.2,716.1,401.1,249.7
5100.0,437.2,756.6,427.5,256.8
5200.0,452.0,775.1,462.8,274.0
5300.0,452.8,776.5,466.3,264.3
5400.0,458.4,777.4,450.7,267.8
5500.0,432.1,739.9,421.5,250.0
5600.0,462.0,797.0,488.0,281.6
5700.0,457.8,789.8,482.3,283.0
5800.0,427.4,730.9,398.1,245.9
5900.0,438.2,762.0,431.6,259.4
6000.0,462.0,797.0,488.0,278.4
6100.0,382.5,661.3,343.5,239.6
6200.0,447.5,748.8,430.3,260.4
6300.0,428.5,750.9,417.2,250.9
6400.0,446.6,791.0,474.7,270.5
6500.0,462.0,793.6,472.1,277.6
6600.0,454.1,761.5,463.3,269.2
6700.0,444.0,748.2,435.6,258.4
6800.0,418.9,706.4,376.5,233.7
6900.0,459.3,767.4,468.6,270.1
7000.0,432.1,713.9,416.8,244.0
7100.0,454.4,783.2,450.0,273.8
7200.0,437.6,716.8,404.6,248.0
7300.0,442.9,746.9,431.8,262.0
7400.0,437.8,775.0,447.0,272.7
7500.0,414.2,701.4,374.5,232.3
7600.0,401.7,682.4,358.5,232.0
7700.0,387.3,665.5,340.8,234.0
7800.0,449.2,763.4,430.1,265.8
7900.0,416.3,679.3,374.2,236.2
8000.0,427.4,707.8,398.9,243.7
8100.0,429.9,720.4,405.3,250.0
8200.0,460.6,796.8,482.0,280.0
8300.0,445.1,779.2,469.4,267.2
8400.0,442.6,772.2,445.9,274.2
8500.0,394.6,644.5,341.3,241.6
8600.0,445.2,776.9,466.2,271.7
8700.0,413.0,713.8,390.3,235.0
8800.0,433.8,719.5,407.4,244.4
8900.0,462.0,797.0,488.0,281.8
9000.0,452.8,777.7,473.8,281.3
9100.0,462.0,793.4,488.0,283.0
9200.0,448.3,757.3,426.1,262.6
9300.0,377.5,639.9,328.7,231.0
9400.0,453.9,767.6,436.2,263.1
9500.0,440.0,745.6,436.1,258.9
9600.0,407.2,676.3,369.3,231.4
9700.0,452.4,793.7,488.0,280.7
9800.0,436.1,751.3,431.4,261.1
9900.0,454.2,774.1,459.7,274.1
10000.0,384.7,650.6,340.9,234.5
10100.0,427.3,745.7,423.6,251.2
10200.0,410.6,693.0,363.4,230.6
10300.0,433.9,735.8,420.6,246.6
10400.0,442.0,739.5,419.7,253.8
10500.0,450.5,751.9,459.5,267.7
10600.0,435.5,729.0,417.4,259.5
10700.0,462.0,789.6,474.7,279.0
10800.0,410.8,702.6,397.9,234.3
10900.0,459.1,767.1,458.7,273.7
11000.0,431.8,715.0,406.4,248.7
11100.0,433.6,745.9,409.1,248.9
11200.0,422.4,727.6,410.1,242.1
11300.0,455.9,782.6,470.7,275.5
11400.0,431.2,721.1,414.4,254.9
11500.0,418.5,694.4,381.8,241.4
11600.0,453.7,780.6,472.1,283.0
11700.0,461.3,774.0,476.9,280.9
11800.0,436.4,716.3,397.3,243.4
11900.0,459.2,779.1,470.1,277.3
12000.0,462.0,791.5,488.0,278.9
12100.0,440.2,752.6,431.7,261.9
12200.0,451.7,768.0,454.9,272.2
12300.0,449.1,742.4,445.1,268.2
12400.0,453.3,766.9,435.0,266.1
12500.0,454.6,797.0,488.0,283.0
12600.0,431.8,731.6,416.1,253.3
12700.0,405.1,688.8,372.1,234.6
12800.0,459.9,763.1,454.1,271.8
12900.0,460.6,768.4,479.9,277.7
13000.0,396.0,665.5,338.6,237.7
13100.0,380.1,642.6,334.3,232.6
13200.0,390.2,653.3,336.6,236.4
13300.0,427.1,707.1,397.2,240.4
13400.0,462.0,797.0,483.8,283.0
13500.0,448.9,786.2,475.3,273.5
13600.0,400.0,689.4,368.2,237.9
13700.0,462.0,785.6,488.0,277.4
13800.0,457.5,784.0,470.1,276.0
13900.0,406.5,680.8,382.9,238.3
14000.0,451.8,749.6,437.1,266.4
14100.0,442.0,766.6,439.5,268.6
14200.0,461.0,789.3,480.0,271.4
14300.0,456.4,787.7,472.5,281.0
14400.0,462.0,797.0,488.0,278.1
14500.0,407.4,676.1,364.6,235.1
14600.0,449.7,739.7,441.5,262.9
14700.0,460.1,797.0,488.0,277.4
14800.0,448.5,747.0,427.0,262.4
14900.0,430.5,734.4,420.6,252.0
15000.0,443.1,752.2,448.6,266.2
15100.0,430.9,736.5,409.6,250.1
15200.0,452.4,768.7,462.0,279.3
15300.0,451.9,797.0,477.3,278.4
15400.0,396.9,674.7,346.7,234.1
15500.0,441.5,733.0,428.7,255.3
15600.0,437.3,720.5,402.8,246.8
15700.0,402.9,695.8,372.8,231.6
15800.0,407.9,672.0,365.4,235.1
15900.0,462.0,797.0,488.0,283.0
16000.0,453.1,774.8,466.1,273.1
16100.0,455.8,769.0,461.6,269.4
16200.0,429.8,730.5,414.6,247.9
16300.0,453.2,768.0,469.4,275.9
16400.0,419.8,702.0,396.8,238.5
16500.0,457.0,785.7,475.3,279.9
16600.0,453.9,788.7,488.0,280.8
16700.0,462.0,797.0,486.0,280.8
16800.0,456.8,774.7,467.4,282.6
16900.0,459.8,784.1,454.3,268.1
17000.0,459.1,791.6,480.1,272.0
17100.0,422.4,721.8,406.2,253.0
17200.0,462.0,782.8,487.9,283.0
17300.0,453.5,761.6,472.6,273.3
17400.0,376.9,640.0,334.5,233.8
