timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,458.0,804.2,508.0,289.9
100.0,460.3,810.0,513.2,289.6
200.0,459.4,800.0,515.0,299.0
300.0,465.8,810.0,508.0,286.1
400.0,458.0,800.0,515.0,289.4
500.0,458.0,810.0,513.9,293.8
600.0,458.0,810.0,508.0,283.0
700.0,461.6,810.0,515.0,291.8
800.0,465.9,800.0,514.2,292.4
900.0,460.1,810.0,508.0,299.0
1000.0,458.0,800.0,515.0,298.5
1100.0,463.6,800.0,510.9,292.3
1200.0,460.2,810.0,508.0,299.0
1300.0,463.1,800.0,515.0,297.7
1400.0,467.0,804.0,515.0,293.1
1500.0,459.1,800.0,515.0,297.4
1600.0,461.2,810.0,513.9,283.0
1700.0,467.0,800.0,515.0,299.0
1800.0,462.0,800.0,508.0,287.4
1900.0,460.0,800.0,515.0,290.8
2000.0,467.0,807.9,510.8,296.1
2100.0,460.2,810.0,508.0,295.1
2200.0,458.0,810.0,515.0,299.0
2300.0,463.2,804.4,510.6,285.8
2400.0,463.4,804.9,510.7,297.0
2500.0,458.0,805.9,515.0,299.0
2600.0,466.0,810.0,508.0,288.8
2700.0,464.6,805.1,508.0,290.4
2800.0,458.4,800.0,515.0,298.7
2900.0,463.1,810.0,511.8,293.6
3000.0,458.3,810.0,510.6,294.4
3100.0,467.0,800.0,508.0,296.7
3200.0,467.0,810.0,508.0,299.0
3300.0,467.0,804.6,508.0,289.7
3400.0,466.3,810.0,515.0,299.0
3500.0,466.8,810.0,508.0,288.1
3600.0,463.3,808.7,508.0,293.6
3700.0,462.5,810.0,515.0,298.8
3800.0,465.3,810.0,511.4,294.9
3900.0,458.1,810.0,515.0,296.2
4000.0,460.0,810.0,508.0,299.0
4100.0,467.0,800.0,508.0,299.0
4200.0,458.0,800.0,508.0,299.0
4300.0,458.0,810.0,508.0,298.5
4400.0,458.0,800.0,515.0,292.7
4500.0,460.0,802.1,508.3,285.9
4600.0,467.0,804.1,512.4,293.3
4700.0,461.7,810.0,508.0,295.6
4800.0,467.0,810.0,508.0,294.2
4900.0,461.0,804.3,515.0,294.3
5000.0,467.0,810.0,515.0,290.9
5100.0,458.0,800.0,515.0,293.3
5200.0,467.0,803.5,508.0,293.5
5300.0,464.2,802.9,515.0,284.5
5400.0,458.8,800.0,508.0,296.6
5500.0,461.2,810.0,515.0,295.8
5600.0,467.0,800.0,514.3,288.5
5700.0,467.0,802.4,509.2,298.5
5800.0,459.4,810.0,508.7,291.1
5900.0,462.8,800.0,508.0,299.0
6000.0,458.0,810.0,508.0,293.0
6100.0,460.3,800.0,515.0,287.9
6200.0,467.0,800.0,515.0,289.6
6300.0,462.1,810.0,508.0,292.2
6400.0,466.6,810.0,508.0,291.0
6500.0,467.0,810.0,515.0,296.5
6600.0,458.0,809.8,508.0,289.2
6700.0,463.3,810.0,515.0,299.0
6800.0,460.9,807.1,508.0,288.4
6900.0,467.0,804.8,508.0,286.3
7000.0,458.0,810.0,511.1,289.5
7100.0,467.0,800.0,515.0,297.1
7200.0,464.6,800.0,508.0,289.7
7300.0,460.1,810.0,508.0,290.1
7400.0,458.0,808.7,515.0,297.3
7500.0,458.0,810.0,515.0,295.2
7600.0,460.5,810.0,515.0,292.5
7700.0,458.0,808.5,509.0,289.0
7800.0,467.0,806.5,508.0,290.5
7900.0,467.0,810.0,510.6,295.1
8000.0,467.0,800.0,508.0,290.9
8100.0,467.0,806.0,510.9,294.4
8200.0,462.8,810.0,508.0,283.8
8300.0,458.0,800.0,510.7,297.4
8400.0,467.0,800.0,508.0,288.0
8500.0,458.0,800.0,508.0,291.8
8600.0,459.5,810.0,515.0,291.5
8700.0,458.0,810.0,515.0,291.0
