timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,455.5,795.0,515.0,296.2
100.0,462.0,788.0,515.0,293.0
200.0,462.0,795.0,509.0,301.9
300.0,462.0,795.0,515.0,296.7
400.0,461.8,790.0,509.0,303.0
500.0,461.9,788.0,515.0,293.0
600.0,458.0,788.0,515.0,304.0
700.0,455.2,795.0,509.0,303.9
800.0,455.5,795.0,515.0,304.8
900.0,456.5,795.0,512.3,303.9
1000.0,457.2,795.0,513.6,306.7
1100.0,458.8,791.1,509.0,293.0
1200.0,458.8,788.0,515.0,301.9
1300.0,458.8,795.0,509.5,298.8
1400.0,462.0,795.0,513.1,293.1
1500.0,459.6,788.0,510.4,293.7
1600.0,462.0,794.7,509.4,303.3
1700.0,461.7,793.0,509.0,297.5
1800.0,460.4,795.0,515.0,296.1
1900.0,455.0,793.2,515.0,304.4
2000.0,455.0,788.0,509.0,293.0
2100.0,462.0,795.0,511.7,307.0
2200.0,459.6,795.0,515.0,300.3
2300.0,455.9,788.0,515.0,293.0
2400.0,455.0,795.0,509.0,293.0
2500.0,461.4,788.0,513.1,302.5
2600.0,455.0,789.5,509.0,300.8
2700.0,458.2,795.0,509.0,293.0
2800.0,455.0,795.0,515.0,304.0
2900.0,455.0,795.0,509.0,306.1
3000.0,455.0,788.0,515.0,301.2
3100.0,455.0,795.0,509.0,296.5
3200.0,462.0,791.8,509.0,304.6
3300.0,455.0,793.0,515.0,293.0
3400.0,455.0,788.6,515.0,303.3
3500.0,455.0,788.0,509.0,297.5
3600.0,460.6,792.5,512.9,305.9
3700.0,455.0,792.7,512.2,293.0
3800.0,461.8,788.0,509.0,295.6
3900.0,455.0,795.0,515.0,294.8
4000.0,462.0,788.0,511.8,293.0
4100.0,462.0,788.0,515.0,302.1
4200.0,455.0,795.0,509.0,300.2
4300.0,455.0,795.0,515.0,293.4
4400.0,455.0,788.0,515.0,300.7
4500.0,455.0,793.8,515.0,301.7
4600.0,455.8,788.0,509.0,299.4
4700.0,462.0,788.0,511.4,303.4
4800.0,455.0,795.0,509.0,299.9
4900.0,455.8,788.0,515.0,294.3
5000.0,455.0,788.0,515.0,302.2
5100.0,460.3,795.0,511.7,295.4
5200.0,455.0,795.0,515.0,301.8
5300.0,456.5,788.6,514.9,300.2
5400.0,457.5,793.7,509.0,304.9
5500.0,462.0,795.0,515.0,302.5
5600.0,462.0,795.0,509.0,299.8
5700.0,457.2,795.0,509.0,305.5
5800.0,461.2,795.0,515.0,306.0
5900.0,457.9,788.0,511.1,300.1
6000.0,459.2,795.0,509.0,293.8
6100.0,455.0,788.2,515.0,302.3
6200.0,456.4,788.0,515.0,303.5
6300.0,455.6,792.4,515.0,299.7
6400.0,458.6,788.0,509.0,299.9
6500.0,455.0,795.0,509.0,294.4
6600.0,455.0,795.0,509.0,293.0
6700.0,462.0,788.0,515.0,299.7
6800.0,455.2,788.0,515.0,304.0
6900.0,458.1,794.8,509.0,300.7
7000.0,457.8,795.0,509.0,296.7
