timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,477.0,484.0,226.0,268.0
100.0,476.0,485.0,226.0,269.0
200.0,477.0,487.0,227.0,270.0
300.0,479.0,487.0,227.0,273.0
400.0,479.0,489.0,228.0,274.0
500.0,480.0,489.0,228.0,275.0
600.0,480.0,490.0,229.0,277.0
700.0,481.0,491.0,229.0,278.0
800.0,481.0,492.0,230.0,278.0
900.0,481.0,492.0,230.0,278.0
1000.0,481.0,494.0,230.0,277.0
1100.0,482.0,494.0,230.0,276.0
1200.0,483.0,494.0,231.0,277.0
1300.0,483.0,495.0,232.0,276.0
1400.0,482.0,495.0,233.0,274.0
1500.0,482.0,496.0,233.0,274.0
1600.0,484.0,496.0,233.0,273.0
1700.0,484.0,497.0,235.0,272.0
1800.0,485.0,498.0,234.0,271.0
1900.0,484.0,498.0,234.0,270.0
2000.0,485.0,499.0,235.0,269.0
2100.0,486.0,499.0,235.0,269.0
2200.0,486.0,500.0,236.0,270.0
2300.0,486.0,500.0,237.0,271.0
2400.0,488.0,501.0,237.0,272.0
2500.0,488.0,502.0,237.0,273.0
2600.0,488.0,502.0,238.0,274.0
2700.0,489.0,503.0,239.0,276.0
2800.0,489.0,504.0,240.0,277.0
2900.0,490.0,505.0,240.0,279.0
3000.0,490.0,506.0,241.0,281.0
3100.0,490.0,507.0,242.0,284.0
3200.0,491.0,507.0,243.0,286.0
3300.0,492.0,509.0,243.0,287.0
3400.0,492.0,508.0,244.0,290.0
3500.0,493.0,510.0,243.0,290.0
3600.0,493.0,511.0,245.0,291.0
3700.0,493.0,511.0,244.0,293.0
3800.0,493.0,511.0,245.0,293.0
3900.0,493.0,511.0,246.0,293.0
4000.0,494.0,512.0,246.0,293.0
4100.0,493.0,513.0,248.0,293.0
4200.0,493.0,513.0,249.0,294.0
4300.0,493.0,513.0,248.0,292.0
4400.0,493.0,514.0,249.0,291.0
4500.0,492.0,513.0,249.0,290.0
4600.0,493.0,514.0,250.0,288.0
4700.0,492.0,514.0,250.0,286.0
4800.0,492.0,514.0,251.0,284.0
4900.0,490.0,515.0,250.0,281.0
5000.0,490.0,515.0,250.0,282.0
5100.0,490.0,515.0,250.0,278.0
5200.0,490.0,515.0,251.0,277.0
