timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,489.8,557.9,284.3,252.7
100.0,489.3,644.0,336.3,232.6
200.0,495.1,552.3,306.9,269.0
300.0,465.0,517.5,259.6,214.9
400.0,509.3,635.9,344.7,278.9
500.0,482.1,494.7,233.3,268.9
600.0,510.8,644.0,353.0,256.0
700.0,474.5,493.9,226.9,265.3
800.0,491.1,547.6,292.8,272.2
900.0,482.2,623.7,339.7,230.2
1000.0,513.0,593.7,319.3,319.7
1100.0,492.3,627.8,345.8,265.6
1200.0,500.2,547.7,283.8,240.8
1300.0,478.8,616.8,346.9,233.3
1400.0,510.5,644.0,348.2,246.5
1500.0,527.5,632.2,345.2,275.1
1600.0,467.2,524.2,255.8,232.6
1700.0,507.7,638.0,344.7,233.6
1800.0,476.1,617.8,344.6,215.5
1900.0,480.1,637.5,344.1,223.2
2000.0,480.9,514.5,252.2,237.2
2100.0,490.4,636.8,347.7,293.4
2200.0,479.2,498.8,229.5,279.0
2300.0,470.3,564.9,301.0,213.6
2400.0,469.3,638.5,347.5,231.0
2500.0,479.4,622.5,344.3,214.1
2600.0,492.6,633.2,341.2,224.7
2700.0,521.8,633.8,343.8,258.4
2800.0,544.6,632.5,342.3,329.0
2900.0,518.0,644.0,350.0,249.3
3000.0,469.4,556.7,298.5,214.2
3100.0,468.7,530.9,269.1,222.5
3200.0,487.5,515.0,252.0,272.9
3300.0,472.1,617.1,349.7,241.3
3400.0,469.0,616.6,345.3,222.2
3500.0,488.8,557.2,281.0,236.2
3600.0,471.8,617.6,339.5,213.1
3700.0,487.2,549.1,307.9,238.4
3800.0,488.8,520.3,252.6,241.9
3900.0,489.3,625.9,342.2,253.0
4000.0,474.4,521.9,257.5,236.0
4100.0,473.7,484.0,230.4,274.5
4200.0,488.2,552.8,271.4,248.6
4300.0,474.3,565.2,302.8,206.9
4400.0,484.2,505.1,252.3,287.5
4500.0,465.9,563.3,296.5,209.2
4600.0,508.0,633.8,347.8,264.5
4700.0,494.8,639.4,340.1,227.8
4800.0,527.1,644.0,346.5,272.2
4900.0,492.4,631.8,353.0,266.3
5000.0,482.2,511.2,247.0,273.5
5100.0,520.9,626.2,353.0,250.5
5200.0,467.4,523.7,255.9,228.8
5300.0,468.2,545.7,293.8,208.1
5400.0,474.9,568.7,303.4,233.0
5500.0,473.5,614.0,337.8,213.9
5600.0,497.8,573.2,301.2,271.0
5700.0,516.7,631.4,341.5,268.2
5800.0,485.7,631.3,338.8,242.9
5900.0,485.7,644.0,348.3,267.5
6000.0,512.4,636.8,346.1,256.8
6100.0,514.7,639.8,347.4,272.5
6200.0,496.9,515.8,250.7,271.0
6300.0,534.5,636.1,344.4,278.1
6400.0,468.1,523.9,263.8,219.3
6500.0,487.3,550.7,281.9,242.8
6600.0,520.1,626.2,345.3,278.7
6700.0,494.3,618.8,346.7,254.0
6800.0,475.9,558.8,296.8,211.8
6900.0,492.2,631.8,344.2,265.1
7000.0,546.0,633.7,347.7,305.9
7100.0,475.5,548.8,296.2,209.6
7200.0,476.5,487.0,227.8,277.9
7300.0,524.5,641.7,345.4,284.3
7400.0,488.0,554.1,283.4,253.1
7500.0,474.9,622.4,341.8,229.1
7600.0,529.8,633.1,337.6,260.9
7700.0,496.4,634.3,344.3,282.9
7800.0,502.0,644.0,351.7,256.4
7900.0,505.0,644.0,346.3,288.2
8000.0,488.5,644.0,352.2,259.7
8100.0,469.4,618.9,331.5,223.6
8200.0,476.9,640.2,344.3,211.1
8300.0,487.6,496.3,230.6,270.7
8400.0,491.5,636.2,344.5,260.7
8500.0,484.2,571.7,304.7,270.1
8600.0,484.9,633.6,341.1,250.2
8700.0,544.9,644.0,343.8,332.0
8800.0,482.1,580.0,303.5,253.4
8900.0,500.2,567.8,298.0,263.4
9000.0,489.2,549.6,288.4,233.4
9100.0,493.7,632.9,344.2,236.1
9200.0,534.6,635.8,342.4,327.3
9300.0,482.6,492.9,233.0,280.4
9400.0,485.8,632.9,353.0,257.3
9500.0,477.6,639.9,344.9,256.9
9600.0,499.0,627.9,340.4,243.7
9700.0,482.8,566.7,306.9,208.3
9800.0,524.1,632.5,345.8,258.1
9900.0,478.9,625.9,343.4,254.5
10000.0,470.6,632.5,341.6,242.0
10100.0,520.3,644.0,348.8,253.2
10200.0,483.6,552.1,297.8,249.0
10300.0,468.6,513.5,264.5,222.6
10400.0,546.0,643.9,346.1,324.2
10500.0,465.0,515.5,264.2,219.0
10600.0,501.6,638.1,352.3,262.1
10700.0,513.5,640.8,348.0,239.3
10800.0,490.5,640.8,339.1,272.0
10900.0,475.4,565.9,301.2,209.5
11000.0,505.0,638.0,348.4,267.1
11100.0,480.6,537.1,268.4,223.5
11200.0,470.7,533.5,266.4,224.4
11300.0,465.0,547.2,297.7,206.8
11400.0,501.5,547.7,276.8,256.6
11500.0,475.3,617.5,343.3,237.6
11600.0,514.3,644.0,342.0,257.1
11700.0,492.7,635.0,345.8,270.5
11800.0,524.2,634.7,342.9,257.6
11900.0,482.4,625.0,343.2,244.9
12000.0,530.4,638.5,347.2,287.5
12100.0,488.4,644.0,353.0,268.5
12200.0,478.7,502.2,236.8,277.3
12300.0,465.0,548.9,301.0,204.0
12400.0,471.5,559.8,307.3,212.6
12500.0,467.6,552.4,299.5,204.0
12600.0,495.5,632.3,345.7,266.6
12700.0,473.9,621.3,332.2,215.8
12800.0,483.7,508.8,256.3,245.2
12900.0,489.2,634.2,339.9,242.6
13000.0,522.0,621.7,342.9,270.6
13100.0,498.8,507.3,246.9,294.6
13200.0,468.4,550.7,298.9,208.1
13300.0,502.1,543.1,276.6,255.9
13400.0,531.3,623.4,344.4,279.0
13500.0,484.4,618.6,341.7,239.3
13600.0,506.5,632.4,349.9,253.5
13700.0,496.1,644.0,350.1,267.7
13800.0,543.8,630.3,340.8,339.7
13900.0,488.5,631.5,341.4,222.6
14000.0,495.8,515.2,246.0,280.6
14100.0,487.9,630.3,342.9,227.8
14200.0,473.6,520.6,254.7,236.7
14300.0,502.3,634.0,346.8,240.4
14400.0,503.0,642.4,342.8,277.7
14500.0,494.1,549.9,279.7,243.3
14600.0,489.7,556.0,303.2,242.8
14700.0,484.7,636.8,339.4,246.6
14800.0,537.6,616.2,335.0,348.0
14900.0,481.7,628.7,346.3,234.3
15000.0,474.1,558.8,304.8,222.9
15100.0,478.6,528.2,262.6,232.8
15200.0,482.1,635.9,337.6,212.6
15300.0,476.2,631.1,341.8,241.2
15400.0,468.1,553.5,298.9,212.9
15500.0,474.3,557.0,297.2,224.0
15600.0,495.7,557.5,290.2,268.6
15700.0,484.1,620.1,337.6,247.1
15800.0,485.9,497.7,229.4,277.9
15900.0,480.7,620.1,338.5,276.4
16000.0,470.6,525.9,266.1,218.4
16100.0,489.8,641.4,353.0,264.0
16200.0,475.3,625.0,340.5,237.0
16300.0,508.4,597.0,308.7,292.2
16400.0,518.1,624.6,347.2,279.4
16500.0,488.5,552.7,281.7,238.2
16600.0,469.4,526.1,251.9,230.6
16700.0,473.9,631.3,344.4,210.3
16800.0,476.1,636.4,348.7,230.7
16900.0,471.1,618.7,344.7,210.4
17000.0,501.2,627.6,350.1,239.6
17100.0,471.1,637.4,340.8,218.1
17200.0,483.8,574.9,304.8,224.7
17300.0,535.8,634.3,347.3,288.3
17400.0,525.8,633.1,337.3,264.5
17500.0,501.4,599.1,313.9,320.5
17600.0,507.4,644.0,340.1,249.7
17700.0,503.9,640.1,353.0,256.2
17800.0,501.9,644.0,348.9,262.2
17900.0,479.1,628.3,342.6,248.8
18000.0,471.5,631.0,333.4,218.2
18100.0,515.2,630.3,339.8,259.8
18200.0,498.2,643.4,348.3,262.6
