timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,443.7,625.9,354.3,213.3
100.0,436.9,636.2,341.2,245.5
200.0,465.6,646.9,350.3,263.7
300.0,440.2,637.1,345.2,203.6
400.0,448.8,638.5,344.0,236.5
500.0,448.3,646.1,355.1,196.2
600.0,432.6,623.7,346.7,184.7
700.0,434.3,627.0,354.7,180.2
800.0,431.3,636.0,346.1,201.7
900.0,428.8,639.9,353.2,249.5
1000.0,467.1,652.1,371.0,237.7
1100.0,438.9,633.3,341.8,245.1
1200.0,450.6,642.2,351.0,220.8
1300.0,459.0,639.2,343.4,221.5
1400.0,442.1,640.0,348.1,235.8
1500.0,444.8,625.1,349.2,232.4
1600.0,445.0,635.1,340.3,191.5
1700.0,464.7,647.0,359.6,287.2
1800.0,461.5,643.2,352.1,281.7
1900.0,428.1,621.0,337.3,180.1
2000.0,433.0,628.6,359.3,193.0
2100.0,448.0,621.0,348.4,202.9
2200.0,438.0,631.3,347.1,227.4
2300.0,431.7,621.0,347.9,201.5
2400.0,440.7,633.3,348.4,210.3
2500.0,459.8,660.0,369.5,236.5
2600.0,460.7,650.7,357.9,253.5
2700.0,444.8,632.2,342.6,208.3
2800.0,463.4,649.4,371.0,238.9
2900.0,465.6,629.3,355.8,250.4
3000.0,428.6,621.0,337.0,183.5
3100.0,440.0,638.6,353.9,201.9
3200.0,430.0,629.4,352.3,185.6
3300.0,460.2,660.0,371.0,252.7
3400.0,459.2,653.7,361.0,279.2
3500.0,450.9,621.0,347.6,203.1
3600.0,438.7,622.7,337.0,178.0
3700.0,457.3,642.4,354.7,234.4
3800.0,439.7,632.2,343.9,240.8
3900.0,430.5,621.0,339.6,234.3
4000.0,455.9,640.7,341.1,251.9
4100.0,455.3,648.5,371.0,253.7
4200.0,442.5,641.5,348.3,252.0
4300.0,441.3,642.0,359.0,184.1
4400.0,436.7,626.3,354.2,208.4
4500.0,444.2,637.6,363.9,204.4
4600.0,471.0,651.4,371.0,227.9
4700.0,450.1,626.9,343.8,243.9
4800.0,440.4,633.5,348.3,245.5
4900.0,448.6,621.0,343.4,242.0
5000.0,435.8,651.2,365.2,198.8
5100.0,454.9,630.8,348.1,215.2
5200.0,455.8,637.0,351.6,233.5
5300.0,431.6,621.0,340.8,187.4
5400.0,453.9,652.1,357.8,205.1
5500.0,444.5,635.3,354.9,207.6
5600.0,471.0,660.0,371.0,256.0
5700.0,431.8,635.0,346.6,242.3
5800.0,448.4,625.6,349.7,247.9
5900.0,435.7,637.1,346.9,181.2
6000.0,447.7,634.6,343.7,189.2
6100.0,442.4,627.2,337.0,184.2
6200.0,431.5,621.0,338.5,225.7
6300.0,429.3,630.5,346.9,244.1
6400.0,434.5,629.7,348.5,235.9
6500.0,462.1,647.5,350.0,251.0
6600.0,450.3,634.7,342.6,225.7
6700.0,458.8,624.7,350.8,266.8
6800.0,442.4,634.4,349.1,259.0
6900.0,432.3,624.2,345.5,179.5
7000.0,428.7,647.9,356.1,186.1
7100.0,439.4,625.8,352.3,242.7
7200.0,428.5,621.0,337.0,184.9
7300.0,441.8,641.0,353.6,248.6
7400.0,457.3,641.2,339.5,280.4
7500.0,466.3,654.0,357.1,289.3
7600.0,467.0,639.2,347.0,294.0
7700.0,440.5,628.3,349.3,245.5
7800.0,440.2,629.1,338.1,194.6
7900.0,468.5,641.5,351.3,262.5
8000.0,436.3,638.2,346.9,245.8
8100.0,431.1,645.1,351.5,193.0
8200.0,437.8,633.2,342.6,181.1
8300.0,435.4,632.5,351.2,186.8
8400.0,439.0,621.0,341.3,186.8
8500.0,430.0,626.4,347.9,180.0
8600.0,471.0,630.2,343.8,285.3
8700.0,435.0,638.7,347.2,181.0
8800.0,469.0,660.0,368.3,236.4
8900.0,454.5,624.5,353.0,200.1
9000.0,470.0,647.3,340.4,287.1
9100.0,467.5,651.2,348.0,275.4
9200.0,446.4,638.2,348.8,249.9
9300.0,459.7,651.4,364.9,267.7
9400.0,451.8,642.9,352.9,216.2
9500.0,459.9,660.0,365.0,251.5
9600.0,438.7,634.2,347.6,186.6
9700.0,470.9,655.4,371.0,249.7
9800.0,428.0,621.0,337.7,178.4
9900.0,460.6,636.9,356.8,248.4
10000.0,470.5,630.9,351.5,273.8
10100.0,437.1,630.0,348.6,201.6
10200.0,471.0,660.0,371.0,252.9
10300.0,437.2,636.3,343.1,245.7
10400.0,463.5,657.4,367.7,232.7
10500.0,448.9,629.2,348.7,207.0
10600.0,428.0,637.0,353.6,194.4
10700.0,460.5,647.2,338.3,279.6
10800.0,449.1,635.7,356.6,249.2
10900.0,448.4,625.6,337.0,214.3
11000.0,446.3,628.6,348.7,202.0
11100.0,445.2,625.6,352.7,192.1
11200.0,452.4,625.9,344.1,243.0
11300.0,441.3,639.7,346.0,194.2
11400.0,462.3,631.3,339.3,267.2
11500.0,442.3,641.5,356.3,198.3
11600.0,444.2,639.7,349.2,193.6
11700.0,449.1,634.2,366.6,202.9
11800.0,456.7,658.2,366.5,223.8
11900.0,471.0,647.5,358.2,263.9
12000.0,432.2,623.7,352.8,186.8
12100.0,428.0,627.8,341.7,179.1
12200.0,444.8,633.4,342.8,218.5
12300.0,471.0,647.5,341.2,279.3
12400.0,438.1,636.2,342.3,184.7
12500.0,468.4,660.0,361.0,244.8
12600.0,446.1,621.0,344.3,186.1
12700.0,448.4,630.1,349.0,250.7
12800.0,465.0,637.7,358.3,283.9
12900.0,439.6,626.4,339.0,181.9
13000.0,434.1,624.7,354.5,238.7
13100.0,433.0,621.5,352.4,234.0
13200.0,450.2,622.5,352.6,211.7
13300.0,459.7,645.0,342.4,263.8
13400.0,442.4,624.3,353.8,239.6
13500.0,444.3,625.8,348.6,208.8
13600.0,432.4,621.0,352.0,223.1
13700.0,428.7,629.8,337.5,178.0
13800.0,428.0,638.9,344.9,245.2
13900.0,438.9,632.6,352.8,186.6
14000.0,435.5,621.6,350.2,204.3
14100.0,462.8,650.6,345.6,237.2
14200.0,453.0,630.2,340.0,200.6
14300.0,465.6,649.5,351.5,257.8
14400.0,471.0,648.0,349.1,285.2
14500.0,456.6,652.7,369.8,222.0
14600.0,431.5,634.5,348.3,241.1
14700.0,440.3,647.3,360.9,206.4
14800.0,443.3,632.1,351.3,194.7
14900.0,452.6,642.6,347.5,241.4
15000.0,435.2,628.7,348.0,223.3
15100.0,435.8,621.0,339.5,182.4
15200.0,430.9,621.0,348.3,203.0
15300.0,442.8,621.8,349.8,205.5
15400.0,445.0,621.1,352.9,246.0
15500.0,441.8,647.7,358.1,186.7
15600.0,446.3,622.8,344.9,198.2
15700.0,430.2,621.2,348.7,183.9
15800.0,444.7,629.8,339.9,202.9
15900.0,471.0,648.3,355.2,252.4
16000.0,466.6,660.0,360.2,235.4
16100.0,442.4,621.6,345.1,180.1
16200.0,444.6,624.8,337.0,187.4
16300.0,471.0,655.8,365.4,243.1
16400.0,440.0,644.2,352.4,190.7
16500.0,459.6,627.4,338.8,262.8
16600.0,432.7,637.7,342.3,189.4
16700.0,471.0,660.0,371.0,270.0
16800.0,462.4,647.3,349.6,228.3
16900.0,435.8,632.4,358.0,183.5
17000.0,433.7,631.4,350.3,226.6
17100.0,469.8,650.3,346.7,270.4
17200.0,469.3,646.5,369.7,244.8
17300.0,428.0,625.3,348.6,244.8
17400.0,433.3,631.2,339.3,219.1
17500.0,437.1,642.4,343.2,259.0
17600.0,471.0,641.3,351.8,286.8
17700.0,461.9,649.9,371.0,244.7
17800.0,459.8,631.1,346.5,233.4
17900.0,434.4,623.5,342.6,231.6
18000.0,434.5,638.4,346.9,255.1
18100.0,449.1,643.6,347.8,202.4
18200.0,428.8,621.0,344.2,227.3
18300.0,455.0,639.6,349.6,221.4
18400.0,466.0,650.9,344.2,293.4
18500.0,452.8,638.5,343.2,221.8
18600.0,447.0,645.8,356.6,197.8
18700.0,430.4,623.1,340.6,179.3
18800.0,471.0,652.7,361.1,287.9
18900.0,471.0,641.6,346.5,284.3
19000.0,464.6,653.5,360.3,231.5
19100.0,471.0,653.9,343.9,286.4
19200.0,443.3,622.8,354.0,230.4
19300.0,440.3,627.4,357.8,187.2
19400.0,463.5,650.8,371.0,237.3
19500.0,449.5,634.7,361.8,204.6
19600.0,432.9,623.6,347.7,241.9
19700.0,428.0,640.4,352.8,185.4
19800.0,444.4,631.3,356.1,226.0
19900.0,431.0,637.8,354.2,184.9
20000.0,461.5,646.2,345.5,230.9
20100.0,467.2,660.0,371.0,227.7
20200.0,452.4,635.3,368.9,205.5
20300.0,440.1,632.4,347.9,182.4
20400.0,443.5,623.7,341.6,229.9
20500.0,428.0,629.1,348.5,234.0
20600.0,441.3,651.1,361.5,196.3
20700.0,428.0,626.3,347.5,178.0
20800.0,438.4,637.8,343.2,258.1
20900.0,449.2,645.3,345.0,251.0
21000.0,459.6,623.8,350.4,239.7
21100.0,445.1,641.3,349.5,230.5
21200.0,442.0,621.0,342.6,243.6
21300.0,428.0,623.1,341.8,222.1
21400.0,468.6,645.7,350.1,250.4
21500.0,443.5,635.6,358.3,207.2
21600.0,455.3,642.6,343.8,262.4
21700.0,463.2,660.0,369.8,250.9
21800.0,438.6,633.4,366.0,192.3
21900.0,466.4,633.0,348.5,294.0
22000.0,450.2,630.2,349.5,219.8
22100.0,438.3,647.5,354.6,197.8
22200.0,440.9,646.2,356.3,193.5
22300.0,450.7,630.8,351.1,249.4
22400.0,453.6,642.1,341.2,261.4
22500.0,428.8,629.6,346.9,237.3
22600.0,449.4,643.6,344.0,200.3
22700.0,445.9,621.0,345.2,212.6
22800.0,428.0,621.0,346.6,185.5
22900.0,440.7,627.4,350.3,229.1
23000.0,428.0,621.0,337.0,179.6
23100.0,471.0,652.7,365.9,252.0
23200.0,443.4,641.4,345.7,227.3
23300.0,443.8,631.0,350.3,247.0
23400.0,441.2,637.4,337.0,217.7
23500.0,428.0,621.0,351.6,179.6
23600.0,464.2,637.8,349.4,241.8
23700.0,441.0,641.5,345.2,239.3
23800.0,428.5,626.1,343.9,239.6
23900.0,459.6,640.5,339.2,279.2
24000.0,460.9,653.1,350.2,278.7
24100.0,434.5,630.8,356.9,185.4
24200.0,437.8,631.8,351.3,182.9
24300.0,446.6,636.1,348.5,236.8
24400.0,460.8,647.1,349.3,288.6
24500.0,470.0,655.2,365.3,229.0
24600.0,459.3,660.0,371.0,251.7
24700.0,460.8,632.9,354.3,230.4
24800.0,441.6,625.3,341.0,238.5
24900.0,468.4,660.0,371.0,263.8
25000.0,451.4,645.2,349.0,224.3
25100.0,436.3,621.0,347.5,228.6
25200.0,461.0,645.6,361.5,224.2
25300.0,428.0,640.7,360.2,186.5
25400.0,443.4,627.5,351.7,192.8
25500.0,470.8,641.8,355.2,258.0
25600.0,471.0,659.3,371.0,236.5
25700.0,435.4,628.4,356.5,251.3
25800.0,445.7,642.8,341.2,243.3
25900.0,471.0,645.4,367.7,250.6
26000.0,457.9,628.5,356.6,233.6
26100.0,471.0,660.0,366.7,266.6
26200.0,471.0,656.9,371.0,228.6
26300.0,436.7,630.2,337.0,183.5
26400.0,430.1,621.0,349.8,238.8
26500.0,466.0,655.4,371.0,228.3
26600.0,428.0,621.0,348.2,186.4
26700.0,454.0,648.1,369.1,201.8
26800.0,429.0,641.2,343.6,234.9
26900.0,433.9,629.8,342.2,259.6
27000.0,437.6,645.9,353.7,190.5
27100.0,447.2,641.2,345.1,233.0
27200.0,444.4,631.2,360.9,194.4
27300.0,431.2,621.0,352.6,231.2
27400.0,447.8,647.0,366.7,212.3
27500.0,436.6,633.4,348.5,196.2
27600.0,460.0,656.8,371.0,229.0
27700.0,442.4,645.5,352.8,194.2
27800.0,436.9,635.3,340.9,182.7
27900.0,437.6,642.0,356.5,196.3
28000.0,437.2,635.6,348.1,244.9
28100.0,465.7,629.7,360.4,265.1
28200.0,449.0,640.6,352.5,220.9
28300.0,434.4,621.0,344.4,236.3
28400.0,458.4,635.1,360.7,264.1
28500.0,430.3,637.6,342.8,203.1
28600.0,452.7,621.0,351.1,205.9
28700.0,444.4,642.5,342.1,214.8
28800.0,432.5,640.1,348.2,242.4
28900.0,454.7,644.4,345.3,241.7
29000.0,428.0,634.3,350.9,186.1
29100.0,455.1,626.8,345.7,236.5
29200.0,428.0,626.9,351.8,240.7
29300.0,463.8,643.4,371.0,245.2
29400.0,440.8,631.4,351.8,185.2
29500.0,465.6,644.0,371.0,226.3
29600.0,448.9,636.1,350.8,245.1
29700.0,459.8,635.0,349.6,238.3
29800.0,453.6,643.5,348.7,205.3
29900.0,433.2,621.0,343.7,178.5
30000.0,461.0,644.3,346.4,241.5
30100.0,469.7,649.8,367.1,234.6
30200.0,460.6,634.9,359.6,249.4
30300.0,436.4,621.0,339.8,189.4
30400.0,432.7,628.4,360.5,191.0
30500.0,440.8,646.8,368.9,200.0
30600.0,456.9,640.2,358.9,215.9
30700.0,471.0,646.7,352.9,292.0
30800.0,464.6,632.7,353.7,268.5
30900.0,467.0,656.8,371.0,257.8
31000.0,453.1,639.8,361.0,210.1
31100.0,462.4,647.8,356.6,294.0
31200.0,471.0,647.7,343.1,284.9
31300.0,443.8,645.4,343.7,214.7
31400.0,453.1,643.1,346.2,228.7
31500.0,428.3,628.6,338.3,184.7
31600.0,450.6,627.5,348.4,249.7
31700.0,442.3,623.1,344.7,224.0
31800.0,471.0,649.0,346.3,290.3
31900.0,471.0,643.7,345.0,294.0
