timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,719.6,839.0,714.2,458.0
100.0,724.0,839.0,707.4,447.4
200.0,704.0,833.0,718.3,441.0
300.0,711.7,839.0,726.0,446.8
400.0,704.9,839.0,726.0,441.0
500.0,724.0,839.0,720.9,452.0
600.0,714.7,838.4,710.3,458.0
700.0,704.0,839.0,726.0,442.4
800.0,713.8,839.0,722.8,442.7
900.0,718.1,833.3,720.6,441.9
1000.0,724.0,833.0,718.2,450.4
1100.0,712.8,833.0,718.6,458.0
1200.0,713.8,833.0,726.0,447.7
1300.0,711.2,833.0,726.0,458.0
1400.0,704.0,839.0,726.0,442.8
1500.0,705.1,839.0,707.0,458.0
1600.0,724.0,839.0,718.6,458.0
1700.0,720.2,839.0,707.0,457.9
1800.0,704.0,839.0,726.0,457.5
1900.0,713.2,839.0,723.5,449.3
2000.0,722.4,833.0,712.6,448.0
2100.0,708.4,833.0,714.3,457.5
2200.0,706.5,839.0,707.0,453.7
2300.0,704.0,834.2,726.0,456.2
2400.0,705.1,833.0,708.9,441.0
2500.0,708.4,839.0,725.0,450.2
2600.0,707.5,833.0,718.6,441.0
2700.0,709.5,833.0,726.0,456.4
2800.0,710.0,833.0,716.9,444.1
2900.0,704.0,839.0,725.8,441.2
3000.0,719.8,839.0,717.4,441.0
3100.0,715.1,839.0,713.3,444.8
3200.0,717.9,833.0,709.7,450.9
3300.0,724.0,833.0,712.7,451.9
3400.0,724.0,833.0,707.0,458.0
3500.0,704.0,839.0,726.0,441.4
3600.0,720.2,839.0,711.2,447.5
3700.0,718.2,839.0,725.2,443.9
3800.0,715.4,833.0,711.6,453.8
3900.0,704.8,833.0,726.0,450.3
4000.0,704.0,839.0,712.2,456.6
4100.0,724.0,835.3,714.5,453.4
4200.0,713.7,839.0,711.7,445.1
4300.0,722.7,833.0,719.0,458.0
4400.0,716.9,834.2,707.0,451.6
4500.0,704.0,833.0,726.0,456.8
4600.0,724.0,838.5,707.0,451.1
4700.0,719.3,833.0,710.5,458.0
4800.0,705.4,839.0,715.0,441.0
4900.0,704.0,839.0,713.3,450.3
5000.0,707.0,833.0,725.5,445.1
5100.0,709.8,833.0,713.3,457.7
5200.0,704.0,833.0,726.0,448.7
5300.0,722.7,833.0,726.0,458.0
5400.0,723.7,838.0,712.5,451.4
5500.0,724.0,839.0,713.5,443.9
5600.0,705.2,833.0,709.4,458.0
5700.0,710.3,838.0,712.2,457.3
5800.0,724.0,837.2,726.0,458.0
5900.0,721.1,833.0,726.0,450.6
6000.0,704.0,839.0,708.4,447.4
6100.0,704.0,833.0,719.6,458.0
6200.0,719.4,839.0,707.6,456.8
6300.0,723.4,833.0,726.0,458.0
6400.0,711.8,833.0,719.7,458.0
6500.0,723.0,839.0,719.5,458.0
6600.0,724.0,833.0,713.4,458.0
6700.0,713.8,839.0,726.0,458.0
6800.0,704.0,839.0,712.2,446.4
6900.0,707.6,833.0,712.5,454.0
7000.0,722.9,835.3,709.2,454.4
7100.0,704.0,839.0,716.4,458.0
7200.0,704.0,836.9,714.2,441.0
7300.0,724.0,839.0,723.7,444.1
7400.0,709.9,839.0,726.0,451.4
7500.0,704.8,833.0,714.9,448.9
7600.0,704.2,839.0,726.0,441.0
7700.0,724.0,833.0,707.0,456.5
7800.0,711.3,839.0,723.4,441.0
7900.0,720.5,839.0,720.4,458.0
8000.0,707.5,839.0,724.4,445.2
8100.0,720.6,839.0,707.0,457.2
8200.0,704.0,839.0,719.3,442.7
8300.0,713.3,839.0,726.0,446.4
8400.0,724.0,833.0,708.1,447.2
8500.0,705.9,834.9,712.2,457.0
8600.0,721.4,839.0,724.1,458.0
8700.0,714.6,833.0,721.8,444.6
8800.0,720.0,839.0,713.7,450.5
8900.0,704.0,839.0,726.0,444.9
9000.0,719.2,833.0,719.4,458.0
9100.0,704.0,833.0,723.4,448.8
9200.0,710.2,838.6,718.8,451.9
9300.0,708.9,836.4,726.0,447.4
9400.0,709.6,835.7,726.0,458.0
9500.0,718.0,839.0,726.0,444.5
9600.0,705.1,833.0,725.9,445.4
9700.0,709.8,833.0,713.8,454.0
9800.0,724.0,833.0,715.2,454.0
9900.0,714.3,835.4,720.5,456.4
10000.0,705.1,839.0,726.0,442.3
10100.0,705.2,839.0,724.9,451.8
10200.0,723.9,833.4,719.0,444.6
10300.0,713.8,839.0,721.3,457.0
10400.0,723.1,839.0,725.8,450.1
10500.0,724.0,839.0,717.2,453.1
10600.0,723.3,839.0,709.9,446.5
10700.0,704.1,839.0,726.0,441.0
10800.0,711.1,833.0,723.5,458.0
10900.0,704.0,839.0,722.3,441.0
11000.0,707.5,839.0,726.0,449.8
11100.0,708.9,839.0,726.0,442.4
11200.0,719.7,839.0,721.4,450.1
11300.0,724.0,839.0,707.0,454.6
11400.0,724.0,833.0,708.6,458.0
11500.0,724.0,833.0,713.8,445.1
11600.0,715.8,833.0,724.0,441.0
11700.0,704.0,833.0,720.1,454.5
11800.0,722.5,839.0,712.6,450.4
11900.0,712.7,839.0,726.0,450.9
12000.0,714.5,839.0,711.1,451.1
12100.0,706.7,838.6,724.9,458.0
12200.0,709.3,833.0,712.6,441.0
12300.0,723.4,839.0,712.9,446.2
12400.0,721.1,834.5,726.0,455.1
12500.0,709.9,833.0,707.1,449.8
12600.0,716.2,833.0,715.7,458.0
12700.0,715.7,839.0,726.0,452.5
12800.0,724.0,833.0,714.1,446.5
12900.0,706.9,833.0,720.9,455.0
13000.0,719.4,839.0,726.0,454.2
13100.0,717.6,839.0,715.2,452.0
13200.0,717.2,839.0,723.5,450.3
13300.0,704.0,839.0,722.0,441.0
13400.0,723.7,834.4,713.1,452.4
13500.0,712.2,833.0,726.0,450.3
13600.0,714.1,833.0,726.0,448.1
13700.0,722.8,833.0,719.2,443.9
13800.0,717.1,839.0,717.7,447.1
13900.0,724.0,833.0,708.3,449.3
14000.0,722.2,839.0,726.0,456.0
14100.0,724.0,839.0,726.0,455.6
14200.0,714.0,839.0,715.4,446.5
14300.0,724.0,839.0,725.2,455.1
14400.0,717.7,833.0,715.5,456.2
14500.0,723.1,839.0,707.0,453.7
14600.0,719.4,833.0,721.0,458.0
14700.0,718.0,833.0,726.0,444.6
14800.0,704.0,833.0,717.8,446.4
14900.0,706.5,833.0,726.0,454.8
15000.0,714.8,833.0,714.1,456.9
15100.0,707.3,833.0,708.8,446.6
15200.0,717.0,835.7,707.0,452.1
15300.0,705.2,839.0,710.3,455.9
15400.0,709.6,835.8,716.2,445.4
15500.0,704.2,833.0,713.0,441.0
15600.0,714.1,833.0,707.0,458.0
15700.0,708.7,833.0,718.2,445.8
15800.0,705.3,839.0,713.4,450.3
15900.0,719.1,833.0,726.0,458.0
16000.0,704.0,833.0,715.4,443.5
16100.0,722.6,839.0,714.2,451.9
16200.0,704.0,838.3,719.1,441.0
16300.0,704.4,833.3,707.8,446.8
16400.0,718.5,839.0,726.0,443.6
16500.0,724.0,833.0,717.1,458.0
16600.0,722.0,835.6,723.6,458.0
16700.0,711.8,833.0,716.1,456.5
16800.0,704.3,839.0,726.0,443.5
16900.0,704.0,833.0,716.9,452.5
17000.0,723.9,839.0,717.3,451.1
17100.0,724.0,833.0,718.5,446.9
17200.0,719.8,839.0,726.0,441.0
17300.0,704.0,835.8,724.3,441.0
17400.0,704.0,836.6,713.4,450.2
17500.0,704.0,833.9,718.2,441.0
17600.0,714.4,839.0,722.5,450.1
17700.0,709.2,839.0,726.0,457.7
17800.0,724.0,833.9,718.3,458.0
17900.0,718.9,839.0,726.0,450.6
18000.0,710.4,838.3,707.0,458.0
18100.0,704.0,833.0,709.2,452.7
18200.0,721.2,833.0,726.0,453.1
18300.0,724.0,836.6,723.1,457.8
18400.0,710.7,833.0,716.8,444.8
18500.0,717.3,839.0,724.0,443.0
18600.0,704.0,839.0,726.0,449.5
18700.0,724.0,839.0,707.0,458.0
18800.0,704.0,839.0,725.6,455.7
18900.0,724.0,833.0,709.0,458.0
19000.0,723.1,839.0,723.9,448.8
19100.0,704.0,833.0,711.9,444.7
19200.0,723.5,839.0,714.8,454.1
19300.0,706.2,833.0,724.8,454.2
19400.0,722.0,839.0,722.7,453.9
19500.0,724.0,833.0,710.8,455.9
19600.0,704.0,839.0,726.0,458.0
19700.0,724.0,839.0,707.0,458.0
19800.0,721.5,839.0,712.1,441.0
19900.0,717.9,833.0,720.3,450.7
20000.0,708.0,835.9,726.0,441.0
20100.0,724.0,833.0,707.0,454.3
20200.0,704.0,838.4,726.0,458.0
20300.0,722.0,839.0,709.7,454.5
20400.0,721.3,837.3,726.0,450.9
20500.0,716.5,833.0,726.0,458.0
20600.0,723.4,835.0,710.8,458.0
20700.0,704.0,833.0,716.3,443.8
20800.0,724.0,833.0,721.7,458.0
20900.0,720.6,839.0,714.9,458.0
21000.0,704.0,833.0,720.4,457.8
21100.0,704.7,837.7,726.0,453.3
21200.0,715.4,839.0,717.6,441.0
21300.0,704.0,833.5,712.4,448.9
21400.0,704.0,839.0,721.1,457.3
21500.0,721.9,837.7,707.0,458.0
21600.0,715.3,833.4,707.0,458.0
21700.0,716.0,833.0,718.7,447.4
